['পহেলা', 'জিতেছে', 'কার্যালয়ে', 'স্বার্থে', 'হয়েছি', 'সম্মান', 'ইনস্টিটিউট', 'করেছে', 'ক\u200cরে\u200cছে', 'লাগলেও']
['সাতই', 'আদালতই', 'বিমানই', 'ভোটই', 'সিএমই', 'ইংরেজিই', 'কোডই', 'পোস্টারই', 'কিশোরই', 'ত্যাগই']
['সাতই', 'আদালতই', 'বিমানই', 'ভোটই', 'সিএমই', 'ইংরেজিই', 'কোডই', 'কিশোরই', 'পোস্টারই', 'ত্যাগই']
['অসন্তুষ্ট', 'সংগঠন', 'সংখ্যালঘুদের', 'খাতে', 'নিয়েও', 'চাইছি', 'ছড়াচ্ছে', 'লাইগা', 'নিয়ে', 'নি\u200cয়ে']
['সাতই', 'আদালতই', 'বিমানই', 'ভোটই', 'সিএমই', 'ইংরেজিই', 'কোডই', 'কিশোরই', 'পোস্টারই', 'ত্যাগই']
['সাতই', 'আদালতই', 'বিমানই', 'ভোটই', 'সিএমই', 'ইংরেজিই', 'কিশোরই', 'কোডই', 'পোস্টারই', 'ত্যাগই']
['সাতই', 'আদালতই', 'বিমানই', 'ভোটই', 'সিএমই', 'ইংরেজিই', 'কোডই', 'পোস্টারই', 'কিশোরই', 'ভোটারই']
['উনিশ', 'ভালবাসে', 'দারোগা', 'হইতেছে', 'বক্তারা', 'আসামি', 'চলিতেছে', 'ছাত্র', 'ছাত্রছাত্রী', 'মেয়েটা']
['সংখ্যালঘুদের', 'চাইনা', 'বেকারত্ব', 'হাসছে', 'সন্ত্রাসী', 'শ্রোতা', 'আক্রোশ', 'ভালোবাসে', 'জিতল', 'ফেলেছে']
['সংখ্যালঘুদের', 'চাইনা', 'হাসছে', 'হচ্ছে', 'হ\u200cচ্ছে', 'গোলটেবিল', 'বেকারত্ব', 'জাতীয়তাবাদী', 'ছেলেমেয়ে', 'অনুপস্থিত']
['ফর্সা', 'বাঘ', 'ফেলেন', 'ট্রেনে', '১৯০', 'ফোরামের', 'আসলো', 'উঠেছিলেন', 'ফাউ', 'মোর্চা']
['সাতই', 'আদালতই', 'বিমানই', 'ভোটই', 'সিএমই', 'ইংরেজিই', 'কোডই', 'পোস্টারই', 'কিশোরই', 'সদস্যরাই']
['সাতই', 'আদালতই', 'বিমানই', 'ভোটই', 'সিএমই', 'ইংরেজিই', 'কোডই', 'পোস্টারই', 'কিশোরই', 'ভোটারই']
['সাতই', 'আদালতই', 'বিমানই', 'ভোটই', 'সিএমই', 'ইংরেজিই', 'কোডই', 'পোস্টারই', 'কিশোরই', 'ভোটারই']
['সাতই', 'আদালতই', 'বিমানই', 'সিএমই', 'ভোটই', 'ইংরেজিই', 'পোস্টারই', 'কিশোরই', 'কোডই', 'ভোটারই']
['সাতই', 'আদালতই', 'বিমানই', 'ভোটই', 'সিএমই', 'ইংরেজিই', 'কোডই', 'পোস্টারই', 'কিশোরই', 'ভোটারই']
['সাতই', 'আদালতই', 'বিমানই', 'ভোটই', 'সিএমই', 'ইংরেজিই', 'কোডই', 'পোস্টারই', 'কিশোরই', 'ভোটারই']
['হায়েকের', 'বিসিসিআইয়ের', 'ভোগ', 'চেন্নাইয়ের', 'স্পাইকের', 'কনুইয়ের', 'বাতিকের', 'সেলাইয়ের', 'বিরাগ', 'বুবুকের']
['রৌদ্রে', 'গুজরাতে', 'কেয়ারে', 'ওজে', 'ভেনম', 'এইডে', 'মহাবিশ্বে', 'গদ্যে', 'ডালপালার', 'ভ্রমনে']
['বিসিসিআইয়ের', 'রৌদ্রে', 'বন্যজীবনের', 'বাউয়ের', 'হায়েকের', 'চেন্নাইয়ের', 'শিশুতোষ', 'কনুইয়ের', 'সেলাইয়ের', 'ক্ষমতায়িত']
['সাতই', 'আদালতই', 'বিমানই', 'ভোটই', 'সিএমই', 'ইংরেজিই', 'কোডই', 'পোস্টারই', 'কিশোরই', 'ভোটারই']
['বিসিসিআইয়ের', 'চেন্নাইয়ের', 'সেলাইয়ের', 'বাউয়ের', 'হায়েকের', 'রৌদ্রে', 'জন্মবার্ষিকীর', 'কনুইয়ের', 'স্পাইকের', 'ট্রেনিংয়ের']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['এক', 'দাওয়ার', 'দিয়া', 'তুলছে', 'বর্ণের', 'গির', 'দেহের', 'শুন', 'কিশোরীর', 'ওঠে']
['দুই', 'দু\u200cই', '\u200dদুই', 'তেল', 'বেশীরভাগ', 'রায়ের', 'পাবার', 'ইনস', 'লেফট', 'গরম']
['তিন', 'মিশনের', 'আকার', 'ঘোষের', 'বাণিজ্য', 'বাটি', 'ক্রমশঃ', 'উৎপাদন', 'উৎ\u200dপাদন', 'মসলা']
['চার', 'কমার্শিয়াল', '৭৯', 'ব্যাক্ত', 'পুরষ্কার', 'আশ্চর্যজনক', 'ডিপার্টমেন্ট', 'বার্ষিক', 'খুলবে', 'প্রজ্ঞা']
['পাঁচ', 'আইসি', 'চতুর্থ', '11', 'পনের', 'পাতা', 'পোশাক', 'খাড়া', 'সলিম', 'দূত']
['ছয়', 'পড়বেন', 'প্রাচীনতম', 'সর্বাপেক্ষা', 'দক্ষ', 'মন্তব্যে', 'বিড়ি', 'দিবেন', 'বেনার', 'জাগতিক']
['সাত', '৬৩', 'লে', 'সালেই', 'অপরাধের', 'উনাকে', 'ব্যাঙের', 'মাহ', 'হালদার', 'ভিপি']
['আট', 'বারো', 'কিলো', 'হন', 'বাম', 'গল্পঃ', 'থাকত', '২২', 'চেতনা', 'স্পাই']
['দশ', 'অ্যালেন', 'কপিল', 'হার্টের', 'শৈ', 'এগারো', 'হিম', 'অফিসারের', 'জোনাকি', 'চুক']
['এগারো', 'হিম', 'খালেদ', 'এডুকেশন', 'চৌদ্দ', 'খুঁড়ে', 'চুক', 'সহস্র', 'কপিল', 'দাঁড়ি']
['বারো', 'আট', 'কিলো', 'থাকত', 'হন', 'বাম', 'জিভ', 'চেতনা', 'স্পাই', 'প্রতিরক্ষা']
['তেরো', 'হিন্দুর', '60', 'খাই', 'করেছে', 'ক\u200cরে\u200cছে', 'দপ্তরে', 'পর্যটকদের', 'লিখবে', 'প্রশিক্ষক']
['চৌদ্দ', 'খালেদ', 'সমাজতন্ত্র', 'এডুকেশন', 'এগারো', 'দাঁড়ি', 'জামায়াতের', 'রাজাকারদের', 'মাঝখানের', 'রাখো']
['পনেরো', 'সিটিতে', 'ফলপ্রসূ', 'থাকিলে', 'যুদ্ধে', 'কর্ণেল', 'সাবজেক্ট', 'অল্প', 'পড়লেই', 'রিমির']
['ষোল', 'কাট', 'কোপা', 'বিভাগকে', 'রক্তি', 'বেড়েই', 'দাফন', 'পারফর্ম', 'তাজ', 'বেগুন']
['সতেরো', 'হেরেছে', 'লাগছে', 'মহকুমা', 'হয়নি', 'করেছিস', 'শিক্ষক', 'ইস্যুতে', 'দেখাচ্ছি', 'যাইনি']
['আঠারো', 'অপমানে', 'করিতেছে', 'বিলু', 'ভালবাসে', 'লাগলেও', 'এসেছিলো', 'লাগিল', 'তনিমা', 'চেম্বার']
['উনিশ', 'মেয়েটা', 'একটায়', 'ছাত্রছাত্রী', 'চলিতেছে', 'ভোটাধিকার', 'দারোগা', 'বক্তারা', 'করিতেছে', 'চক্রান্ত']
['বিশ', 'ভাবছি', 'আঠার', 'ফেলব', 'গেলেও', 'বিশ্রী', 'কোর্সে', 'মহানগর', 'নায়ক', 'অভিযোগও']
['একুশ', 'ব্রিটিশরা', 'জুন', 'দেখাবো', 'সৃষ্টি', 'সৃ\u200cষ্টি', 'শুরুতেই', '০০০০', 'ভারতীয়', 'সরকারকে']
['বাইশ', 'আয়তনের', 'কূটনৈতিক', 'এন্ট', 'কলম', 'স্মার্টফোনের', 'আনিয়ে', 'গাড়ির', 'খেলনা', 'সর্বভারতীয়']
['তেইশ', 'বেঁটে', 'বোতাম', 'অ্যাঞ্জেলিনা', 'বাকশাল', 'আয', 'দলা', 'রূপান্তর', 'শাহরুখ', 'উট']
['চব্বিশ', 'কবি', 'বিশ্বযুদ্ধ', 'সিলেট', 'সি\u200cলেট', 'আতিক', 'গুপ্তচর', 'একাত্তরের', 'দেল', 'উদ্ধৃত']
['পঁচিশ', 'ঠ', 'রকম', 'রায়চৌধুরী', 'কলাপ', 'আনাচে', 'ঢুকবে', 'রুই', 'টল', 'সময়টুকু']
['ছাব্বিশ', 'ছম', 'আইএসআই', 'সৈয়দপুর', 'ভূতের', 'ব্যাটসম্যান', 'জনই', 'পূর্বপুরুষ', 'হোয়া', 'বাদামী']
['সাতাশ', 'ফরমাশ', 'হাবাশ', 'আঠাশ', 'রাগিব', 'কৈলাশ', 'পাশাপশি', 'থ্রাশ', 'নমিশ', 'তেজাব']
['আটাশ', 'ষোলশ', 'বিটিশ', 'দিনেশ', 'মারশ', 'রোশ', 'টিশ', '২শ', '৬শ', 'খাশ']
['ঊনত্রিশ', 'পয়ত্রিশ', 'আটত্রিশ', 'সায়ত্রিশ', 'পঁয়ত্রিশ', 'উনত্রিশ', 'চৌত্রিশ', 'তেত্রিশ', 'সাঁইত্রিশ', 'ছেচল্লিশ']
['ত্রিশ', 'ছাপ', 'সন', 'মেইন', 'মোটামুটি', 'লিগে', 'দেব', 'শেঠ', 'বেণী', 'যজ্ঞ']
['একত্রিশ', 'সতিশ', 'ঊনিশ', 'ছত্রিশ', 'শিরিশ', 'রাতিশ', 'ইদ্রিশ', 'নমিশ', 'আরিশ', 'মজলিশ']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['মংলার', 'ওপাশের', 'এপারের', 'ফুরকান', 'ক্যাচের', 'সমপরিমান', 'তানজিলার', 'সৌভাগ্যের', 'কোরাক্স', 'হেনস্তা']
['অয়লার', 'গুডস', 'ভেসেছে', 'ফ্রেড্রিক', 'এইরকম', 'ক্যাসিনো', 'অসাধারন', 'সমীহ', 'সদ্ব্যবহার', 'রোমা']
['অয়লার', 'গুডস', 'ভেসেছে', 'ফ্রেড্রিক', 'ক্যাসিনো', 'এইরকম', 'হাসিখুশি', 'অসাধারন', 'সমীহ', 'সদ্ব্যবহার']
['অয়লার', 'গুডস', 'ফ্রেড্রিক', 'ভেসেছে', 'হাসিখুশি', 'ক্যাসিনো', 'এইরকম', 'সমীহ', 'অসাধারন', 'সদ্ব্যবহার']
['অয়লার', 'গুডস', 'ফ্রেড্রিক', 'হাসিখুশি', 'ক্যাসিনো', 'সদ্ব্যবহার', 'এইরকম', 'সমীহ', 'অসাধারন', 'কীরকম']
['উত্তরবঙ্গে', 'কুমাদা', 'নিম্নরূপে', 'অগস্টে', 'ধনুকে', 'লুৎফুর', 'বোকো', 'তিব্বতে', 'কীর্তনে', 'নারিমান']
['ওপাশের', 'বড়সড়', 'অবগত', 'দৃঢ়', 'চেনে', 'অটল', 'ভারতবর্ষের', 'দমে', 'জীবন্ত', 'এককালে']
['অয়লার', 'গুডস', 'ফ্রেড্রিক', 'ভেসেছে', 'হাসিখুশি', 'ক্যাসিনো', 'এইরকম', 'সমীহ', 'অসাধারন', 'সদ্ব্যবহার']
['অয়লার', 'গুডস', 'ভেসেছে', 'ফ্রেড্রিক', 'এইরকম', 'ক্যাসিনো', 'অসাধারন', 'সমীহ', 'রোমা', 'সদ্ব্যবহার']
['অয়লার', 'গুডস', 'ভেসেছে', 'ফ্রেড্রিক', 'হাসিখুশি', 'ক্যাসিনো', 'এইরকম', 'সমীহ', 'অসাধারন', 'সদ্ব্যবহার']
['অয়লার', 'গুডস', 'ভেসেছে', 'ফ্রেড্রিক', 'হাসিখুশি', 'ক্যাসিনো', 'এইরকম', 'সমীহ', 'অসাধারন', 'সদ্ব্যবহার']
['অয়লার', 'গুডস', 'ফ্রেড্রিক', 'ভেসেছে', 'হাসিখুশি', 'ক্যাসিনো', 'এইরকম', 'সমীহ', 'অসাধারন', 'সদ্ব্যবহার']
['পেশাজীবনে', 'ক্রেনে', 'ক্ষারে', 'সমাজতন্ত্রে', 'উদ্বাস্তুতে', 'হাইড্রোজেনে', 'ইন্দোরে', 'টেপে', 'হোমসে', 'শাসায়']
['অয়লার', 'গুডস', 'ফ্রেড্রিক', 'ভেসেছে', 'হাসিখুশি', 'ক্যাসিনো', 'এইরকম', 'সমীহ', 'অসাধারন', 'সদ্ব্যবহার']
['অয়লার', 'গুডস', 'ফ্রেড্রিক', 'হাসিখুশি', 'ক্যাসিনো', 'এইরকম', 'সমীহ', 'অসাধারন', 'সদ্ব্যবহার', 'রোমা']
['অয়লার', 'গুডস', 'ভেসেছে', 'ফ্রেড্রিক', 'হাসিখুশি', 'ক্যাসিনো', 'এইরকম', 'সমীহ', 'অসাধারন', 'রোমা']
['কীর্তিতে', 'স্নায়ুতে', 'তাড়াতে', 'জ্যোতিষে', 'নরওয়েতে', 'রেঞ্জে', 'পেনাল্টিতে', 'কিংবদন্তিতে', 'ফ্লুতে', 'অস্ট্রেলিয়াতে']
['উনিশে', 'বিষ্ণুপুরে', 'অঙ্কুরে', 'ঝোপে', 'গ্রাসে', 'প্রহসনে', 'যুগলে', 'অনুকরণে', 'নকলে', 'বরফে']
['বাংলাদেশিসহ', 'ভক্তি', 'ফকির', 'কমান্ডারসহ', 'ঝুঁকি', 'হিন্দু', 'বাঁচা', 'বয়স', 'সৈয়দা', 'আবির্ভাব']
['অয়লার', 'গুডস', 'ফ্রেড্রিক', 'ভেসেছে', 'হাসিখুশি', 'ক্যাসিনো', 'এইরকম', 'সমীহ', 'অসাধারন', 'সদ্ব্যবহার']
['অয়লার', 'গুডস', 'ভেসেছে', 'ফ্রেড্রিক', 'ক্যাসিনো', 'এইরকম', 'অসাধারন', 'সমীহ', 'হাসিখুশি', 'সদ্ব্যবহার']
['অয়লার', 'গুডস', 'ভেসেছে', 'ফ্রেড্রিক', 'ক্যাসিনো', 'এইরকম', 'অসাধারন', 'সমীহ', 'সদ্ব্যবহার', 'রোমা']
['অয়লার', 'ভেসেছে', 'গুডস', 'আউটসাইড', 'ফ্রেড্রিক', 'এইরকম', 'ক্যাসিনো', 'কৃষ্ণনগর', 'অসাধারন', 'সদ্ব্যবহার']
['অয়লার', 'ভেসেছে', 'গুডস', 'ফ্রেড্রিক', 'আউটসাইড', 'এইরকম', 'ক্যাসিনো', 'অসাধারন', 'সমীহ', 'সদ্ব্যবহার']
['অয়লার', 'গুডস', 'ভেসেছে', 'ফ্রেড্রিক', 'ক্যাসিনো', 'হাসিখুশি', 'এইরকম', 'অসাধারন', 'সমীহ', 'সদ্ব্যবহার']
['স্কোয়াডেও', 'জুভেন্টাসেও', 'নিউজিল্যান্ডেও', 'ধারাবাহিকেও', 'সঙ্গীতেও', 'করালেও', 'ম্যানচেস্টারে', 'র্জে', 'বিপিএলে', 'ইডেনে']
['ট্যুরে', 'প্ল্যানে', 'লাউকে', 'কভারে', 'ডিনারে', 'উড়োজাহাজে', 'পাঞ্জাবে', 'কাঁচে', 'কাভারে', 'সন্মানে']
['জুভেন্টাসেও', 'ধারাবাহিকেও', 'সঙ্গীতেও', 'করালেও', 'নিউজিল্যান্ডেও', 'স্কোয়াডেও', 'পিচেও', 'স্বত্বেও', 'সাফেও', 'দুদকেও']
['অয়লার', 'গুডস', 'ভেসেছে', 'ফ্রেড্রিক', 'এইরকম', 'ক্যাসিনো', 'অসাধারন', 'সমীহ', 'রোমা', 'সদ্ব্যবহার']
