['স্টিয়ারিং', 'আঙুলের', 'আসছে', 'সত্তার', 'সুরেশ', 'অনুবাদ', 'চটে', 'আসাদের', 'অর্থনীতিবিদ', 'বিউ']
['অনতি', 'পলাশ', 'নড়েচড়ে', 'গোল', 'বেষ্ট', 'দমবন্ধ', 'বাজেট', 'অসিত', 'রুমা', 'ওসি']
['অয়লার', 'হুট', 'এটাতো', 'বেষ্ট', 'যেগুলো', 'যেগু\u200cলো', 'রোমা', 'শীঘ্র', 'বিঃদ্রঃ', 'যেরূপ']
['অনতি', 'দমবন্ধ', 'বেষ্ট', 'নড়েচড়ে', 'পলাশ', 'গোল', 'রুমা', 'স্পীড', 'বাজেট', 'অসিত']
['অয়লার', 'হুট', 'বেষ্ট', 'এটাতো', 'যেগুলো', 'যেগু\u200cলো', 'রোমা', 'বিঃদ্রঃ', 'যেরূপ', 'শীঘ্র']
['অয়লার', 'যেগুলোর', 'এইরকম', 'কতই', 'শীঘ্র', 'রোমা', 'যেগুলো', 'যেগু\u200cলো', 'যেটার', 'ক্যাসিনো']
['তাৎক্ষণিকভাবে', 'এমনকী', 'স্পেনের', 'সমকামী', 'উপনিবেশ', 'প্রসেনজিৎ', 'অবতরণ', 'নেপালে', 'স্টিভেন', 'আনিসুজ্জামান']
['গুডস', 'অয়লার', 'ফরিদপুরের', 'খেলোয়াড়ী', 'গড্রিক', 'এইজন্য', 'মুনীর', 'ফরোয়ার্ড', 'নরসিংদী', 'টাঙ্গাইল']
['অয়লার', 'কতই', 'এইরকম', 'যেটার', 'চর', 'শীঘ্র', 'ল্যাংডন', 'গুলিবর্ষণ', 'যেগুলো', 'যেগু\u200cলো']
['অয়লার', 'কতই', 'এইরকম', 'শীঘ্র', 'যেটার', 'যেগুলোর', 'রোমা', 'যেগুলো', 'যেগু\u200cলো', 'ক্যাসিনো']
['অয়লার', 'হুট', 'এটাতো', 'যেগুলো', 'যেগু\u200cলো', 'রোমা', 'বেষ্ট', 'শীঘ্র', 'বিঃদ্রঃ', 'যেরূপ']
['অয়লার', 'হুট', 'এটাতো', 'বেষ্ট', 'যেগুলো', 'যেগু\u200cলো', 'রোমা', 'শীঘ্র', 'বিঃদ্রঃ', 'যেরূপ']
['অয়লার', 'হুট', 'বেষ্ট', 'এটাতো', 'রোমা', 'যেগুলো', 'যেগু\u200cলো', 'রুদ্ধ', 'যেরূপ', 'বিঃদ্রঃ']
['অয়লার', 'হুট', 'এটাতো', 'যেগুলো', 'যেগু\u200cলো', 'বেষ্ট', 'রোমা', 'শীঘ্র', 'বিঃদ্রঃ', 'যেরূপ']
['বেষ্ট', 'অনতি', 'হুট', 'অয়লার', 'দমবন্ধ', 'নড়েচড়ে', 'স্পীড', 'রোমা', 'রুদ্ধ', 'স্ট্রাইক']
['ট্রেনটা', 'ছােট', 'ওইখানে', 'একজন', 'অবাধে', 'খল', 'মরবে', 'নির্বাচক', 'কনফারেন্স', 'বিদেশি']
['ট্রেনটা', 'ছােট', 'ওইখানে', 'একজন', 'অবাধে', 'খল', 'মরবে', 'নির্বাচক', 'কনফারেন্স', 'বদলায়']
['ট্রেনটা', 'ছােট', 'ওইখানে', 'একজন', 'অবাধে', 'খল', 'মরবে', 'নির্বাচক', 'কনফারেন্স', 'বিদেশি']
['ট্রেনটা', 'ছােট', 'একজন', 'প্রবৃদ্ধি', 'ওইখানে', 'মরবে', 'থাপ্পড়', 'অবাধে', 'শঙ্কিত', 'খল']
['ট্রেনটা', 'একজন', 'ছােট', 'প্রবৃদ্ধি', 'ওইখানে', 'মরবে', 'থাপ্পড়', 'অবাধে', 'শঙ্কিত', 'খল']
['ট্রেনটা', 'ছােট', 'ওইখানে', 'একজন', 'খল', 'অবাধে', 'নির্বাচক', 'মরবে', 'কনফারেন্স', 'বিদেশি']
['ট্রেনটা', 'ছােট', 'একজন', 'ওইখানে', 'প্রবৃদ্ধি', 'মরবে', 'অবাধে', 'খল', 'থাপ্পড়', 'বলতে']
['ট্রেনটা', 'ছােট', 'ওইখানে', 'একজন', 'অবাধে', 'খল', 'মরবে', 'নির্বাচক', 'কনফারেন্স', 'বিদেশি']
['বাঘ', 'ধরেছে', 'ফর্সা', 'মোর্চা', 'কইতে', 'জোয়ার', 'ফাউ', 'নেতিবাচক', 'বিবর্তন', 'চাইছেন']
['ধরেছে', 'বাঘ', 'জোয়ার', 'সৎ', 'গাল', 'ফর্সা', 'কইতে', 'জেলে', 'যাচ্ছে', 'যা\u200cচ্ছে']
['একজন', 'তুললো', 'প্রবৃদ্ধি', 'থাপ্পড়', 'হাওর', 'খেলেছে', 'ছােট', 'গন্ধে', 'জঘন্য', 'ওইখানে']
['বাঘ', 'ধরেছে', 'ফর্সা', 'মোর্চা', 'কইতে', 'জোয়ার', 'নেতিবাচক', 'ফাউ', 'চাঁদাবাজি', 'তিনজনে']
['বাঘ', 'ধরেছে', 'জোয়ার', 'কইতে', 'ফর্সা', 'ফাউ', 'মোর্চা', 'নেতিবাচক', 'চাঁদাবাজি', 'গোত্র']
['ট্রেনটা', 'ছােট', 'ওইখানে', 'একজন', 'অবাধে', 'খল', 'মরবে', 'নির্বাচক', 'কনফারেন্স', 'বদলায়']
['ট্রেনটা', 'ছােট', 'ওইখানে', 'একজন', 'অবাধে', 'খল', 'মরবে', 'নির্বাচক', 'কনফারেন্স', 'বিদেশি']
['ট্রেনটা', 'ছােট', 'ওইখানে', 'একজন', 'খল', 'অবাধে', 'মরবে', 'নির্বাচক', 'কনফারেন্স', 'বিদেশি']
['ট্রেনটা', 'ছােট', 'ওইখানে', 'একজন', 'অবাধে', 'খল', 'মরবে', 'নির্বাচক', 'কনফারেন্স', 'বদলায়']
['ট্রেনটা', 'ছােট', 'ওইখানে', 'একজন', 'অবাধে', 'খল', 'মরবে', 'নির্বাচক', 'কনফারেন্স', 'বিদেশি']
['কতটা', 'পাওয়ার', 'লাইফ', 'উপরেই', 'অবধি', 'বড়ো', 'দুমড়ে', 'দুশো', 'ঘাম', 'মাধ্যমিক']
['ঘাম', 'দুমড়ে', 'লাইফ', 'অবগত', 'অবধি', 'মাল্টি', 'সমাজে', 'লাগানোর', 'মার্কেট', 'দূরেই']
['লাইফ', 'দুমড়ে', 'ঘাম', 'অবধি', 'কতটা', 'বড়ো', 'পাওয়ার', 'উপরেই', 'মাল্টি', 'সমাজে']
['কতটা', 'লিক', 'পাওয়ার', 'উপরেই', 'রিজভী', 'মাধ্যমিক', 'মেটানোর', 'অঞ্চলে', 'মরিচের', 'অ্যালাইস']
['লিক', 'কতটা', 'মেটানোর', 'বেয়ে', 'অঞ্চলে', 'ইকবালের', 'উপরেই', 'ওনার', 'রিজভী', 'পাওয়ার']
['ঘাম', 'দুমড়ে', 'লাইফ', 'অবগত', 'অবধি', 'মাল্টি', 'সমাজে', 'লাগানোর', 'দূরেই', 'বড়ো']
['কতটা', 'লিক', 'পাওয়ার', 'উপরেই', 'বড়ো', 'মাধ্যমিক', 'মরিচের', 'অবধি', 'অঞ্চলে', 'নামক']
['দুমড়ে', 'ঘাম', 'লাইফ', 'অবধি', 'অবগত', 'মাল্টি', 'সমাজে', 'বড়ো', 'লাগানোর', 'কতটা']
['পালিকা', 'তরিকা', 'কমলিকা', 'আর্যিকা', 'সহায়িকা', 'ঝটিকা', 'কুমারিকা', 'নাসিকা', 'হাজারিকা', 'দেয়ালিকা']
['বেইত', 'সনত', 'জিয়ারত', 'হারত', 'ঘৃত', 'পঞ্চমত', 'ফিরত', 'জোত', 'কমত', 'লাকিত']
['ব্যাঘ্র', 'হামরাজ', 'সুমধুর', 'মর্যাদাকর', 'রাওলাট', 'পয়লাহারা', 'লালবাতি', 'উপবর্ণ', 'বোনঝি', 'সুবিধামত']
['ডাইনী', 'আনন্দময়ী', 'বিজনী', 'মৌনী', 'পন্থী', 'দানী', 'উজানী', 'করালী', 'দরবারী', 'ধরণী']
['চারী', 'উজানী', 'সুপারী', 'সামী', 'হাজারী', 'ইমামী', 'কুতুবী', 'বোরহানী', 'সাঁওতালী', 'দণ্ডী']
['ঘাম', 'দুমড়ে', 'লাইফ', 'অবগত', 'মাল্টি', 'অবধি', 'সমাজে', 'লাগানোর', 'দূরেই', 'মার্কেট']
['ঘাম', 'দুমড়ে', 'লাইফ', 'অবগত', 'অবধি', 'মাল্টি', 'সমাজে', 'লাগানোর', 'বড়ো', 'ভেবেই']
['দুমড়ে', 'ঘাম', 'লাইফ', 'অবধি', 'অবগত', 'মাল্টি', 'সমাজে', 'বড়ো', 'কতটা', 'লাগানোর']
['ঘাম', 'দুমড়ে', 'লাইফ', 'অবগত', 'অবধি', 'মাল্টি', 'সমাজে', 'লাগানোর', 'দূরেই', 'মার্কেট']
['কতটা', 'লাইফ', 'পাওয়ার', 'অবধি', 'উপরেই', 'দুমড়ে', 'বড়ো', 'ঘাম', 'দুশো', 'সারাটা']
['গোল', 'জরুরী', 'অনুমোদন', 'প্রাণিসম্পদ', 'বান্দর', 'পলাশ', 'দমবন্ধ', 'রুমা', 'অনতি', 'নড়েচড়ে']
['পলাশ', 'নড়েচড়ে', 'ওসি', 'বাজেট', 'বরণ', 'যথা', 'দমবন্ধ', 'গোল', 'যেরূপ', 'বেষ্ট']
['গোল', 'দমবন্ধ', 'পলাশ', 'প্রাণিসম্পদ', 'নড়েচড়ে', 'অনতি', 'বাজেট', 'রুমা', 'ওসি', 'বরণ']
['জরুরী', 'ফিল্ডিং', 'অনুমোদন', 'অনুকূল', 'নত', 'বান্দর', 'রসুল', 'মতলব', 'পারমিশন', 'প্রাণিসম্পদ']
['জরুরী', 'ফিল্ডিং', 'অনুমোদন', 'নত', 'অনুকূল', 'বান্দর', 'রসুল', 'দরখাস্ত', 'পারমিশন', 'মতলব']
['পলাশ', 'নড়েচড়ে', 'দমবন্ধ', 'গোল', 'বাজেট', 'ওসি', 'বরণ', 'যথা', 'বেষ্ট', 'প্রাণিসম্পদ']
['জরুরী', 'অনুমোদন', 'বান্দর', 'অনুকূল', 'ফিল্ডিং', 'মতলব', 'গোল', 'রুমা', 'প্রাণিসম্পদ', 'নত']
['পলাশ', 'গোল', 'নড়েচড়ে', 'দমবন্ধ', 'বাজেট', 'ওসি', 'প্রাণিসম্পদ', 'বরণ', 'যথা', 'বেষ্ট']
['দমবন্ধ', 'হাসিখুশি', 'কোনোভাবে', 'স্পীড', 'স্ট্রাইক', 'ফুলিয়ে', 'ফলশ্রুতিতে', 'বেষ্ট', 'স্তম্ভিত', 'এসএম']
['ফেইন', 'এটন', 'থেইন', 'বিউরেন', 'এহন', 'খরগোস', 'হেইল', 'ট্রেইলার', 'গ্রীস', 'লিপস']
['বানর', 'স্বাস্থ্যকেন্দ্র', 'উপেক্ষিত', 'সংহতি', 'ফজল', 'খুড়তুতো', 'প্রসব', 'ওয়েটার', 'তরে', 'ক্বাবা']
['গুডস', 'স্যান্ডস', 'ফরিদপুরের', 'এইজন্য', 'আমনুরা', 'টাঙ্গাইল', 'নরসিংদী', 'ফরোয়ার্ড', 'গড্রিক', 'ওমুরা']
['বিডিআর', 'সহায়ক', 'শিষ', 'পয়সা', 'রাজশাহী', 'পায়রা', 'কাজেই', 'চাম', 'মন্ত্রিপরিষদ', 'আয়না']
['নড়েচড়ে', 'পলাশ', 'ওসি', 'এটাতো', 'যেরূপ', 'যথা', 'বাজেট', 'বরণ', 'বেষ্ট', 'দমবন্ধ']
['পলাশ', 'নড়েচড়ে', 'গোল', 'দমবন্ধ', 'বাজেট', 'ওসি', 'বরণ', 'যথা', 'বেষ্ট', 'প্রাণিসম্পদ']
['গোল', 'পলাশ', 'দমবন্ধ', 'নড়েচড়ে', 'বাজেট', 'ওসি', 'প্রাণিসম্পদ', 'বরণ', 'অনতি', 'বেষ্ট']
['পলাশ', 'নড়েচড়ে', 'ওসি', 'বাজেট', 'দমবন্ধ', 'বরণ', 'গোল', 'যথা', 'যেরূপ', 'বেষ্ট']
['গোল', 'প্রাণিসম্পদ', 'পলাশ', 'দমবন্ধ', 'জরুরী', 'বান্দর', 'অনুমোদন', 'অনতি', 'নড়েচড়ে', 'বাজেট']
['গোল', 'জরুরী', 'অনুমোদন', 'পলাশ', 'প্রাণিসম্পদ', 'দমবন্ধ', 'বান্দর', 'অনতি', 'রুমা', 'নড়েচড়ে']
['নড়েচড়ে', 'পলাশ', 'ওসি', 'বাজেট', 'দমবন্ধ', 'যেরূপ', 'যথা', 'বরণ', 'এটাতো', 'গোল']
['গোল', 'দমবন্ধ', 'পলাশ', 'নড়েচড়ে', 'অনতি', 'প্রাণিসম্পদ', 'বাজেট', 'ওসি', 'রুমা', 'বরণ']
['জরুরী', 'ফিল্ডিং', 'অনুমোদন', 'অনুকূল', 'নত', 'বান্দর', 'রসুল', 'মতলব', 'পারমিশন', 'গোল']
['জরুরী', 'ফিল্ডিং', 'অনুমোদন', 'নত', 'অনুকূল', 'বান্দর', 'রসুল', 'দরখাস্ত', 'পারমিশন', 'মতলব']
['নড়েচড়ে', 'পলাশ', 'দমবন্ধ', 'ওসি', 'গোল', 'বাজেট', 'বরণ', 'বেষ্ট', 'যথা', 'যেরূপ']
['জরুরী', 'অনুমোদন', 'বান্দর', 'অনুকূল', 'ফিল্ডিং', 'গোল', 'মতলব', 'নত', 'রুমা', 'মদদ']
['পলাশ', 'নড়েচড়ে', 'দমবন্ধ', 'গোল', 'ওসি', 'বাজেট', 'বরণ', 'প্রাণিসম্পদ', 'বেষ্ট', 'যথা']
['হাসিখুশি', 'কোনোভাবে', 'দমবন্ধ', 'ফলশ্রুতিতে', 'স্ট্রাইক', 'ফুলিয়ে', 'কীরকম', 'স্পীড', 'স্তম্ভিত', 'হৃদয়কে']
['ফেইন', 'এটন', 'থেইন', 'বিউরেন', 'এহন', 'হেইল', 'খরগোস', 'ট্রেইলার', 'গ্রীস', 'লিপস']
['বানর', 'স্বাস্থ্যকেন্দ্র', 'সংহতি', 'উপেক্ষিত', 'ফজল', 'ওয়েটার', 'প্রসব', 'শেখা', 'তরে', 'বিবিসিকে']
['গুডস', 'স্যান্ডস', 'ফরিদপুরের', 'এইজন্য', 'আমনুরা', 'টাঙ্গাইল', 'নরসিংদী', 'ফরোয়ার্ড', 'গড্রিক', 'খেলোয়াড়ী']
['আমান', 'বলরাম', 'চিনতে', 'সুজিত', 'সিরিয়ার', 'কুয়েত', 'সমরেশ', 'গোলা', '১৯৩৮', 'প্রশংসায়']
['নড়েচড়ে', 'পলাশ', 'এটাতো', 'ওসি', 'যেরূপ', 'যথা', 'বাজেট', 'বরণ', 'হুট', 'বেষ্ট']
['পলাশ', 'নড়েচড়ে', 'দমবন্ধ', 'ওসি', 'গোল', 'বাজেট', 'বরণ', 'যথা', 'বেষ্ট', 'যেরূপ']
['পলাশ', 'দমবন্ধ', 'গোল', 'নড়েচড়ে', 'ওসি', 'বাজেট', 'বরণ', 'প্রাণিসম্পদ', 'অনতি', 'বেষ্ট']
['নড়েচড়ে', 'পলাশ', 'ওসি', 'দমবন্ধ', 'বাজেট', 'যথা', 'বরণ', 'যেরূপ', 'গোল', 'বেষ্ট']
['গোল', 'পলাশ', 'প্রাণিসম্পদ', 'দমবন্ধ', 'জরুরী', 'অনতি', 'নড়েচড়ে', 'অনুমোদন', 'রুমা', 'বাজেট']
['প্রশান্তি', 'কেমনে', 'মার্কেটে', 'মিল', 'মার্জ', 'আজমের', 'মীর', 'বেটার', 'হয়তোবা', 'দিবে']
['রিনি', 'উদীয়মান', 'হারাই', 'বজ্রপাত', 'গীতিকার', 'সদস্যপদ', 'নির্দেশিত', 'বলছো', 'থামার', 'ইঞ্জিনের']
['ঈদুল', 'করবেই', 'নিঃসন্দেহে', 'দীর্ঘদিন', 'ড্রিংক', 'প্যান্ট', 'ড্রয়িং', 'পরোক্ষভাবে', 'ফোকাস', 'অপবিত্র']
['চলচ্চিত্রে', 'ডেস্কটপ', 'আশ্রয়', 'ঝরে', 'দেউলিয়া', 'হাঁটছি', 'প্রতিক্রিয়াশীল', 'ছাড়ো', 'সোয়ে', 'গড়ায়']
['ভর', 'খান', 'পেস্ট', 'অসময়ে', 'শর', 'মূল্যে', 'সংঘ', 'নিয়ন্ত্রক', 'ওয়াল', 'শ্রেয়া']
['কতখানি', 'পাড়', 'অবাধ', 'মারছে', 'গর্ব', 'এতেই', 'এটুকুই', 'ইনু', 'বোলো', 'অডি']
['দুশো', 'জমিতে', 'সারাটা', 'রক্ষণশীল', 'বিশ্লেষক', 'একটি', 'এক\u200cটি', 'হান', 'বিরক্তির', 'ভারতীয়দের']
['নির্ভয়ে', 'ড্রইং', 'রঙ্গিন', 'জয়লাভ', 'কিট', 'ঘুরে', 'সারা', 'প্রমাণ', 'চারপাশের', '০০']
['নাসিকা', 'ঝটিকা', 'কমলিকা', 'সহায়িকা', 'বটিকা', 'নালিকা', 'মদনিকা', 'কুমারিকা', 'প্রবেশিকা', 'পরিচালিকা']
['ঘৃত', 'ফিরত', 'প্রস্তত', 'বারাত', 'পাতিত', 'ভাবিত', 'মঙ্গত', 'বাজত', 'মার্ত', 'কাটত']
['ব্যাঘ্র', 'নজল', 'সমরাস্ত্র', 'শ্যামানন্দ', 'হ্যালোউইন', 'সিওয়ার্ড', 'দেবমূর্তি', 'মালগাড়ি', 'মর্যাদাকর', 'রুশদী']
['শৃগাল', 'পুরন্দর', 'বুঝিয়েছেন', 'চিলেকোঠা', 'মাধ্যেমে', 'হেইন', 'প্রদর্শীত', 'ডেভস', 'ব্রুকস', 'খুঁটে']
['হস্তী', 'সাধনী', 'শংকরী', 'বল্লী', 'আনন্দী', 'গৃহী', 'করালী', 'উদয়ী', 'রহস্যময়ী', 'মুখী']
['পক্ষী', 'কৌশলী', 'চক্রী', 'কেন্দ্রী', 'বিষয়ী', 'পূর্বী', 'ভাগী', 'পঞ্চমী', 'মেরী', 'মালেকী']
['প্রবলেম', 'জাপটে', 'মেঠো', 'বন্ধন', 'নিবিড়', 'সৌমিক', 'শ্বাসরোধ', 'রোজা', 'পয়েন্ট', 'প\u200cয়েন্ট']
['অনুভূতি', 'অসহনীয়', 'যাইবে', 'বেড়েই', 'স্বত', 'অগো', 'দুর্বলতা', 'উৎকণ্ঠা', 'বাহবা', 'ছোয়া']
['শক্তি', 'শ\u200cক্তি', 'লাস্ট', 'কৃষ্ণের', 'সিস্টেম', 'সি\u200cস্টেম', 'সদস্যপদ', 'চাইল', 'নবীন', 'উদীয়মান']
['মিল', 'মগ', 'আজমের', 'প্রশান্তি', 'সুবল', 'বন্দরে', 'অরুণা', 'তারপরেও', 'যেটা', 'সূর']
['জুতা', 'নুরুল', 'রোপণ', 'ড্রপ', 'প্রান্তে', '১১টি', 'লন', 'জ্বালানি', '১৩০', 'সপ্তাহে']
['খেলেন', 'ওয়ার', 'ব্রিগেডিয়ার', 'আনন্দবাজার', 'কোরবানির', 'দিদিকে', 'প্রেসিডেন্টের', 'মেশানো', 'দ্বিতীয়বারের', 'থে']
['তুলিতে', 'তিথির', 'পূজা', 'শাও', 'ব্লাউজ', 'উত্তর', 'রূপ', 'মেঘনা', 'তুই', 'সৃষ্টির']
['জ্যোৎস্না', 'উপহাস', 'রোগীরা', 'সোহান', 'সমান', 'কাঁদি', 'সাপ্তাহিক', 'ঝরে', 'বনের', 'বিনয়']
['পুরোহিত', 'দেখবেন', 'পরিষদে', 'অনিয়মিত', 'গিয়াছে', 'হুসেইন', 'আদালত', 'কবর', 'তালিকায়', 'তা\u200cলিকায়']
['প্রফুল্ল', 'মাত', 'বসিয়ে', 'নম্বরের', 'অ্যানি', 'সাংঘাতিক', 'নিয়মিতভাবে', 'কোনোটাই', 'সাহস', 'বক্ষ']
['বন্য', 'চিন্তায়', 'আগেকার', 'বলত', 'নিজাম', 'সূর্যকে', 'মতের', 'হত্যা', 'নৌকার', 'চলত']
['নেবার', 'ধরছে', 'দিয়ার', 'দেবীর', 'আলেক', 'সমানভাবে', 'থামানোর', 'অনেকগুলি', 'রিকশাওয়ালা', 'অ্যাজ']
['নাসিকা', 'ঝটিকা', 'কমলিকা', 'নালিকা', 'বটিকা', 'সহায়িকা', 'মদনিকা', 'কুমারিকা', 'প্রশিকা', 'পরিচালিকা']
['ঘৃত', 'ফিরত', 'প্রস্তত', 'বারাত', 'পাতিত', 'ভাবিত', 'মঙ্গত', 'বাজত', 'মার্ত', 'আনিত']
['ব্যাঘ্র', 'নজল', 'হ্যালোউইন', 'সমরাস্ত্র', 'শ্যামানন্দ', 'সিওয়ার্ড', 'মালগাড়ি', 'দেবমূর্তি', 'রায়চাঁদ', 'রাওলাট']
['শৃগাল', 'পুরন্দর', 'হেইন', 'বুঝিয়েছেন', 'ডেভস', 'সীতারমণ', 'চাঁইয়ের', 'চিলেকোঠা', 'মাধ্যেমে', 'বুনেছে']
['হস্তী', 'সাধনী', 'শংকরী', 'বল্লী', 'গৃহী', 'আনন্দী', 'উদয়ী', 'করালী', 'একটী', 'রহস্যময়ী']
['পক্ষী', 'কৌশলী', 'চক্রী', 'কেন্দ্রী', 'পূর্বী', 'মেরী', 'ভাগী', 'বিষয়ী', 'পঞ্চমী', 'য়ী']
['পরীক্ষার', 'এফসি', 'ফন', 'ঘূর্ণিঝড়', 'আয়ন', 'প্রতিপক্ষের', 'মাউ', 'নিবন্ধনের', 'করবার', 'ভন']
['দুর্বল', 'টোন', 'উজ্জ্বল', 'এনার', 'দিশা', 'জানালো', 'ধাঁধা', 'ফিচার', 'মায়া', 'সাজানোর']
['জানাচ্ছে', 'হত্যাকাণ্ডের', 'ওয়ার', 'স্থ', 'সংজ্ঞা', 'কোরবানির', 'মেশানো', 'মণির', 'সোল', 'বজ্র']
['চন্দ্র', 'হাউস', 'জবাবে', 'জবা\u200cবে', 'টাটা', 'প্রতিলিপি', 'ইচ্ছায়', 'জেনারেল', 'নাট', 'বিজ্ঞ']
['জুতা', 'বী', 'জ্বালানি', 'রোপণ', 'নুরুল', '১১টি', 'ড্রপ', '১৩০', 'সময়', 'সম\u200bয়']
['তুলা', 'রুস্তম', 'প্রকার', 'সুতা', 'গঙ্গোপাধ্যায়', 'তাআলা', 'ভুবনে', 'পরস্পরকে', 'শখের', 'য়']
['পূজা', 'শুভ', 'কালকে', 'মারি', 'নামাজ', 'আইটেম', 'তন্ত্র', 'বড়ই', 'টাকাই', 'ব্যাবসা']
['জ্যোৎস্না', 'উপহাস', 'রোগীরা', 'ঝরে', 'বনের', 'সোহান', 'থাকিতে', 'সমান', 'আব্দ', 'সাপ্তাহিক']
['পুরোহিত', 'দেখবেন', 'পরিষদে', 'অনিয়মিত', 'আলতো', 'কবর', 'আদালত', 'তালিকায়', 'তা\u200cলিকায়', 'সপ্তাহের']
['শুষ্ক', 'ধারন', 'এটিকে', 'এ\u200cটি\u200cকে', 'আচ্ছা', 'ভ', 'দেবীকে', 'কী', 'এপাশ', 'প্রামাণ্য']
['বন্য', 'চিন্তায়', 'নিজেরই', 'স্কলার', 'হত্যা', 'আগেকার', 'মন্ত্রীদের', 'বলত', 'নিজাম', 'দরজাটা']
['হস্ত', 'নির্মাণাধীন', 'পাশ্চাত্যের', 'নাটকটির', 'কার্ব', 'রথের', 'কুশল', 'আমলের', 'জনসংযোগ', 'উপরোক্ত']
['নাসিকা', 'ঝটিকা', 'কমলিকা', 'নালিকা', 'বটিকা', 'সহায়িকা', 'মদনিকা', 'কুমারিকা', 'প্রশিকা', 'পরিচালিকা']
['ঘৃত', 'ফিরত', 'প্রস্তত', 'বারাত', 'পাতিত', 'ভাবিত', 'মঙ্গত', 'বাজত', 'মার্ত', 'আনিত']
['ব্যাঘ্র', 'নজল', 'হ্যালোউইন', 'সমরাস্ত্র', 'শ্যামানন্দ', 'সিওয়ার্ড', 'মালগাড়ি', 'দেবমূর্তি', 'রায়চাঁদ', 'পদ্মফুল']
['শৃগাল', 'পুরন্দর', 'হেইন', 'বুঝিয়েছেন', 'ডেভস', 'সীতারমণ', 'চাঁইয়ের', 'চিলেকোঠা', 'মাধ্যেমে', 'ব্রুকস']
['হস্তী', 'সাধনী', 'শংকরী', 'বল্লী', 'গৃহী', 'আনন্দী', 'উদয়ী', 'করালী', 'একটী', 'রহস্যময়ী']
['পক্ষী', 'কৌশলী', 'চক্রী', 'কেন্দ্রী', 'পূর্বী', 'মেরী', 'ভাগী', 'বিষয়ী', 'পঞ্চমী', 'ঠিকাদারী']
['মৎস্য', 'বাসন', 'জার্মান', 'সাফল্য', 'সাফল\u200d্য', 'ইসমাইল', 'খন', 'তথ্যপ্রযুক্তি', 'মে', 'কাত']
['অগ্নি', 'ইউরোপীয়', 'পাঠের', 'আকবরের', 'ঢোকা', 'ফেস', 'সংকট', 'ওয়াশিং', 'দণ্ডিত', 'সওয়ার']
['সুতা', 'রুস্তম', 'এডমিন', 'সোর্স', 'রশ্মি', 'নয়াদিল্লি', 'শুভ্র', 'সুগার', 'তুলা', 'সমুদয়']
['চন্দ্র', 'টাটা', 'জবাবে', 'জবা\u200cবে', 'বিজ্ঞ', 'অগোচরে', 'আচার', 'গীতা', 'সাপেক্ষে', 'শ্রীরাম']
['মীর', 'মার্জ', 'মার্কেটে', 'দিবে', 'আজমের', 'হাউজ', 'কেমনে', 'দীপ', 'প্রশান্তি', 'আখ']
['সুতো', 'লুক', 'গুঁড়ো', 'কাজকর্ম', 'নেত্রী', 'খ্যাত', 'মনোয়ার', 'গাছগুলো', 'বছরখানেক', 'আমেরিকার']
['করবেই', 'ড্রয়িং', 'দীর্ঘদিন', 'প্যান্ট', 'তাইলে', 'ড্রিংক', 'শুভর', 'পরোক্ষভাবে', 'বেই', 'শরবত']
['ডেস্কটপ', 'আশ্রয়', 'ইলা', 'ছাড়ো', 'দেউলিয়া', 'মেডিকেল', 'মে\u200cডি\u200cকেল', 'ঝরে', 'রয়েছে', 'র\u200cয়ে\u200cছে']
['খান', 'ভিডিওর', 'ভি\u200cডিওর', 'ভর', 'আকতার', 'ওয়াল', 'শর', '৫০টি', 'ধাপে', 'আমলে']
['স্পর্শে', 'দী', 'কিয়', 'ডাটা', 'আবেগের', 'নড়বড়ে', 'পার্থক্য', 'সংযোগ', 'দখলের', 'উদ্']
['রক্ষণশীল', 'শুক', 'শহরকে', 'বিশ্লেষক', 'জমিতে', 'ভারতীয়দের', 'বিরক্তির', 'মূলত', 'সুসজ্জিত', 'পথটা']
['এতদিন', 'পরিবর্তিত', 'বোলারদের', '☆', 'সকল', 'তাদেরই', 'প্যান্টের', 'উত্তর', 'কোরে', 'ওঁদের']
['নাসিকা', 'ঝটিকা', 'কমলিকা', 'নালিকা', 'বটিকা', 'সহায়িকা', 'মদনিকা', 'কুমারিকা', 'প্রবেশিকা', 'পরিচালিকা']
['ঘৃত', 'ফিরত', 'প্রস্তত', 'বারাত', 'পাতিত', 'ভাবিত', 'মঙ্গত', 'বাজত', 'মার্ত', 'কাটত']
['ব্যাঘ্র', 'নজল', 'সমরাস্ত্র', 'শ্যামানন্দ', 'হ্যালোউইন', 'সিওয়ার্ড', 'দেবমূর্তি', 'মালগাড়ি', 'মর্যাদাকর', 'রুশদী']
['শৃগাল', 'পুরন্দর', 'বুঝিয়েছেন', 'হেইন', 'মাধ্যেমে', 'চিলেকোঠা', 'ডেভস', 'প্রদর্শীত', 'ব্রুকস', 'খুঁটে']
['হস্তী', 'সাধনী', 'শংকরী', 'বল্লী', 'আনন্দী', 'গৃহী', 'উদয়ী', 'করালী', 'বৈরাগী', 'রহস্যময়ী']
['পক্ষী', 'চক্রী', 'কৌশলী', 'কেন্দ্রী', 'বিষয়ী', 'পূর্বী', 'ভাগী', 'মেরী', 'পঞ্চমী', 'মালেকী']
['রহস্য', 'রাক্ষস', 'বাছা', 'প্লেটে', 'আঙ্গুলের', 'পদের', 'মশগুল', 'করাকে', 'রোবট', 'বেশীর']
