['বিশ্বে', 'পাগলামি', 'উমর', 'ভুয়ো', 'অপরাধ', 'মণ্ডলের', 'পড়লে', 'ভাইকে', 'লঞ্চ', 'রানওয়ে']
['ক্যাসিনো', 'যেগুলো', 'যেগু\u200cলো', 'হুট', 'এইরকম', 'সমীহ', 'অসাধারন', 'রোমা', 'শীঘ্র', 'বিঃদ্রঃ']
['ধনী', 'রক্ষায়', 'সিট', 'সাজাপ্রাপ্ত', 'বলেছিলে', 'শুনেছিলাম', 'বৈধতা', 'অনুভূতিতে', 'একদিন', 'বাড়ল']
['যেগুলো', 'যেগু\u200cলো', 'এইরকম', 'ক্যাসিনো', 'হুট', 'শীঘ্র', 'যেটার', 'এটাতো', 'রোমা', 'অসাধারন']
['ক্যাসিনো', 'যেগুলো', 'যেগু\u200cলো', 'হুট', 'এইরকম', 'শীঘ্র', 'অসাধারন', 'রোমা', 'সমীহ', 'যেটার']
['নিরাপদ', 'ঝুঁকিপূর্ণ', 'পর্যবেক্ষণে', 'গোলাপি', 'বীর', 'প্রতিনিয়ত', 'শেষমেষ', 'এবছর', 'টাঙানো', 'বর্তমানে']
['লগ্নি', 'শাড়ি', 'পাঁচটা', 'বিনীত', 'প্রবাল', 'বাকিটা', '৪৫০', 'সেদিনও', 'সেক্ষেত্রে', 'মোহাম্মদপুর']
['ক্যাসিনো', 'সমীহ', 'হুট', 'যেগুলো', 'যেগু\u200cলো', 'অসাধারন', 'এইরকম', 'রোমা', 'নামমাত্র', 'বিঃদ্রঃ']
['একেক', 'রাখুন', 'সারাদিন', 'একমনে', 'চক', 'লিগের', 'এইভাবে', 'এসব', 'ঘটনার', 'উপার্জনের']
['ছোটাছুটি', 'নাশ', 'রমরমা', 'নাচের', 'l', 'জাপার', 'অত', 'কাঞ্চন', 'টায়', 'ভীষন']
['ভিজা', 'আস্তা', 'জানো', 'রমিজা', 'শাসা', 'চুকা', 'বাঙালা', 'বানানা', 'কুণ্ঠা', 'জামিলা']
['সঙ্গত', 'হিমশিম', 'ভেতরটা', 'দর্শনীয়', 'facebook', 'নামমাত্র', 'ভাগ্যিস', 'কিচ্ছু', 'ভবিষ্যতেও', 'মুভ']
['সেটি', 'সে\u200cটি', 'কুমিল্লায়', 'বহিঃসংযোগ', 'মীন', 'ব্যবহূত', 'হুঁ', 'কাপ্তাই', 'সংগ্রহ', 'আমাদিগকে']
['আঁটসাঁট', 'মচমচে', 'কালীপ্রসন্ন', 'অনৈচ্ছিক', 'সর্বজনশ্রদ্ধেয়', 'মোহাইমিনুল', 'উপঢৌকন', 'অজাতশত্রু', 'উলুধ্বনি', 'সমস্যাসঙ্কুল']
['ভালো', 'ভা\u200cলো', 'পাবলিক', 'ডাক্তারদের', 'পরেছে', 'একদিন', 'প্রজন্ম', 'আছে', 'আ\u200cছে', 'সিট']
['এটা', 'স্পোর্টিং', 'ফুরফুরে', 'ফুলিয়ে', 'রুমা', 'একাত্ম', 'এতদূর', 'ঝিরি', 'বেধ', 'অনতি']
['স্ট্রাইক', 'স্পীড', 'হাসিখুশি', 'মাখামাখি', 'বেষ্ট', 'সালাত', 'এসএম', 'কোনোভাবে', 'স্তম্ভিত', 'কোনোদিনই']
['আড়ত', 'সযত্নে', 'জুতোর', 'পোর্ট', 'জন্মস্থান', 'খার', 'ব্যালকনিতে', 'জানা', 'তখনই', 'দরে']
['অকর্মক', 'সকর্মক', 'কুত্তক', 'নিপতিত', 'মূষিক', 'আজীবক', 'চাণক', 'সিদাক', 'বুদ্রুক', 'আপতিত']
['অক্ষম', 'বিশ্বে', 'ফাঁকি', 'পড়তে', 'পড়লে', '৭', 'মণ্ডলের', 'খেলাপি', 'রিলেশন', 'ভাইকে']
['দশক', 'লালচে', 'সংখ্য', 'খুঁজছে', 'পরিচ্ছেদ', 'মাছ', 'সর্প', 'অভিজ্ঞতার', 'কর্তৃপক্ষের', 'কাশিম']
['বেই', 'ড্রয়িং', 'বিলিয়ন', 'ড্রিংক', 'বিজিবির', 'সাদিয়া', 'রাফি', 'মানুষটা', 'অপবিত্র', 'মল']
['কিসের', 'ঈদুল', 'ড্রিংক', 'গুরুত্ব', 'লাথি', 'শুভর', 'পাকিস্তানিদের', 'বিজ্ঞপ্তিতে', 'বুঝিনি', 'বিনে']
['অনুরাগ', 'জাহির', 'খোঁজাখুঁজি', 'দাঁড়ায়', 'ফেলেন', 'রিমান্ড', 'প্রবীণ', 'ভেবেছিলাম', 'যায়', 'খেলে']
['অহিংস', 'কামনা', 'একাই', 'বিদ্যুৎকেন্দ্র', '34', 'নেবেন', 'এসেছিলে', '33', 'বোর্ড', 'শুনতে']
['আলস্য', 'ব্যাণ্ড', 'দায়িত্ববান', 'হাত্তা', 'ক্রীড়াঙ্গন', 'গ্জা', 'সৌভাগ্যবান', 'প্রজ্ঞাবান', 'ইঞ্চ', 'প্রেয়সী']
['রাজ', 'আসক্ত', 'সর্বত্রই', 'অভিক', 'পড়তেই', 'চেষ্টা', 'বনু', 'ব্যাঙের', 'কপালের', 'ভ্রূ']
['ঢ', 'রূপা', 'দুশো', 'সম্পর্কটা', 'অবধি', 'ভেবেই', 'হান', 'সীমান্তে', 'অর্থমন্ত্রীর', 'একটি']
['ইতর', 'বিদর', 'লর', 'রের', 'সম্বর', 'মর্মর', 'সগর', 'সঙ্কর', 'সাতের', 'বারোর']
['ঊর্ধ্বতন', 'শুভর', 'পাকিস্তানিদের', 'বাড়িয়েছে', 'বুঝিনি', 'এলিট', 'বড়লোক', 'শরবত', 'ড্রিংক', 'কিসের']
['স্বস্তি', 'নির্বিঘ্নে', 'বেড়েই', 'অনুভূতি', 'উৎকণ্ঠা', 'অসহনীয়', 'যাইবে', 'স্বত', 'বিভিন্নভাবে', 'বাহবা']
['স্বস্তি', 'নির্বিকার', 'কিট', 'কীসের', 'অজু', 'দৃপ্ত', 'সেনাবাহিনীকে', 'প্রমাণ', 'চেতনাকে', 'কাট']
['দৃপ্ত', 'প্রমাণ', 'কাঁ', 'সেনাবাহিনীকে', 'চেতনাকে', 'উদ্বোধন', 'জানালে', 'কিট', 'স্লো', 'বায়তুল']
['উপকারিতা', 'হৃদিতা', 'নিকিতা', 'আলাপচারিতা', 'প্রতিবন্ধিতা', 'নারিতা', 'অবন্তিকা', 'ইশিতা', 'আদ্রিতা', 'কন্ডিশন']
['কিট', 'ট্রিটমেন্ট', 'বদ্ধ', 'নির্ভয়ে', 'লাগিয়েছে', 'সেনাবাহিনীকে', 'অন্যায়ের', 'ধুর', 'প্রমাণ', 'কমতি']
['অন্তরা', 'বিশ্লেষকেরা', 'শ্রমিককে', 'রাস্তাটি', 'ওপার', 'ভূখণ্ড', 'বাপি', 'দিয়ো', 'উঠছে', 'স্টিফ']
['কুৎসিত', 'হাস্যকর', 'বাইর', 'সুশীল', 'চাইতেই', 'অপমান', 'বিদেশী', 'লব', 'ট্রাইব্যুনালে', 'উৎসব']
['', '', '', '', '', '', '', '', '', '']
['কৃতজ্ঞ', 'রাখিস', '৫ম', 'ব্যাপক', 'লাইব্রেরী', 'বেডের', 'হয়না', 'আম্মুকে', 'বৃহত্তম', 'হাসিনাকে']
['প্রতিহত', 'বেড়েই', 'উৎকণ্ঠা', 'কাট', 'দাফন', 'ফুল', 'লাউ', 'হালুয়া', 'শুদ্ধ', 'আইটেম']
['হেরি', 'জানায়', 'টাকাই', 'অপার', 'সীমানার', 'মাহে', 'কালকে', 'ব্যাবসা', 'আইটেম', 'উল্টোদিকে']
['৪৬', 'মাঝের', 'মালিককে', 'দুইদিন', 'মূসক', 'অ্যালবামের', 'প্রান্তে', 'কিনতে', '২৯', 'বাড়']
['গরিষ্ঠ', 'বরিষ্ঠ', 'বিশিষ্ঠ', 'ঘোরতর', 'সন্তষ্ট', 'শষ্য', 'শীতলতর', 'গুণাঙ্ক', 'ক্ষুদ্রতর', 'ডেবিট']
['খ্যাতি', 'চাপে', 'কোথায়', 'ব্যাটালিয়নের', 'মিলবে', 'মধ্য', 'মধ\u200d্য', 'অর্থনীতি', 'ঝর্ণা', 'সমালোচিত']
['ডাউনলোড', 'মেক্স', 'দ্বীপে', 'বলতেই', 'আভা', 'আইকন', 'চ্যাম্প', 'দাবির', 'ভিক', 'বর্বর']
['গঞ্জনা', 'ডালনা', 'কলিনা', 'ডায়না', 'বেচাকেনা', 'পলিনা', 'মালেনা', 'জালনা', 'রাবনা', 'খরনা']
['গরল', 'লইল', 'সিকল', 'সুবিল', 'থ্রিল', 'কমাল', 'কনেল', 'আভাল', 'কারল', 'পালাল']
['গৌণ', 'বহণ', 'অতিক্রমণ', 'কৃষ্ণণ', 'সংক্ষেপণ', 'নির্মণ', 'সারণ', 'তোরণ', 'বিস্তারণ', 'প্রণয়ণ']
['অজু', 'লাগিয়েছে', 'ট্রিটমেন্ট', 'টেকে', 'কিট', 'ধুর', 'কীসের', 'নির্বিকার', 'স্বস্তি', 'বদ্ধ']
['ঈশানের', 'মুসলিমদের', 'নব্য', 'ভেজা', 'প্রশান্তি', 'বশে', 'ছাত্রীদের', 'স্য', 'মূল্য', 'চিন্তাধারা']
['সুন্দর', 'নিন', 'সুবহান', 'আরাম', 'মানি', 'ঘাটে', 'চিনি', 'শুভর', 'দিব', 'টাকাটা']
['ঠুনকো', 'কীর্ণাহার', 'মালুরিডি', 'মেস্কিটো', 'কস্তুরী', 'বিকিকিনি', 'সিন্যাপটিক', 'গড়িমসি', 'বোস্তামি', 'ভাট্টাল']
['স্বা', 'ড্রিঙ্ক', 'মানবে', 'লাব', 'ওয়ার্ক', 'এক্ট', 'পেরিয়ে', 'বিক্ষোভে', 'পাড়', 'অধিকৃত']
['দুর্নাম', 'বয়াম', 'আইয়াম', 'মোকাম', 'ইথান', 'সেলাম', 'ইয়াহান', 'জাফরান', 'কিয়ান', 'খারান']
['দুর্ভাগ্য', 'ছেলেটি', 'ডাল', 'ইনস্টাগ্রামে', 'কাস্টমস', 'ধর্ষিতা', 'গেট', 'বেসরকারী', 'সম্ভ্রম', 'চেঞ্জ']
['দেশী', 'থুবড়ে', 'বিন', 'ঈদগাহ', 'দ্রুতই', 'স্বতন্ত্র', 'সচেষ্ট', 'করেই', 'গ্রো', 'বিরোধীরা']
['ধূর্ত', 'জোটের', 'রাজনীতির', 'ইকবালের', 'ভেবে', 'প্লেন', 'অপরের', 'হেঁটেই', 'সিদ্দিকী', 'গাওয়ার']
['উৎকণ্ঠা', 'মিনু', 'অসহনীয়', 'কাট', 'খেটে', 'বেড়েই', 'প্রতিহত', 'অনুভূতি', 'স্বস্তি', 'চেতনাকে']
['দোষী', 'সারাজ', 'ফয়সাল', 'চাহনি', 'স্যালুট', 'উসকে', 'মনোনিবেশ', 'ফারহান', 'মিলাদ', 'হালাল']
['ধনাত্মক', 'পরিত্যাক্ত', 'আক্রমনাত্মক', 'নিউট্রিয়াল', 'আইনজ্ঞ', 'পুরুষাঙ্গ', 'ফ্রেন্ডশিপ', 'প্রাজ্ঞ', 'ক্রিটিকাল', 'নস্কর']
['নতুন', 'প্রতি', 'ক্যাপিটাল', 'ভিত্তিক', 'আব্দুর', 'যেত', 'সঙ্গে', 'স\u200cঙ্গে', 'আমি', 'তাঁহারা']
['নশ্বর', 'দিল্লীশ্বর', 'দক্ষিণেশ্বর', 'কমলেশ্বর', 'বিশ্বেশ্বর', 'ডুয়েল', 'অ্যাকর্ড', 'জ্ঞানেশ্বর', 'যোগেন্দ্র', 'চোষণ']
['নিরস', 'মরিস', 'প্রতিভাস', 'কেবলস', 'বলস', 'মনস', 'পালাস', 'দিয়াস', 'সহিস', 'কয়েস']
['মিথ্যা', 'অনিন্দ', 'বলিব', 'তৃণমূলের', 'ছল', 'ভিত্তিহীন', 'বর্ষ', 'টাউন', 'সন্দেহ', 'ভাতিজা']
['ব্যালেন্স', 'ভাবলেই', 'গভীরতা', 'ভ্যাল', 'দূরেই', 'ছাত্রীদের', '২০টি', 'বড়সড়', 'ড্রিম', 'কোয়ার্টারে']
['ড্রয়িং', 'বেই', 'বিসর্জন', 'ফোকাস', 'বিজিবির', 'রাফি', 'নুর', 'সরি', 'স্বজনদের', 'উদ্দীপনা']
['নির্বিঘ্নে', 'তথ্যমন্ত্রী', 'নিরস্ত্র', 'ডেঙ্গু', 'নয়ই', 'পূর্ণতা', 'আমাদেরই', 'ভুলটা', 'কমেনি', 'পাত্তা']
['সরি', 'এএফসি', 'বিসর্জন', 'নারদ', 'ইসি', 'ডুম', 'করিয়েছে', 'উদ্দীপনা', 'প্রকৃতির', 'ফোকাস']
['বাড়িয়েছে', 'বুঝিনি', 'মানুষটা', 'শুভর', 'শরবত', 'পরোক্ষভাবে', 'ড্রিংক', 'ড্রয়িং', 'সুবহান', 'বিলিয়ন']
['রঙ্গিন', 'নির্ভয়ে', 'কিট', 'নিচ', 'প্রতিপত্তি', 'সারা', '০০', 'সেনাবাহিনীকে', 'ইন্সটল', 'চারপাশের']
['ধনী', 'রক্ষায়', 'সাজাপ্রাপ্ত', 'সিট', 'বলেছিলে', 'শুনেছিলাম', 'বৈধতা', 'অনুভূতিতে', 'একদিন', 'বাড়ল']
['অভূতপূর্ব', 'ধুর', 'প্রমাণ', 'সামঞ্জস্য', 'আর্থসামাজিক', 'বাহ্', 'নীলকে', 'সম্মতি', 'রাঙামাটি', 'সার্থক']
['প্রমাণ', 'নির্ভয়ে', 'কমতি', 'কিট', 'সেনাবাহিনীকে', 'আর্থসামাজিক', 'অন্যায়ের', 'অভূতপূর্ব', 'ধুর', 'বদ্ধ']
['নিরাপদ', 'ঝুঁকিপূর্ণ', 'পর্যবেক্ষণে', 'গোলাপি', 'বীর', 'প্রতিনিয়ত', 'শেষমেষ', 'এবছর', 'বর্তমানে', 'বর্তমা\u200cনে']
['ল্য', 'দামও', 'ওয়াও', 'দিন', 'অত্যাচার', 'স্বত্ব', 'কলোনি', 'হোটেল', 'স্মিথের', '০০০০']
['কবে', 'সীমানার', 'কোপা', 'বেড়েই', 'হেরি', 'প্রতিহত', 'কাট', 'টাকাই', 'বক্তব্য', 'গঙ্গ']
['ভ্যাল', 'নব্য', 'গায়ক', 'মীর', 'মূল্য', 'ছাত্রীদের', 'প্রশান্তি', 'মার্কেটে', 'মুসলিমদের', 'ঈশানের']
['টা', 'গান', 'ওপরেই', 'আকাশটা', 'দেওয়াই', 'দক্ষিন', '১৫ই', 'হুয়া', 'সিদ্ধান্তে', 'আন্দাজ']
['ভিজা', 'আস্তা', 'জানো', 'শাসা', 'রমিজা', 'চুকা', 'বাঙালা', 'কুণ্ঠা', 'বানানা', 'ইতালিয়ানা']
['শত', 'মাইলফলক', 'অপূর্ণ', 'দাবির', 'ডাউনলোড', 'রুপ', 'নিরব', 'বাঁধ', 'এসআই', 'মেক্স']
['পরিধি', 'চকচক', 'সুর', 'নিকৃষ্ট', 'ধৈর্য্য', 'দলকে', 'দুপাশে', '২০১৯', 'কথাবার্তার', 'প্রাধান্য']
['আঁটসাঁট', 'মচমচে', 'কালীপ্রসন্ন', 'মোহাইমিনুল', 'অনৈচ্ছিক', 'উপঢৌকন', 'উলুধ্বনি', 'সর্বজনশ্রদ্ধেয়', 'অজাতশত্রু', 'কর্মস্পৃহা']
['ভালো', 'ভা\u200cলো', 'পাবলিক', 'ডাক্তারদের', 'পরেছে', 'একদিন', 'সিট', 'প্রজন্ম', 'আছে', 'আ\u200cছে']
['ঈদুল', 'দীর্ঘদিন', 'নিঃসন্দেহে', 'ড্রিংক', 'করবেই', 'ঘের', 'থমথমে', 'বড়লোক', 'দমে', 'প্যান্ট']
['নির্বিঘ্নে', 'তথ্যমন্ত্রী', 'নিরস্ত্র', 'ডেঙ্গু', 'নয়ই', 'পূর্ণতা', 'আমাদেরই', 'ভুলটা', 'কমেনি', 'পাত্তা']
['শরীফের', 'কতটা', 'গ্রো', 'নগরীর', 'নামক', 'মরিচের', 'মাধ্যমিক', 'ভবিষ্যতে', 'ব্যবসায়ীর', 'কারখানার']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['ডিসকারাস', 'পরিক্রমন', 'ভয়নেচ', 'মহেষপুর', 'পুষ্করিনী', 'অধঃক্ষেপন', 'শ্বসনতন্ত্র', 'প্রয়োজক', 'মাতাপিতা', 'অধিক্রমন']
['মাস্কট', 'বর্ধন', 'ক্লান', 'দিঘল', 'তড়িত', 'অবনত', 'সম্পথ', 'নির্বাত', 'পোর্টন', 'কৌন']
['অবনত', 'সংজ্ঞাত', 'তড়িত', 'সতত', 'সূত', 'সুরত', 'বৃহত', 'নির্বাত', 'সন্তত', 'অনিয়ত']
['অবনত', 'তড়িত', 'সংজ্ঞাত', 'সূত', 'সুরত', 'বৃহত', 'সতত', 'নির্বাত', 'রনিত', 'অনিয়ত']
['অবনত', 'তড়িত', 'সংজ্ঞাত', 'সুরত', 'সূত', 'সতত', 'বৃহত', 'নির্বাত', 'রনিত', 'বলবত']
['ফাউ', 'আনছে', 'গোত্র', 'ট্রেনে', 'গাল', 'ভেবেছিলেন', 'ধরেছে', 'হাবিল', 'ফেলেন', 'বার্ধক্য']
['আসলো', 'শাহর', 'ট্রেনে', 'আসো', 'কাকতালীয়', 'স্মিত', 'পরিস্থিতি', 'ফাউ', 'বার্ধক্য', 'আনছে']
['উপরন্ত', 'প্রথিত', 'খেত্তারামা', 'টলমলে', 'ফটোগ্রাফে', 'পরিক্রমন', 'গদ্যে', 'উইলে', 'ডিসকারাস', 'স্তাগ']
['অবনত', 'সংজ্ঞাত', 'তড়িত', 'বৃহত', 'সূত', 'নির্বাত', 'অনিয়ত', 'সতত', 'হেরত', 'সুরত']
['অবনত', 'তড়িত', 'সংজ্ঞাত', 'বৃহত', 'সূত', 'সুরত', 'নির্বাত', 'সতত', 'অনিয়ত', 'বলবত']
['বিক্রয়ে', 'গর্জনে', 'পরাজয়ে', 'অধিনে', 'হ্যামে', 'সত্তরে', 'রৌদ্রে', 'ক্রয়ে', 'তাহে', 'নক্ষত্রে']
['অবনত', 'তড়িত', 'সংজ্ঞাত', 'সূত', 'সুরত', 'বৃহত', 'সতত', 'নির্বাত', 'রনিত', 'অনিয়ত']
['অবনত', 'তড়িত', 'সংজ্ঞাত', 'সতত', 'সূত', 'সুরত', 'বৃহত', 'নির্বাত', 'রনিত', 'ওঁত']
['অবনত', 'তড়িত', 'সংজ্ঞাত', 'সুরত', 'সূত', 'সতত', 'বৃহত', 'নির্বাত', 'রনিত', 'অনিয়ত']
['অবনত', 'তড়িত', 'সংজ্ঞাত', 'সুরত', 'সূত', 'সতত', 'বৃহত', 'নির্বাত', 'রনিত', 'অনিয়ত']
['টলমলে', 'ফটোগ্রাফে', 'মণে', 'স্তবে', 'শুকে', 'খন্ডিত', 'ছত্রে', 'بَل', 'পরিক্রমন', 'নাতে']
['অবনত', 'তড়িত', 'সংজ্ঞাত', 'সুরত', 'সূত', 'সতত', 'বৃহত', 'নির্বাত', 'রনিত', 'ওঁত']
['অবনত', 'তড়িত', 'সংজ্ঞাত', 'সূত', 'সতত', 'সুরত', 'বৃহত', 'নির্বাত', 'রনিত', 'অনিয়ত']
['লগে', 'অপমান', 'ফর্সা', 'সালে', 'সা\u200cলে', '\u200eসালে', 'সংখ্যালঘু', 'দি', 'ভদ্রলোক', 'নির্মল']
['', '', '', '', '', '', '', '', '', '']
['ফেলতে', 'হলফ', 'উদ্যোগ', 'সালে', 'সা\u200cলে', '\u200eসালে', 'দিতেও', 'বংশধর', 'গোছাতে', 'পরিত্রাণ']
['অবনত', 'তড়িত', 'সংজ্ঞাত', 'সুরত', 'সূত', 'সতত', 'বৃহত', 'নির্বাত', 'রনিত', 'অনিয়ত']
['অবনত', 'তড়িত', 'সংজ্ঞাত', 'সূত', 'সুরত', 'সতত', 'বৃহত', 'নির্বাত', 'রনিত', 'অনিয়ত']
['অবনত', 'তড়িত', 'সংজ্ঞাত', 'সূত', 'বৃহত', 'সুরত', 'সতত', 'নির্বাত', 'অনিয়ত', 'বলবত']
['ডিসকারাস', 'খেত্তারামা', 'মহেষপুর', 'জিওর্দানো', 'বলনে', 'কেনেথ', 'ইন্দেরাপুরা', 'ঘূর্ণনে', 'পরিক্রমন', 'অনমনীয়তা']
['অবনত', 'তড়িত', 'সংজ্ঞাত', 'মাস্কট', 'নির্বাত', 'বৃহত', 'হেরত', 'সূত', 'অনিয়ত', 'মেমত']
['অবনত', 'তড়িত', 'সংজ্ঞাত', 'সূত', 'সুরত', 'সতত', 'বৃহত', 'নির্বাত', 'রনিত', 'অনিয়ত']
['টলমলে', 'স্তবে', 'দূম', 'ফটোগ্রাফে', 'মণে', 'শুকে', 'বলনে', 'মগজে', 'গ্লাম', 'ফসে']
['ডিসকারাস', 'মাজিদি', 'নাতে', 'দুষে', 'ব্যাকরণে', 'গুচ্ছে', 'শূণ্যে', 'মগজে', 'টলমলে', 'পরিক্রমন']
['পরিক্রমন', 'খেত্তারামা', 'ট্রান্সককেশিয়া', 'শ্বসনতন্ত্র', 'ডিসকারাস', 'কৌলিবিজ্ঞান', 'প্রথিত', 'بَل', 'উপরন্ত', 'বিক্রয়ে']
['অবনত', 'তড়িত', 'সংজ্ঞাত', 'সুরত', 'সূত', 'সতত', 'বৃহত', 'নির্বাত', 'রনিত', 'ওঁত']
['অবনত', 'তড়িত', 'সংজ্ঞাত', 'সূত', 'বৃহত', 'সুরত', 'সতত', 'নির্বাত', 'অনিয়ত', 'রনিত']
['অবনত', 'তড়িত', 'সংজ্ঞাত', 'সূত', 'সুরত', 'সতত', 'বৃহত', 'নির্বাত', 'অনিয়ত', 'বলবত']
['পরিক্রমন', 'ডিসকারাস', 'শ্বসনতন্ত্র', 'বার্বারোসা', 'খেত্তারামা', 'মাজিদি', 'সোতেরোস', 'ডেপুটেশন', 'জিওর্দানো', 'অধঃক্ষেপন']
['অবনত', 'তড়িত', 'সংজ্ঞাত', 'সুরত', 'সূত', 'সতত', 'বৃহত', 'নির্বাত', 'রনিত', 'ওঁত']
['ডিসকারাস', 'দূম', 'গ্লাম', 'ফসে', 'রুপম', 'টলমলে', 'চেলে', 'ভবে', 'ফ্যান্টম', 'স্তবে']
['অবনত', 'সংজ্ঞাত', 'তড়িত', 'নির্বাত', 'হেরত', 'বৃহত', 'মাস্কট', 'সূত', 'অনিয়ত', 'অহত']
['অবনত', 'তড়িত', 'সংজ্ঞাত', 'বৃহত', 'সূত', 'নির্বাত', 'সুরত', 'সতত', 'অনিয়ত', 'বলবত']
['অবনত', 'তড়িত', 'সংজ্ঞাত', 'বৃহত', 'সূত', 'নির্বাত', 'সুরত', 'সতত', 'অনিয়ত', 'সন্তত']
['অবনত', 'তড়িত', 'সংজ্ঞাত', 'সুরত', 'সূত', 'সতত', 'বৃহত', 'নির্বাত', 'রনিত', 'অনিয়ত']
['অবনত', 'সংজ্ঞাত', 'তড়িত', 'বৃহত', 'নির্বাত', 'সূত', 'অনিয়ত', 'হেরত', 'মেমত', 'সতত']
['পরিক্রমন', 'মুজীব', 'উপরন্ত', 'প্রথিত', 'জিলার্দ', 'খেত্তারামা', 'ঘরামী', 'ডিসকারাস', 'بَل', 'ফরেনসিক']
['অবনত', 'সংজ্ঞাত', 'তড়িত', 'বৃহত', 'নির্বাত', 'সূত', 'হেরত', 'মেমত', 'মাস্কট', 'অনিয়ত']
['ডিসকারাস', 'পরিক্রমন', 'গ্লাম', 'খেত্তারামা', 'বিবেচন', 'মসলেম', 'ফ্যান্টম', 'দূম', 'নিমাণ', 'টলমলে']
['নাতে', 'বিক্রয়ে', 'শূণ্যে', 'গর্জনে', 'প্রথিত', 'ছোবলে', 'বিছে', 'মণে', 'بَل', 'সত্তরে']
['অবনত', 'তড়িত', 'সংজ্ঞাত', 'বৃহত', 'নির্বাত', 'সূত', 'মেমত', 'হেরত', 'মাস্কট', 'সোজাত']
['অবনত', 'তড়িত', 'সংজ্ঞাত', 'সূত', 'সুরত', 'বৃহত', 'নির্বাত', 'সতত', 'রনিত', 'অনিয়ত']
['অবনত', 'তড়িত', 'সংজ্ঞাত', 'সুরত', 'সূত', 'বৃহত', 'সতত', 'নির্বাত', 'রনিত', 'অনিয়ত']
['অবনত', 'তড়িত', 'সংজ্ঞাত', 'সুরত', 'সূত', 'বৃহত', 'সতত', 'নির্বাত', 'রনিত', 'অনিয়ত']
['অবনত', 'তড়িত', 'সংজ্ঞাত', 'সুরত', 'সূত', 'সতত', 'বৃহত', 'নির্বাত', 'রনিত', 'অনিয়ত']
['অবনত', 'তড়িত', 'সংজ্ঞাত', 'সূত', 'সুরত', 'বৃহত', 'সতত', 'নির্বাত', 'রনিত', 'অনিয়ত']
['অবনত', 'তড়িত', 'সংজ্ঞাত', 'সুরত', 'সূত', 'সতত', 'বৃহত', 'নির্বাত', 'রনিত', 'অনিয়ত']
['হলফ', 'ডিসেম্বর', 'ইব', 'সালে', 'সা\u200cলে', '\u200eসালে', 'নির্মল', 'সংগঠনটি', 'ফেলতে', 'নামে']
