['অয়লার', 'ফ্রেড্রিক', 'হুট', 'শীঘ্র', 'রোমা', 'পেয়েছেন', 'যেগুলো', 'যেগু\u200cলো', 'ক্যাসিনো', 'এটাতো']
['দক্ষিণ', 'দ\u200cক্ষিণ', 'পরবে', 'বেনার', 'করলে', 'দিবেন', 'স্নেহার', 'প্রাচীনতম', 'পড়বেন', 'বাদে']
['সংস্কার', 'অস্থিরতা', 'স্মিত', 'বৈদেশিক', 'পারতে', 'ব্যাগ', 'প্রতিযোগ', 'ফাঁসি', 'মাহির', 'সুরে']
['দক্ষিণ', 'দ\u200cক্ষিণ', 'পরবে', 'বেনার', 'করলে', 'দিবেন', 'স্নেহার', 'প্রাচীনতম', 'পড়বেন', 'বাদে']
['১৯০৫', 'উত্থাপন', 'হাবীব', 'জমিদারের', 'ডায়েট', 'সৌন্দর্যে', 'যুদ্ধাপরাধী', 'দুজন', 'অনুষদ', 'তাকালে']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['অতীত', 'অনুমোদিত', 'অনু\u200cমো\u200cদিত', 'পঠিত', 'লিখব', 'পোস্টার', 'জয়িতা', 'দোষে', 'দেখিয়েছে', 'বেমানান']
['অয়লার', 'কুমিল্লায়', 'সেটি', 'সে\u200cটি', 'মীন', 'বহিঃসংযোগ', 'এটাতো', 'ক্যাসিনো', 'যেগুলো', 'যেগু\u200cলো']
['অয়লার', 'কুমিল্লায়', 'সেটি', 'সে\u200cটি', 'বহিঃসংযোগ', 'মীন', 'এগুলি', 'এটাতো', 'কাপ্তাই', 'যেগুলো']
['অয়লার', 'কুমিল্লায়', 'সেটি', 'সে\u200cটি', 'মীন', 'বহিঃসংযোগ', 'এটাতো', 'যেগুলো', 'যেগু\u200cলো', 'ক্যাসিনো']
['আজ', 'দফতরে', 'এতই', 'আসিস', 'টেকনোলজি', 'উইকেট', 'এত', 'অনুপস্থিতিতে', 'শতাংশ', 'যাইত']
['আদি', 'পদক্ষেপে', 'দেখে', 'তাঁ', 'শুনেছেন', 'অথ', 'দেখিয়া', 'পড়ছে', 'পড়েছে', 'আর']
['অয়লার', 'ক্যাসিনো', 'যেগুলো', 'যেগু\u200cলো', 'এইরকম', 'হুট', 'শীঘ্র', 'সমীহ', 'অসাধারন', 'রোমা']
['আরোহন', 'এরান', 'নাহিন', 'ক্যাটন', 'মার্ন', 'ক্যালেন', 'হেরন', 'এক্সন', 'ইলেক্ট্রন', 'বেরোন']
['অয়লার', 'ক্যাসিনো', 'যেগুলো', 'যেগু\u200cলো', 'এইরকম', 'হুট', 'শীঘ্র', 'সমীহ', 'রোমা', 'যেটার']
['হাসিখুশি', 'স্ট্রাইক', 'যেগুলোর', 'স্পীড', 'বেষ্ট', 'ক্যাসিনো', 'দমবন্ধ', 'মাখামাখি', 'কোনোভাবে', 'দর্শনীয়']
['অয়লার', 'ক্যাসিনো', 'যেগুলো', 'যেগু\u200cলো', 'এইরকম', 'হুট', 'শীঘ্র', 'সমীহ', 'অসাধারন', 'রোমা']
['ইহকাল', 'প্রজননকাল', 'বিরতিকাল', 'স্থাপনকাল', 'সংক্ষিপ্তকাল', 'গর্ভকাল', 'জমকাল', 'সূচনাকাল', 'রচনাকাল', 'সমাপ্তিকাল']
['অয়লার', 'ক্যাসিনো', 'যেগুলো', 'যেগু\u200cলো', 'এইরকম', 'হুট', 'শীঘ্র', 'সমীহ', 'যেটার', 'এটাতো']
['', '', '', '', '', '', '', '', '', '']
['অয়লার', 'ক্যাসিনো', 'যেগুলো', 'যেগু\u200cলো', 'এইরকম', 'শীঘ্র', 'সেটি', 'সে\u200cটি', 'এটাতো', 'কুমিল্লায়']
['অতিবৃষ্টি', 'শিলাবৃষ্টি', 'তুষারঝড়', 'হাতব্যাগ', 'কুশবৃক্ষ', 'গোলপার্ক', 'যোগব্যায়াম', 'ব্যবসাবাণিজ্য', 'রহস্যপত্রিকা', 'মোহরকুঞ্জ']
['অয়লার', 'ক্যাসিনো', 'যেগুলো', 'যেগু\u200cলো', 'এইরকম', 'হুট', 'সমীহ', 'যেগুলোর', 'অসাধারন', 'রোমা']
['উৎরাই', 'শ্রোতারাই', 'ক্যাডাররাই', 'সেন্টরাই', 'খিরাই', 'রামরাই', 'পুটাইল', 'সহযোগীরাই', 'গোসাইর', 'ডগাইর']
['উত্তীর্ণ', 'বাইরের', 'লইয়া', 'এখানকার', 'এনে', 'চালাতে', 'মরুভূমির', 'শিল্পে', 'নিজের', 'অনুর']
['', '', '', '', '', '', '', '', '', '']
['ঊষা', 'চষা', 'গ্লাসগো', 'সাইগা', 'তরীকা', 'শিপকা', 'বরগা', 'ইগো', 'ঝুমকা', 'কালিকা']
['একাল', 'নাইল', 'ঝরল', 'নির্জল', 'এমএল', 'কারোল', 'বানাল', 'শল', 'আলাল', 'জৈল']
['', '', '', '', '', '', '', '', '', '']
['এখন', 'গেয়েছেন', 'পোশাকে', 'শিকারি', 'মর্গে', 'ইউনিটে', 'মানসিকতার', 'ভৌমিক', 'পোর্টাল', 'এমনিতেই']
['অয়লার', 'ক্যাসিনো', 'যেগুলো', 'যেগু\u200cলো', 'এইরকম', 'শীঘ্র', 'হুট', 'এটাতো', 'যেটার', 'সেটি']
['কুমেরু', 'সুমেরু', 'নেহেরু', 'শিগেরু', 'দ্বিমেরু', 'জলদস্যুতা', 'মন্টেরী', 'তিমারু', 'ঘামাচি', 'বাথোরী']
['অয়লার', 'ক্যাসিনো', 'যেগুলো', 'যেগু\u200cলো', 'এইরকম', 'শীঘ্র', 'সেটি', 'সে\u200cটি', 'এটাতো', 'কুমিল্লায়']
['বোলিংয়ে', 'প্রয়াস', 'মুখেই', 'মমতায়', 'দুজনই', 'এন্ট্রি', 'ক্ষেতের', 'রাখবো', 'শর্ট', 'মধ্যবিত্ত']
['ঘৃণা', 'হিন্দুত্ব', 'খত', 'শুনবে', 'অসুখে', 'জীববৈচিত্র', 'খুঁজছি', 'চাইলো', '18', 'খেলেও']
['অয়লার', 'কুমিল্লায়', 'সেটি', 'সে\u200cটি', 'বহিঃসংযোগ', 'মীন', 'এগুলি', 'এটাতো', 'কাপ্তাই', 'যেগুলো']
['অয়লার', 'ক্যাসিনো', 'যেগুলো', 'যেগু\u200cলো', 'এইরকম', 'হুট', 'শীঘ্র', 'এটাতো', 'যেটার', 'সমীহ']
['এমবি', 'সময়টাতে', 'অবিশ্বাস্য', 'ইয়াহিয়া', 'কাজটি', 'রাগিনী', 'সুবাদে', 'সমাজকল্যাণ', 'গিটার', 'যুক্ত']
['অয়লার', 'সেটি', 'সে\u200cটি', 'কুমিল্লায়', 'ক্যাসিনো', 'যেগুলো', 'যেগু\u200cলো', 'এইরকম', 'এটাতো', 'মীন']
['চলিত', 'জরিত', 'প্রধানতম', 'বাহ্যত', 'সুচনা', 'মুনিম', 'গোহ', 'মাসিহ', 'মরমি', 'সনমি']
['এটা', 'ফুরফুরে', 'টেকে', 'ন্যায্য', 'হাসিখুশি', 'অজু', 'রুমা', 'একদমই', 'একাত্ম', 'স্পোর্টিং']
['অয়লার', 'ক্যাসিনো', 'যেগুলো', 'যেগু\u200cলো', 'এইরকম', 'শীঘ্র', 'হুট', 'এটাতো', 'সেটি', 'সে\u200cটি']
['অয়লার', 'ক্যাসিনো', 'যেগুলো', 'যেগু\u200cলো', 'এইরকম', 'হুট', 'শীঘ্র', 'সমীহ', 'যেটার', 'রোমা']
['অয়লার', 'ক্যাসিনো', 'যেগুলো', 'যেগু\u200cলো', 'এইরকম', 'শীঘ্র', 'সেটি', 'সে\u200cটি', 'এটাতো', 'কুমিল্লায়']
['অয়লার', 'কুমিল্লায়', 'সেটি', 'সে\u200cটি', 'ক্যাসিনো', 'যেগুলো', 'যেগু\u200cলো', 'এইরকম', 'মীন', 'এটাতো']
['অয়লার', 'ক্যাসিনো', 'যেগুলো', 'যেগু\u200cলো', 'এইরকম', 'শীঘ্র', 'এটাতো', 'সেটি', 'সে\u200cটি', 'হুট']
['অয়লার', 'ক্যাসিনো', 'যেগুলো', 'যেগু\u200cলো', 'হুট', 'এইরকম', 'সমীহ', 'অসাধারন', 'রোমা', 'যেগুলোর']
['অয়লার', 'কুমিল্লায়', 'সেটি', 'সে\u200cটি', 'বহিঃসংযোগ', 'মীন', 'এগুলি', 'এটাতো', 'কাপ্তাই', 'যেগুলো']
['অয়লার', 'ক্যাসিনো', 'যেগুলো', 'যেগু\u200cলো', 'হুট', 'যেগুলোর', 'এইরকম', 'রোমা', 'সমীহ', 'অসাধারন']
['অয়লার', 'ক্যাসিনো', 'যেগুলো', 'যেগু\u200cলো', 'এইরকম', 'শীঘ্র', 'সেটি', 'সে\u200cটি', 'এটাতো', 'কুমিল্লায়']
['অয়লার', 'কুমিল্লায়', 'সেটি', 'সে\u200cটি', 'বহিঃসংযোগ', 'মীন', 'এগুলি', 'এটাতো', 'যেগুলো', 'যেগু\u200cলো']
['অয়লার', 'ক্যাসিনো', 'যেগুলো', 'যেগু\u200cলো', 'এইরকম', 'হুট', 'সমীহ', 'অসাধারন', 'রোমা', 'যেগুলোর']
['অয়লার', 'কুমিল্লায়', 'সেটি', 'সে\u200cটি', 'ক্যাসিনো', 'যেগুলো', 'যেগু\u200cলো', 'এইরকম', 'মীন', 'এটাতো']
['অয়লার', 'ক্যাসিনো', 'যেগুলো', 'যেগু\u200cলো', 'এইরকম', 'সেটি', 'সে\u200cটি', 'কুমিল্লায়', 'শীঘ্র', 'এটাতো']
['অয়লার', 'ক্যাসিনো', 'যেগুলো', 'যেগু\u200cলো', 'এইরকম', 'শীঘ্র', 'সেটি', 'সে\u200cটি', 'এটাতো', 'কুমিল্লায়']
['অয়লার', 'কুমিল্লায়', 'সেটি', 'সে\u200cটি', 'ক্যাসিনো', 'যেগুলো', 'যেগু\u200cলো', 'এইরকম', 'মীন', 'এটাতো']
['প্রসারণ', 'গ্রীণ', 'শ্রমণ', 'পূণ', 'সরণ', 'শিক্ষণ', 'চিত্রণ', 'শণ', 'মরাণ', 'অন্তরণ']
['আরেকটা', 'স্তুতি', 'পড়াশুনা', 'লিং', 'লোকাল', '14', 'দুইজনে', 'চাচ্ছেন', 'ধর্মভিত্তিক', 'পাটি']
['অয়লার', 'কুমিল্লায়', 'সেটি', 'সে\u200cটি', 'ক্যাসিনো', 'যেগুলো', 'যেগু\u200cলো', 'এইরকম', 'এটাতো', 'মীন']
['অয়লার', 'কুমিল্লায়', 'সেটি', 'সে\u200cটি', 'বহিঃসংযোগ', 'মীন', 'এটাতো', 'এগুলি', 'যেগুলো', 'যেগু\u200cলো']
['অয়লার', 'ক্যাসিনো', 'যেগুলো', 'যেগু\u200cলো', 'এইরকম', 'হুট', 'শীঘ্র', 'সমীহ', 'রোমা', 'অসাধারন']
['অয়লার', 'ক্যাসিনো', 'যেগুলো', 'যেগু\u200cলো', 'যেগুলোর', 'সমীহ', 'হুট', 'এইরকম', 'অসাধারন', 'হাসিখুশি']
['অয়লার', 'ক্যাসিনো', 'যেগুলো', 'যেগু\u200cলো', 'এইরকম', 'হুট', 'সমীহ', 'শীঘ্র', 'অসাধারন', 'রোমা']
['অয়লার', 'ক্যাসিনো', 'যেগুলো', 'যেগু\u200cলো', 'এইরকম', 'হুট', 'শীঘ্র', 'সমীহ', 'রোমা', 'যেটার']
['অনেক', 'অ\u200cনেক', 'তম', 'দিয়েছেন', 'খেলেছিলেন', 'ইয়ার', 'বেচে', 'দেখলেই', 'চালিয়েছে', 'আরো']
['অয়লার', 'ক্যাসিনো', 'যেগুলো', 'যেগু\u200cলো', 'এইরকম', 'হুট', 'শীঘ্র', 'এটাতো', 'যেটার', 'রোমা']
['তরুণ', 'অধঃ', 'আসুক', 'অনিতা', 'এগোচ্ছে', 'ওয়াইফ', 'চিল', 'জড়িয়ে', 'ঋতুর', 'তিনজন']
['অতীত', 'নির্লজ্জ', 'ভয়ে', 'লজ্জার', 'আশরাফ', 'স্বর্গ', 'কাকতালীয়', 'কারণও', '1', 'চেয়েছিলো']
['অস্ত', 'যাস', 'রোগে', 'সা', 'চ্যাট', 'কথাটাই', 'কথা', 'মাঠ', 'শুভাশিস', 'সফর']
['অস্ত', 'সা', 'যাস', 'রোগে', 'কথাটাই', 'মাঠ', 'সফর', 'শুভাশিস', 'মানাবে', 'চ্যাট']
['অস্ত', 'যাস', 'সা', 'রোগে', 'কথাটাই', 'মাঠ', 'চ্যাট', 'শুভাশিস', 'কথা', 'সফর']
['ত্বরান্বিত', 'করিলে', '১৪', 'মিন', 'কাছেও', 'বার্থডে', 'ক্ষমতাও', 'রেখেছিলাম', 'যেভাবেই', 'আজ']
['আদি', 'থাকাটাই', 'আর', 'খাব', 'দক্ষিণা', 'দেখেছিলাম', 'বলতাম', 'পাইলে', 'সদস্য', 'সদস\u200d্য']
['থাকি', 'সমাধানের', 'চ্যাট', 'যাওয়াতে', 'ছায়ায়', 'অস্ত', 'জোটে', 'কথা', 'পৌরুষ', 'স্ট্রাইকার']
['থেরন', 'আরোহন', 'বিভান', 'ডিভাইন', 'ব্রায়ন', 'জীন', 'কনন', 'ফ্যালন', 'মাজেন', 'খিলান']
['অস্ত', 'চ্যাট', 'থাকি', 'কথা', 'যাওয়াতে', 'জোটে', 'সমাধানের', 'শ্বশুরবাড়ির', 'অর্ধেক', 'ছায়ায়']
['ডাল', 'দাদাভাই', 'পারফেক্ট', 'পাঠাবেন', 'গ্রহণ', 'জিয়া', 'সাইক', 'দাদাকে', 'মালয়েশিয়ার', 'চেঞ্জ']
['অস্ত', 'চ্যাট', 'যাওয়াতে', 'কথা', 'থাকি', 'ছায়ায়', 'জোটে', 'সমাধানের', 'বিশ্বকে', 'দোষের']
['আসপাস', 'ইহকাল', 'অগ্নিবেশ', 'কুইনাইন', 'জংগল', 'মুসলিমলীগ', 'মুনসুর', 'রোটারী', 'খালেকদাদ', 'লটারী']
['অস্ত', 'কথা', 'চ্যাট', 'যাওয়াতে', 'শ্বশুরবাড়ির', 'অনেকেরই', 'থাকি', 'জোটে', 'বিশ্বকে', 'রোগে']
['', '', '', '', '', '', '', '', '', '']
['কুসংস্কার', 'বড়ুয়া', 'ফাঁকে', 'م', 'উপস্থাপক', 'করুণা', 'অস্ট্রেলিয়ান', 'শুনেও', 'সার্বজনীন', 'হইলেন']
['অতিবৃষ্টি', 'শিলাবৃষ্টি', 'বজ্রবৃষ্টি', 'ফিজিওথেরাপিস্ট', 'ঝড়বৃষ্টি', 'নববিবাহিত', 'জয়জয়ন্তী', 'সদ্যবিবাহিত', 'রহস্যপত্রিকা', 'ক্যাপসিকাম']
['পৌরুষ', 'ছায়ায়', 'সমাধানের', 'যাওয়াতে', 'থাকি', 'আঁধারের', 'স্ট্রাইকার', 'দশজন', 'ট্রাইব্যুনালের', 'নিলো']
['উৎরাই', 'ধামরাই', 'সেন্টরাই', 'ক্যাডাররাই', 'সাঁতাহার', 'শরণার্থীরাই', 'উতরাই', 'ডায়মণ্ড', 'মালিওর', 'আফগানরাই']
['উত্তীর্ণ', 'ছেলেদের', 'ফেলছে', 'বেরোনো', 'হিমালয়', 'মহাদেশ', 'যাওয়াটা', 'ঘাড়ে', 'খাইয়া', 'গেছিলো']
['', '', '', '', '', '', '', '', '', '']
['ঊষা', 'টিউলিপ', 'বিউগল', 'স্যাডল', 'জংগল', 'ঘিঞ্জি', 'স্বর্ণলতা', 'গ্যামেট', 'ভূপেশ', 'নুভেল']
['ছুঁল', 'সিঙ্গল', 'যুল', 'সিউল', 'সেবল', 'বোঝাল', 'মুষল', 'থিয়েল', 'অদল', 'নিপল']
['', '', '', '', '', '', '', '', '', '']
['এখন', 'গেয়েছেন', 'শিকারি', 'পোশাকে', 'মর্গে', 'মানসিকতার', 'ইউনিটে', 'পোর্টাল', 'ভৌমিক', 'এমনিতেই']
['অস্ত', 'চ্যাট', 'কথা', 'রোগে', 'যাস', 'শ্বশুরবাড়ির', 'জোটে', 'থাকি', 'অর্ধেক', 'যাওয়াতে']
['কুমেরু', 'শিগেরু', 'সুমেরু', 'নেহেরু', 'দ্বিমেরু', 'সুচারু', 'জুবেরী', 'লিপ্সা', 'খাসোগি', 'কালামাজু']
['অস্ত', 'কথা', 'চ্যাট', 'যাস', 'রোগে', 'সা', 'শ্বশুরবাড়ির', 'কথাটাই', 'শুভাশিস', 'মাঠ']
['শান্ত', 'আসেন', 'শিক্ষকতা', 'মোড়ল', 'অবাক', 'আঁকতে', 'করেনি', 'হইবে', 'প্রতিচ্ছবি', 'বডি']
['ঘৃণা', 'তোরা', 'দাঁড়াবে', 'খুঁজছি', 'অবিচ্ছেদ্য', 'ছিলোনা', 'রাষ্ট্রদ্রোহ', 'চাইলো', 'সেকেন্ড', 'পিকে']
['অস্ত', 'যাস', 'সা', 'রোগে', 'সফর', 'কথাটাই', 'চ্যাট', 'মাঠ', 'শুভাশিস', 'কথা']
['অস্ত', 'চ্যাট', 'কথা', 'থাকি', 'যাওয়াতে', 'সমাধানের', 'জোটে', 'রোগে', 'শ্বশুরবাড়ির', 'অর্ধেক']
['সমন্বয়ক', 'মন্ত্রি', 'কান্তি', 'আগামী', '06', 'শেখ', 'দুনিয়া', 'মেজর', 'লাম', 'স্বাধীনতা']
['অস্ত', 'যাস', 'রোগে', 'সা', 'কথা', 'চ্যাট', 'কথাটাই', 'মাঠ', 'শুভাশিস', 'শ্বশুরবাড়ির']
['চলিত', 'আরকান', 'উদ্দীষ্ট', 'সদাচার', 'বেথ', 'আরশ', 'পছন্দসই', 'অভীষ্ট', 'ভ্রষ্ট', 'জর্মন']
['হইলেন', 'শিশুদের', 'করুণা', 'দাড়ি', 'সিটি', 'বড়ুয়া', 'অসমাপ্ত', 'গোড়ার', 'ফাঁকে', 'মধ্য']
['অস্ত', 'কথা', 'চ্যাট', 'যাস', 'রোগে', 'শ্বশুরবাড়ির', 'কথাটাই', 'শুভাশিস', 'সা', '৮']
['অস্ত', 'কথা', 'চ্যাট', 'যাওয়াতে', 'শ্বশুরবাড়ির', 'অনেকেরই', 'বিশ্বকে', 'জোটে', 'দোষের', 'রোগে']
['অস্ত', 'কথা', 'চ্যাট', 'যাস', 'রোগে', 'সা', 'শ্বশুরবাড়ির', 'কথাটাই', 'শুভাশিস', 'মাঠ']
['অস্ত', 'যাস', 'রোগে', 'চ্যাট', 'সা', 'কথা', 'কথাটাই', 'মাঠ', 'শুভাশিস', 'শ্বশুরবাড়ির']
['অস্ত', 'চ্যাট', 'রোগে', 'কথা', 'যাস', 'শ্বশুরবাড়ির', 'জোটে', 'সা', 'মই', 'ভারতে']
['আঁধারের', 'সমাধানের', 'সুখে', 'ছায়া', 'ট্রাইব্যুনালের', 'ছায়ায়', 'থাকি', 'বুঝবে', 'পৌরুষ', '১৩৬']
['অস্ত', 'সা', 'যাস', 'রোগে', 'কথাটাই', 'সফর', 'চ্যাট', 'মাঠ', 'শুভাশিস', 'কথা']
['দাদাভাই', 'লাদ', 'রেট', 'গ্রহণ', 'পরিণতি', 'দ্বারাই', 'সাইট', 'কান্না', 'স্নেহা', 'এদিক']
['অস্ত', 'কথা', 'চ্যাট', 'যাস', 'রোগে', 'সা', 'শ্বশুরবাড়ির', 'কথাটাই', 'শুভাশিস', 'মাঠ']
['অস্ত', 'সা', 'যাস', 'রোগে', 'কথাটাই', 'সফর', 'চ্যাট', 'মাঠ', 'শুভাশিস', 'কথা']
['সুখে', 'ছায়া', 'সেক্টর', 'কাজেও', 'বাধে', 'আঁধারের', 'লাইনে', 'দেবেন', 'বুঝবে', 'সমাধানের']
['অস্ত', 'যাস', 'রোগে', 'সা', 'কথা', 'চ্যাট', 'মাঠ', 'শুভাশিস', 'কথাটাই', 'শ্বশুরবাড়ির']
['অস্ত', 'যাস', 'রোগে', 'কথা', 'চ্যাট', 'সা', 'কথাটাই', 'শ্বশুরবাড়ির', 'শুভাশিস', 'মাঠ']
['অস্ত', 'কথা', 'চ্যাট', 'যাস', 'রোগে', 'সা', 'শ্বশুরবাড়ির', 'কথাটাই', 'শুভাশিস', 'মাঠ']
['অস্ত', 'যাস', 'রোগে', 'সা', 'কথা', 'চ্যাট', 'কথাটাই', 'শুভাশিস', 'মাঠ', 'শ্বশুরবাড়ির']
['রেডিয়াল', 'চিডল', 'বার্নেল', 'সঞ্চারণ', 'মহারণ', 'প্রয়াণ', 'অ্যাকাউন্টেন্ট', 'পেঁচ', 'খায়েন', 'কাপ্তান']
['ধরলে', 'অসাম্প্রদায়িক', 'মরবে', 'বলতে', 'জিতবে', 'বদলায়', 'মোড়ক', 'করাতে', 'সমাধানে', '১৩']
['অস্ত', 'যাস', 'রোগে', 'সা', 'চ্যাট', 'কথা', 'কথাটাই', 'শুভাশিস', 'মাঠ', 'শ্বশুরবাড়ির']
['অস্ত', 'যাস', 'সা', 'রোগে', 'চ্যাট', 'কথাটাই', 'সফর', 'মাঠ', 'শুভাশিস', 'কথা']
['অস্ত', 'কথা', 'চ্যাট', 'যাওয়াতে', 'বিশ্বকে', 'জোটে', 'থাকি', 'অনেকেরই', 'শ্বশুরবাড়ির', 'ছায়ায়']
['সুখে', 'যোগদানের', 'বুঝবে', 'পৌরুষ', 'ছায়া', 'আঁধারের', 'ঢিলে', 'ছায়ায়', 'সমাধানের', 'কাজেও']
['ছায়ায়', 'সমাধানের', 'যাওয়াতে', 'থাকি', 'পৌরুষ', 'আঁধারের', 'ট্রাইব্যুনালের', 'জোটে', 'চ্যাট', '১৩৬']
['অস্ত', 'চ্যাট', 'থাকি', 'কথা', 'যাওয়াতে', 'জোটে', 'সমাধানের', 'শ্বশুরবাড়ির', 'অর্ধেক', 'ছায়ায়']
['অনেক', 'অ\u200cনেক', 'হিমালয়', 'দেয়না', 'উপত্যকায়', 'এজন্যই', 'হতেও', '৩৯', 'ভাববেন', 'বাড়তে']
['অস্ত', 'চ্যাট', 'কথা', 'থাকি', 'শ্বশুরবাড়ির', 'অর্ধেক', 'রোগে', 'জোটে', 'যাওয়াতে', 'যাস']
['তরুণ', 'নির্বিশেষে', 'আসুক', 'অধরা', 'ডায়েট', 'জমিদারের', 'উত্থাপন', 'তিনজন', 'অধঃ', 'তাকালে']
['লিখতেন', '08', 'ফাজ', 'দুর্ঘটনা', 'ফাই', 'বান্দ', 'বলেছেন', 'ব\u200cলে\u200cছেন', 'উঠত', 'পঠিত']
['অয়লার', 'গুডস', 'কতই', 'শীঘ্র', 'রোমা', 'এইরকম', 'যেগুলোর', 'যেগুলো', 'যেগু\u200cলো', 'বহিঃসংযোগ']
['অয়লার', 'গুডস', 'কতই', 'শীঘ্র', 'বহিঃসংযোগ', 'রোমা', 'এইরকম', 'এসকল', 'যেগুলো', 'যেগু\u200cলো']
['অয়লার', 'গুডস', 'কতই', 'শীঘ্র', 'রোমা', 'এইরকম', 'যেগুলোর', 'যেগুলো', 'যেগু\u200cলো', 'বহিঃসংযোগ']
['শতাংশ', 'সব', 'এতই', 'খাতা', 'পর', 'ঊর্ধ্বে', 'জানোয়ার', 'মাধ্যমে', 'মাধ্য\u200cমে', 'মাধ\u200d্যমে']
['to', 'খেয়েছি', 'উঠেছিল', 'পড়ছে', 'A', 'শুনেছেন', 'দেখতেন', 'নামেন', 'আদি', 'জমেছে']
['অয়লার', 'কতই', 'শীঘ্র', 'যেগুলোর', 'রোমা', 'হাসিখুশি', 'ভেতরটা', 'এইরকম', 'ফ্রেড্রিক', 'যেগুলো']
['কলম্বোর', 'স্টেন্ট', 'ইউনিভার্সেল', 'বাটলার', 'ছুটছেন', 'ইন্ডোর', 'মহাযুগ', 'ডায়নার', 'উদ্বাসন', 'দশাতে']
['অয়লার', 'কতই', 'শীঘ্র', 'যেগুলোর', 'রোমা', 'এইরকম', 'যেগুলো', 'যেগু\u200cলো', 'ফ্রেড্রিক', 'ভেতরটা']
['ওপাশের', 'আইসো', 'আজকে', 'ছাত্রছাত্রীদের', 'কুইন্স', 'কুইন্\u200cস', 'প্রতিবাদী', 'দমনের', 'ভাষ্যমতে', 'উদ্দিনের']
['অয়লার', 'কতই', 'শীঘ্র', 'যেগুলোর', 'রোমা', 'হাসিখুশি', 'এইরকম', 'যেগুলো', 'যেগু\u200cলো', 'ভেতরটা']
['তলদেশে', 'সাম্যাবস্থা', 'বিষয়শ্রেণীর', 'দূরদেশে', 'ধর্ষণচেষ্টা', 'লারলাইন', 'সমুদ্রযাত্রা', 'ফিল্ডিংকালে', 'গুপ্তহত্যা', 'কেন্দা']
['অয়লার', 'কতই', 'শীঘ্র', 'যেগুলোর', 'রোমা', 'এইরকম', 'যেগুলো', 'যেগু\u200cলো', 'ভেতরটা', 'হুট']
['', '', '', '', '', '', '', '', '', '']
['ওপাশের', 'আলাদাভাবে', 'লিক', 'জেলাশাসক', 'গাওয়ার', 'পদপ্রার্থী', 'আচ', 'শুনছে', 'পূরণের', 'সন্দিহান']
['অয়লার', 'কতই', 'শীঘ্র', 'যেগুলোর', 'রোমা', 'এইরকম', 'যেগুলো', 'যেগু\u200cলো', 'ফ্রেড্রিক', 'হুট']
['অয়লার', 'হাসিখুশি', 'যেগুলোর', 'কতই', 'শীঘ্র', 'রোমা', 'মিসরের', 'কোনোভাবে', 'কীরকম', 'ভেতরটা']
