['চাচা', '২০১২', 'তৃতীয়', 'পরিত্রাণ', 'মৃত্যুদন্ড', 'সালে', 'সা\u200cলে', '\u200eসালে', 'বাংলাদেশেও', 'বংশধর']
['জেলে', 'ভক্তের', 'কইতে', 'জোয়ার', 'পৈশাচিক', 'ধরেছে', 'পিছন', 'ট্রেনে', 'হবেনা', 'দাঁড়ায়']
['ধোপা', 'মনপা', 'মেটেপা', 'মারপা', 'রোপা', 'সপা', 'পেঁপা', 'ভাঁপা', 'সুমপা', 'ফাঁপা']
['ড্রয়ারে', 'লেন্সে', 'অনুতে', 'বেদে', 'অভিবাসনে', 'ক্ষতিপূরণে', 'কুড়ে', 'ইউকে', 'সুইচে', 'জিনে']
['দিনে', 'পার্থিব', 'ফিউচার', 'জুমার', 'তাগিদে', 'সড়কটি', 'বিরোধী', 'নাটোরের', 'একান্তে', 'সিয়া']
['ছেলে', 'ছে\u200cলে', 'বিবরণী', 'সামনে', 'বাগান', 'পারলেও', 'লিখছি', 'প্ল্যাটফর্মে', 'গ্রাহ্য', 'ফেয়ার']
['বর', 'পায়েল', 'ধরলাম', 'লাখ', 'একাউন্ট', 'দাতা', 'চাইবে', 'ব্যবহারকারী', 'জনাব', 'তালিকার']
['কাঙ্গাল', 'স্পঞ্জর', 'নোডাল', 'স্যাম্পেল', 'কিষান', 'হাড্ডিন', 'উচ্চকিত', 'কুর্টজ', 'নাইন্টিজ', 'টাইডাল']
['বাঘ', 'ধরেছে', 'জোয়ার', 'মোর্চা', 'ফর্সা', 'কইতে', 'তিনজনে', 'ফাউ', 'কেলেঙ্কারি', 'নেতিবাচক']
['অ্যাডভোকেট', 'ব্যতীত', 'আফরোজা', 'বেগম', 'প্রশাসকের', 'ৰ', 'বিলীন', 'কাপ', 'ভালবাসায়', 'চলচ্চিত্রে']
['তেজস্বী', 'শিক্ষাথী', 'আবেদনময়ী', 'স্টাইলিস্টিক', 'পোদ্দার', 'জন্মলগ্ন', 'আধুনিকমনস্ক', 'অধিকারিণী', 'ভাগ্নী', 'ক্যান্টমেন্ট']
['অ্যাডভোকেট', 'বেগম', 'ব্যতীত', 'আফরোজা', 'প্রশাসকের', 'ভালবাসায়', 'দুপুর', 'আমানত', 'চলচ্চিত্রে', 'কাপ']
['ঢিলে', 'বুঝবে', 'সজ্জিত', 'ঠোঁটের', 'ঠোঁটে', 'ধর্মান্ধ', 'পৌরুষ', 'তুলেছেন', 'পৌঁছানো', 'নিলো']
['ৰ', 'বিলীন', 'শিক্ষাগত', 'থুবড়ে', 'গার্ডেন', 'দেশী', 'চুলগুলো', 'সাধুবাদ', 'বিন', 'ফ্যান']
['গুণবান', 'রূপবান', 'স্বাস্থ্যবান', 'সংস্কৃতিবান', 'দায়িত্ববান', 'নীতিবান', 'আদর্শবান', 'মর্যাদাবান', 'মেজবান', 'অস্তিত্ববান']
['পুণ্যবান', 'বিত্তবান', 'সামর্থবান', 'ধনবান', 'মর্যাদাবান', 'রূপবান', 'সামর্থ্যবান', 'ন্যায়বান', 'মেজবান', 'দয়াবান']
['অপরকে', 'ভেরি', 'সে', 'মাস', 'মিষ্ট', 'মনোনিবেশ', 'যদি', 'য\u200cদি', 'অনলাইনের', 'জোরে']
['শ্রীমান', 'প্রতান', 'কাতান', 'হুনান', 'কিয়ান', 'সোপান', 'শাহান', 'জমিদান', 'সিকান', 'খারান']
['বেগম', 'ব্যতীত', 'আফরোজা', 'অ্যাডভোকেট', 'দুপুর', 'প্রশাসকের', 'সুমনা', 'ক্রিক', '50', 'ভালবাসায়']
['নিরবে', 'সুন্দরভাবে', 'সিয়া', 'পার্থিব', 'ফিউচার', 'মার্কা', 'অদূর', 'তাগিদে', 'নাটোরের', 'সড়কটি']
['অ্যাডভোকেট', 'ৰ', 'ফ্যান', 'চলচ্চিত্রে', 'বিলীন', 'কাপ', 'সোয়ে', 'গার্ডেন', 'ভালবাসায়', 'ব্যতীত']
['বেগম', 'ব্যতীত', 'আফরোজা', 'অ্যাডভোকেট', 'দুপুর', 'প্রশাসকের', 'সুমনা', 'ক্রিক', '50', 'ভালবাসায়']
['অ্যাডভোকেট', 'প্রশাসকের', 'ব্যতীত', 'বেগম', 'চলচ্চিত্রে', 'বিলীন', 'ৰ', 'কাপ', 'আফরোজা', 'ভালবাসায়']
['ছাত্র', 'সমিতি', 'বেরোচ্ছে', 'ভোটাধিকার', 'ছাত্রছাত্রী', 'উনিশ', 'মেয়েটা', 'দারোগা', 'পুলিশকে', 'সহসভাপতি']
['শিক্ষক', 'যাইনি', 'হয়নি', 'করেছিস', 'কইরা', 'আসেননি', 'লাগছে', 'করিনি', 'করিতেছি', 'দেখেছি']
['নেতা', 'লোকের', 'থাকিয়া', 'মৌলবাদ', 'প্রায়শ্চিত্ত', 'লাগায়', 'গাও', 'তুলল', 'টেরর', 'তাকাতেই']
['বেগম', 'ব্যতীত', 'আফরোজা', 'অ্যাডভোকেট', 'প্রশাসকের', 'দুপুর', 'ভালবাসায়', '১৯৯০', '50', 'ক্রিক']
['বেগম', 'ব্যতীত', 'আফরোজা', 'অ্যাডভোকেট', 'দুপুর', 'প্রশাসকের', 'সুমনা', 'ক্রিক', '50', 'ভালবাসায়']
['ৰ', 'সো', 'ঘরে', 'মেডিকেল', 'মে\u200cডি\u200cকেল', 'আলতো', 'আশীর্বাদ', 'সোয়ে', 'বিলীন', 'গার্ডেন']
['সিয়া', 'নিরবে', 'মার্কা', 'সুন্দরভাবে', 'পর্যন্তই', 'ঝুল', 'পার্থিব', 'খাটো', 'লাঠি', 'খেলো']
['ফাঁকি', 'খেলাপি', 'অন্তঃসত্ত্বা', 'আমাকে', '৭', '১৯৬২', 'শুনব', 'চাল', 'হলেই', 'ঘটে']
['ঢুকে', 'অ্যানাস', 'উপমহাদেশের', 'গাঁয়ে', 'খুঁত', 'তুলবেন', 'পর্যন্তই', 'ওখানকার', 'অন্যরকম', 'সেটাই']
['চাচা', 'তৃতীয়', 'জিন্নাহ', 'দায়িত্বও', 'ওয়ানডেতে', 'ট্রাইব্যুনালে', 'মৃত্যুদন্ড', 'দক্ষিণা', 'হলফ', 'বাংলাদেশেও']
['লুসিয়ানা', 'গলা', 'বদ', 'অচিন', 'তত্ত্বের', 'তীক্ষ্ণ', 'আর্মির', 'উঠলেই', 'পুণ্য', 'লীগকে']
['', '', '', '', '', '', '', '', '', '']
['লুসিয়ানা', 'অচিন', 'তীক্ষ্ণ', 'পুণ্য', 'আর্মির', 'বদ', 'পবিত্র', 'উঠলেই', 'লীগকে', 'অসহযোগ']
['জেলে', 'ট্রেনে', 'পিছন', 'সদস্যের', 'হবেনা', 'কইতে', 'দাঁড়ায়', 'পৈশাচিক', 'তিনজনে', 'ভক্তের']
['উহুদ', 'দেশান্তর', 'শাতি', 'ধোপা', 'ম্যাটলক', 'রোপা', 'ধরিত্রী', 'শীপা', 'উপযোজন', 'সপা']
['বংশধরে', 'বাড়িঘরে', 'পাইপে', 'ইউকে', 'চেইনে', 'কঙ্কালে', 'সুইচে', 'বিবর্তনে', 'বৈচিত্র্যে', 'গর্ভপাতে']
['গাঁয়ে', 'ঝাঁপিয়ে', 'ঢুকে', 'কঠিন', 'ক\u200cঠিন', 'বিভক্ত', 'বয়সেই', 'ধানের', 'শতভাগ', 'সন্ত্রাসীদের']
['ছেলে', 'ছে\u200cলে', 'বিবরণী', 'বাগান', 'সাপোর্ট', 'সা\u200cপোর্ট', 'সামনে', 'রাষ্ট্রীয়', 'হলফ', 'লিখছি']
['বর', 'এসেছিলে', 'লাখ', 'তারপর', 'দাতা', 'পাবে', 'পায়েল', 'চাইবে', 'জনাব', 'বলেছিলো']
['লুসিয়ানা', 'শীঘ্রবৃত্ত', 'অ্যারিয়ানা', 'স্মল', 'হার্ট', 'পবিত্র', 'আগ্রহ', 'হেভি', 'অচিন', 'খিচুরি']
['বাঘ', 'ফর্সা', 'ধরেছে', 'কইতে', 'তিনজনে', 'জোয়ার', 'মোর্চা', 'ট্রেনে', 'পিছন', 'কেলেঙ্কারি']
['লুসিয়ানা', 'অচিন', 'তীক্ষ্ণ', 'পুণ্য', 'আর্মির', 'গলা', 'বদ', 'উঠলেই', 'লীগকে', 'তত্ত্বের']
['মাসতুতো', 'তিতিক্ষা', 'অ্যাক্রেডিটেশন', 'টপোলজি', 'চিত্রকল্প', 'তেজস্বী', 'শল্য', 'নিস্পৃহ', 'অক্রিয়', 'বর্গীকরণ']
['লুসিয়ানা', 'অচিন', 'তীক্ষ্ণ', 'পুণ্য', 'আর্মির', 'উঠলেই', 'লীগকে', 'বদ', 'পবিত্র', 'গলা']
['ইউনিভার্সিটির', 'কালচার', 'ওঠেন', 'কিনবে', 'পৌরুষ', 'চড়িয়ে', 'ধর্মান্ধ', 'ঝিল', 'বৈষ্ণব', '\u09e4']
['শতভাগ', 'গলা', 'তত্ত্বের', 'বিভক্ত', 'সবুজ', 'হারা', 'সংকীর্ণ', 'সূর্য', 'জন্মায়', 'রাসূলুল্লাহ্\u200c']
['গোলমুখ', 'দস্তিদার', 'মতান্তর', 'মহাসুখ', 'ময়ুখ', 'হোগার্থ', 'পাললিক', 'অভিসৃতি', 'মহাকল্প', 'প্রাকৃতি']
['অগ্রপথিক', 'গোলমুখ', 'দেবীপূজা', 'শিবপূজা', 'উপযোজন', 'অভিসৃতি', 'গঠনপ্রণালী', 'জীবনসংগ্রাম', 'শক্তিপূজা', 'সহসাংগঠনিক']
['ব্যাঙের', 'নর', 'ভেরি', 'ওয়ার্ন', 'ভ্রূ', 'পড়তেই', 'ভদ্রলোকের', 'মাইরা', 'কালচার', 'অন্য']
['কার্বলিক', 'বুরাক', 'কনীনিকা', 'মেক্সিকিয়', 'উপযোজন', 'রেডিয়েল', 'লুসোন', 'কর্মাস', 'বার্গাস', 'হুনান']
['লুসিয়ানা', 'অচিন', 'তীক্ষ্ণ', 'পবিত্র', 'পুণ্য', 'আর্মির', 'উঠলেই', 'হার্ট', 'বদ', 'লীগকে']
['গাঁয়ে', 'ঢুকে', 'ঝাঁপিয়ে', 'অ্যানাস', 'বিভক্ত', 'কঠিন', 'ক\u200cঠিন', 'সন্ত্রাসীদের', 'পতনের', 'প্রসেন']
['লুসিয়ানা', 'পুণ্য', 'গলা', 'তীক্ষ্ণ', 'অচিন', 'আর্মির', 'লীগকে', 'তত্ত্বের', 'উঠলেই', 'সংকীর্ণ']
['লুসিয়ানা', 'অচিন', 'তীক্ষ্ণ', 'পবিত্র', 'পুণ্য', 'আর্মির', 'উঠলেই', 'হার্ট', 'বদ', 'লীগকে']
['লুসিয়ানা', 'অচিন', 'তীক্ষ্ণ', 'বদ', 'আর্মির', 'পুণ্য', 'উঠলেই', 'গলা', 'লীগকে', 'তত্ত্বের']
['ছাত্র', 'সমিতি', 'পুলিশকে', 'বেরোচ্ছে', 'ছাত্রছাত্রী', 'দারোগা', 'ছড়াচ্ছে', 'আঠারো', 'করিতেছে', 'সহসভাপতি']
['শিক্ষক', 'করেছিস', 'হয়নি', 'করিনি', 'যাইনি', 'কইরা', 'দেখাচ্ছি', 'লাগছে', 'ভালোবাসো', 'দেখেছি']
['লোকের', 'ছাত্রকে', 'ফেলে', 'ফে\u200cলে', 'মৌলবাদ', 'দুইজনে', 'চায়', 'লাগায়', 'ন্যা', 'খুশ']
['লুসিয়ানা', 'অচিন', 'তীক্ষ্ণ', 'পবিত্র', 'আর্মির', 'বদ', 'পুণ্য', 'উঠলেই', 'লীগকে', 'নির্দেশনা']
['লুসিয়ানা', 'অচিন', 'তীক্ষ্ণ', 'পবিত্র', 'পুণ্য', 'আর্মির', 'উঠলেই', 'হার্ট', 'বদ', 'লীগকে']
['লুসিয়ানা', 'শতভাগ', 'তত্ত্বের', 'গলা', 'বদ', 'সবুজ', 'জন্মায়', 'উঠলেই', 'সংকীর্ণ', 'তীক্ষ্ণ']
['ঢুকে', 'অ্যানাস', 'গাঁয়ে', 'ঝাঁপিয়ে', 'কঠিন', 'ক\u200cঠিন', 'একক', 'কাউকে', 'সন্ত্রাসীদের', 'প্রসেন']
['পিতৃ', 'বলেননি', 'শুনব', 'নেমেছে', 'উৎসবে', 'ডাকেন', 'আসব', 'একজনকে', 'প্রতিনিধিত্ব', 'গালি']
['অয়লার', 'পেয়েছেন', 'ফ্রেড্রিক', 'শীঘ্র', 'হুট', 'রোমা', 'যেগুলো', 'যেগু\u200cলো', 'ক্যাসিনো', 'যেগুলোর']
['আত্নহত্যার', 'গনহত্যার', 'রাজ্যভাগ', 'বিতৃষ্ণ', 'অ্যানালগ', 'জিনদানি', 'বুদ্ধিনাথ', 'চৌরঙ্গী', 'ওইটুকু', 'স্বাস্থ্যভঙ্গ']
['পেয়েছেন', 'অয়লার', 'ফ্রেড্রিক', 'গুডস', 'শীঘ্র', 'হুট', 'রোমা', 'যেগুলো', 'যেগু\u200cলো', 'ক্যাসিনো']
['', '', '', '', '', '', '', '', '', '']
['পেয়েছেন', 'অয়লার', 'গুডস', 'ফ্রেড্রিক', 'শীঘ্র', 'হুট', 'যেগুলো', 'যেগু\u200cলো', 'রোমা', 'ক্যাসিনো']
['বাঘিনী', 'বিজয়িনী', 'প্রতিবেশিনী', 'সরোজিনী', 'মোসম্যান', 'বাকাস', 'সুদাস', 'রাধারাণী', 'পঙ্কজিনী', 'গামিনী']
['কলঙ্কজনক', 'উল্লেখজনক', 'অপরাধজনক', 'হতাশজনক', 'ভোটগুরু', 'লজ্জাজনক', 'খজনক', 'হতাশাজনক', 'দৌরাত্ম্য', 'সেঞ্চুরিসংখ্যা']
['শিবপুরে', 'শহীদনগরে', 'গোবিন্দপুরে', 'বীরনগরে', 'মোহনপুরে', 'হরিপুরে', 'খাসপুরে', 'খাজানগরে', 'জীবননগরে', 'নাগরপুরে']
['অয়লার', 'পেয়েছেন', 'ফ্রেড্রিক', 'শীঘ্র', 'হুট', 'রোমা', 'যেগুলো', 'যেগু\u200cলো', 'ক্যাসিনো', 'যেগুলোর']
['আত্নহত্যার', 'গনহত্যার', 'দাচী', 'অামি', 'চৌরঙ্গী', 'করোনেশন', 'জিনদানি', 'রাজ্যভাগ', 'অ্যানালগ', 'আজালিয়া']
['বাঘিনী', 'বীর্যপাত', 'গান্ধীজী', 'বুশম্যান', 'গেইম্যান', 'লিঙ্গবাদী', 'তুমহারা', 'প্রতিবেশিনী', 'লুটপাত', 'মোসম্যান']
['পেয়েছেন', 'অয়লার', 'গুডস', 'ফ্রেড্রিক', 'শীঘ্র', 'হুট', 'যেগুলো', 'যেগু\u200cলো', 'রোমা', 'ক্যাসিনো']
['কাব্যময়', 'ছন্দময়', 'স্বল্পদৈর্ঘ্য', 'মাতৃহারা', 'শিলাময়', 'পৃথিবীময়', 'বিবেকহীন', 'ভোটগুরু', 'বর্ণময়', 'কমেডিধর্মী']
['পেয়েছেন', 'অয়লার', 'ফ্রেড্রিক', 'গুডস', 'শীঘ্র', 'হুট', 'যেগুলো', 'যেগু\u200cলো', 'রোমা', 'ক্যাসিনো']
['পক্ষত্যাগ', 'ঝামেলামুক্ত', 'সময়োপযোগী', 'টাক্সি', 'বিশ্বকাপযাত্রা', 'দূরাবস্থা', 'সাম্যাবস্থা', 'কেন্দা', 'স্বল্পদৈর্ঘ্য', 'বিশ্বজোড়া']
['পেয়েছেন', 'অয়লার', 'গুডস', 'ফ্রেড্রিক', 'শীঘ্র', 'হুট', 'যেগুলো', 'যেগু\u200cলো', 'রোমা', 'ক্যাসিনো']
['অয়লার', 'ফ্রেড্রিক', 'শীঘ্র', 'হুট', 'রোমা', 'পেয়েছেন', 'যেগুলো', 'যেগু\u200cলো', 'যেগুলোর', 'ক্যাসিনো']
['পেয়েছেন', 'অয়লার', 'ফ্রেড্রিক', 'শীঘ্র', 'হুট', 'রোমা', 'যেগুলো', 'যেগু\u200cলো', 'ক্যাসিনো', 'এইরকম']
['স্বল্পদৈর্ঘ্য', 'কাব্যময়', 'সাম্যাবস্থা', 'ছন্দময়', 'মাতৃহারা', 'কাটব্যাক', 'বিশ্বকাপযাত্রা', 'পক্ষত্যাগ', 'ভালোবাসামাখা', 'বিবেকহীন']
['কাব্যময়', 'স্বল্পদৈর্ঘ্য', 'মাতৃহারা', 'ছন্দময়', 'কমেডিধর্মী', 'বিবেকহীন', 'উল্লেখজনক', 'সাম্যাবস্থা', 'খজনক', 'সেঞ্চুরিসংখ্যা']
['অয়লার', 'পেয়েছেন', 'ফ্রেড্রিক', 'শীঘ্র', 'হুট', 'রোমা', 'যেগুলো', 'যেগু\u200cলো', 'ক্যাসিনো', 'যেগুলোর']
['মাতৃহারা', 'স্বল্পদৈর্ঘ্য', 'সাম্যাবস্থা', 'কাব্যময়', 'বিবেকহীন', 'উল্লেখজনক', 'ছন্দময়', 'জ্যাকম্যান', 'শারম্যান', 'ভোটগুরু']
['পেয়েছেন', 'অয়লার', 'গুডস', 'ফ্রেড্রিক', 'শীঘ্র', 'হুট', 'যেগুলো', 'যেগু\u200cলো', 'রোমা', 'ক্যাসিনো']
['পেয়েছেন', 'অয়লার', 'ফ্রেড্রিক', 'শীঘ্র', 'হুট', 'রোমা', 'যেগুলো', 'যেগু\u200cলো', 'ক্যাসিনো', 'যেগুলোর']
['পেয়েছেন', 'অয়লার', 'ফ্রেড্রিক', 'গুডস', 'শীঘ্র', 'হুট', 'রোমা', 'যেগুলো', 'যেগু\u200cলো', 'ক্যাসিনো']
['পেয়েছেন', 'অয়লার', 'গুডস', 'ফ্রেড্রিক', 'শীঘ্র', 'হুট', 'যেগুলো', 'যেগু\u200cলো', 'রোমা', 'ক্যাসিনো']
['পেয়েছেন', 'অয়লার', 'গুডস', 'ফ্রেড্রিক', 'শীঘ্র', 'হুট', 'যেগুলো', 'যেগু\u200cলো', 'রোমা', 'ক্যাসিনো']
['আত্নহত্যার', 'সেদেশের', 'গনহত্যার', 'চৌরঙ্গী', 'করোনেশন', 'কেরিন', 'অামি', 'ফেলোশীপ', 'বুদ্ধিনাথ', 'জেরিন']
['ধইরা', 'দেইখা', 'আসেননি', 'মহকুমা', 'আহ্বায়ক', 'করিতেছি', 'জানুয়ারী', 'কইরা', 'শিক্ষক', 'ব্রত']
['অবগত', 'নিঃসন্দেহে', 'ঈদুল', 'ড্রিংক', 'ঘের', 'দুমড়ে', 'উদ্দিনের', 'নির্বিকার', 'নির্বিঘ্নে', 'নিরস্ত্র']
['পেয়েছেন', 'অয়লার', 'গুডস', 'ফ্রেড্রিক', 'শীঘ্র', 'হুট', 'যেগুলো', 'যেগু\u200cলো', 'রোমা', 'ক্যাসিনো']
['পেয়েছেন', 'অয়লার', 'গুডস', 'ফ্রেড্রিক', 'শীঘ্র', 'হুট', 'যেগুলো', 'যেগু\u200cলো', 'রোমা', 'ক্যাসিনো']
['পেয়েছেন', 'অয়লার', 'ফ্রেড্রিক', 'গুডস', 'শীঘ্র', 'হুট', 'রোমা', 'যেগুলো', 'যেগু\u200cলো', 'ক্যাসিনো']
['পেয়েছেন', 'অয়লার', 'ফ্রেড্রিক', 'শীঘ্র', 'হুট', 'রোমা', 'যেগুলো', 'যেগু\u200cলো', 'ক্যাসিনো', 'এইরকম']
['অয়লার', 'হাসিখুশি', 'ফ্রেড্রিক', 'অনতি', 'কোনোভাবে', 'দমবন্ধ', 'স্পোর্টিং', 'বেষ্ট', 'স্পীড', 'স্ট্রাইক']
['যোগিনী', 'কংগ্রেসিয়াল', 'একেশ্বর', 'অরগান', 'ইস্টল্যান্ড', 'মোহান্তি', 'আওলাদ', 'এলহাম', 'নয়ডার', 'হবখালি']
['সালে', 'সা\u200cলে', '\u200eসালে', 'বংশধর', 'নামে', 'না\u200cমে', 'দিতেও', 'করিয়ে', 'সাইদ', 'তাকিয়ে']
['যোগিনী', 'কংগ্রেসিয়াল', 'একেশ্বর', 'মোহান্তি', 'অরগান', 'বাঘিনী', 'প্রমথনাথ', 'ইস্টল্যান্ড', 'এলহাম', 'নয়ডার']
['', '', '', '', '', '', '', '', '', '']
['যোগিনী', 'কংগ্রেসিয়াল', 'একেশ্বর', 'মোহান্তি', 'অরগান', 'প্রমথনাথ', 'বাঘিনী', 'ইস্টল্যান্ড', 'এলহাম', 'নয়ডার']
['ফাউ', 'কইতে', 'বাঘ', 'ফর্সা', 'ট্রেনে', 'গাল', 'মোর্চা', 'ধরেছে', '১৯০', 'কেলেঙ্কারি']
['মাঝারিপাল্লার', 'স্ফীতির', 'বিবেচন', 'নাট্যাচার্য', 'কামিনি', 'প্রবাজ', 'অক্ষমালা', 'গদাদেবী', 'ট্র্যাজিক', 'নৌসেনার']
['রৌদ্রে', 'বাউয়ের', 'নিউটনে', 'মহাবিশ্বে', 'চিত্রলের', 'অধিনে', 'ফান্ডে', 'বারুদে', 'কলহে', 'খাদকের']
['যোগিনী', 'কংগ্রেসিয়াল', 'একেশ্বর', 'মোহান্তি', 'অরগান', 'ইস্টল্যান্ড', 'নয়ডার', 'আওলাদ', 'এলহাম', 'হবখালি']
['সাইদ', 'নামে', 'না\u200cমে', 'ডিসেম্বর', 'করিয়ে', 'নির্মল', 'বলতাম', 'হলফ', 'খাব', 'গোছাতে']
['আসলো', 'পরিস্থিতি', 'কিতাব', 'ফকির', 'শাহর', 'ট্রেনে', 'ঝুঁকি', 'কাকতালীয়', 'যেতেন', 'এসেছিলে']
['যোগিনী', 'কংগ্রেসিয়াল', 'একেশ্বর', 'মোহান্তি', 'অরগান', 'প্রমথনাথ', 'বাঘিনী', 'ইস্টল্যান্ড', 'এলহাম', 'নয়ডার']
['অ্যাস্টেরিক্স', 'ক্রাতেরোস', 'স্লিদারিন', 'হাড়মাসড়া', 'ইফ্রিকিয়ার', 'ধাত্রীবিদ্যা', 'ক্লিপেরটন', 'পরিক্রমন', 'ট্রান্সককেশিয়া', 'ডিসকোর্সেস']
['ফাউ', 'বাঘ', 'মোর্চা', '১৯০', 'ফর্সা', '১৯৬৮', 'গাল', 'কইতে', 'ধরেছে', 'নেতিবাচক']
['পুরোহিত', 'প্রমিলা', 'টেনিদার', 'উর্মিলা', 'কন্সার্ট', 'তানজিলা', 'মাঝারিপাল্লার', 'উত্সাহিত', 'উত্\u200dসাহিত', 'বিতর্কসভার']
['যোগিনী', 'কংগ্রেসিয়াল', 'একেশ্বর', 'মোহান্তি', 'অরগান', 'বাঘিনী', 'প্রমথনাথ', 'ইস্টল্যান্ড', 'এলহাম', 'নয়ডার']
['যোগিনী', 'আওলাদ', 'কংগ্রেসিয়াল', 'ইস্টল্যান্ড', 'ম্যারিয়াস', 'অরগান', 'এঙ্গেল', 'মোহান্তি', 'রকওয়েল', 'একভাগ']
['যোগিনী', 'কংগ্রেসিয়াল', 'একেশ্বর', 'মোহান্তি', 'অরগান', 'বাঘিনী', 'প্রমথনাথ', 'নয়ডার', 'ইস্টল্যান্ড', 'এলহাম']
['মাঝারিপাল্লার', 'বিতর্কসভার', 'পুরোহিত', 'বন্যজীবনের', 'জলগাঁও', 'উত্সাহিত', 'উত্\u200dসাহিত', 'চুলবুল', 'রচেস্টার', 'রঙিলা']
['মাঝারিপাল্লার', 'বিতর্কসভার', 'জলগাঁও', 'চুলবুল', 'ইনলেট', 'বছিলা', 'পুরোহিত', 'রচেস্টার', 'সুশিলা', 'বন্যজীবনের']
['যোগিনী', 'কংগ্রেসিয়াল', 'আওলাদ', 'ইস্টল্যান্ড', 'অরগান', 'মোহান্তি', 'একেশ্বর', 'নয়ডার', 'এনফিল্ড', 'এলহাম']
['কামিনি', 'নরিস', 'শিল্পায়ন', 'সেকালের', 'সিদ্ধান', 'মাজিনি', 'বিবেচন', 'মগিনি', 'বাডেন', 'বেলিনি']
['যোগিনী', 'কংগ্রেসিয়াল', 'একেশ্বর', 'মোহান্তি', 'অরগান', 'বাঘিনী', 'প্রমথনাথ', 'ইস্টল্যান্ড', 'এলহাম', 'নয়ডার']
['যোগিনী', 'কংগ্রেসিয়াল', 'একেশ্বর', 'মোহান্তি', 'অরগান', 'ইস্টল্যান্ড', 'নয়ডার', 'এলহাম', 'আওলাদ', 'বাঘিনী']
['যোগিনী', 'কংগ্রেসিয়াল', 'একেশ্বর', 'মোহান্তি', 'বাঘিনী', 'অরগান', 'প্রমথনাথ', 'ইস্টল্যান্ড', 'নয়ডার', 'এলহাম']
['যোগিনী', 'কংগ্রেসিয়াল', 'একেশ্বর', 'মোহান্তি', 'অরগান', 'বাঘিনী', 'প্রমথনাথ', 'ইস্টল্যান্ড', 'এলহাম', 'নয়ডার']
['যোগিনী', 'কংগ্রেসিয়াল', 'একেশ্বর', 'মোহান্তি', 'অরগান', 'বাঘিনী', 'প্রমথনাথ', 'ইস্টল্যান্ড', 'এলহাম', 'নয়ডার']
['সংখ্যালঘুদের', 'ধরে', 'ধ\u200cরে', 'বেকারত্ব', 'হাসছে', 'সন্ত্রাসী', 'পুলিশকে', 'ছেলেমেয়ে', 'কর্মকাণ্ডে', 'গোলটেবিল']
['লাইগা', 'হইয়াছে', 'খাই', 'টিচার', 'হইলেও', 'অসন্তুষ্ট', 'লাগলেও', 'অগ্রগতি', 'এসেছিলো', 'মেয়েটা']
['আহমদসহ', 'মানববন্ধনসহ', 'তেরিয়ান', 'ইসলামিসহ', 'কলেজসহ', 'শিক্ষকসহ', 'দিওয়ানা', 'গেস্টরুমে', 'অ্যাডেলা', 'স্বেচ্ছাসেবকগণ']
['যোগিনী', 'কংগ্রেসিয়াল', 'একেশ্বর', 'মোহান্তি', 'অরগান', 'বাঘিনী', 'প্রমথনাথ', 'ইস্টল্যান্ড', 'এলহাম', 'নয়ডার']
['যোগিনী', 'কংগ্রেসিয়াল', 'একেশ্বর', 'মোহান্তি', 'অরগান', 'বাঘিনী', 'প্রমথনাথ', 'ইস্টল্যান্ড', 'এলহাম', 'নয়ডার']
['যোগিনী', 'কংগ্রেসিয়াল', 'একেশ্বর', 'মোহান্তি', 'অরগান', 'প্রমথনাথ', 'ইস্টল্যান্ড', 'বাঘিনী', 'এলহাম', 'নয়ডার']
['যোগিনী', 'কংগ্রেসিয়াল', 'একেশ্বর', 'অরগান', 'মোহান্তি', 'ইস্টল্যান্ড', 'এলহাম', 'নয়ডার', 'আওলাদ', 'হবখালি']
['হারবার্ট', 'যোগিনী', 'আওলাদ', 'মুয়াজকে', 'ভেক্টরকে', 'টেনিদাকে', 'ল্যাংটন', 'অ্যাডেল', 'মোহালির', 'করতালির']
['শর্টস', 'এটন', 'ডলস', 'মেশিনস', 'খরগোস', 'বাইরন', 'বিউরেন', 'স্ট্রেস', 'লাইটস', 'ট্রেডস']
['চাচা', 'তৃতীয়', 'মৃত্যুদন্ড', 'স্যরি', 'বিদেশী', 'লব', 'ট্রাইব্যুনালে', 'ছাড়', 'রুমমেট', 'জিন্নাহ']
['খরগোস', 'বিউরেন', 'শর্টস', 'এটন', 'লাইটস', 'পোর্টস', 'লরেন্স', 'إِنَّا', 'হ্যান্ডস', 'মেশিনস']
['', '', '', '', '', '', '', '', '', '']
['খরগোস', 'বিউরেন', 'লাইটস', 'শর্টস', 'এটন', 'লরেন্স', 'পোর্টস', 'إِنَّا', 'ক্যাটস', 'হ্যান্ডস']
['জেলে', 'ভক্তের', 'হবেনা', 'পৈশাচিক', 'দাঁড়ায়', 'জোয়ার', 'আহমেদকে', 'পুলিশ', 'পু\u200cলিশ', 'জয়েন']
['গ্যাফানি', 'ডব্লিউপিপি', 'মূদ্রণ', 'গিলগিট', 'সিভিসি', 'কানাফানি', 'আন্দালিব', 'স্টেথাম', 'ন্যাথান', 'বাঘবেড়']
['টিসিএ', 'শ্রীহট্টে', 'গাংনাপুর', 'ছোংয়ে', 'সিজিএ', 'চিকিৎসালয়', 'রাউজানে', 'ছাগলনাইয়া', 'মেরিয়ট', 'সুতাহাটা']
