['অয়লার', 'গুডস', 'পাবনা', 'পাবনার', 'অইছে', 'ফরিদপুরে', 'ফরিদপুর', 'নিয়ােগ', 'দ্যাটস', 'ব্যাপারটি']
['একাদশী', 'সঞ্চয়ী', 'আত্মত্যাগী', 'চোরাচালানী', 'কাদেরী', 'পদত্যাগী', 'জবানবন্দী', 'আনসারী', 'থ্রী', 'সিলেটী']
['একাদশী', 'সঞ্চয়ী', 'আত্মত্যাগী', 'চোরাচালানী', 'কাদেরী', 'পদত্যাগী', 'জবানবন্দী', 'আনসারী', 'থ্রী', 'সিলেটী']
['চাইনা', 'নিয়েও', 'সন্ত্রাসী', 'আক্রোশ', 'খেয়েছে', 'চাইছি', 'শুনেছে', 'খাতে', 'ছড়াচ্ছে', 'সংখ্যালঘুদের']
['একাদশী', 'সঞ্চয়ী', 'আত্মত্যাগী', 'চোরাচালানী', 'কাদেরী', 'জবানবন্দী', 'পদত্যাগী', 'আনসারী', 'থ্রী', 'সিলেটী']
['একাদশী', 'সঞ্চয়ী', 'আত্মত্যাগী', 'চোরাচালানী', 'পদত্যাগী', 'কাদেরী', 'জবানবন্দী', 'থ্রী', 'আনসারী', 'ফরিদী']
['একাদশী', 'সঞ্চয়ী', 'চোরাচালানী', 'আত্মত্যাগী', 'কাদেরী', 'জবানবন্দী', 'আনসারী', 'পদত্যাগী', 'থ্রী', 'সিলেটী']
['ছাত্রছাত্রী', 'আসামি', 'উনিশ', 'দারোগা', 'মেয়েটা', 'ছাত্র', 'ভালবাসে', 'একটায়', 'চলিতেছে', 'খাই']
['চাইনা', 'বেকারত্ব', 'আক্রোশ', 'ধরে', 'ধ\u200cরে', 'জিতল', 'সংখ্যালঘুদের', '১৫৮', 'বিদেশে', 'সন্ত্রাসী']
['চণ্ডী', 'সঞ্চারী', 'কার্যকারী', 'এক্সো', 'সুগন্ধী', 'মিজো', 'তন্ত্রী', 'বন্ধনী', 'ফুলকো', 'মনযোগী']
['দ্বাদশী', 'রথী', 'গণ্ডী', 'দানবী', 'জুড়ী', 'সুগন্ধী', 'শয়নী', 'কৌশিকী', 'ঈশানী', 'মহাভারতী']
['দ্বাদশী', 'রথী', 'গণ্ডী', 'দানবী', 'জুড়ী', 'সুগন্ধী', 'শয়নী', 'কৌশিকী', 'ঈশানী', 'অভাবী']
['দ্বাদশী', 'রথী', 'গণ্ডী', 'জুড়ী', 'সুগন্ধী', 'দানবী', 'শয়নী', 'কৌশিকী', 'মহাভারতী', 'অভাবী']
['দ্বাদশী', 'রথী', 'গণ্ডী', 'সুগন্ধী', 'জুড়ী', 'দানবী', 'শয়নী', 'তন্ত্রী', 'লেখনী', 'ঢাকী']
['কমান্ডারসহ', 'পকেটে', 'সস্তায়', 'এটাতে', 'জামে', 'বাংলাদেশিসহ', '৪২', 'ঘট', 'পাগলি', 'চুলে']
['দ্বাদশী', 'সুগন্ধী', 'গণ্ডী', 'তন্ত্রী', 'জুড়ী', 'রথী', 'চণ্ডী', 'বন্ধনী', 'বৈরাগী', 'বর্মী']
['দ্বাদশী', 'রথী', 'গণ্ডী', 'সুগন্ধী', 'জুড়ী', 'দানবী', 'শয়নী', 'কৌশিকী', 'লেখনী', 'অভাবী']
['দ্বাদশী', 'রথী', 'গণ্ডী', 'দানবী', 'জুড়ী', 'শয়নী', 'সুগন্ধী', 'কৌশিকী', 'ঈশানী', 'মহাভারতী']
['দ্বাদশী', 'রথী', 'গণ্ডী', 'সুগন্ধী', 'জুড়ী', 'দানবী', 'শয়নী', 'কৌশিকী', 'অভাবী', 'লেখনী']
['দ্বাদশী', 'রথী', 'গণ্ডী', 'সুগন্ধী', 'জুড়ী', 'দানবী', 'শয়নী', 'কৌশিকী', 'অভাবী', 'মহাভারতী']
['নিয়েও', 'চাইনা', 'চাইছি', 'খাতে', 'চাইবেন', 'অসন্তুষ্ট', 'শুনেছে', 'সন্ত্রাসী', 'দেখছি', 'খেয়েছে']
['দ্বাদশী', 'রথী', 'গণ্ডী', 'সুগন্ধী', 'জুড়ী', 'দানবী', 'শয়নী', 'কৌশিকী', 'অভাবী', 'মহাভারতী']
['দ্বাদশী', 'রথী', 'গণ্ডী', 'সুগন্ধী', 'জুড়ী', 'দানবী', 'শয়নী', 'লেখনী', 'অভাবী', 'কৌশিকী']
['দ্বাদশী', 'রথী', 'গণ্ডী', 'দানবী', 'জুড়ী', 'সুগন্ধী', 'শয়নী', 'মহাভারতী', 'কৌশিকী', 'ঈশানী']
['আসামি', 'দারোগা', 'ভালবাসে', 'ছাত্রছাত্রী', 'উনিশ', 'মেয়েটা', 'খাই', 'ছাত্র', 'হইয়াছে', 'হইতেছে']
['চাইনা', 'বেকারত্ব', 'আক্রোশ', 'সংখ্যালঘুদের', 'বিদেশে', 'জার্সি', 'বলিয়াছেন', 'জিতল', 'সন্ত্রাসী', 'চাইবেন']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['তাকসিম', 'চিসিম', 'কার্বলিক', 'মুসলিমলীগ', 'আসপাস', 'মুশরিক', 'আওরঙ্গ', 'চতুর্দশী', 'অসামরিক', 'স্যাডল']
['চতুর্দশী', 'বোজো', 'তোজো', 'পুরাণগড়', 'সেসিল', 'জর্দা', 'ফারমার', 'ইশকুল', 'দিবাচর', 'গীতালি']
['চতুর্দশী', 'বোজো', 'তোজো', 'পুরাণগড়', 'জর্দা', 'সেসিল', 'ফারমার', 'ইশকুল', 'দিবাচর', 'গীতালি']
['চতুর্দশী', 'বোজো', 'তোজো', 'পুরাণগড়', 'জর্দা', 'সেসিল', 'ফারমার', 'ইশকুল', 'গীতালি', 'ফিরপো']
['চতুর্দশী', 'বোজো', 'তোজো', 'পুরাণগড়', 'জর্দা', 'তুসী', 'দিবাচর', 'কুঞ্জলতা', 'সেসিল', 'দস্তানা']
['পকেটে', 'সস্তায়', 'এটাতে', 'জামে', 'ঘট', '৪২', 'কমান্ডারসহ', 'চুলে', 'পাগলি', 'পালন']
['চতুর্দশী', 'আসপাস', 'মাধুরীলতা', 'আওরঙ্গ', 'জংগল', 'ক্র্যাব', 'খালেকদাদ', 'বৈদ্যুতীক', 'চিসিম', 'অসামরিক']
['চতুর্দশী', 'বোজো', 'তোজো', 'পুরাণগড়', 'জর্দা', 'সেসিল', 'ফারমার', 'ইশকুল', 'দিবাচর', 'গীতালি']
['চতুর্দশী', 'তোজো', 'বোজো', 'পুরাণগড়', 'সেসিল', 'জর্দা', 'ফারমার', 'ইশকুল', 'ফিরপো', 'গীতালি']
['চতুর্দশী', 'বোজো', 'তোজো', 'পুরাণগড়', 'জর্দা', 'সেসিল', 'ফারমার', 'ইশকুল', 'দিবাচর', 'গীতালি']
['চতুর্দশী', 'বোজো', 'তোজো', 'পুরাণগড়', 'জর্দা', 'সেসিল', 'ফারমার', 'ইশকুল', 'দিবাচর', 'গীতালি']
['চতুর্দশী', 'বোজো', 'তোজো', 'পুরাণগড়', 'জর্দা', 'সেসিল', 'ফারমার', 'ইশকুল', 'দিবাচর', 'গীতালি']
['নিয়েও', 'চাইনা', 'চাইবেন', 'খাতে', 'খেয়েছে', 'আক্রোশ', 'চাইছি', 'শুনেছে', 'হইয়াছিল', 'সন্ত্রাসী']
['চতুর্দশী', 'বোজো', 'তোজো', 'পুরাণগড়', 'জর্দা', 'সেসিল', 'তুসী', 'ফারমার', 'দিবাচর', 'কুঞ্জলতা']
['চতুর্দশী', 'তোজো', 'বোজো', 'পুরাণগড়', 'জর্দা', 'সেসিল', 'ফারমার', 'ইশকুল', 'ফিরপো', 'গীতালি']
['আসামি', 'দারোগা', 'মেয়েটা', 'ছাত্রছাত্রী', 'উনিশ', 'ভালবাসে', 'খাই', 'হইয়াছে', 'ছাত্র', 'একটায়']
['চাইনা', 'আক্রোশ', 'বেকারত্ব', 'জিতল', 'গেছে', 'গে\u200cছে', '১৫৮', 'বলিয়াছেন', 'ধরে', 'ধ\u200cরে']
['পঞ্চদশী', 'ত্রয়োদশী', 'নিউক্লাসিকাল', 'আশফাকুল', 'পূর্বসুরি', 'ডলফিন্স', 'অরলিন্স', 'জেনিসারি', 'সাইলেন্সার', 'মাগলবর্ন']
['পঞ্চদশী', 'ত্রয়োদশী', 'বৈকল্য', 'রিনজানি', 'সপ্তশতী', 'ভদ্রকালী', 'জাওয়ি', 'উভচরী', 'দাজানি', 'আনজুম']
['পঞ্চদশী', 'ত্রয়োদশী', 'বৈকল্য', 'সপ্তশতী', 'রিনজানি', 'জাওয়ি', 'ভদ্রকালী', 'উভচরী', 'গেহরী', 'আনজুম']
['পঞ্চদশী', 'ত্রয়োদশী', 'বৈকল্য', 'সপ্তশতী', 'রিনজানি', 'জাওয়ি', 'উভচরী', 'ভদ্রকালী', 'গেহরী', 'পলিমারিক']
['পঞ্চদশী', 'ত্রয়োদশী', 'বৈকল্য', 'সপ্তশতী', 'রিনজানি', 'গেহরী', 'পলিমারিক', 'উভচরী', 'ব্যবকলন', 'যুহরী']
['সস্তায়', 'ঘট', 'এটাতে', 'পকেটে', 'মেডেল', 'কুরাইশ', 'বেস্ট', 'জামে', 'চাঁদা', '১৯৪৮']
['পঞ্চদশী', 'ত্রয়োদশী', 'আশফাকুল', 'যজ্ঞবেদী', 'দিগম্বরী', 'সংবেদী', 'যুহরী', 'সাইলেন্সার', 'কাদম্বরী', 'অরলিন্স']
['পঞ্চদশী', 'ত্রয়োদশী', 'বৈকল্য', 'সপ্তশতী', 'রিনজানি', 'জাওয়ি', 'উভচরী', 'ভদ্রকালী', 'গেহরী', 'পলিমারিক']
['পঞ্চদশী', 'ত্রয়োদশী', 'বৈকল্য', 'রিনজানি', 'সপ্তশতী', 'ভদ্রকালী', 'জাওয়ি', 'উভচরী', 'দাজানি', 'আনজুম']
['পঞ্চদশী', 'ত্রয়োদশী', 'বৈকল্য', 'সপ্তশতী', 'রিনজানি', 'জাওয়ি', 'ভদ্রকালী', 'উভচরী', 'গেহরী', 'পলিমারিক']
['পঞ্চদশী', 'ত্রয়োদশী', 'বৈকল্য', 'সপ্তশতী', 'রিনজানি', 'জাওয়ি', 'ভদ্রকালী', 'উভচরী', 'গেহরী', 'পলিমারিক']
['পঞ্চদশী', 'ত্রয়োদশী', 'বৈকল্য', 'সপ্তশতী', 'রিনজানি', 'জাওয়ি', 'উভচরী', 'ভদ্রকালী', 'গেহরী', 'পলিমারিক']
['চাইনা', 'চাইবেন', 'নিয়েও', 'বলিয়াছেন', 'স্কাউট', 'জার্সি', 'কমেছে', 'হইয়াছিল', 'শুনেছে', 'দেখলাম']
['পঞ্চদশী', 'ত্রয়োদশী', 'বৈকল্য', 'সপ্তশতী', 'রিনজানি', 'জাওয়ি', 'ভদ্রকালী', 'উভচরী', 'গেহরী', 'পলিমারিক']
['পঞ্চদশী', 'ত্রয়োদশী', 'বৈকল্য', 'সপ্তশতী', 'রিনজানি', 'জাওয়ি', 'ভদ্রকালী', 'উভচরী', 'আনজুম', 'গেহরী']
['দারোগা', 'মেয়েটা', 'উনিশ', 'আসামি', 'ভলান্টিয়ার', 'হইয়াছে', 'ছাত্রছাত্রী', 'ভালবাসে', 'চাইনা', 'বক্তারা']
['চাইনা', 'বেকারত্ব', 'ধরে', 'ধ\u200cরে', 'দলিত', 'রিকোয়েস্ট', 'আক্রোশ', 'দেখিলাম', 'লিখি', 'বলিয়াছেন']
['এক', 'বর্ণের', 'দাওয়ার', 'কিশোরীর', 'দিয়া', 'তুলছে', 'দেখাই', 'শুন', 'দেহের', 'মদ']
['কটি', 'হৈচৈ', 'খানিকক্ষণ', 'ভোরবেলা', 'বাণিজ্যে', 'তিনটে', 'মহাল', 'রেলিং', 'বগুড়া', 'বিষ্ণুপুর']
['থালা', 'আসাদুজ্জামান', 'পদার্থ', 'প্রশংসায়', 'বসুর', 'কুরআন', 'জিল্লুর', 'কোম', 'আগ্রহের', 'গ্যাল']
['এজে', 'তড়িঘড়ি', 'মাথাব্যথা', 'আয', 'সারিতে', 'মুখোমুখি', 'মসৃণ', 'বাল', 'বাপু', 'আয়ুর']
['ক্যান্সার', 'চাকর', 'ট্র্যাফিক', 'জবাবদিহি', 'সংগ্রামে', 'নাৎসি', 'অনুরোধে', 'বোরখা', 'মানুষে', 'অভিবাসন']
['ছয়', 'পড়বেন', 'প্রাচীনতম', 'সর্বাপেক্ষা', 'দক্ষ', 'বিড়ি', 'মন্তব্যে', 'বেনার', 'দিবেন', 'জাগতিক']
['সাত', 'ব্যাঙের', 'অপরাধের', '৬৩', 'উনাকে', 'লে', 'রাজ', 'তরফ', 'হালদার', 'উল্টা']
['পড়লেন', 'সীমা', 'অ্যান্ডার', 'ডিজি', 'বান্দা', 'প্রতিক্রিয়া', 'বর্ণমালা', 'স্মার্টফোনে', 'তত্ত্ব', 'শুক্রবারের']
['খেলোয়াড়েরা', 'ঘণ্টা', 'মুহূর্তেই', 'জীপ', 'প্রতিপক্ষ', 'মাঝেমধ্যেই', 'ক্ষণ', 'গিয়াস', 'পয়লা', 'কান্ড']
['ডিক', 'ক্যানসার', 'সত্তার', 'আবিষ্কৃত', 'হাসিনা', 'আপাতত', 'মাথাব্যথা', 'লিখেছিলেন', 'নামটি', 'ভাগাভাগি']
['আপাতত', 'ক্যানসার', 'হোয়', 'হাবু', 'শাম', 'হাসিনা', 'ডিক', 'জুটে', 'হরেক', 'আয']
['সীমা', 'প্রতিক্রিয়া', 'অ্যান্ডার', 'পড়লেন', 'ডিজি', 'তত্ত্ব', 'বান্দা', 'শুক্রবারের', 'বর্ণমালা', 'লক্ষণ']
['তেরো', 'হিন্দুর', '60', 'খাই', 'করেছে', 'ক\u200cরে\u200cছে', 'দপ্তরে', 'পর্যটকদের', 'লিখবে', 'প্রশিক্ষক']
['২৪', 'হাবু', 'আয', 'জুটে', 'দিনগুলি', 'হোয়', 'আপাতত', 'শাম', 'ইবন', 'আবদুল্লাহ']
['ব্যক্তি', 'ওয়ার্কিং', 'সর্দি', 'নানি', 'সোনালি', 'মিনি', 'হীর', 'আনুষ্ঠানিকভাবে', 'কৃষকেরা', 'মুখ']
['সতেরো', 'হেরেছে', 'মহকুমা', 'লাগছে', 'হয়নি', 'করেছিস', 'শিক্ষক', 'ইস্যুতে', 'দেখাচ্ছি', 'যাইনি']
['আঠারো', 'অপমানে', 'করিতেছে', 'ভালবাসে', 'বিলু', 'লাগলেও', 'এসেছিলো', 'তনিমা', 'লাগিল', 'খাই']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
