['অ্যাসিস', 'ডেনিস', 'মাতিস', 'ওনান', 'ক্যান্ডিস', 'ম্যারিস', 'ক্যালিস', 'উলিস', 'অ্যাক্সিস', 'মাকিস']
['ড্রিংক', 'ঘের', 'দীর্ঘদিন', 'নিঃসন্দেহে', 'নভো', 'বেটার', 'মিশরের', 'নুর', 'বিলিয়ন', 'উদ্দিনের']
['হাসিখুশি', 'মিসরের', 'ভীষণভাবে', 'কোনোভাবে', 'অনতি', 'ফুলিয়ে', 'ফলশ্রুতিতে', 'স্পোর্টিং', 'এতদূর', 'দমবন্ধ']
['', '', '', '', '', '', '', '', '', '']
['দমবন্ধ', 'বেষ্ট', 'নড়েচড়ে', 'অনতি', 'হুট', 'স্পীড', 'পলাশ', 'গোল', 'রওয়ানা', 'বাজেট']
['', '', '', '', '', '', '', '', '', '']
['হাসিখুশি', 'কোনোভাবে', 'মিসরের', 'যেগুলোর', 'ভীষণভাবে', 'লাগোয়া', 'আশেপাশে', 'ফলশ্রুতিতে', 'স্পীড', 'স্ট্রাইক']
['সহযোদ্ধার', 'মোক্তার', 'স্ফীত', 'হকিন্স', 'সন্স', 'ভগলার', 'জইয়ের', 'অ্যাথলেট', 'প্যান্টস', 'মুনীর']
['যেগুলোর', 'আমাদেরকে', 'অসাধারন', 'সারারাত', 'উপসহকারী', 'এসএম', 'কীরকম', 'একইসাথে', 'টুর', 'l']
['ডোনাল', 'গডেস', 'কুণাল', 'নাভাল', 'আবিদাল', 'লুকাকু', 'আবিদিন', 'আইপিসিসি', 'জাস্টিন', 'শৈশবকাল']
['জেরিকো', 'সান্তিনো', 'তানবীর', 'বুফে', 'লেগিয়া', 'আইসল্যান্ড', 'ওয়াইল্ডার', 'এআইসিসি', 'সান্তোস', 'জিআরসি']
['রাঙ্গামাটি', 'ঢাবি', 'জাম্বিয়া', 'আরএসএস', 'সিরাজুদ্দীন', 'পাগড়ী', 'জহিরউদ্দীন', 'শীলমোহর', 'ক্যাপেলো', 'পোকখালী']
['ইউসিসি', 'ঢাবি', 'জয়দ্বীপ', 'ইউবিআই', 'উইন্ডহাম', 'কাফুরিয়া', 'পিবিআই', 'শ্রীরামকাঠি', 'ত্রিপোলি', 'সোমেশ্বরী']
['কাতালানে', 'জুরাইনে', 'মির্জাবাড়ী', 'বিষয়শ্রেণীর', 'শিমুলবাড়ী', 'পানাহার', 'জর্জিয়ায়', 'মাতারবাড়ী', 'রসনায়', 'ব্রাঞ্চে']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['লুকিং', 'নর্দ্দা', 'কোদালা', 'নমুনাতে', 'ম্দা', 'ল্যাবরেটরিতে', 'উন্নতিতে', 'রুবেলার', 'তালিকাতে', 'মান্দা']
['গডেস', 'খিলক্ষেত', 'জয়দ্বীপ', 'কলাবাগানে', 'হিউসন', 'জাদুশিল্পী', 'জ্যাসন', 'ক্র্যাশ', 'রুপগঞ্জ', 'গোলকগঞ্জ']
['', '', '', '', '', '', '', '', '', '']
['হয়েছেন', 'প্রথা', 'লন্ডন', 'পরীক্ষায়', 'চেতনায়', '১৯৪৮', 'সবার', 'পড়েন', 'কুরাইশ', 'অবিচ্ছেদ্য']
['নাইজেরিয়া', 'মঙ্গোলিয়া', 'চুটিয়া', 'গুড়িয়া', 'লিনিয়া', 'রণেশ', 'সাফিয়া', 'লামিয়া', 'ডেইজ', 'পটিয়া']
['মহনায়', 'কাতালানে', 'সন্মাননায়', 'দোলনায়', 'বিগেলো', 'জীবিতাবস্থায়', 'রসনায়', 'দূর্ঘটনায়', 'ক্রিস্টালে', 'অভিজানে']
['অয়লার', 'কতই', 'সহকারী', 'সুজিত', 'ফটকে', 'উত্ত্যক্ত', 'ঠিকভাবে', 'চললেও', 'সেগুন', 'সম্বন্ধে']
['লিডিয়া', 'জাফনার', 'বিল্লাহ', 'বিএমডব্লিউ', 'তাসবিহ', 'স্কটিয়া', 'জেসিয়া', 'হিয়েন', 'গোমরাহ', 'প্রহৃত']
['প্রচারনায়', 'তুলকালাম', 'পাঠ্যসূচি', 'বেতিনহো', 'বিদেশযাত্রা', 'আরটিভি', 'সাম্যাবস্থা', 'নৃবিজ্ঞানী', 'জর্জিনহো', 'লাটিম']
['জুরাইনে', 'আরএসপি', 'বিগেলো', 'নর্দ্দা', 'রসনায়', 'কাতালানে', 'সন্মাননায়', 'মহনায়', 'অল্পবয়স্ক', 'মান্দা']
['উগান্ডা', 'গাড়োয়ান', 'রতুয়া', 'ভোলেনি', 'প্যালেস্টাইন', 'মিথোলজি', 'গিয়াসুদ্দিন', 'পার্সিয়া', 'মালদ্বীপ', 'ট্যানিয়া']
['ক্র্যাশ', 'কলাবাগানে', 'ধামাইল', 'জার্নালিজম', 'রাসকিন', 'কাহানিয়া', 'স্টিক্স', 'দুর্গাপুজো', 'তুলকালাম', 'খইল']
['ল্যাস্কার', 'তাঁবেদার', 'স্তিলো', 'চার্চমেন্স', 'ফারাজী', 'বাথিন্দা', 'টার্ফে', 'রাব্বানী', 'সুসিলো', 'নিরাপত্তাবাহিনী']
['বৈতাল', 'ল্যাটেক', 'মাহুত', 'মাইমুন', 'জেটস্টার', 'স্নুকার', 'অসঙ্গ', 'সমুন্নত', 'মাতঙ্গ', 'মনিপুরী']
['জ্ঞানচর্চা', 'ঘোস্ট', 'ড্রেসিংরুম', 'প্যালেস্টাইন', 'নার্ভাসনেস', 'পার্টটাইম', 'আউটরিচ', 'উগান্ডা', 'ডার্কনেস', 'অভাজন']
['অয়লার', 'ব্যাপারটি', 'তাৎক্ষণিকভাবে', 'শিহাব', 'নেপালে', 'ফাঁড়ির', 'সিপাহী', 'প্রতিযোগিতা', 'সম্বন্ধে', 'পূর্ত']
['জুরাইনে', 'রসনায়', 'মহনায়', 'সন্মাননায়', 'ছলনায়', 'বিশ্ববাজারে', 'ব্রাঞ্চে', 'দোলনায়', 'আরটিভি', 'বিগেলো']
['আম্বিয়া', 'মাচিকো', 'আরএসএস', 'তাইজুল', 'জাম্বিয়া', 'ঢাবি', 'ইউবিআই', 'ওয়ারিংটন', 'রেজওয়ানা', 'লাটিম']
['ওসিয়ান', 'ভ্রুণে', 'এউ', 'দাঁতমারা', 'এসিআর', 'বিএনআর', 'নদ্দা', 'সোপানে', 'ডান্ডার', 'আকছার']
['', '', '', '', '', '', '', '', '', '']
['জাম্বিয়া', 'কলাম্বিয়া', 'নূরুদ্দীন', 'ভাঙ্গুড়া', 'লিনিয়াস', 'আরএসএস', 'ফিলিক্স', 'বোলোনিয়া', 'সিরাজুদ্দীন', 'হাফিজউদ্দীন']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['মহনায়', 'অভিজানে', 'ক্রিস্টালে', 'সুনানে', 'কাতালানে', 'দোলনায়', 'সন্মাননায়', 'সোপানে', 'রসনায়', 'এসানে']
['সুনানে', 'মান্দা', 'কাতালানে', 'নর্দ্দা', 'মহনায়', 'পাঞ্চোলি', 'গাছুয়া', 'মির্জাবাড়ী', 'ডুমরিয়া', 'ম্দা']
['', '', '', '', '', '', '', '', '', '']
['অয়লার', 'ব্যাপারটি', 'শিহাব', 'ফাঁড়ির', 'সম্বন্ধে', 'কতই', 'নেপালে', 'পূর্ত', 'সিপাহী', 'তাৎক্ষণিকভাবে']
['', '', '', '', '', '', '', '', '', '']
['ক্যাপেলো', 'অথেলো', 'গুণ্ডার', 'নারুটো', 'বিগেলো', 'সাইয়েদ', 'কাহানিয়া', 'ওয়াকান্ডা', 'ক্রিস্টালে', 'সব্জী']
['নওয়াবগঞ্জ', 'টিজার', 'অ্যাথলেটিকো', 'তানিজার', 'অ্যালকিন', 'হাসিনুর', 'নারায়নগঞ্জ', 'দিলজার', 'করণবীর', 'বুবলী']
['প্রচারনায়', 'বাংড়া', 'নমুনাতে', 'পাইকড়া', 'করপোরাল', 'স্কাউটরা', 'লুকিন', 'লুকান', 'পাইকারিতে', 'গাছড়া']
['অয়লার', 'গুডস', 'তাৎক্ষণিকভাবে', 'gov', 'ব্যাপারটি', 'নেপালে', 'আনিসুজ্জামান', 'দরপত্র', 'শিহাব', 'প্রতিযোগিতা']
['মাঠেই', 'জাসদের', 'ঘাম', 'মাল্টি', 'দূরেই', 'জাসদ', 'অস্ত্রের', 'পুণ্য', 'মৌসুমী', 'সমাজে']
['অবগত', 'বড়সড়', 'দৃঢ়', 'লিখেছে', 'ব্যালেন্স', 'ঘাম', 'সমাজে', 'লাগানোর', 'বড়লোক', 'এককালে']
['অবগত', 'বড়সড়', 'লাগানোর', 'ব্যালেন্স', 'দৃঢ়', 'ফাটিয়ে', 'সাম্রাজ্যের', 'লিখেছে', 'সমাজে', 'কুর']
['দুমড়ে', 'অবগত', 'সমাজে', 'লিখেছে', 'দমনের', 'ছাত্রছাত্রীদের', 'ব্যালেন্স', 'দৃঢ়', 'লাগানোর', 'চালিয়েছেন']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['বড়সড়', 'দৃঢ়', 'কার্যকলাপ', 'অটল', 'ছাত্রছাত্রীদের', 'এককালে', 'ভারতবর্ষের', 'অবগত', 'ফাটিয়ে', 'দুমড়ে']
['ওপাশের', 'আইসো', 'নিকোলের', 'রাষ্ট্রদূত', 'আচরণের', 'সৈকতে', 'কথাগুলো', 'কুইন্স', 'কুইন্\u200cস', 'আঞ্চলিক']
['', '', '', '', '', '', '', '', '', '']
['ট্রেনটা', 'একজন', 'কনফারেন্স', 'খল', 'মরবে', 'বিদেশি', 'ওইখানে', 'ডিস্টার্ব', 'সপ্ত', 'অবাধে']
['শর্টস', 'খুশল', 'বিউরেন', 'অ্যানাস', 'হ্যান্ডস', 'গ্রীস', 'ডলস', 'স্ট্রেস', 'হেইল', 'সুজ']
['বড়ো', 'দুমড়ে', 'পাওয়ার', 'পুরনো', 'বিএনপিকে', 'রূপা', 'ভেবেই', 'সমাজে', 'অবগত', 'একাধারে']
['অনতি', 'দমবন্ধ', 'রুমা', 'গোল', 'স্পোর্টিং', 'একদমই', 'মারমা', 'নড়েচড়ে', 'সরেজমিনে', 'আলহামদুলিল্লাহ']
['ফেইন', 'এটন', 'বিউরেন', 'হেইল', 'থেইন', 'এহন', 'খরগোস', 'ট্রেইলার', 'এডলার', 'গেরিলা']
['ছাত্রছাত্রীদের', 'ফাটিয়ে', 'চেনে', 'ঘের', 'আজকে', 'উদ্দিনের', 'চর্চার', 'দমে', 'পরিবেশের', 'ভাষ্যমতে']
['দুমড়ে', 'অবগত', 'ছাত্রছাত্রীদের', 'দৃঢ়', 'লিখেছে', 'সমাজে', 'দমনের', 'চালিয়েছেন', 'ব্যালেন্স', 'বড়সড়']
['আনিয়া', 'মিশতে', 'বিএনপিকে', 'খাওয়ানোর', 'এককালে', 'কার্যকলাপ', 'বড়ো', 'দৃঢ়', 'জাসদের', 'সাম্রাজ্য']
['ছাত্রছাত্রীদের', 'আজকে', 'ফাটিয়ে', 'ভাষ্যমতে', 'চেনে', 'বোঝানোর', 'পরিচিত', 'সৈকতের', 'লিখেছে', 'ঘের']
['বড়ো', 'অ্যালাইস', 'অভ্যন্তরীণ', 'ওপাশের', 'রূপা', 'অবধি', 'পাওয়ার', 'ঘটাতে', 'রাঘব', 'কতটা']
['ফেইন', 'হেইল', 'এহন', 'এডলার', 'রাসূলুল্লাহ্\u200c', 'এটন', 'শতভাগ', 'অ্যালাইস', 'গাবুরা', 'জাসদ']
['অ্যালাইস', 'অ্যানাস', 'বিভক্ত', 'একাগ্র', 'বড়ো', 'মিশতে', 'হেইল', 'লিকস', 'নীলের', 'সুসজ্জিত']
['অনতি', 'দমবন্ধ', 'রুমা', 'গোল', 'নড়েচড়ে', 'স্পোর্টিং', 'স্পীড', 'একদমই', 'পলাশ', 'বেষ্ট']
['দুমড়ে', 'অবগত', 'বড়ো', 'সমাজে', 'দৃঢ়', 'লিখেছে', 'পুরনো', 'লাগানোর', 'দমনের', 'চালিয়েছেন']
['আনিয়া', 'কার্যকলাপ', 'পুরানো', 'খাওয়ানোর', 'এককালে', 'সমাজে', 'পুরনো', 'দৃঢ়', 'বিশাল', 'জাসদের']
['বড়ো', 'অভ্যন্তরীণ', 'ওপাশের', 'লিক', 'গাওয়ার', 'বন্দুকযুদ্ধে', 'পাওয়ার', 'রাঘব', 'রূপা', 'রিজভী']
['', '', '', '', '', '', '', '', '', '']
['আনিয়া', 'কার্যকলাপ', 'সত্ত্বেও', 'এককালে', 'দৃঢ়', 'বড়সড়', 'হবি', 'খাওয়ানোর', 'চলেছেন', 'সাম্রাজ্যের']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['ওপাশের', 'বড়ো', 'দুমড়ে', 'পাওয়ার', 'রূপা', 'লিক', 'রাঘব', 'ফলে', 'বিএনপিকে', 'অভ্যন্তরীণ']
['অবগত', 'দুমড়ে', 'ছাত্রছাত্রীদের', 'দৃঢ়', 'বড়সড়', 'লিখেছে', 'ফাটিয়ে', 'কংক্রিটের', 'ব্যালেন্স', 'এককালে']
['', '', '', '', '', '', '', '', '', '']
['অনতি', 'দমবন্ধ', 'রুমা', 'গোল', 'স্পোর্টিং', 'নড়েচড়ে', 'একদমই', 'স্পীড', 'পলাশ', 'বেষ্ট']
['', '', '', '', '', '', '', '', '', '']
['দুমড়ে', 'পুরনো', 'আনিয়া', 'লিখেছে', 'অবগত', 'চালিয়েছেন', 'কংক্রিটের', 'সমাজে', 'ছাত্রছাত্রীদের', 'এককালে']
['সহযোদ্ধার', 'গোলরক্ষকের', 'ভাষ্যের', 'জইয়ের', 'ঘাটলার', 'অ্যাডলার', 'প্যান্টস', 'সন্স', 'সমাচার', 'অগাস্ট']
['ওপাশের', 'আইসো', 'কার্যকলাপ', 'আনিয়া', 'দুমড়ে', 'ছাত্রছাত্রীদের', 'এককালে', 'দৃঢ়', 'পুরনো', 'অমিত']
['অনতি', 'দমবন্ধ', 'রুমা', 'গোল', 'নড়েচড়ে', 'স্পীড', 'বেষ্ট', 'স্পোর্টিং', 'পলাশ', 'একদমই']
['', '', '', '', '', '', '', '', '', '']
['গ্রামাঞ্চলের', 'ময়দানের', 'ঝাঁর', 'বেহালার', 'পটার', 'সংকর', 'পটভূমির', 'চেনের', 'বহুতর', 'চ্যাটার্জির']
['নিঃসারি', 'কাওলা', 'গ্রিট', 'ট্রান্সিট', 'জেমারি', 'ঝাঁর', 'মুরসি', 'এলিসি', 'কার্সি', 'কেওসি']
['দিনশেষে', 'দিনারি', 'পতিতালয়ে', 'চার্টে', 'শামলী', 'দূরদেশে', 'কান্ডারি', 'বিষয়াবলীর', 'মেয়েলী', 'এরিনায়']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['মজিবর', 'চাউর', 'ডেকের', 'মুন্সীর', 'প্রজেক্টর', 'দরদর', 'সঙ্গতির', 'রাসূলুল্লাহর', 'কিবরিয়ার', 'ঘোরাঘুরির']
['দুইদেশের', 'পৃষ্ঠদেশে', 'মুক্তিনগর', 'দূরদেশে', 'আগানগর', 'তলদেশের', 'প্রত্যাদেশের', 'সিদ্ধার্থনগর', 'পৃষ্ঠদেশের', 'আন্তঃনগর']
['', '', '', '', '', '', '', '', '', '']
['১৯৩', 'কুরাইশ', 'শী', 'মুচকি', 'সস্তায়', 'প্রথা', '১৯৪৮', 'কপট', 'স্লোগান', 'ছুয়ে']
['ট্রিটিজ', 'মুলিয়া', 'বোয়ালিয়া', 'জোহারি', 'স্টারিজ', 'কার্টিজ', 'সুদান', 'বাড়িয়া', 'সিজেল', 'সেপ্টাম']
['দিনশেষে', 'চার্টে', 'দিনারি', 'গামারি', 'কান্ডারি', 'দামারি', 'উত্তরাপথের', 'খেলাশেষে', 'পতিতালয়ে', 'পিটিশনে']
['অয়লার', 'হাসিখুশি', 'যেগুলোর', 'কতই', 'সুজিত', 'ফলশ্রুতিতে', 'কোনোদিনই', 'মিসরের', 'ভীষণভাবে', 'লাগোয়া']
['আজভ', 'পাহাড়িকা', 'মিলেভা', 'বাওয়া', 'দেকা', 'তিনশ', 'ডিয়া', 'রেভা', 'আরওয়া', 'ভালভ']
['দূরদেশে', 'দুইদেশের', 'পারদের', 'শামলী', 'প্রান্তদেশে', 'দিনারি', 'কুম্ভের', 'কান্ডারি', 'বেকের', 'অনুনাদী']
['দিনারি', 'দিনশেষে', 'কান্ডারি', 'পতিতালয়ে', 'চার্টে', 'ভেরোনার', 'ডুবুরির', 'গামারি', 'ইনারি', 'দূরদেশে']
['মুলতানি', 'পারভানি', 'বাস্তানি', 'দামানি', 'উদানি', 'ফুলানি', 'কলোনি', 'সুদানি', 'মাদানি', 'স্পিনিন']
['পরিন্দা', 'ফ্লিন', 'দূরদেশে', 'দুইদেশের', 'ম্যাক্সিন', 'কোর্দা', 'খেরুয়া', 'কেন্দা', 'রামোনা', 'মান্দা']
['ব্যাঙ্ককের', 'রিজিকের', 'আরিকের', 'আর্সেনিকের', 'উরাবি', 'পদার্থসমূহের', 'বহুতলকের', 'কমিকের', 'বলিহারের', 'লিচের']
['বিটাইন', 'ম্যাকাক', 'রিসালা', 'বেইলিক', 'ঋতুরঙ্গ', 'হেমাঙ্গ', 'ফাউজিয়া', 'ইথাইন', 'সামদানী', 'সারণী']
['মিসাল', 'উরাবি', 'কেমাল', 'সিজেল', 'স্টিন', 'রোল', 'কোল', 'সম্ভাষণ', 'কোয়ালিশন', 'চৌধুরানী']
['অয়লার', 'কতই', 'যেগুলোর', 'সুজিত', 'শীঘ্র', 'এইরকম', 'ভেতরটা', 'রোমা', 'হাসিখুশি', 'কোনোদিনই']
['দিনশেষে', 'প্রেরনায়', 'কান্ডারি', 'দিনারি', 'চার্টে', 'ডুবুরির', 'খেলাশেষে', 'কাপাসি', 'দামারি', 'গননায়']
['উরাবি', 'পার্লামেন্টারি', 'নিঃসারি', 'এইদিনে', 'ওয়াহাবি', 'জেমারি', 'হাদারি', 'কইরো', 'বহেল', 'কার্সি']
['দিনশেষে', 'খেলাশেষে', 'ইনুর', 'গাফিলতির', 'কিস্তির', 'পালার', 'মুঠোর', 'ধারাবাহিকতার', 'তদারকির', 'অপচেষ্টার']
['', '', '', '', '', '', '', '', '', '']
['ওয়াহাবি', 'প্রায়রি', 'জানিসারি', 'আরিকের', 'নিঃসারি', 'এমোরি', 'লিটারেরি', 'উরাবি', 'অ্যাথেনা', 'পারভিস']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['দিনশেষে', 'প্রেরনায়', 'সালুর', 'দিনারি', 'চার্টে', 'কান্ডারি', 'দামারি', 'গননায়', 'গাজির', 'চটপটির']
['চাউর', 'কেন্দ্রবিন্দুর', 'দিনারি', 'সেনগুপ্তর', 'কিবরিয়ার', 'মৃধার', 'ভরসার', '৪০টির', 'নাতনির', 'ঘোরাফেরার']
['', '', '', '', '', '', '', '', '', '']
['অয়লার', 'কতই', 'যেগুলোর', 'সুজিত', 'শীঘ্র', 'হাসিখুশি', 'এইরকম', 'ভেতরটা', 'রোমা', 'কোনোদিনই']
['', '', '', '', '', '', '', '', '', '']
['কাপুনি', 'দূরদেশে', 'বেলুড়', 'কান্ডারি', 'হুসাইল', 'নুরানী', 'পরিন্দা', 'দামারি', 'পরবর্তীসময়ে', 'কাণ্ডারি']
['অ্যালিন', 'ল্যাংড়া', 'প্যালেস্টাইন', 'ডেভিন', 'ঝাড়ুদার', 'মুরালি', 'পাতিদার', 'গডিন', 'অ্যালিনা', 'ফৌজদার']
['ওঠানামার', 'মূলনীতির', 'জনসভার', 'কাটাকাটির', 'ডোবার', 'হিটে', 'প্রতিদ্বন্দ্বিতার', 'উত্তাপে', 'রাজস্থানে', 'দৃঢ়তার']
['অয়লার', 'কতই', 'যেগুলোর', 'শীঘ্র', 'সুজিত', 'এইরকম', 'আর্ত', 'রোমা', 'গুলিবর্ষণ', 'যেটার']
['', '', '', '', '', '', '', '', '', '']
['তারানগর', 'একরাম', 'প্রায়রি', 'রহিমাপুর', 'সেভিল', 'সাকিল', 'সুন্নিয়া', 'সাফিল', 'সার্জিও', 'কাপিল']
['', '', '', '', '', '', '', '', '', '']
['এসানে', 'দোলনায়', 'সেঞ্চুরিয়ন', 'এসাইল', 'ক্রিস্টালে', 'হাতুড়', 'হিলিয়ামে', 'প্রোডাকশনে', 'মহনায়', 'কালনায়']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['ইউক্রেন', 'নকলা', 'সমাধা', 'বুলবুলি', 'ফিসা', 'প্রেমি', 'কোদালা', 'গুড়া', 'নাচি', 'অচলা']
['আর্ডেন', 'ওবোন', 'হালডেন', 'হ্যালডেন', 'কার্নাল', 'মালওয়ার', 'গোঁজার', 'জ্যাডেন', 'মালডেন', 'লুকান']
['', '', '', '', '', '', '', '', '', '']
['লন্ডন', 'পড়েন', 'কুরাইশ', 'কপট', 'সবার', 'হেসে', 'খো', 'গাই', 'অ্যাকাউন্ট', 'প্রথা']
['ফ্যাট', 'প্যারাসেল', 'কঙ্গোর', 'দৌলাহ', 'মঙ্গোলিয়', 'অ্যালো', 'রুহেল', 'ড্রিল', 'মুগল', 'ফিডেল']
['দোলনায়', 'কালনায়', 'সেঞ্চুরিয়ন', 'দুরবস্থার', 'মহনায়', 'এসানে', 'নল্টে', 'বিগেলো', 'মধ্যস্থানে', 'আকছার']
['চলনের', 'আইসো', 'প্রাণীর', 'জিগলার', 'কিলোমিটার', 'দত্তের', 'ভাষণে', 'ব্যাক্তির', 'আজকে', 'শোনালেন']
['সেকেলে', 'বাস্ট', 'লিমিট', 'প্রেসকট', 'ফ্লোট', 'সিংহলে', 'স্লট', 'রোট', 'গেইট', 'শ্লেট']
['ডিয়াজ', 'ভাসালেন', 'আশ্রিতা', 'রাহেলা', 'বঞ্চিতরা', 'ডোবালেন', 'নিস্পন্দ', 'খেলালেন', 'সেঞ্চুরিয়ন', 'সঞ্জিতা']
['হাতুড়', 'সেঞ্চুরিয়ন', 'এসাইল', 'দোলনায়', 'হিলিয়ামে', 'বিগেলো', 'কালনায়', 'কম্পাইল', 'এসানে', 'উলাইল']
['ইথেন', 'খৃস্টান', 'পটানি', 'মাস্তানি', 'স্টিফানি', 'থুতনি', 'চাটনি', 'খায়েন', 'ঝুরি', 'এন্টালি']
['সাইয়েদ', 'লুকিন', 'কুইনিন', 'নিস্পন্দ', 'মেডিনা', 'ওবোন', 'খইল', 'কর্ণাটক', 'রাসকিন', 'কার্নাল']
['বৃদ্ধিহার', 'পুনর্বিবেচনা', 'আনায়ন', 'প্রেলগ', 'মহাবর্গ', 'আসফাক', 'পুনর্বিবাহ', 'রাশিটিকে', 'সাইক্লোন', 'দুবোয়া']
['অণুর্ধ', 'রিকসা', 'ক্লদ', 'মার্থা', 'নিউরোন', 'পিটারসেন', 'শিবরাম', 'দৌলাহ', 'সিয়েন', 'বিল্লাহ']
['পরিদর্শিত', 'গেটলক', 'প্রদাহ', 'ব্যতিত', 'মহাযোগ', 'প্রতিপালিত', 'অভাজন', 'সন্নিবেশিত', 'অনাগ্রহ', 'ডায়ানা']
['চলনের', 'আইসো', 'ব্যভিচার', 'প্যারাসুট', 'সংখ্যায়', 'খাদ্যশস্য', 'জিগলার', 'অসুস্থতার', 'প্রথমবারের', 'অবমাননার']
['হিলিয়ামে', 'ছলনায়', 'দোলনায়', 'ওয়ালকট', 'মহনায়', 'কালনায়', 'ওয়েস্টকট', 'এসানে', 'সন্মাননায়', 'প্রোডাকশনে']
['ইউক্রেন', 'বেচাকেনার', 'নির্বাহিত', 'প্রতিপালিত', 'প্রণোদিত', 'দর্শিত', 'ক্রসবো', 'প্রসিত', 'নিক্ষেপিত', 'ডেরেন']
['ওউ', 'ইম্পোর্ট', 'বলাচ্ছে', 'খন্ডিত', 'অভিজিত', 'মাতাবেন', 'জড়িয়েছেন', 'বার্কেট', 'খেলাচ্ছে', 'পালাচ্ছে']
['', '', '', '', '', '', '', '', '', '']
['তিয়েন', 'ইউক্রেন', 'সাইক্লোন', 'কিটোন', 'নর্মাল', 'নোভেল', 'হুলেন', 'টোকেন', 'ডেরেন', 'ফিনিয়েল']
['', '', '', '', '', '', '', '', '', '']
['সেঞ্চুরিয়ন', 'কালনায়', 'ষ্টলেন', 'ইউক্রেন', 'দোলনায়', 'সামলালেন', 'আরলেন', 'ওঠাচ্ছে', 'বাঙ্কার', 'মধ্যস্থানে']
['কিনিয়ার', 'ইউক্রেন', 'ট্রাইয়ার', 'আজওয়ার', 'ফ্লাইয়ার', 'মিশনারি', 'কালনায়', 'এসানে', 'দোলনায়', 'সরয়ার']
['', '', '', '', '', '', '', '', '', '']
['চলনের', 'আইসো', 'ব্যভিচার', 'জিগলার', 'সংখ্যায়', 'খাদ্যশস্য', 'প্যারাসুট', 'অসুস্থতার', 'দত্তের', 'বলরাম']
['', '', '', '', '', '', '', '', '', '']
['সেঞ্চুরিয়ন', 'কিটোন', 'আদ্রিতা', 'নিস্পন্দ', 'স্টিকার', 'ইউক্রেন', 'ঘনাদা', 'আকন্দ', 'অবাঞ্চিত', 'ক্রীড়ানক']
['বেহাত', 'কামাত', 'শাফাত', 'কুণাল', 'ফাতাত', 'স্বাক্ষাত', 'জিনাত', 'ফরাত', 'বিদাত', 'রাফাত']
['প্রেমি', 'প্রতিপালিত', 'প্রত্যাবর্তিত', 'ইউক্রেন', 'পুনর্মিলিত', 'সন্ত্রাসবাদি', 'বৈজ্ঞানিকরা', 'এগরা', 'ব্যবহারিত', 'দালালি']
['চলনের', 'আইসো', 'ব্যভিচার', 'প্যারাসুট', 'অসুস্থতার', 'প্রথমবারের', 'খাদ্যশস্য', 'সংখ্যায়', 'মাইকেল', 'অবমাননার']
['ক্রিস্টেন', 'তিয়েন', 'পোষেন', 'ক্যান্ডেল', 'ইউক্রেন', 'ডেরেন', 'ফ্রাঙ্কেন', 'ভূপেন', 'অস্টেন', 'প্যাটেন']
['', '', '', '', '', '', '', '', '', '']
['ফ্যামিলিয়া', 'হোল্ড', 'ক্যারোল', 'প্যাডেল', 'স্কার্ট', 'পারভান', 'তিরুমালা', 'থাগ', 'ফজলল', 'জেনেভা']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['গারা', 'কুমিরা', 'বিছা', 'খাতুনেরা', 'মাল্টা', 'মিয়ারা', 'মাজা', 'জিনা', 'সহিল', 'যক্ষা']
['গেইজ', 'ইন্ডাস্ট্রিজ', 'ফ্রান্সিসকান', 'আশরাফিয়া', 'জামানিয়া', 'কায়সারিয়া', 'ক্রাস', 'মার্সিয়া', 'জ্যোতির্বিজ্ঞান', 'ক্লেয়ার']
['', '', '', '', '', '', '', '', '', '']
['লন্ডন', 'ছিলোনা', 'কাটছিল', 'সেকেন্ড', 'দেখিনি', 'দাঁড়াবে', '১৮৪', 'ভালবাসেন', 'ফিরছিল', 'গাই']
['লুয়ান্ডা', 'রোয়ান্ডা', 'রুয়ান্ডা', 'লিয়াওনিং', 'রেসলমেনিয়া', 'ছিয়াত্তর', 'চুকোরোভা', 'এসপানিওলা', 'যুগোস্লাভ', 'এডুয়ার্ডো']
['ইণ্ডিয়া', 'প্যাংগং', 'ঢেঁড়স', 'তিরুমালা', 'বুলগেরিয়া', 'খাড়িয়া', 'অগুনতি', 'খৈয়াছড়া', 'বালেন্সিয়া', 'প্লীহা']
['খরগোস', 'লাইটস', 'বিউরেন', 'ক্যাটস', 'লিপস', 'কোল্ডপ্লে', 'মুডস', 'হ্যান্ডস', 'থেইন', 'এনসিও']
