['প্রথমা', 'প্রকাশন', 'পঞ্চাশ', 'মহিউদ্দিন', 'বিচিত্রবীর্যের', 'প্রকাশনের', 'একাত্তরের', 'চুরাশিতেই', 'গবেষকmohi2005', 'আঠারো']
['দশমী', 'সারদানন্দ', 'নাজনা', 'অমান্যকারীকে', 'বিজয়াদশমী', 'প্রতিপদ', 'গেতাফের', 'এনজিটি', 'পূর্নিমা', 'আখমাতোভা']
['দশমী', 'বিজয়াদশমী', 'মেক্সিকানসহ', 'শুক্লপক্ষ', 'চতুর্থীর', 'আতিকুরকে', 'লাহোরের', '৩৩টিতে', 'এনজিটি', 'কালীয়']
['কোনোভাবেই', 'নয়', 'অসম্ভবও', 'কাম্য', 'ভাবছেনই', 'মানেন', 'মিউলম্যান', 'সম্ভবও', 'গেতাফের', 'মোটেই']
['দশমী', 'পাঁচকুলা', 'সন্ধ্যাবেলায়', 'এনজিটি', 'বিজয়াদশমী', 'কার্তিকী', 'ব্লিটজের', 'যশরা', '1861', 'বোনারপাড়া']
['দশমী', 'বিজয়াদশমী', 'পাঁচকুলা', 'ছাগলনাইয়ায়', 'স্বাতীলেখা', 'কালীয়', 'মৌনী', 'এনজিটি', 'প্রতিপদ', 'কেবিই']
['দশমী', 'পাঁচকুলা', 'রটন্তী', 'কাচ্চি', 'যশরা', 'ভাইনাল্ডাম', 'ম্যারিলিন', 'কেবিই', 'ওয়াহবি', 'কেভিতোভা']
['দশমী', 'শিবাঙ্গী', 'পাঁচকুলা', 'কেভিতোভা', 'ছাগলনাইয়ায়', 'শিরোদকর', 'এনজিটি', 'হালেপ', 'শ্যামনগরে', 'পান্ডিয়াদের']
['দশমী', 'পাঁচকুলা', 'দিভোয়ারে', 'স্প্যানডেক্স', 'গ্রোপিয়াস', 'বিজয়াদশমী', 'চিরসত্য', '1861', 'শ্যামনগরে', 'এরজুরুম']
['দশমী', 'পাঁচকুলা', 'এক্কা', 'এনজিটি', 'এমএসিসি', 'ম্যান্ডেটরি', 'যশরা', 'কমলাকে', 'এরজুরুম', 'বার্লিংটন']
['বদহজম', 'পাঁচকুলা', 'ফ্লোরি', 'যুদ্ধকবলিত', 'চাতলাপুর', 'শতাব্দীতেও', 'সতেরো', 'আশ্রাফাবাদ', 'অস্ত্রাখান', 'কাপ্তাইয়ের']
['দশমী', 'পাঁচকুলা', '1940', 'ফ্লোরি', 'এনজিটি', 'গ্রেগোরিয়ান', '1930', '১টায়', 'এনায়েতপুর', 'আঠারো']
['এক', 'বলা', 'একাদশী', 'এমন', 'প্রতিবেদনে', 'সেই', 'আরেক', 'অর্থাৎ', 'এমনই', 'বলেও']
['দুই', 'একাদশী', 'তিন', 'উভয়', 'মাসের', 'পক্ষই', 'মনে', '—', 'আরেক', 'চার']
['একাদশী', 'তিন', 'মাসের', 'চার', 'মাস', '•', 'ছয়', 'আরেক', 'রেখে', 'প্রবোধিনী']
['একাদশী', 'চার', 'তিন', 'ছয়', 'মাসের', '•', 'মাস', 'প্রবোধিনী', 'অর্থাৎ', 'বিবাদীকে']
['একাদশী', 'মাসের', 'পাঁচ', 'প্রবোধিনী', 'শয়নী', '•', 'ছয়', 'মাস', 'তিন', 'চার']
['একাদশী', 'প্রবোধিনী', 'শয়নী', 'কৃষ্ণপক্ষের', 'শুক্লপক্ষের', 'চতুর্থী', 'ষষ্ঠী', 'পঞ্চমী', 'প্রতিপদ', 'শুক্লাষষ্ঠী']
['একাদশী', 'মাসের', 'সাত', 'শয়নী', 'প্রবোধিনী', 'মাস', 'শুক্লাষষ্ঠী', 'পঞ্চমী', 'ষষ্ঠী', 'প্রতিপদ']
['একাদশী', 'প্রবোধিনী', 'শয়নী', 'আট', 'মেক্সিকানসহ', 'জাক্সা', 'মীন', 'মাসের', 'শুক্লাষষ্ঠী', 'নির্জলা']
['নয়', 'হোক', 'সেটা', 'সময়ই', '—', 'কোনোভাবেই', 'কী', 'তাহলে', 'বরং', 'উচিত']
['একাদশী', 'প্রবোধিনী', 'শয়নী', 'শুক্লাষষ্ঠী', 'মহাশিবরাত্রি', 'শুক্লপক্ষের', 'চতুর্থী', 'নীরবতাও', 'কার্ত্তিক', 'ষষ্ঠী']
['একাদশী', 'প্রবোধিনী', 'শয়নী', 'প্রতিপদ', 'শুক্লাষষ্ঠী', 'শুক্লপক্ষের', 'মহাশিবরাত্রি', 'কার্তিকী', 'তিথিতে', 'ভোগালী']
['একাদশী', 'প্রবোধিনী', 'শয়নী', 'কার্তিকী', 'পঞ্চমী', 'ভোগালী', 'শুক্লাষষ্ঠী', 'প্রতিপদ', 'নির্জলা', 'কৃষ্ণপক্ষের']
['একাদশী', 'প্রবোধিনী', 'শয়নী', 'কার্তিকী', 'ভোগালী', 'শুক্লাষষ্ঠী', 'পঞ্চমী', 'প্রদোষ', 'নির্জলা', 'নীরবতাও']
['একাদশী', 'প্রবোধিনী', 'শয়নী', 'নির্জলা', 'কার্তিকী', 'ভোগালী', 'শুক্লাষষ্ঠী', 'মহাশিবরাত্রি', 'একাদশীতে', 'সাওম']
['একাদশী', 'প্রবোধিনী', 'শয়নী', 'প্রদোষ', 'কার্তিকী', 'শুক্লাষষ্ঠী', 'মহাশিবরাত্রি', 'ভোগালী', 'পূর্নিমা', 'পুরুষোত্তম']
['একাদশী', 'সতেরো', 'প্রবোধিনী', 'শয়নী', 'শ্রেয়', 'স্বয়ম্ভু', 'পীঠ', 'প্রদোষ', 'প্লেসমেন্ট', 'ফ্রিডেল']
['একাদশী', 'প্রবোধিনী', 'শয়নী', 'মহাশিবরাত্রি', 'কার্তিকী', 'চতুর্দশী', 'প্রতিপদ', 'চৈত্রসংক্রান্তি', 'শুক্লাষষ্ঠী', 'হ্যালোইন']
['এক', 'সম্প্রতি', 'এমনই', 'শুক্রবার', 'বৃহস্পতিবার', 'আজ', 'সোমবার', 'এমন', 'এরপরই', 'অদ্ভুত']
['দুই', 'অন্যদিকে', 'এদিকে', '•', 'এরই', 'এরপরই', 'সম্প্রতি', 'দুটি', 'ওদিকে', '—']
['•', 'সবশেষ', 'আগের', 'টানা', 'পরশু', 'এরপরই', 'সম্প্রতি', 'ওদিকে', 'এমনই', 'এবার']
['•', 'সবশেষ', 'চার', 'টানা', 'ওদিকে', 'ম্যাচেই', 'পরশু', 'আগের', 'তবু', 'কালকের']
['•', 'সবশেষ', 'প্রসঙ্গত', 'এরপরই', 'পাঁচ', 'পরশু', 'অভিধর্মকোশের', 'ওদিকে', 'ঝাউগড়া', 'এমনই']
['ক্রিটারস', 'জম্ম', 'জলবায়ুবিজ্ঞান', 'দ্বাদশী', 'ফালুট', 'কমলাদেবী', '8B', 'ইত্যা\u200cদি', 'এএলএস', 'জয়দ্বীপ']
['•', 'প্রসঙ্গত', 'অ্যান্থনিও', 'ঘনকটি', 'ইপিজেডগুলো', 'ভলফ্\u200cসবুর্গ', 'এরপরই', 'ঝাউগড়া', 'জিয়াবিরোধী', 'বাস্তিলে']
['•', 'রোস্তভে', 'মেক্সিকানসহ', 'ভার্সনটি', 'ইপিজেডগুলো', 'প্রাকদর্শন', 'টুয়েন্টিফোর', 'সবশেষ', 'ফোনটিকে', 'দাইর']
['নয়', 'কোনোভাবেই', 'সেটিও', 'শঙ্কা', '—', 'শুধু', 'এমনই', 'সময়ই', 'ভাবছেনই', 'সেটির']
['ভার্সনটি', 'ক্যত', 'চারুশিল্পের', 'মাকুমের', 'দ্বাদশী', 'সর্বোচ্চ্য', 'অক্টো', 'টিএইচসি', '750', 'গুড়িয়াহাটি']
['দ্বাদশী', 'স্পিটি', 'গোধুলী', 'বাসিয়া', 'ফ্রেব্রুয়ারী', 'হ্যাফনিয়াম', '২৯ই', 'সুবাসিত', 'পুনিয়া', 'দেড়টায়']
['দ্বাদশী', 'ইতঃপূর্বেই', 'মুন্ডো', 'কাকিনাড়া', 'তুঙ্গভদ্রা', 'বরবক্র', 'হরিহরালয়', 'কুলিয়ারচরের', 'ইসরায়েলেও', 'অর্থবৎসরে']
['ইসরায়েলেও', 'ভূকম্প', 'দ্বাদশী', 'শান্তিলতা', 'ভোরের', 'রেজো', 'জম্ম', 'মহানবমী', 'সব\u200cচে\u200cয়ে', 'এম্পেদোক্লেস']
['দ্বাদশী', 'সালেে', '৮টায়', 'অস্ত্রাদি', 'আদুগে', 'স্যাটেলাইটগুলো', 'শকুন্তলম', 'ভোরের', '৭০°', 'সাতালি']
['৮টায়', 'আড়িপাতা', 'বন্দরনগর', 'বেলারি', 'মান্ডিয়া', '৭০°', 'দ্বাদশী', 'সিঙ্গাইরে', 'ইসরায়েলেও', 'বহুচারা']
['সতেরো', 'পঞ্চরথ', 'বড়কুঠি', 'শিবমোগা', 'বীজাগার', 'অপরিণামদর্শী', 'ইলামবাজার', 'বায়োপিক', 'জল্লাদখানা', 'কাঠখোদাই']
['দেড়টায়', 'স্নেইডার', '১১০৯', 'বিরাজবৌ', 'ট্রাকগুলি', 'মূলনীতিগুলো', 'নীলবিদ্রোহের', 'আলাগ', 'গোধরা', 'বহির্গমনের']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['এক', 'সেই', 'আরেক', 'সম্প্রতি', 'সোমবার', 'দুই', 'তিন', 'ওই', 'এমন', 'এমনই']
['দুই', 'উভয়', 'তিন', 'অপর', 'পক্ষের', 'দুটি', 'চতুর্দশী', 'আরেক', 'একইভাবে', 'আগের']
['তিন', 'দুই', 'মাসের', 'চতুর্দশী', 'আগের', 'ছয়', 'চার', 'আরেক', 'একই', 'অপর']
['চার', 'তিন', 'ছয়', 'দুই', 'চতুর্দশী', 'আগের', 'মাসের', 'তবু', '•', 'পাঁচ']
['পাঁচ', 'মাসের', 'তিন', 'ছয়', 'চতুর্দশী', 'চার', 'আগের', '•', 'কৃষ্ণপক্ষের', 'কারাদণ্ড']
['চতুর্দশী', 'কৃষ্ণপক্ষের', 'তিথিতে', 'প্রতিপদ', 'মহাশিবরাত্রি', 'পূর্নিমা', 'শুক্লপক্ষের', 'শুক্লাষষ্ঠী', 'নবমী', 'ত্রয়োদশী']
['চতুর্দশী', 'মাসের', 'সাত', 'কৃষ্ণপক্ষের', 'ছয়', 'তিথিতে', 'প্রতিপদ', 'শুক্লপক্ষে', 'মাস', 'ত্রয়োদশী']
['চতুর্দশী', 'আট', 'মাসের', 'মেক্সিকানসহ', 'কৃষ্ণপক্ষের', 'ত্রয়োদশী', 'দিনসংখ্যা', '•', 'কার্ত্তিক', 'ছয়']
['নয়', '—', 'হোক', 'কী', 'তবু', 'সেটা', 'শুধু', 'কোনোভাবেই', 'যাচ্ছে', 'যাবে']
['চতুর্দশী', 'কৃষ্ণপক্ষের', 'মহাশিবরাত্রি', 'তিথিতে', 'শুক্লাষষ্ঠী', 'পূর্নিমা', 'কার্ত্তিক', 'দিনসংখ্যা', 'প্রতিপদ', 'শুক্লপক্ষে']
['চতুর্দশী', 'কৃষ্ণপক্ষের', 'মহাশিবরাত্রি', 'শয়নী', 'অষ্টমী', 'পূর্নিমা', 'হৈমন্তী', 'নবমী', 'প্রতিপদ', 'তিথিতে']
['চতুর্দশী', 'কৃষ্ণপক্ষের', 'তিথিতে', 'প্রতিপদ', 'মহাশিবরাত্রি', 'শুক্লাষষ্ঠী', 'পূর্নিমা', 'ত্রয়োদশী', 'শুক্লপক্ষের', 'অষ্টমী']
['চতুর্দশী', 'কৃষ্ণপক্ষের', 'পূর্নিমা', 'প্রতিপদ', 'রটন্তী', 'ত্রয়োদশী', 'শুক্লাষষ্ঠী', 'চতুর্দশীতে', 'সন্ধায়', 'মহাশিবরাত্রি']
['চতুর্দশী', 'মহাশিবরাত্রি', 'পূর্নিমা', 'কৃষ্ণপক্ষের', 'শয়নী', 'শুক্লাষষ্ঠী', 'শুক্লপক্ষে', 'প্রতিপদ', 'রটন্তী', 'হৈমন্তী']
['চতুর্দশী', 'পূর্নিমা', 'মহাশিবরাত্রি', 'কৃষ্ণপক্ষের', 'কেন্দুলি', 'ত্রয়োদশী', 'শুক্লাষষ্ঠী', 'নবমীতে', 'জয়দেব', 'প্রতিপদ']
['চতুর্দশী', 'সতেরো', 'কৃষ্ণপক্ষের', 'মহাশিবরাত্রি', 'মেটেলি', 'স্বয়ম্ভু', 'ইউনিয়নসমূহ', 'ফ্যারাডের', 'পূর্নিমা', 'খসড়ায়']
['চতুর্দশী', 'মহাশিবরাত্রি', 'আঠারো', 'পূর্নিমা', 'কৃষ্ণপক্ষের', 'প্রতিপদ', 'শুক্লপক্ষে', '১৩৯০', '১৬৯৫', 'ত্রয়োদশী']
['এক', 'আরেক', 'সম্প্রতি', 'এমনই', 'এমন', 'সেই', 'কীভাবে', 'ওই', 'কী', 'বদলে']
['দুই', 'আরেক', 'উভয়', 'দুজনই', 'একদিকে', 'দুটি', 'দুটো', 'সম্প্রতি', 'এতে', 'পরস্পরের']
['আরেক', 'দুজনই', 'তিন', 'সম্প্রতি', 'আরেকজন', 'একদিকে', 'আগের', 'একই', 'এমনই', 'অন্য']
['চার', 'আরেক', 'দুজনই', 'ওদিকে', 'বলেই', '•', 'দিল', 'দলই', 'দুটো', 'এমনই']
['দুজনই', 'পাঁচ', 'মিমুরা', 'আরেক', 'জিসিসির', 'আরেকজন', 'সম্প্রতি', 'করাতমাছ', 'মন্ত্রীগণের', 'একদিকে']
['ক্লাইমেনেস্ত্রার', 'বাহুদ্বয়', 'ফ্রিগের', 'সাংগ্রাইতে', 'লিঙ্গেরই', 'লুসিয়ানো', 'মহাসাগরেও', 'ক্যাস্পিয়ানের', 'এনএসজিতে', 'মহাকর্ষীয়ভাবে']
['সারদানন্দ', 'অখণ্ডানন্দ', 'হুনাহপু', 'একদিকে', 'মিমুরা', 'কিতেরেৎসুর', 'জিসিসির', 'সোহং', 'প্রভবানন্দ', 'মন্ত্রীগণের']
['মেক্সিকানসহ', 'পঞ্চদশী', 'কার্চানিডি', 'অভাগা', 'জাতিও', 'ইমা', 'জিসিসির', 'ধর্মগুলিকে', 'ভাগ্যশ্রী', 'বলছো']
['নয়', 'কী', 'কোনোভাবেই', 'কারও', 'সেটা', 'শুধু', 'হোক', 'তো', 'কীভাবে', 'ভাবছেনই']
['পঞ্চদশী', 'সধবাকে', 'ব্যাটসম্যানটির', 'তিস্তায়', 'ক্যাস্পিয়ানের', 'সালাহই', 'হৈল', 'এক্সিবালবা', 'ভাবো', 'দেবেই']
['পঞ্চদশী', 'বলেছিলে', 'কাইন্দ', 'স্বর্গলোক', 'ভলভক্স', 'হৈল', 'ফ্রিগের', 'দেকে', 'নিট্রো', 'দাওনি']
['পঞ্চদশী', 'رَّحِيمٌ', 'মোহনের', 'হলা', 'রাষ্ট্ররা', 'এসোসিয়েশনকে', 'কাইন্দ', 'আরিমানের', 'ফ্রান্সকেই', 'র\u200d্যাহনা']
['পঞ্চদশী', 'আমুরে', 'কাইন্দ', 'মিনিন', 'পার্কওয়ের', 'ঢুকছিল', 'পাঞ্চালরাজ', 'জন্তুদের', 'মৎস্যকন্যা', 'শংকরী']
['পঞ্চদশী', 'ফ্রান্সকেই', 'বলেছিলে', 'হৈল', 'জন্মান্তরে', 'নায়া', 'কাইন্দ', 'ইমরানুলকে', 'অবতারকে', 'ঢুকছিল']
['পঞ্চদশী', 'ঠিকাছে', 'আসছ', 'কাইন্দ', 'খোলে', 'জয়চন্দ্রের', 'তোমাদেরও', 'স্বর্গলোক', 'মিটিমিটি', 'বিক্রান্তের']
['খাতই', 'আদায়যোগ্য', 'পেরিমিটার', 'রাষ্ট্রগঠনের', 'নেপোলিয়নের', 'লোকগুলোকে', 'জাগবে', 'জনবিশ্বাস', 'প্লেসমেন্ট', 'আশাহীন']
['পঞ্চদশী', 'বলেছিলে', 'স্বর্গলোক', 'ঝড়টাই', 'কোনোটিরই', 'কিউঁ', 'বিরাজবৌ', 'বলছ', 'প্রিন্সিপি', 'ভূলোক']
['এক', 'এমন', 'সম্প্রতি', 'আরেক', 'ওই', 'ঘটনা', 'নামের', 'ব্যক্তি', 'ঘটনার', 'সেই']
['দুই', 'আরেক', 'তিন', 'দুজনই', 'একই', 'উভয়', 'তাঁদের', 'পক্ষের', 'সব', 'দুটো']
['তিন', 'আরেক', 'চার', 'একই', '•', 'ছয়', 'দুজনই', 'দুই', 'আগের', 'সম্প্রতি']
['চার', 'ছয়', 'তিন', '•', 'দুজনই', 'আরেক', 'একই', 'পরও', 'পাঁচ', 'পরপর']
['পাঁচ', 'ছয়', '•', 'চার', 'তিন', 'সাত', 'দুজনই', 'সেবাদাতারা', 'মিমুরা', 'একই']
['নওরীনকে', 'ষোড়শী', 'স্ট্রনশিয়ামের', 'খালেদাসহ', 'ছয়', 'অভিভাবকসহ', 'ইয়ারের', 'যুবনেতার', 'আদনানের', 'এআইএম']
['সাত', 'সারদানন্দ', '•', 'অভিযুক্ত', 'গিয়ান্নি', 'ছয়', 'সত্যাগ্রহীকে', 'ষোড়শী', 'মিমুরা', 'বাসিলিস্কটিকে']
['মেক্সিকানসহ', 'আট', '•', 'ক্ষেত্রকেও', '২৭নিউজিল্যান্ডে', 'পরমাণুদ্বয়', 'ইস্যু্র', 'তাক্ববির', 'মিউ\u200cজিক', 'প্রকারঃ']
['নয়', 'কেন', 'সময়ই', 'কোনোভাবেই', 'হোক', 'শুধু', 'সেটা', 'জন্যই', 'কী', 'বরং']
['ভোঁদড়ের', 'ইস্যু্র', 'সধবাকে', 'ঘোরারও', 'টিকেটসমূহ', 'ষড়যন্ত্রকারীদের', 'দেউলটির', 'কোডকৃত', 'মিউ\u200cজিক', 'রামপালকে']
['ষোড়শী', 'ওলাইচণ্ডী', 'অনেকসময়ই', 'তাওরাতে', 'টিডি', 'এইটুকুই', 'গেরেরো', 'মিউ\u200cজিক', 'সাগরটিকে', 'আলেপ্পোতে']
['টাপির', 'ষোড়শী', 'উডে', 'এএমএল', 'নিম্ফ্যালিডি', 'স্কেলড', 'ওলাইচণ্ডী', 'ষড়দর্শন', 'কিতেরেৎসু', 'তাওরাতে']
['ষোড়শী', 'কাঞ্চনমালা', 'তাওরাতে', 'উডে', 'আখমেতসিন', 'পারটুসিস', 'খুঁটিনাটির', 'অস্ট্রিড', 'ঘরামি', 'ছড়াগুলো']
['ষোড়শী', 'গণগ্রেপ্তারের', 'রাজ্যভাগের', 'বাড়িগুলিতে', 'বহিরাক্রমণের', 'মার্টিনডেলকে', 'রক্তাল্পতার', 'ধর্মান্তরকরণের', 'আলবেনিয়ান', 'উদ্ভিদরা']
['ষোড়শী', 'দেইখ্যা', 'কাঁদছি', 'ম্যাচগুলোই', 'খুঁটিনাটির', 'অর্ধলক্ষাধিক', 'ভিনগ্রহে', 'সেকেন্ডকে', 'ভাগ্যগুণে', 'উখিংনু']
['নৈতিকতাবিরোধী', 'উপপীঠ', 'ধর্মসংস্কার', 'পরীক্ষন', 'সহাবস্থানকে', 'ˈɪ', 'আহমেদি', 'ঠান্ডাজনিত', 'করছিলেন৷', 'জনবিশ্বাস']
['ষোড়শী', 'বিরাজবৌ', 'আঠারো', 'মোবারকপুরী', 'পোট্টি', 'পূর্ববর্তীকালে', 'তুইপ্রাল্যান্ডের', 'প্রণেতারা', 'ডাকব্যবস্থা', 'জম্বু']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
