['এসে', 'গিয়ে', 'ছুটে', 'হঠাৎ', 'দেখে', 'এভাবেই', 'তখন', 'গিয়ে', 'যাই', 'করছিল']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['আসিয়া', 'দক্ষিণমুখী', 'পশ্চিমমুখী', 'বিবির', 'গোয়িং', 'বাঘুজে', 'পিতৃতান্ত্রিক', 'ছুটতে', 'দাঁড়াচ্ছে', 'রেলওয়েও']
['ছুটতে', 'ক্ষতিটা', 'ক্রমাবনতি', 'রাখালের', 'মানসপুত্র', 'টর্পেডোর', 'স্টিডের', 'ফল্গুধারা', 'ঘাড়ের', 'চড়েই']
['ছুটতে', 'তীক্ষ্ণ', 'ভিত্তিকে', 'নাট্যচর্চার', 'করেতে', 'নমশূদ্র', 'শ্মশানের', 'ঘাড়ের', 'কাড়ছে', 'কাড়তে']
['ছুটতে', 'তীক্ষ্ণ', 'ভিত্তিকে', 'নাট্যচর্চার', 'করেতে', 'নমশূদ্র', 'শ্মশানের', 'ঘাড়ের', 'কাড়ছে', 'কাড়তে']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['ছুটতে', 'হইলেন', 'ক্রমাবনতি', 'অসামঞ্জস্যতা', 'উর্ত্তীন', 'নমশূদ্র', 'চড়াও', 'পিথাগোরীয়', 'অভিসারী', 'ঘোরাতে']
['হইল', 'ছুটতে', 'গলেনি', 'তীক্ষ্ণ', 'এতেও', 'নির্মাণকার্য', 'অর্থপূর্ণ', 'লক্ষ্যভ্রষ্ট', 'তলপেটের', 'চতুর্ভূজ']
['ছুটতে', 'ক্রমাবনতি', 'তলপেটের', 'গলেনি', 'অসামঞ্জস্যতা', 'হরদম', 'রেলসেতুর', 'ক্ষতিটা', 'ঘাড়ের', 'নিবিষ্ট']
['', '', '', '', '', '', '', '', '', '']
['ছুটতে', 'ঘোরাতে', 'রাখালের', 'কাড়ছে', 'ক্রমাবনতি', 'ছোটবেলাতেই', 'সঙ্গীরা', 'পরিব্যাপ্তি', 'অসামঞ্জস্যতা', 'ফুলটির']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['ছুটতে', 'ঝুঁকতে', 'কাড়তে', 'ঘোরাতে', 'খাতাই', 'ছুঁড়তে', 'নাড়াতে', 'নাসারন্ধ্র', 'দণ্ডের', 'তীক্ষ্ণ']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
