['পহেলা', 'পয়লা', 'বৈশাখে', 'অগাষ্ট', 'শুক্লপক্ষে', '১৩৫৪', '১৪০৮', 'পঁচিশে', '২৫ই', '২004']
['সাতই', 'ক্রেটাসিয়াস', 'ভাষণকে', 'পুনরায়নীকরণ', 'মাঝামঝি', 'যুক্তিবিজ্ঞানে', 'আলাওলের', 'দুর্বলতারই', 'ফুক্\u200cস', 'হাঁসুলী']
['সাতই', 'শুভেচ্ছার', 'হাঁসুলী', 'ভাষণকে', 'মৃত্যুবার্ষিকীতে', 'কাসানোভা', 'দ্বন্দ্বমূলক', 'পাঙ্কচার্ড', 'ইরেজ', 'ফুক্\u200cস']
['সাতই', 'কালরাত', 'ভারমিরের', 'হাঁসুলী', 'ভাষণকে', 'গজে', 'ইনামের', 'ফুক্\u200cস', 'খাল্ডুন', 'বুরখান']
['সাতই', 'হাঁসুলী', 'বাঁকের', 'ভাষণকে', 'ভারমিরের', 'ইনামের', 'পাঙ্কচার্ড', 'ওডি', 'কালরাত', 'প্রাককলন']
['সাতই', 'পরগণার', 'চব্বিশ', 'পরগনা', 'পাঁচমুড়া', 'ওয়ার্ডঃ', 'কাঁথি', 'সোনারপুর', 'আর্কট', 'জ্বালাময়ী']
['সাতই', 'ভাষণকে', 'হাঁসুলী', 'ভারমিরের', 'শুভেচ্ছার', 'পাঙ্কচার্ড', 'টিলিস', 'ফুক্\u200cস', 'কালরাতের', 'কালরাত']
['সাতই', 'হাঁসুলী', 'কালরাত', 'ভারমিরের', 'আদমশুমারীতে', 'Alo', 'প্রাককলন', 'Prothom', 'গোলমেশিনের', '1945']
['সাতই', 'হাঁসুলী', 'ভারমিরের', 'পেছাবে', 'জোমেল', 'কালরাত', 'ফুক্\u200cস', 'বাঁকের', 'ভিখাজি', 'কাসানোভা']
['সাতই', 'হাঁসুলী', 'ভাষণকে', 'কালরাত', 'শুভেচ্ছার', 'কাসানোভা', 'গেইলশেন', 'খাল্ডুন', 'Alo', 'বুরখান']
['হাঁসুলী', 'সাতই', 'খাল্ডুন', 'Prothom', 'কাসানোভা', 'Alo', 'ভারমিরের', 'by', 'বুরখান', 'চোকসি']
['সাতই', 'ভাষণকে', 'আদমশুমারীতে', '১৩০১', 'কালরাত', '1900', 'কটরেল', 'প্রলয়ংকরী', 'পাঙ্কচার্ড', 'রেনেলের']
['সাতই', 'কালরাত', 'Alo', 'Prothom', 'হাঁসুলী', 'ভাষণকে', 'by', 'ভারমিরের', 'পেছাবে', 'কাসানোভা']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['পক্ষকাল', 'সপ্তমাংশ', 'নাগাড়ে', 'ষষ্ঠাংশ', 'ব্রাহ্মণের', 'রহস্যময়ী', 'বালিকার', 'ছক্কাসহ', 'মধ্যবয়স্ক', 'পঞ্চমাংশের']
['শিবিরই', 'যুযুধান', 'তৃতীয়াংশই', 'সহোদরের', 'চিরবৈরী', 'কলেজশিক্ষার্থী', 'ভুবনের', 'ছিনতাইকারীকে', 'বন্ধুসহ', 'লেনবিশিষ্ট']
['লেনবিশিষ্ট', 'শিবিরই', 'বছরমেয়াদি', 'ক্যাচসহ', 'কন্যাসহ', 'হামলাকারীই', 'তৃতীয়াংশই', 'ছক্কাসহ', 'অন্যূন', 'উইকেটসহ']
['লেনবিশিষ্ট', 'মারলেও', 'ক্যাচসহ', 'অসংখ্যেয়', 'শিবিরই', 'বছরমেয়াদি', 'ঘণ্টাতেই', 'হাঁকিয়েছেন', 'কন্যাসহ', 'অঙ্কবিশিষ্ট']
['উইকেটসহ', 'ওয়াক্ত', 'লেনবিশিষ্ট', 'ক্যাচসহ', 'বুঁদি', 'বছরমেয়াদি', 'অন্যূন', 'কন্যাসহ', 'বাহান্ন', 'সেনাসদস্যসহ']
['নাগভট্ট', 'পুনিক', 'গর্ভকালের', 'পুলকেশী', 'পেরদিক্কাসের', 'ছক্কাসহ', 'ম্যাকরেরী', 'মেনকার', 'সিওএর', 'লেনবিশিষ্ট']
['অন্যূন', 'একাদিক্রমে', 'সিওএর', 'লেনবিশিষ্ট', 'দণ্ডাদেশপ্রাপ্ত', 'ক্যাচসহ', 'ঘোরালেন', 'দু্ই', '৪শ', 'প্রত্যকের']
['চুয়াত্তর', 'উইকেটসহ', 'মেক্সিকানসহ', 'ক্যাচসহ', 'গর্ভকালের', 'একটিতেই', 'অন্যূন', 'সাঁইত্রিশ', 'মিউ\u200cজিক', 'কিলোমিটারের']
['পূর্বাব্দ', 'গর্ভকালের', 'অন্যূন', 'ছক্কাসহ', 'কিলোমিটারের', 'বছরকাল', 'সাঁইত্রিশ', '1630', 'মমিটি', '৫৫০০']
['গোধুলী', 'গর্ভকালের', 'a', 'বোনারপাড়া', 'শিকের', 'এক্সকেভাটাম', 'মোতওয়ানে', 'করুণাময়ী', 'সাঁইত্রিশ', 'রোষ্টন']
['বারো', 'জিশান', 'ভূইয়ার', '1630', 'গোসাঈর', 'সাতগ্রাম', 'ম্যাকরেরী', 'আয়াপ্পার', 'মমিটি', 'শিকের']
['তেরো', 'a', 'গর্ভকালের', 'অ্যান্ডারসেন', 'পাটেরবাগ', 'রসুলবাগ', 'সাঁইত্রিশ', 'ফুয়া', 'ক্লেয়ারমন্ট', 'বার্টো']
['চৌদ্দ', 'শিকের', 'কাচ্চা', 'a', '1630', 'গর্ভকালের', 'এরাতোস্থেনেস', 'এক্সকেভাটাম', 'অ্যাডলফাস', 'মোতওয়ানে']
['৭৫০০', '৫৫০০', 'শিকের', 'সাঁইত্রিশ', 'দেড়শত', 'এরাতোস্থেনেস', '1630', 'হিনো', 'পূর্বাব্দ', '২৩৪৭']
['এরাতোস্থেনেস', 'করুণাময়ী', 'শিকের', 'মধুকর', 'মোতওয়ানে', '1630', 'পাবস', '৫৫০০', 'হিনো', '৩৪০০']
['সতেরো', 'প্রাণতোষিণী', '১২দশ', 'এক্সকেভাটাম', 'চতুর্দ্দশ', '৬ষ্ট', 'পম্পা', 'অলবর', 'সমুখ', 'এরাতোস্থেনেস']
['আঠারো', 'নোয়াম', '1630', 'দোর্জিয়েভ', '৭৫০০', 'এক্সকেভাটাম', 'a', 'কিলোমিটারএলাকা', 'মাকান', 'জামশেদজী']
['1630', '১৫দশ', '১২দশ', '১৭দশ', 'শেষভাবে', 'ত্রিংশ', 'শতকেই', 'রকোকো', 'শেষপাদে', 'প্রয়াগ']
['1630', '৫৫০০', 'চারশো', 'শতের', 'পূর্বাব্দ', 'মমিটি', 'এরাতোস্থেনেস', 'কাচ্চা', '৩৪০০', 'গর্ভকালের']
['এরাতোস্থেনেস', 'কাচ্চা', 'বৈয়ু', 'এক্সকেভাটাম', '1630', 'পাবস', 'পূর্বাব্দ', 'শ্রেণীসহ', 'করুণাময়ী', 'পম্পা']
['বাইশ', '৫৫০০', 'এরাতোস্থেনেস', '২১৫০', 'এক্সকেভাটাম', '২৬২০', 'রসুলবাগ', 'পর্বতা', 'a', 'পূর্বাব্দ']
['তেইশ', 'পাবস', '২২৭৮', 'এক্সকেভাটাম', 'হ্যাবিটাট', 'a', 'করুণাময়ী', 'এরাতোস্থেনেস', 'রসুলবাগ', 'পাটেরবাগ']
['চব্বিশ', 'পরগনা', 'পরগণা', 'পরগনায়', 'পরগণার', 'আর্কট', 'পরগণায়', 'পরগনায়', 'পরগনার', 'মহেশতলা']
['দেড়শত', '৩৪০০', '৫৫০০', 'ছত্রিশ', 'ছয়শত', '৭৫০০', '1630', 'ছিয়াত্তর', 'সাতশত', 'চারশত']
['পাবস', 'ছাব্বিশ', 'এক্সকেভাটাম', 'a', 'গ্লেনডন', 'Alo', 'হ্যাবিটাট', 'to', 'গ্রিগর', 'স্তেপানোভিচ']
['a', 'সাতাশ', 'পাবস', 'পর্বতা', 'রসুলবাগ', 'সাঁইত্রিশ', 'গ্রিগর', 'পাটেরবাগ', 'ফুয়া', 'দাপিয়ে']
['a', 'E0', 'রসুলবাগ', 'to', 'Alo', 'কাচ্চা', 'পাটেরবাগ', 'স্তেপানোভিচ', 'পর্বতা', 'এক্সকেভাটাম']
['to', 'Alo', 'ন্যান্দর', 'পাটেরবাগ', 'ন্যাচারালিস', 'a', 'রসুলবাগ', 'Prothom', 'পাবস', 'স্তেপানোভিচ']
['ত্রিশ', 'খয়েরপুর', '1630', 'পূর্বাব্দ', 'বছরকাল', 'ছয়শত', 'ধনুর্বিদ', '৫৫০০', 'এরাতোস্থেনেস', 'সাতশত']
['এক্সকেভাটাম', 'E0', 'to', 'Alo', 'রসুলবাগ', 'a', 'পাটেরবাগ', 'Tuesday', 'পাবস', 'Prothom']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['এক', 'সম্প্রতি', 'ওই', 'আরেক', 'এদিকে', 'রাতে', 'পড়ুন', 'এরপরই', 'দিয়েছে', 'সেই']
['দুই', 'এদিকে', 'আরেক', 'ছাড়া', 'তিন', 'এরই', 'সম্প্রতি', 'পড়ুন', 'দিয়েছে', 'এবার']
['তিন', 'এদিকে', 'আরেক', 'চার', '•', 'সবশেষ', 'উনিশে', 'পড়ুন', 'ছাড়া', 'ছয়']
['চার', 'ছয়', 'আটটি', 'সবশেষ', '•', 'তিন', 'উনিশে', 'পড়ুন', 'পরপর', 'টানা']
['পাঁচ', 'উনিশে', 'আটটি', 'সবশেষ', '•', 'ফেব্রুয়ারি', 'পড়ুন', 'এদিকে', 'এপ্রিলে', 'ছয়']
['উনিশে', 'খালেদাসহ', 'ট্র্যাকারা', 'বোধিলাভের', 'সন্ধ্যাবেলা', 'ভেন্যুতেই', 'টানেলে', 'টোয়', 'খাসপুর', 'মন্টেসরি']
['উনিশে', 'সাত', 'পড়ুন', 'ফেব্রুয়ারি', 'এপ্রিলে', '•', 'দোলপূর্ণিমার', 'ত্রেতারা', 'মাসেও', 'হুনাহপু']
['উনিশে', 'আট', 'মেক্সিকানসহ', 'আটটি', 'পুরুলিয়ায়', 'এবারে', 'সবশেষ', 'দোলপূর্ণিমার', 'খাসপুর', '•']
['নয়', 'কোনোভাবেই', 'সেটা', 'নাকি', 'উনিশে', 'ছাড়া', 'কারও', 'সেটিও', 'পড়ুন', 'তো']
['উনিশে', 'ট্র্যাকারা', 'টানেলে', '750', 'ভেন্যুতেই', 'ইস্যু্র', 'বার্নাবাস', 'দোলপূর্ণিমার', 'গ্রুপটিতে', 'শিক্ষাপ্রতিষ্ঠানটিতে']
['উনিশে', 'টানেলে', 'দোলপূর্ণিমার', 'ফেব্রয়ারি', 'তাইফুন', 'গার্বো', 'সন্ধিযুক্ত', 'সন্ধ্যাবেলা', 'কোন্নগরে', 'ভেন্যুতেই']
['উনিশে', 'গোসাঈর', 'ঊর্বস্থি', 'লাড়', 'রিকুয়েম', 'বগ্গ', 'আঁকেননি', 'কোন্নগরে', 'খাসপুর', 'টানেলে']
['উনিশে', 'মায়াবতী', 'ঊর্বস্থি', 'সন্ধ্যাবেলা', '১১৭২', 'নবকান্ত', 'সুকাফা', 'লাড়', 'মহানগরীটি', 'তাউস']
['উনিশে', 'আগুনেই', 'তাইফুন', 'ডার্বিস', 'পিড়িতে', 'রোটা', 'দোলপূর্ণিমার', 'বিশুদ্ধানন্দ', 'চড়ত', 'উইয়াহ']
['উনিশে', 'টানেলে', 'গোলখরা', 'ব্রতকথা', 'আইডিতে', 'রিকুয়েম', 'আগুনেই', 'চার্নকের', 'দোলপূর্ণিমার', 'সাউদামেরিকানা']
['উনিশে', 'মায়াবতী', 'প্যাকেটটি', 'প্যারাশ্যুটটি', 'দুহাজার', 'ব্রতকথা', 'অণুজীবগুলো', 'গুয়াহাটীর', 'অফিসকক্ষে', 'খাসপুর']
['উনিশে', 'হিরোশিমায়', 'কক্ষক', 'অপ্টিমাইজেশান', 'টীকাকরণ', 'বীজাগার', '১২২৯', 'চুল্লীটি', 'ইয়ংবিয়ন', 'স্টেশনেই']
['উনিশে', 'টীকাকরণ', 'ফেব্ৰুয়াৱী', '১১০৯', '১৪৩২', 'আলাগ', '১৪৫২', 'অগস্টে', 'এনেই', 'অক্টবর']
['উনিশে', 'দুহাজার', 'মহাপ্রলয়', 'রিকুয়েম', 'অক্টবর', 'ট্র্যাকারা', '১৪৩২', '750', 'লেগাসি', '১৪২৩']
['উনিশে', 'হিরোশিমায়', 'বিশ্বনাট্য', 'রিকুয়েম', 'লিবার্তাদোরেসের', 'পাণ্ডেকে', 'মহানগরীটি', 'গদিতে', 'কেটেওয়্যায়োকে', 'ম্যাককার্টি']
['উনিশে', 'চাপাবেন', 'গেঁটে', 'চাপাতে', 'ওমরানের', 'স্বাগতালক্ষ্মী', 'সরিয়েও', 'মৈন', 'গির্দি', 'বিশুদ্ধানন্দ']
['উনিশে', 'রিকুয়েম', 'গান্দামাকের', '১১৮৭', 'ফেব্রয়ারি', 'গার্নসির', 'সাদমানী', 'টমাহক', 'ফোলিওতে', 'আঁখো']
['চব্বিশ', 'উনিশে', 'সুভাষগ্রাম', 'পশ্চিমাঞ্চলকে', 'পরগনা', 'নির্বাপন', 'পরগনায়', 'সোনারপুর', 'দুমকা', 'মধ্যমগ্রাম']
['উনিশে', '১৪২৩', '১৪৩৯', 'বিশুদ্ধানন্দ', 'রিকুয়েম', '১১৭২', '১০০৪', 'গেঁটে', '১০৬২', 'দুহাজার']
['উনিশে', 'ফোলিওতে', 'রিকোপা', 'আগুনেই', 'জন্মনামঃ', 'বিশুদ্ধানন্দ', 'নবে', 'ওমরানের', 'ঙ্গো', 'ফেব্রয়ারি']
['উনিশে', 'রুহ', 'সাউদামেরিকানা', 'গদিতে', 'ডার্বিস', 'এরোগলু', 'রিকোপা', 'আউ', 'বিশুদ্ধানন্দ', 'জাংস']
['উনিশে', 'সাউদামেরিকানা', 'আঁখো', 'ম্ত্শার', 'বিশুদ্ধানন্দ', 'রিকোপা', 'লুয়াংয়ের', 'আগুনেই', 'আউ', 'মহানগরীটি']
['উনিশে', 'রুহ', 'রিকোপা', 'জন্মনামঃ', 'হটাবে', 'আউ', 'খোরসন', 'অ্যালারডাইস', 'সাউদামেরিকানা', 'ওক্তাবিও']
['উনিশে', 'চাপাতে', 'হিরোশিমায়', 'খাসপুর', 'প্রত্যাহারে', 'ফেব্রয়ারি', 'হাইজ্যাকিং', '১১৮৭', 'ঠা', 'ত্রিশ']
['উনিশে', 'রিকোপা', 'রুহ', 'সাউদামেরিকানা', 'তাউস', 'দৃশ্যম', 'উইয়াহ', 'ফেব্রয়ারি', 'ডাইজ', 'আউ']
['এক', 'আরেক', 'সম্প্রতি', 'রাতে', 'খবর', 'ওই', 'বন্ধুর', 'নামের', 'বৃহস্পতিবার', 'এদিকে']
['দুই', 'আরেক', 'দুজন', 'দুজনই', 'অপর', 'এদিকে', 'চারজন', 'তিনজন', 'পরস্পরের', 'দুটি']
['আরেক', 'চারজন', 'তিন', 'দুজনই', 'দুজন', 'অপর', 'এদিকে', 'তিনজন', 'বিশে', 'তিনজনকে']
['চার', 'দুজনই', 'চারজন', 'আরেক', 'পাঁচজন', 'তিন', 'দুজন', 'আটটি', 'তিনজনকে', 'সেবাদাতারা']
['পাঁচ', 'চারজন', 'বিশে', 'পাঁচজন', 'কমিশনারবৃন্দসহ', 'দুজনই', 'চারজনকে', 'ছয়জনের', 'তিনজনকে', 'ছয়জন']
