['তুমি', 'আমরা', 'দেখি', 'আমাদেরকে', 'তোমরা', 'তোমাকে', 'তোমায়', 'আমায়', 'জানি', 'ওরা']
['ভাই', 'ভাইকে', 'বোন', 'বোনকে', 'ভাইয়েরা', 'ছেলে', 'ভাইরা', 'ভাইও', 'সৎভাই', 'চাচা']
['পাখি', 'পাখিরা', 'সাপ', 'পাখিকে', 'ইঁদুর', 'পাখিটি', 'টিকটিকি', 'জলচর', 'মান্তা', 'বুনো']
['সদস্য', 'সদস্যগণ', 'সদস্যরা', 'সদস্যবৃন্দ', 'সদস্যসহ', 'প্রতিনিধিরা', 'সদস্যভূক্ত', 'সদস্যও', 'সদস্যদেরও', 'প্রতিনিধি']
['সচিব', 'মন্ত্রণালয়ে', 'স্বরাষ্ট্র', 'মন্ত্রী', 'প্রতিমন্ত্রীর', 'মন্ত্রনালয়ের', 'প্রতিমন্ত্রী', 'সচিবের', 'মন্ত্রনালয়ে', 'পররাষ্ট্র']
['দর্শক', 'দর্শকরা', 'দর্শকদের', 'দর্শকের', 'দর্শকেরা', 'দর্শকগণ', 'শ্রোতারা', 'সমাগমের', 'একদিনে', 'ভক্তরা']
['শিক্ষক', 'শিক্ষকগণ', 'শিক্ষকের', 'শিক্ষকরূপে', 'শিক্ষিকা', 'অধ্যক্ষের', 'শিক্ষকরা', 'ছাত্ররা', 'ছাত্রদেরকে', 'শিক্ষার্থীদেরকে']
['বেচাকেনার', 'নির্বিঘ্নে', 'করতো৷', 'আল-বিরুনিকে', 'গুলিকে', 'পর্যালোচনান্তে', 'সময়মতো', 'ডুবেছিল', 'দেখলেই', 'পৌত্তলিকরা']
['সম্পাদক', 'সম্পাদকের', 'সম্পাদকসহ', 'সহ-সম্পাদক', 'সম্পাদকঃ', 'আনন্দবাজার', 'পত্রিকাগুলোতে', 'সম্পাদকগণ', 'নিউজে', 'পত্রিকাগুলিতে']
['পণ্ডিত', 'পণ্ডিতেরা', 'ধর্মগ্রন্থগুলিতে', 'পণ্ডিতরা', 'বৌদ্ধধর্মে', 'গ্রন্থগুলিতে', 'পরবর্তীকালের', 'হিউয়েন-সাং', 'পন্ডিত', 'ঐতিহাসিকগণ']
['মন্ত্রী', 'প্রতিমন্ত্রী', 'মন্ত্রক', 'মন্ত্রীর', 'মন্ত্রনালয়ের', 'মন্ত্রণালয়ে', 'মন্ত্রণালয়', 'মন্ত্রীসভায়', 'মন্ত্রণালয়কে', 'মন্ত্রণালয়ের']
['আমি', 'আমরা', "'আমি", 'আপনারা', 'আপনি', 'তোমরা', 'তুমি', 'আমাকে', 'আপনাকে', 'আমাদেরকে']
['তুমি', 'বলো', 'তোমাকে', 'আমায়', "'আমি", 'তোমায়', 'নাহি', 'গোলিয়োঁ', 'দেখো', 'রাখ']
['সে', 'সেই', 'সেটা', 'সেটার', 'তা', 'সবকিছু', 'সেটাকে', 'সেভাবেই', 'কেও', 'কী']
['তিনি', 'উনি', 'কোন্দো', 'হুফ্ট', 'অ্যানাটমি', 'বায়োলজি', 'পদার্থবিজ্ঞান', 'তাঁরা', 'মেকানিকাল', 'কেমিস্ট্রি']
['শিক্ষক', 'অধ্যক্ষের', 'প্রভাষক', 'অধ্যক্ষ', 'অধ্যাপক', 'উপাধ্যক্ষ', 'প্রিন্সিপাল', 'লেকচারার', 'প্রফেসর', 'পঠন']
['হমারে', 'রাম-লীলা', 'পিঞ্জর', 'সন্নিবেশে', 'চলচ্চিত্রায়নে', 'কোন্\u200cটি', 'গপ্পো', 'শিক্ষান্ত', 'নীরিক্ষা', 'মেঘদূত']
['ছাত্র', 'ভিপি', 'শিক্ষার্থী', 'ছাত্রী', 'মাস্টার্সের', 'ছাত্ররা', 'অধ্যক্ষ', 'উপাধ্যক্ষ', 'প্রভাষক', 'শিক্ষক']
['ভাই', 'বোন', 'চাচা', 'ভাইয়েরা', 'ভাইপো', 'ভাইও', 'ছেলে', 'নাতি', 'ভাইকে', 'সৎভাই']
['শিক্ষক', 'অধ্যক্ষের', 'প্রভাষক', 'অধ্যক্ষ', 'অধ্যাপক', 'উপাধ্যক্ষ', 'প্রিন্সিপাল', 'লেকচারার', 'প্রফেসর', 'পঠন']
['শিষ', 'ডাল', 'গরু', 'আগাছা', 'রোদে', 'ধোওয়া', 'খোল', 'চারা', 'পাতাকে', 'শ্বাস-প্রশ্বাস']
['ছেলে', 'ভাই', 'বোন', 'মেয়ে', 'ছোটবোন', 'পুত্র', 'কন্যা', 'ভাতিজা', 'সংসারে', 'নাতি']
['', '', '', '', '', '', '', '', '', '']
['ভাই', 'বোন', 'চাচা', 'ভাইয়েরা', 'ভাইপো', 'ভাইও', 'ছেলে', 'নাতি', 'ভাইকে', 'সৎভাই']
['পাখি', 'সাপ', 'চড়ুই', 'প্রজাতির', 'প্রজাতি', 'কচ্ছপ', 'প্রজাতিকে', 'ইঁদুর', 'পাখির', 'ব্যাঙ']
['সদস্য', 'সহ-সভাপতি', 'সভাপতি', 'আহ্বায়ক', 'সদস্যগণ', 'মেম্বার', 'সদস্যও', 'চেয়ারম্যান', 'সদস্যবৃন্দ', 'নিম্নকক্ষ']
['সচিব', 'মহাপরিচালক', 'সচিবের', 'সচিবালয়ে', 'উপদেষ্টা', 'ভারপ্রাপ্ত', 'স্বরাষ্ট্র', 'মন্ত্রী', 'অধিকর্তা', 'সেক্রেটারি']
['দর্শক', 'দর্শকের', 'দর্শকদের', 'ধারণক্ষমতা', 'দর্শকরা', 'ফোনটির', 'দৃশ্যগুলো', 'ক্যামেরার', 'ফিল্মে', 'দর্শকেরা']
['শিক্ষক', 'অধ্যক্ষের', 'প্রভাষক', 'অধ্যক্ষ', 'অধ্যাপক', 'উপাধ্যক্ষ', 'প্রিন্সিপাল', 'লেকচারার', 'প্রফেসর', 'পঠন']
['নীরিক্ষা', 'নী\u200cতি', 'এবডাকটিভ', 'যুক্তিভিত্তিক', 'ত্রুটিগুলো', 'পঠন', 'শিক্ষান্ত', 'বৈশিষ্টগুলো', 'মাধ্য\u200cমে', 'পিসিআর']
['সম্পাদক', 'সম্পাদকের', 'সভাপতি', 'সহ-সম্পাদক', 'সহ-সভাপতি', 'আহ্বায়ক', 'সম্পাদকঃ', 'সম্পাদিকা', 'সিপিভির', 'আহবায়ক']
['পণ্ডিত', 'পন্ডিত', 'মধ্যমক', 'তর্কশাস্ত্র', 'বিনয়', 'ন্যায়শাস্ত্র', 'কাব্যশাস্ত্র', 'অলংকারশাস্ত্র', 'যুক্তিবিদ্যা', 'ভাষাবিজ্ঞান']
['মন্ত্রী', 'প্রতিমন্ত্রী', 'সচিব', 'মন্ত্রীসভায়', 'মন্ত্রীর', 'স্বরাষ্ট্র', 'উপমন্ত্রী', 'মন্ত্রণালয়ের', 'মন্ত্রিসভায়', 'মন্ত্রণালয়ে']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['আমি', 'তুমি', 'আমরা', 'তোমরা', 'আমিও', 'আপনি', 'আপনাকে', 'তোমাকে', 'হও', 'আমাকে']
['তুমি', 'দেখ', 'তোমাকে', 'বলো', 'আমায়', 'তোমায়', 'হও', 'আমারে', 'জানো', 'তুই']
['সে', 'সেই', 'সেটার', 'সেটা', 'তা', 'একরকম', 'ওদের', 'সেও', 'সত্যি', 'তারা']
['তিনি', 'তারা', 'জালঘেরা', 'দলটি', 'জয়লাভের', '৩-০', '২-১', '০-০', '২-০', 'প্রীতি']
['শিক্ষকেরা', 'শিক্ষয়িত্রী', 'বেথুন', 'অধ্যাপনায়', 'অধ্যক্ষ', 'উপাধ্যক্ষ', 'শিক্ষকতায়', 'নীলমণি', 'শিক্ষক', 'থাকাকালীনই']
['মরুপথে', 'কালাদান', 'আখিরা', 'হামকো', 'পালতোলা', 'গালওয়ান', 'আরভান্দ', 'মূলভূমি', 'কেরলা', 'টেম্\u200cস']
['ছাত্র', 'গণমুক্তি', 'মজদুর', 'কালমার', 'সর্বহারা', 'স্টুডেন্টস', 'ওয়ার্কার্স', 'সলিডারিটি', 'মহাগুজরাত', 'জোট']
['ধনী', 'দামী', 'কাছের', 'সম্পদশালী', 'ক্ষমতাধর', 'দুর্বলতম', 'ব্যায়বহুল', 'বেশীসংখ্যক', 'বাজারগুলোতে', 'বেশিবার']
['ভাই', 'বোন', 'ভাইকে', 'বোনকে', 'ভাইয়ের', 'রানীকে', 'ভাইও', 'ছেলে', 'সৎভাই', 'বাইশদিয়া']
['গোশত', 'গরু', 'মাছকে', 'মান্তা', 'খচ্চর', 'শূকরের', 'গরুর', 'শূকর', 'গাধার', 'মহিষ']
['ছেলে', 'ভাই', 'বোনকে', 'বোন', 'সংসারে', 'কন্যা', 'পুত্র', 'কন্যাসন্তান', 'ভাইকে', 'জমজ']
['', '', '', '', '', '', '', '', '', '']
['ভাই', 'বোন', 'ভাইকে', 'বোনকে', 'ভাইয়ের', 'রানীকে', 'ভাইও', 'ছেলে', 'সৎভাই', 'বাইশদিয়া']
['পাখি', 'মান্তা', 'সাপ', 'জলচর', 'টিকটিকি', 'বাদুড়', 'হাঙ্গর', 'ব্যাঙ', 'কচ্ছপ', 'কুমির']
['সদস্য', 'সদস্যভূক্ত', 'সদস্যগণ', 'ক্ষমতাসীন', 'উচ্চকক্ষ', 'সদস্যও', 'নামিবিয়া', 'সদস্যরা', 'পলিটব্যুরো', 'নিম্নকক্ষ']
['সচিব', 'মন্ত্রী', 'স্বরাষ্ট্র', 'মন্ত্রক', 'আর্টসখ', 'সচিবের', 'মন্ত্রনালয়ে', 'অন্তর্বর্তীকালীন', 'ফেডারাল', 'প্রতিমন্ত্রী']
['দর্শক', 'একদিনে', 'দর্শকের', 'দর্শকদের', '৩-২', '২-১', '৫-০', '৩-০', 'ব্যবধানে', 'ধারণক্ষমতার']
['শিক্ষকেরা', 'শিক্ষয়িত্রী', 'বেথুন', 'অধ্যাপনায়', 'অধ্যক্ষ', 'উপাধ্যক্ষ', 'শিক্ষকতায়', 'নীলমণি', 'শিক্ষক', 'থাকাকালীনই']
['২-১', '০-০', '২-০', '৩-২', '২-২', '৪-১', 'টপকিয়ে', '৩-০', 'চক্রবৃদ্ধি', '৫-০']
['সম্পাদক', 'সম্পাদকের', 'ইনকিলাব', 'সভাপতি', 'বুর্ডা', 'ডেইলি', 'অবজার্ভার', 'মুখপত্র', 'আহ্বায়ক', 'ইত্তেফাক']
['পরবর্তীকালের', 'পণ্ডিত', 'চিক্কণ', 'আইবক', 'পাকিস্তান-অধিকৃত', 'হিউয়েন-সাং', 'চিচেন', 'সাঙের', 'পাণ্ড্য', 'উত্তর-ভারতীয়']
['মন্ত্রী', 'মন্ত্রক', 'মন্ত্রীর', 'প্রতিমন্ত্রী', 'থাকসিন', 'মন্ত্রীসভায়', 'মন্ত্রণালয়', 'প্রধানমন্ত্রী', 'আর্টসখ', 'উপ-প্রধানমন্ত্রী']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['আমি', 'আমরা', 'আপনি', 'আপনার', 'আমাদের', 'আমার', 'আমাকে', 'আপনাকে', 'তোমাদের', 'তোমার']
['তোমার', 'তুমি', 'আপনার', 'রাখো', 'তোমাদের', 'আমার', 'আমি', 'আমাদের', 'তোমরা', 'আপনি']
['সে', 'সেই', 'ঘুমানোর', 'সেসব', 'গরমের', 'তাদের', 'ওই', 'খাওয়ার', 'বিশ্রামের', 'একই']
['তিনি', 'খেলাধূলার', 'অনুশীলনের', 'মহিলাদের', 'অংশগ্রহণকারীদের', 'বালকদের', 'ক্যাডেটদের', 'পারদর্শিতার', 'ছাত্রদের', 'ব্যায়ামের']
['শিক্ষক', 'শিক্ষার্থীদের', 'শিক্ষকদের', 'ছাত্রদের', 'পাঠ্যক্রমের', 'ছাত্রছাত্রীদের', 'শিক্ষকের', 'শিক্ষাদানের', 'ছাত্র-ছাত্রীদের', 'ক্যাডেটদের']
['দৌড়ের', 'সঞ্চালনের', 'ব্যায়ামের', 'পরিষ্কারের', 'বিশ্রামের', 'দর্শকদের', 'শব্দগুলির', 'ট্রেকের', 'উচ্চারণের', 'ডাইভিংয়ের']
['ছাত্র', 'ছাত্রদের', 'শিক্ষার্থীদের', 'ছাত্রছাত্রীদের', 'ছাত্রীদের', 'শিক্ষকদের', 'শিক্ষার্থীরা', 'ক্যাডেটদের', 'শিক্ষার্থীর', 'ছাত্র-ছাত্রীদের']
['ধনী', 'ভ্রমণকারীদের', 'বসবাসকারীদের', 'প্রাপ্তবয়স্কদের', 'নিম্নমানের', 'ধনীদের', 'বিনোদনের', 'তরুণদের', 'আকর্ষনীয়', 'পর্যটকদের']
['ছেলেদের', 'সহপাঠীদের', 'ভাইবোনদের', 'ভাইদের', 'বাচ্চাদের', 'ভাই-বোনদের', 'ভাইয়ের', 'বালকদের', 'ভাই', 'বন্ধুদের']
['শিক্ষক', 'শিক্ষার্থীদের', 'শিক্ষকদের', 'ছাত্রদের', 'পাঠ্যক্রমের', 'ছাত্রছাত্রীদের', 'শিক্ষকের', 'শিক্ষাদানের', 'ছাত্র-ছাত্রীদের', 'ক্যাডেটদের']
['মাংসের', 'খাবারের', 'পানের', 'নিরামিষ', 'ছাগলের', 'ভাতের', 'গরুর', 'আহারের', 'শস্যের', 'গরু']
['', '', '', '', '', '', '', '', '', '']
['ছেলেদের', 'সহপাঠীদের', 'ভাইবোনদের', 'ভাইদের', 'বাচ্চাদের', 'ভাই-বোনদের', 'ভাইয়ের', 'বালকদের', 'ভাই', 'বন্ধুদের']
['পাখি', 'পাখিদের', 'পাখির', 'পাখিরা', 'প্রাণীদের', 'মাছের', 'উদ্ভিদের', 'বন্য', 'কুকুরের', 'ঘাস']
['সদস্য', 'সদস্যদের', 'সদস্যগণ', 'মেম্বার', 'সদস্যভূক্ত', 'সদস্যও', 'সদস্যা', 'স্বেচ্ছাসেবক', 'সদস্যরা', 'উচ্চকক্ষ']
['সচিব', 'সচিবের', 'অধিদফতরের', 'উপসচিব', 'স্টাফ', 'জনসংযোগ', 'বিভাগের', 'সেক্রেটারি', 'যুগ্মসচিব', 'মন্ত্রণালয়ে']
['দর্শকদের', 'দর্শক', 'দর্শকের', 'দর্শনার্থীদের', 'অংশগ্রহণকারীদের', 'শ্রোতাদের', 'দর্শনার্থীর', 'পর্যটকদের', 'খেলাধূলার', 'দৌড়ের']
['শিক্ষক', 'শিক্ষার্থীদের', 'শিক্ষকদের', 'ছাত্রদের', 'পাঠ্যক্রমের', 'ছাত্রছাত্রীদের', 'শিক্ষকের', 'শিক্ষাদানের', 'ছাত্র-ছাত্রীদের', 'ক্যাডেটদের']
['অনুশীলনের', 'ব্যায়ামের', 'অংশগ্রহণকারীদের', 'শব্দগুলির', 'খেলাধূলার', 'সঞ্চালনের', 'দর্শকদের', 'অ্যাপ্লিকেশনগুলির', 'প্রাপ্তবয়স্কদের', 'মহিলাদের']
['সম্পাদক', 'সম্পাদকের', 'সহ-সম্পাদক', 'সম্পাদকীয়', 'সম্পাদিকা', 'মুখপত্র', 'সহ-সভাপতি', 'সভাপতি', 'যুগ্ম-সাধারণ', 'সভাপতির']
['পন্ডিতদের', 'পণ্ডিতদের', 'পণ্ডিত', 'নৃত্যের', 'শাস্ত্রীয়', 'দর্শনশাস্ত্রের', 'পাশ্চাত্য', 'শিল্পকলার', 'সংগীতের', 'গুরুদের']
['মন্ত্রী', 'মন্ত্রণালয়ের', 'মন্ত্রীর', 'অধিদফতরের', 'মন্ত্রকের', 'মন্ত্রনালয়ের', 'প্রতিমন্ত্রী', 'প্রধানমন্ত্রীর', 'মন্ত্রণালয়ে', 'মন্ত্রক']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['আমি', 'আমরা', 'আমাকে', 'তোমরা', "'আমি", 'আপনি', 'আমিও', 'তুমি', 'তোমারই', 'আপনাকে']
['তুমি', 'তোমাকে', "'আমি", 'তোমারই', 'হও', 'রাখ', 'তোমরা', 'আমায়', 'তোমায়', 'বলো']
['সে', 'সেই', 'ভাগ্যের', 'সেও', 'মেয়েটি', 'মেয়েটির', 'দুঃখের', 'নিজের', 'হয়তো', 'শিশুটি']
['তিনি', 'তাঁরা', 'নরেন্দ্রনাথের', 'উনি', 'নিজের', 'ইনান্না', 'তারা', 'ক্ষুধার', 'প্রসঙ্গের', 'গুরুদেবের']
['শিক্ষক', 'শিক্ষকের', 'শিক্ষণ', 'শিক্ষকরূপে', 'শিক্ষকরা', 'শিক্ষককে', 'শিক্ষায়', 'মহাবিদ্যালয়ের', 'মক্তবে', 'শিক্ষিকা']
['মার্টিয়ান', 'অপুর', 'ব্রাহ্মণী', 'মেশা', 'সুবর্ণরেখা', 'পদ্মানদীর', 'করুণ', 'গঙ্গাবল্লী', 'ভয়াল', 'ঘাটে']
['ছাত্র', 'ছাত্রদের', 'ছাত্ররা', 'ছাত্রীরা', 'শিক্ষার্থীদের', 'শিক্ষকরা', 'শিক্ষার্থীরা', 'ক্যাম্পাসগুলিতে', 'ছাত্রছাত্রীরা', 'ছাত্রী']
['ধনী', 'ধনবান', 'নিম্নবিত্তের', 'অপরিচিত', 'বিত্তশালী', 'আদরের', 'পরিবারগুলি', 'শ্বশুরবাড়ির', 'হতদরিদ্র', 'গরীব']
['ভাই', 'ভাইকে', 'বোন', 'বোনকে', 'চাচা', 'ভাইয়েরা', 'ভাইদের', 'ভাইয়ের', 'ছেলে', 'মামা']
['শিক্ষক', 'শিক্ষকের', 'শিক্ষণ', 'শিক্ষকরূপে', 'শিক্ষকরা', 'শিক্ষককে', 'শিক্ষায়', 'মহাবিদ্যালয়ের', 'মক্তবে', 'শিক্ষিকা']
['গরু', 'গরুর', 'জবেহ', 'মহিষের', 'গোরুর', 'পশুর', 'খেয়েছে', 'চড়িয়ে', 'শস্যের', 'গোশত']
['ছেলে', 'ছেলের', 'মেয়ে', 'শ্বশুরবাড়ির', 'বোনকে', 'ভাইকে', 'মেয়ের', 'সংসারে', 'কন্যাকে', 'পুত্র']
['', '', '', '', '', '', '', '', '', '']
['ভাই', 'ভাইকে', 'বোন', 'বোনকে', 'চাচা', 'ভাইয়েরা', 'ভাইদের', 'ভাইয়ের', 'ছেলে', 'মামা']
['পাখি', 'পাখিরা', 'সাপ', 'মান্তা', 'উটপাখির', 'পাখির', 'পাখিকে', 'ইঁদুর', 'পাখিদের', 'পাখিটি']
['সচিব', 'স্বরাষ্ট্র', 'প্রতিমন্ত্রীর', 'সচিবের', 'মন্ত্রীর', 'মাননীয়', 'মন্ত্রনালয়ের', 'পদমর্যাদায়', 'প্রতিমন্ত্রী', 'মন্ত্রীসভায়']
['দর্শক', 'দর্শকরা', 'দর্শকের', 'দর্শকদের', 'সমাগমের', 'দর্শকেরা', 'শ্রোতার', 'দর্শকদেরকে', 'নগ্নতার', 'রাতারাতি']
['শিক্ষক', 'শিক্ষকের', 'শিক্ষণ', 'শিক্ষকরূপে', 'শিক্ষকরা', 'শিক্ষককে', 'শিক্ষায়', 'মহাবিদ্যালয়ের', 'মক্তবে', 'শিক্ষিকা']
['ওঁ-কারের', 'নান্দনিকতার', 'মার্টিয়ান', 'ভাগ্যের', 'যমুনোত্রির', 'যুঝতে', 'হরিশ্চন্দ্রের', 'অমানবিক', 'পরিণতির', 'পাঠ্যপুস্তকগুলি']
['সম্পাদক', 'সম্পাদকের', 'সম্পাদকঃ', 'সওগাত', 'আনন্দমেলা', 'সিপিভির', 'সহ-সম্পাদক', 'ইত্তেফাকে', 'ইত্তেফাকের', 'পত্রিকাগুলোতে']
['পণ্ডিত', 'পণ্ডিতেরা', 'পণ্ডিতের', 'বিদগ্ধ', 'বিরজু', 'পন্ডিত', 'গ্রন্থগুলিতে', 'পরবর্তীকালের', 'চিত্রশিল্পের', 'ভগবত']
['মন্ত্রী', 'মন্ত্রীর', 'প্রতিমন্ত্রী', 'মন্ত্রীসভায়', 'মন্ত্রিসভায়', 'প্রতিমন্ত্রীর', 'মন্ত্রনালয়ের', 'স্বরাষ্ট্র', 'মন্ত্রক', 'মন্ত্রণালয়ের']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['আমি', 'আমরা', 'তুমি', 'তোমরা', 'আমিও', 'আপনি', 'আপনাকে', 'হও', 'তোমাকে', 'আমাকে']
['তুমি', 'দেখ', 'তোমাকে', 'বলো', 'আমায়', 'তোমায়', 'হও', 'জানো', 'আমারে', 'তুই']
['সে', 'সেই', 'তা', 'সেটার', 'সেটা', 'একরকম', 'সত্যি', 'ওদের', 'এমন', 'হয়তো']
['তিনি', 'তারা', 'দলটি', '২-১', '৩-০', 'জয়লাভের', '২-০', '৩-২', 'প্রীতি', '৪-১']
['শিক্ষকবৃন্দ', 'শিক্ষক-শিক্ষার্থী', 'ছাত্রীরা', 'অধ্যাপকগণ', 'পরীক্ষাসমূহে', 'ছাত্ররাও', 'স্নাতকগণ', 'ছাত্ররা', 'ছাত্রছাত্রীরা', 'মেডিকাল']
['মরুপথে', 'কালাদান', '২-০', '২-১', 'চক্রবৃদ্ধি', '৩-২', 'নিক্ষেপযোগ্য', 'মূলভূমি', '২-২', 'আখিরা']
['ছাত্র', 'গণমুক্তি', 'সর্বহারা', 'কালমার', 'মজদুর', 'সলিডারিটি', 'স্টুডেন্টস', 'ওয়ার্কার্স', 'জোট', 'বিইউপিসি']
['ধনী', 'দামী', 'কাছের', 'সম্পদশালী', 'ব্যায়বহুল', 'বেশীসংখ্যক', 'বেশিবার', 'দুর্বলতম', 'ক্ষমতাধর', 'বাজারগুলোতে']
['ভাই', 'বোন', 'ভাইকে', 'বোনকে', 'ভাইয়ের', 'ছেলে', 'রানীকে', 'ভাইও', 'বাইশদিয়া', 'সৎভাই']
