['বাগদাদ', 'মিশর', 'সিরিয়া', 'আনাতোলিয়া', 'মেসোপটেমিয়া', 'পারস্য', 'বুখারা', 'খোরাসান', 'আলেপ্পো', 'বসরা']
['হাঙ্গেরি', 'বুলগেরিয়া', 'রোমানিয়া', 'লিথুয়ানিয়া', 'লাটভিয়া', 'বেলারুশ', 'ক্রোয়েশিয়া', 'অস্ট্রিয়া', 'পোল্যান্ড', 'ইকুয়েডর']
['হাঙ্গেরি', 'বুলগেরিয়া', 'বেলজিয়াম', 'পোল্যান্ড', 'এস্তোনিয়া', 'ক্রোয়েশিয়া', 'রোমানিয়া', 'অস্ট্রিয়া', 'পর্তুগাল', 'হার্জেগোভিনা']
['দামেস্ক', 'আলেপ্পো', 'মিশর', 'সিরিয়া', 'বুখারা', 'আলবেনিয়া', 'সিসিলি', 'মিসর', 'হাঙ্গেরি', 'বসরা']
['ঢাকা', 'রাজশাহী', 'খুলনা', 'চট্টগ্রাম', 'বরিশাল', 'সিলেট', 'রংপুর', 'ময়মনসিংহ', 'কুষ্টিয়া', 'কুমিল্লা']
['হাঙ্গেরি', 'হার্জেগোভিনা', 'বুলগেরিয়া', 'রোমানিয়া', 'তুর্কমেনিস্তান', 'বাহরাইন', 'গ্রীস', 'ইরিত্রিয়া', 'বসনিয়া', 'ক্রোয়েশিয়া']
['হাঙ্গেরি', 'বুলগেরিয়া', 'রোমানিয়া', 'ডেনমার্ক', 'বেলজিয়াম', 'নরওয়ে', 'লিথুয়ানিয়া', 'ক্রোয়েশিয়া', 'নেদারল্যান্ডস', 'ফিনল্যান্ড']
['হাঙ্গেরি', 'বুলগেরিয়া', 'রোমানিয়া', 'সার্বিয়া', 'লাটভিয়া', 'হার্জেগোভিনা', 'অস্ট্রিয়া', 'গ্রীস', 'লিথুয়ানিয়া', 'এস্তোনিয়া']
['হাঙ্গেরি', 'বুলগেরিয়া', 'রোমানিয়া', 'অস্ট্রিয়া', 'লিথুয়ানিয়া', 'হার্জেগোভিনা', 'সার্বিয়া', 'গ্রীস', 'এস্তোনিয়া', 'ক্রোয়েশিয়া']
['', '', '', '', '', '', '', '', '', '']
['হাঙ্গেরি', 'বুলগেরিয়া', 'রোমানিয়া', 'ক্রোয়েশিয়া', 'লিথুয়ানিয়া', 'ইকুয়েডর', 'বলিভিয়া', 'হাঙ্গেরী', 'সার্বিয়া', 'বেলজিয়াম']
['হাঙ্গেরি', 'রোমানিয়া', 'বুলগেরিয়া', 'ক্রোয়েশিয়া', 'টোগো', 'ইকুয়েডর', 'লিথুয়ানিয়া', 'এস্তোনিয়া', 'ইউক্রেন', 'লাটভিয়া']
['হাঙ্গেরি', 'বুলগেরিয়া', 'রোমানিয়া', 'ক্রোয়েশিয়া', 'বেলজিয়াম', 'স্লোভেনিয়া', 'ডেনমার্ক', 'হাঙ্গেরী', 'লিথুয়ানিয়া', 'লুক্সেমবার্গ']
['হাঙ্গেরি', 'রোমানিয়া', 'বুলগেরিয়া', 'অস্ট্রিয়া', 'প্যারাগুয়ে', 'ক্রোয়েশিয়া', 'বেলজিয়াম', 'গ্রীস', 'ডেনমার্ক', 'লিথুয়ানিয়া']
['হাঙ্গেরি', 'বুলগেরিয়া', 'রোমানিয়া', 'লিথুয়ানিয়া', 'সার্বিয়া', 'এস্তোনিয়া', 'ক্রোয়েশিয়া', 'ফিনল্যান্ড', 'ডেনমার্ক', 'লাটভিয়া']
['হাঙ্গেরি', 'ইসলামাবাদ', 'বাহরাইন', 'উজবেকিস্তান', 'আজারবাইজান', 'আঙ্কারা', 'বুলগেরিয়া', 'তাজিকিস্তান', 'কিরগিজস্তান', 'ইরিত্রিয়া']
['হাঙ্গেরি', 'বুলগেরিয়া', 'ক্রোয়েশিয়া', 'জাকার্তা', 'তুর্কমেনিস্তান', 'কাজাখস্তান', 'পর্তুগাল', 'ইউক্রেন', 'রোমানিয়া', 'ইন্দোনেশিয়া']
['কাবুল', 'হেরাত', 'কান্দাহার', 'আলেপ্পো', 'বুখারা', 'খোরাসান', 'মসুল', 'আর্মেনিয়া', 'আলবেনিয়া', 'সিসিলি']
['হাঙ্গেরি', 'বুলগেরিয়া', 'রোমানিয়া', 'সার্বিয়া', 'ক্রোয়েশিয়া', 'লিথুয়ানিয়া', 'বেলজিয়াম', 'অস্ট্রিয়া', 'পোল্যান্ড', 'লাটভিয়া']
['কাঠমান্ডু', 'জিনজিয়াং', 'মঙ্গোলিয়া', 'হাঙ্গেরি', 'বুখারা', 'সিসিলি', 'কান্দাহার', 'গ্রীস', 'আলেপ্পো', 'হেরাত']
['হাঙ্গেরি', 'বুলগেরিয়া', 'রোমানিয়া', 'সার্বিয়া', 'অস্ট্রিয়া', 'ক্রোয়েশিয়া', 'হার্জেগোভিনা', 'লিথুয়ানিয়া', 'গ্রীস', 'ইউক্রেন']
['হাঙ্গেরি', 'বুলগেরিয়া', 'ইউক্রেন', 'কিয়েভ', 'পোল্যান্ড', 'বেলজিয়াম', 'অস্ট্রিয়া', 'গুয়াতেমালা', 'বেলারুশ', 'বসনিয়া']
['হাঙ্গেরি', 'বুলগেরিয়া', 'রোমানিয়া', 'সার্বিয়া', 'অস্ট্রিয়া', 'হার্জেগোভিনা', 'ক্রোয়েশিয়া', 'বেলজিয়াম', 'এস্তোনিয়া', 'লিথুয়ানিয়া']
['হাঙ্গেরি', 'বুলগেরিয়া', 'প্যারাগুয়ে', 'লুক্সেমবার্গ', 'রোমানিয়া', 'নরওয়ে', 'ডেনমার্ক', 'বেলজিয়াম', 'স্লোভেনিয়া', 'ক্রোয়েশিয়া']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['হাঙ্গেরি', 'বুলগেরিয়া', 'ইকুয়েডর', 'প্যারাগুয়ে', 'রোমানিয়া', 'বলিভিয়া', 'লিথুয়ানিয়া', 'ক্রোয়েশিয়া', 'সার্বিয়া', 'অস্ট্রিয়া']
['হাঙ্গেরি', 'পর্তুগাল', 'বুলগেরিয়া', 'গ্রীস', 'সিসিলি', 'রোমানিয়া', 'অস্ট্রিয়া', 'ইকুয়েডর', 'বলিভিয়া', 'পোল্যান্ড']
['', '', '', '', '', '', '', '', '', '']
['লন্ডন', 'প্যারিস', 'আমস্টারডাম', 'সুইডেন', 'কলম্বিয়া', 'ইতালি', 'ব্রাসেলস', 'মস্কো', 'জর্জিয়া', 'সুইজারল্যান্ড']
['হাঙ্গেরি', 'বুলগেরিয়া', 'রোমানিয়া', 'সার্বিয়া', 'অস্ট্রিয়া', 'হার্জেগোভিনা', 'ক্রোয়েশিয়া', 'এস্তোনিয়া', 'লাটভিয়া', 'লিথুয়ানিয়া']
['', '', '', '', '', '', '', '', '', '']
['মাদ্রিদ', 'বার্সেলোনা', 'মাদ্রিদকে', 'রিয়াল', 'পর্তুগাল', 'স্পেন', 'চেলসি', 'আর্জেন্টিনা', 'নাপোলি', 'বেলজিয়াম']
['হাঙ্গেরি', 'বুলগেরিয়া', 'রোমানিয়া', 'হার্জেগোভিনা', 'ক্রোয়েশিয়া', 'লাটভিয়া', 'অস্ট্রিয়া', 'এস্তোনিয়া', 'সার্বিয়া', 'লিথুয়ানিয়া']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['মিশর', 'লিবিয়া', 'রাশিয়া', 'আলজেরিয়া', 'তুরস্ক', 'সিরিয়া', 'বুলগেরিয়া', 'স্পেন', 'ইথিওপিয়া', 'কম্বোডিয়া']
['মিশর', 'রাশিয়া', 'লিবিয়া', 'সিরিয়া', 'তুরস্ক', 'আলজেরিয়া', 'সাম্রাজ্য', 'বুলগেরিয়া', 'ইরাক', 'ইরান']
['', '', '', '', '', '', '', '', '', '']
['মিশর', 'রাশিয়া', 'সিরিয়া', 'লিবিয়া', 'সাম্রাজ্য', 'তুরস্ক', 'আলজেরিয়া', 'বুলগেরিয়া', 'ইরাক', 'মিসর']
['মিশর', 'লিবিয়া', 'রাশিয়া', 'সিরিয়া', 'আলজেরিয়া', 'তুরস্ক', 'বুলগেরিয়া', 'ইরাক', 'ইথিওপিয়া', 'গ্রিস']
['মিশর', 'রাশিয়া', 'সিরিয়া', 'লিবিয়া', 'সাম্রাজ্য', 'তুরস্ক', 'ইরাক', 'চীন', 'জাপান', 'আলজেরিয়া']
['মিশর', 'সিরিয়া', 'ইরাক', 'মিসর', 'লিবিয়া', 'মেসোপটেমিয়া', 'ইরান', 'তুরস্ক', 'দামেস্ক', 'আনাতোলিয়া']
['ঢাকা', 'সিলেট', 'রাজশাহী', 'চট্টগ্রাম', 'ময়মনসিংহ', 'খুলনা', 'পাকিস্তান', 'বাংলাদেশ', 'বরিশাল', 'রংপুর']
['মিশর', 'লিবিয়া', 'আলজেরিয়া', 'তুরস্ক', 'মিসর', 'ইরান', 'ইথিওপিয়া', 'সিরিয়া', 'কম্বোডিয়া', 'হার্জেগোভিনা']
['মিশর', 'আলজেরিয়া', 'লিবিয়া', 'রাশিয়া', 'বুলগেরিয়া', 'তুরস্ক', 'স্পেন', 'বেলজিয়াম', 'ব্রিটেন', 'ফ্রান্স']
['মিশর', 'রাশিয়া', 'সিরিয়া', 'লিবিয়া', 'তুরস্ক', 'আলজেরিয়া', 'সাম্রাজ্য', 'ইরাক', 'ইরান', 'বুলগেরিয়া']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['মিশর', 'লিবিয়া', 'আলজেরিয়া', 'রাশিয়া', 'তুরস্ক', 'সিরিয়া', 'মিসর', 'বুলগেরিয়া', 'সার্বিয়া', 'ইথিওপিয়া']
['মিশর', 'রাশিয়া', 'লিবিয়া', 'সিরিয়া', 'আলজেরিয়া', 'তুরস্ক', 'কম্বোডিয়া', 'চীন', 'ইথিওপিয়া', 'বুলগেরিয়া']
['মিশর', 'লিবিয়া', 'আলজেরিয়া', 'তুরস্ক', 'বুলগেরিয়া', 'রাশিয়া', 'আফগানিস্তান', 'সার্বিয়া', 'সিরিয়া', 'মিসর']
['মিশর', 'রাশিয়া', 'লিবিয়া', 'সিরিয়া', 'আলজেরিয়া', 'তুরস্ক', 'বুলগেরিয়া', 'স্পেন', 'গ্রীস', 'গ্রিস']
['মিশর', 'রাশিয়া', 'লিবিয়া', 'তুরস্ক', 'সিরিয়া', 'আলজেরিয়া', 'বুলগেরিয়া', 'সার্বিয়া', 'গ্রীস', 'গ্রিস']
['মিশর', 'আফগানিস্তান', 'ইরান', 'তুরস্ক', 'লিবিয়া', 'সিরিয়া', 'ইরাক', 'আলজেরিয়া', 'কম্বোডিয়া', 'মিসর']
['মিশর', 'ইরান', 'রাশিয়া', 'সিরিয়া', 'তুরস্ক', 'ইথিওপিয়া', 'ইরাক', 'আলজেরিয়া', 'চীন', 'লিবিয়া']
['মিশর', 'সিরিয়া', 'ইরাক', 'ইরান', 'আফগানিস্তান', 'মিসর', 'লিবিয়া', 'তুরস্ক', 'পারস্য', 'আনাতোলিয়া']
['মিশর', 'রাশিয়া', 'সিরিয়া', 'লিবিয়া', 'তুরস্ক', 'আলজেরিয়া', 'সাম্রাজ্য', 'ইরাক', 'ইরান', 'বুলগেরিয়া']
['মিশর', 'মিয়ানমার', 'মেসোপটেমিয়া', 'সিরিয়া', 'মঙ্গোলিয়া', 'মিসর', 'তিব্বত', 'ইথিওপিয়া', 'লিবিয়া', 'আফগানিস্তান']
['মিশর', 'রাশিয়া', 'সিরিয়া', 'লিবিয়া', 'তুরস্ক', 'আলজেরিয়া', 'সাম্রাজ্য', 'ইরান', 'ইরাক', 'চীন']
['মিশর', 'রাশিয়া', 'সিরিয়া', 'ইরাক', 'তুরস্ক', 'বুলগেরিয়া', 'ইতালি', 'লিবিয়া', 'ইরান', 'স্পেন']
['মিশর', 'রাশিয়া', 'সিরিয়া', 'লিবিয়া', 'তুরস্ক', 'সাম্রাজ্য', 'আলজেরিয়া', 'ইরাক', 'ইরান', 'বুলগেরিয়া']
['মিশর', 'লিবিয়া', 'রাশিয়া', 'আলজেরিয়া', 'সিরিয়া', 'বুলগেরিয়া', 'স্পেন', 'ইথিওপিয়া', 'ইতালি', 'সার্বিয়া']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['মিশর', 'লিবিয়া', 'রাশিয়া', 'সিরিয়া', 'ইথিওপিয়া', 'আলজেরিয়া', 'তুরস্ক', 'বুলগেরিয়া', 'মেসোপটেমিয়া', 'সার্বিয়া']
['মিশর', 'রাশিয়া', 'সিরিয়া', 'তুরস্ক', 'পর্তুগাল', 'স্পেন', 'মিসর', 'মেসোপটেমিয়া', 'লিবিয়া', 'বুলগেরিয়া']
['', '', '', '', '', '', '', '', '', '']
['ফ্রান্স', 'ইতালি', 'স্পেন', 'মিশর', 'জার্মানি', 'জাপান', 'সুইডেন', 'ব্রিটেন', 'যুক্তরাজ্য', 'ইউরোপ']
['মিশর', 'রাশিয়া', 'সিরিয়া', 'লিবিয়া', 'তুরস্ক', 'সাম্রাজ্য', 'আলজেরিয়া', 'ইরাক', 'চীন', 'ইরান']
['', '', '', '', '', '', '', '', '', '']
['স্পেন', 'পর্তুগাল', 'মাদ্রিদ', 'মিশর', 'বেলজিয়াম', 'ফ্রান্স', 'ইতালি', 'রাশিয়া', 'ব্রাজিল', 'বুলগেরিয়া']
['মিশর', 'রাশিয়া', 'লিবিয়া', 'সিরিয়া', 'তুরস্ক', 'আলজেরিয়া', 'সাম্রাজ্য', 'ইরাক', 'বুলগেরিয়া', 'চীন']
['বাজুহা', 'জমিদার-জোতদারদের', 'বাসমতি', 'বাজুহার', 'সেনাবাহিনীও', '২-০তে', 'শাসনামলেও', 'দলকেও', 'দুদেশের', 'তারপরও']
['মিশর', 'রাশিয়া', 'লিবিয়া', 'সিরিয়া', 'আলজেরিয়া', 'তুরস্ক', 'স্পেন', 'ইথিওপিয়া', 'চীন', 'বুলগেরিয়া']
['অস্ট্রেলিয়া', 'নিউজিল্যান্ড', 'ইংল্যান্ড', 'জিম্বাবুয়ে', 'আফ্রিকা', 'শ্রীলঙ্কা', 'আয়ারল্যান্ড', 'বার্বাডোস', 'অস্ট্রেলিয়ায়', 'রোডেশিয়া']
['', '', '', '', '', '', '', '', '', '']
['অস্ট্রেলিয়া', 'নিউজিল্যান্ড', 'ইংল্যান্ড', 'জিম্বাবুয়ে', 'আফ্রিকা', 'শ্রীলঙ্কা', 'আয়ারল্যান্ড', 'বার্বাডোস', 'স্কটল্যান্ড', 'কেনিয়া']
['অস্ট্রেলিয়া', 'নিউজিল্যান্ড', 'ইংল্যান্ড', 'জিম্বাবুয়ে', 'আফ্রিকা', 'আয়ারল্যান্ড', 'শ্রীলঙ্কা', 'বার্বাডোস', 'রোডেশিয়া', 'এমসিসি']
['অস্ট্রেলিয়া', 'ইংল্যান্ড', 'নিউজিল্যান্ড', 'জিম্বাবুয়ে', 'আফ্রিকা', 'শ্রীলঙ্কা', 'আয়ারল্যান্ড', 'অস্ট্রেলিয়ার', 'এমসিসি', 'অস্ট্রেলিয়ায়']
['অস্ট্রেলিয়া', 'ইংল্যান্ড', 'নিউজিল্যান্ড', 'জিম্বাবুয়ে', 'আফ্রিকা', 'শ্রীলঙ্কা', 'আয়ারল্যান্ড', 'স্পেন', 'কেনিয়া', 'মিশর']
['ঢাকা', 'অস্ট্রেলিয়া', 'রাজশাহী', 'ইংল্যান্ড', 'নিউজিল্যান্ড', 'জিম্বাবুয়ে', 'আফ্রিকা', 'শ্রীলঙ্কা', 'পাকিস্তান', 'বাংলাদেশ']
['অস্ট্রেলিয়া', 'নিউজিল্যান্ড', 'ইংল্যান্ড', 'জিম্বাবুয়ে', 'শ্রীলঙ্কা', 'আয়ারল্যান্ড', 'কেনিয়া', 'আফ্রিকা', 'জ্যামাইকা', 'নামিবিয়া']
['অস্ট্রেলিয়া', 'নিউজিল্যান্ড', 'ইংল্যান্ড', 'জিম্বাবুয়ে', 'আয়ারল্যান্ড', 'আফ্রিকা', 'স্কটল্যান্ড', 'শ্রীলঙ্কা', 'বার্বাডোস', 'জ্যামাইকা']
['অস্ট্রেলিয়া', 'নিউজিল্যান্ড', 'ইংল্যান্ড', 'জিম্বাবুয়ে', 'আফ্রিকা', 'শ্রীলঙ্কা', 'আয়ারল্যান্ড', 'অস্ট্রেলিয়ায়', 'বার্বাডোস', 'কেনিয়া']
['অস্ট্রেলিয়া', 'নিউজিল্যান্ড', 'ইংল্যান্ড', 'জিম্বাবুয়ে', 'আফ্রিকা', 'শ্রীলঙ্কা', 'আয়ারল্যান্ড', 'অস্ট্রেলিয়ায়', 'বার্বাডোস', 'এমসিসি']
['', '', '', '', '', '', '', '', '', '']
['অস্ট্রেলিয়া', 'নিউজিল্যান্ড', 'ইংল্যান্ড', 'জিম্বাবুয়ে', 'শ্রীলঙ্কা', 'আফ্রিকা', 'আয়ারল্যান্ড', 'বার্বাডোস', 'স্কটল্যান্ড', 'তাসমানিয়া']
['অস্ট্রেলিয়া', 'নিউজিল্যান্ড', 'ইংল্যান্ড', 'জিম্বাবুয়ে', 'শ্রীলঙ্কা', 'আয়ারল্যান্ড', 'আফ্রিকা', 'কেনিয়া', 'নামিবিয়া', 'জ্যামাইকা']
['অস্ট্রেলিয়া', 'নিউজিল্যান্ড', 'ইংল্যান্ড', 'জিম্বাবুয়ে', 'শ্রীলঙ্কা', 'আফ্রিকা', 'আয়ারল্যান্ড', 'বার্বাডোস', 'রোডেশিয়া', 'এমসিসি']
['অস্ট্রেলিয়া', 'নিউজিল্যান্ড', 'ইংল্যান্ড', 'জিম্বাবুয়ে', 'আফ্রিকা', 'আয়ারল্যান্ড', 'শ্রীলঙ্কা', 'বার্বাডোস', 'স্কটল্যান্ড', 'জ্যামাইকা']
['অস্ট্রেলিয়া', 'নিউজিল্যান্ড', 'ইংল্যান্ড', 'জিম্বাবুয়ে', 'আফ্রিকা', 'আয়ারল্যান্ড', 'শ্রীলঙ্কা', 'বার্বাডোস', 'স্কটল্যান্ড', 'অস্ট্রেলিয়ায়']
['অস্ট্রেলিয়া', 'নিউজিল্যান্ড', 'ইংল্যান্ড', 'শ্রীলঙ্কা', 'জিম্বাবুয়ে', 'আয়ারল্যান্ড', 'কেনিয়া', 'বার্বাডোস', 'আফ্রিকা', 'কুইন্সল্যান্ড']
['অস্ট্রেলিয়া', 'নিউজিল্যান্ড', 'ইংল্যান্ড', 'আয়ারল্যান্ড', 'শ্রীলঙ্কা', 'আফ্রিকা', 'কেনিয়া', 'জিম্বাবুয়ে', 'স্কটল্যান্ড', 'নামিবিয়া']
['অস্ট্রেলিয়া', 'ইংল্যান্ড', 'নিউজিল্যান্ড', 'শ্রীলঙ্কা', 'জিম্বাবুয়ে', 'আফ্রিকা', 'কেনিয়া', 'আয়ারল্যান্ড', 'আফগানিস্তান', 'জ্যামাইকা']
['অস্ট্রেলিয়া', 'নিউজিল্যান্ড', 'ইংল্যান্ড', 'জিম্বাবুয়ে', 'আফ্রিকা', 'শ্রীলঙ্কা', 'আয়ারল্যান্ড', 'কেনিয়া', 'বার্বাডোস', 'স্কটল্যান্ড']
['অস্ট্রেলিয়া', 'ইংল্যান্ড', 'নিউজিল্যান্ড', 'শ্রীলঙ্কা', 'জিম্বাবুয়ে', 'কেনিয়া', 'আফ্রিকা', 'আয়ারল্যান্ড', 'জ্যামাইকা', 'নামিবিয়া']
['অস্ট্রেলিয়া', 'নিউজিল্যান্ড', 'ইংল্যান্ড', 'জিম্বাবুয়ে', 'আফ্রিকা', 'শ্রীলঙ্কা', 'আয়ারল্যান্ড', 'কেনিয়া', 'অস্ট্রেলিয়ায়', 'বার্বাডোস']
['অস্ট্রেলিয়া', 'নিউজিল্যান্ড', 'ইংল্যান্ড', 'আয়ারল্যান্ড', 'জিম্বাবুয়ে', 'আফ্রিকা', 'জ্যামাইকা', 'কেনিয়া', 'শ্রীলঙ্কা', 'ব্রাজিল']
['অস্ট্রেলিয়া', 'নিউজিল্যান্ড', 'ইংল্যান্ড', 'জিম্বাবুয়ে', 'আফ্রিকা', 'শ্রীলঙ্কা', 'আয়ারল্যান্ড', 'অস্ট্রেলিয়ায়', 'বার্বাডোস', 'এমসিসি']
['অস্ট্রেলিয়া', 'নিউজিল্যান্ড', 'ইংল্যান্ড', 'জিম্বাবুয়ে', 'আফ্রিকা', 'আয়ারল্যান্ড', 'শ্রীলঙ্কা', 'বার্বাডোস', 'জ্যামাইকা', 'তাসমানিয়া']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['অস্ট্রেলিয়া', 'নিউজিল্যান্ড', 'ইংল্যান্ড', 'জিম্বাবুয়ে', 'আফ্রিকা', 'আয়ারল্যান্ড', 'শ্রীলঙ্কা', 'কেনিয়া', 'রোডেশিয়া', 'জ্যামাইকা']
['অস্ট্রেলিয়া', 'নিউজিল্যান্ড', 'ইংল্যান্ড', 'জিম্বাবুয়ে', 'আফ্রিকা', 'আয়ারল্যান্ড', 'শ্রীলঙ্কা', 'বার্বাডোস', 'জ্যামাইকা', 'স্কটল্যান্ড']
['', '', '', '', '', '', '', '', '', '']
['অস্ট্রেলিয়া', 'ইংল্যান্ড', 'নিউজিল্যান্ড', 'লন্ডন', 'আফ্রিকা', 'স্কটল্যান্ড', 'আয়ারল্যান্ড', 'মেলবোর্ন', 'কুইন্সল্যান্ড', 'ওয়েলস']
['অস্ট্রেলিয়া', 'নিউজিল্যান্ড', 'ইংল্যান্ড', 'জিম্বাবুয়ে', 'আফ্রিকা', 'শ্রীলঙ্কা', 'আয়ারল্যান্ড', 'অস্ট্রেলিয়ায়', 'বার্বাডোস', 'কেনিয়া']
['', '', '', '', '', '', '', '', '', '']
['অস্ট্রেলিয়া', 'নিউজিল্যান্ড', 'ইংল্যান্ড', 'ব্রাজিল', 'আর্জেন্টিনা', 'জিম্বাবুয়ে', 'মাদ্রিদ', 'আয়ারল্যান্ড', 'স্পেন', 'বার্সেলোনা']
['অস্ট্রেলিয়া', 'নিউজিল্যান্ড', 'ইংল্যান্ড', 'জিম্বাবুয়ে', 'আফ্রিকা', 'শ্রীলঙ্কা', 'আয়ারল্যান্ড', 'বার্বাডোস', 'অস্ট্রেলিয়ায়', 'কেনিয়া']
['অস্ট্রেলিয়া', 'নিউজিল্যান্ড', 'ইংল্যান্ড', 'জিম্বাবুয়ে', 'আফ্রিকা', 'শ্রীলঙ্কা', 'আয়ারল্যান্ড', 'বার্বাডোস', 'এমসিসি', 'কেনিয়া']
['অস্ট্রেলিয়া', 'নিউজিল্যান্ড', 'ইংল্যান্ড', 'জিম্বাবুয়ে', 'আফ্রিকা', 'আয়ারল্যান্ড', 'শ্রীলঙ্কা', 'কেনিয়া', 'জ্যামাইকা', 'ব্রাজিল']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['ভেনেজুয়েলা', 'ইকুয়েডর', 'বলিভিয়া', 'পেরু', 'প্যারাগুয়ে', 'সেনেগাল', 'চিলি', 'নিকারাগুয়া', 'ঘানা', 'হন্ডুরাস']
['ভেনেজুয়েলা', 'ইকুয়েডর', 'বলিভিয়া', 'চিলি', 'পেরু', 'নিকারাগুয়া', 'কলম্বিয়া', 'সেনেগাল', 'হন্ডুরাস', 'প্যারাগুয়ে']
['ভেনেজুয়েলা', 'ডাকার', 'সেনেগাল', 'ব্রাজিল', 'ক্যামেরুন', 'অ্যাঙ্গোলা', 'মন্টিনিগ্রো', 'ঘানা', 'মরক্কো', 'বলিভিয়া']
['দামেস্ক', 'আলেপ্পো', 'সিরিয়া', 'বাগদাদ', 'মিশর', 'ইরাক', 'বসরা', 'মিসর', 'বুখারা', 'লেবানন']
['ঢাকা', 'রাজশাহী', 'চট্টগ্রাম', 'খুলনা', 'বরিশাল', 'সিলেট', 'রংপুর', 'ময়মনসিংহ', 'কলকাতা', 'জাহাঙ্গীরনগর']
['দোহা', 'দুবাই', 'কুয়ালালামপুর', 'শারজাহ', 'বাহরাইন', 'গুয়াতেমালা', 'সিঙ্গাপুর', 'আবুধাবি', 'গুয়াংজু', 'সেবু']
['ভেনেজুয়েলা', 'চিলি', 'গুয়াতেমালা', 'বলিভিয়া', 'ইকুয়েডর', 'ঘানা', 'কলম্বিয়া', 'ডাবলিন', 'ফিলিপাইন', 'ডেনমার্ক']
['ভেনেজুয়েলা', 'ইকুয়েডর', 'বলিভিয়া', 'পেরু', 'আলজেরিয়া', 'সেনেগাল', 'নাইজেরিয়া', 'প্যারাগুয়ে', 'কিরগিজস্তান', 'চিলি']
['ভেনেজুয়েলা', 'ইকুয়েডর', 'বলিভিয়া', 'পেরু', 'সেনেগাল', 'প্যারাগুয়ে', 'চিলি', 'মোজাম্বিক', 'আলজেরিয়া', 'নাইজেরিয়া']
['', '', '', '', '', '', '', '', '', '']
['ভেনেজুয়েলা', 'ইকুয়েডর', 'বলিভিয়া', 'চিলি', 'ঘানা', 'মোজাম্বিক', 'কলম্বিয়া', 'পেরু', 'নিকারাগুয়া', 'হাইতি']
['ভেনেজুয়েলা', 'হ্যানয়', 'ইকুয়েডর', 'বলিভিয়া', 'পেরু', 'গুয়াতেমালা', 'জিবুতি', 'ঘানা', 'কিউবা', 'হন্ডুরাস']
['ভেনেজুয়েলা', 'চিলি', 'ইকুয়েডর', 'ঘানা', 'বলিভিয়া', 'কেনিয়া', 'পেরু', 'জাম্বিয়া', 'বেলিজ', 'প্যারাগুয়ে']
['ভেনিজুয়েলা', 'হাভানা', 'প্যারাগুয়ে', 'হন্ডুরাস', 'চিলি', 'ইকুয়েডর', 'আরুবা', 'বলিভিয়া', 'গুয়াতেমালা', 'লুক্সেমবার্গ']
['ভেনেজুয়েলা', 'চিলি', 'ইকুয়েডর', 'বলিভিয়া', 'প্যারাগুয়ে', 'পেরু', 'ফিনল্যান্ড', 'লিথুয়ানিয়া', 'ডেনমার্ক', 'সার্বিয়া']
['ইসলামাবাদ', 'রাওয়ালপিন্ডি', 'কুয়ালালামপুর', 'ফয়সালাবাদ', 'করাচী', 'করাচি', 'কোয়েটা', 'হায়দরাবাদ', 'বালুচিস্তান', 'মুলতান']
