['প্রুদোম', 'পেদ্রু', 'পেদ্রোর', 'পুত্রদের', 'পেদ্রো', 'মেরুদন্ডে', 'বেন্দ্রে', 'মেরুদন্ড', 'দুরত্বে', 'মুন্দ্রা']
['পাঁচালী', 'চাঁপানী', 'পাঁচপীর', 'পাঁচালীর', 'পশুকামী', 'চাঁনপুর', 'মিঠাপুর', 'মাছিমপুর', 'ডিমাপুর', 'হাঁপানী']
['ছয়ানী', 'হয়ছে', 'ছোয়া', 'ছনুয়া', 'রয়ছে', 'ছরিয়ে', 'ছয়ে', 'হয়েছ', 'ছোঁয়া', 'ছয়ের']
['বাসমতী', 'সামেত', 'সমতায়', 'সাতানী', 'সামী', 'সীমাতে', 'তাসনীম', 'আসামী', 'সীরাত', 'সামীম']
['আমায়', 'আটকে', 'আটে', 'আঁটে', 'আয়মন', 'এটুআই', 'আটের', 'আটেন', 'আজমী', 'মিটে']
['নয়ে', 'নেয়', 'নয়৷', 'জয়ী', 'নিয়ো', 'নমনীয়', 'মোহনীয়', 'মিয়ো', 'মোটু', 'নুয়ে']
['বোয়ালমারী', 'প্রোগামে', 'গামেরো', 'প্রোগামের', 'পূর্বগামী', 'হীরাগুলো', 'সংগ্রামী', 'অধোগামী', 'মন্টোগোমারী', 'মনোগ্রাহী']
['চামোরো', 'বোমারু', 'মনোহারী', 'কারীমে', 'মার্লো', 'বোয়ালমারী', 'বামতীরে', 'পালের্মো', 'মেমারী', 'গামেরো']
['মেত্রো', 'মেমোরী', 'মৈত্রেয়ী', 'মেমোতে', 'মেট্রোতে', 'প্রোমোতে', 'পেত্রো', 'পেরোতে', 'আত্রেয়ী', 'আত্মীয়ের']
['কেন্দ্রীয়', 'চতুর্বেদী', 'শ্রীময়ী', 'দুর্দমনীয়', 'লক্ষ্মীদেবী', 'আত্মীয়দের', 'কেন্দ্রী', 'মৈত্রেয়ী', 'সেঞ্চুরী', 'চন্দ্রগোমী']
['মেমোরী', 'রোমেরোকে', 'খোমেনীর', 'মোরেনো', 'প্রোমোতে', 'টেম্পোর', 'পশুপ্রেমী', 'কেমেরোভো', 'খোমেনী', 'মেমেন্টো']
['রোমুলো', 'ষোলো', 'রোমেলু', 'ষোলোয়', 'সোহেলী', 'হোটেল৷', 'ষোলোর', 'ষোলোতে', 'তোলেন৷', 'মেমোরী']
['সমগোত্রীয়', 'মৈত্রেয়ী', 'মেমোরী', 'মেত্রো', 'মৈত্রেয়ী', 'আত্মীয়ের', 'মেট্রোতে', 'প্রোমোতে', 'যমুনোত্রী', 'সোতেরের']
['বোয়ালমারী', 'কাঠামোয়', 'মাঠকর্মী', 'ঘৃতকুমারী', 'বোয়ালমারীতে', 'আনোয়ারের', 'পুরীধামে', 'আটোয়ারী', 'আটোয়ারী', 'কাঠামোতে']
['এক', 'একক', 'একশ', 'একন', 'একই', 'একি', 'একং', 'একজ', 'একল', 'একা']
['দুই', 'দুইশ', 'দুদক', 'দেশঁ', 'দুক', 'দুশ', 'ইদু', 'ইদুল', 'দশেক', 'দুআ']
['তিন', 'তিনশ', 'কদিন', 'কতদিন', 'তিনি', 'দিন', 'কিনত', 'তিনই', 'দিতি', 'নিতি']
['চাদর', 'কদাচ', 'চাদ', 'চাকর', 'চাক', 'চাকি', 'চাঁদ', 'চকদার', 'শাকচর', 'চরকা']
['কাঁদি', 'পাঁচশ', 'কাঁদব', 'চাঁদি', 'পাঁচ', 'চাঁদ', 'পাঁক', 'কাঁদা', 'কাঁচ', 'কাঁচি']
['ছয়', 'ছয়শ', 'বছয়', 'কয়', 'আশয়', 'সদয়', 'দিয়', 'ছয়শত', 'দয়া', 'কিয়']
['সাদত', 'সাত', 'সাতশ', 'সদকা', 'সাদ', 'সাদি', 'সাতহ', 'সাঁত', 'সাতি', 'সদা']
['আট', 'আটক', 'আটশ', 'আদ', 'আকদ', 'আঁট', 'আটি', 'আক', 'আহট', 'আদি']
['নয়', 'নটী', 'নয়ন', 'নুট', 'নদী', 'নীট', 'নী', 'শয়ন', 'কনু', 'তনয়']
['দশ', 'দশক', 'দশম', 'দশা', 'দস', 'দন', 'দহ', 'দপ', 'দল', 'দি']
['একাদশী', 'বাদী', 'বারদী', 'শাদী', 'কাদরী', 'বাঁদী', 'দাবী', 'কাশী', 'আবাদী', 'শকাব্দ']
['দেশী', 'দেশকে', 'দেবকী', 'নদীতে', 'তুমেদ', 'আদেশকে', 'রশীদকে', 'বেদী', 'বিদেশী', 'তোদের']
['চৌদ্দশ', 'চৌদ্দ', 'খুদ্দক', 'চৌহদ্দি', 'চৌদ্দজন', 'চৌদ্দতম', 'কদ্দুছ', 'চৌদ্দটি', 'বিদ্দু', 'ব্দুদ']
['পরদেশী', 'রশীদকে', 'দীনেশ', 'বিদেশী', 'বনেদী', 'শহীদকে', 'আদেশকে', 'ভিনদেশী', 'নদীকে', 'মেদিনী']
['ষোলশ', 'ষোল', 'দুলি', 'শুদ', 'শীল', 'মুলদ', 'কুশল', 'শুল', 'দোলক', 'শোষক']
['রশীদকে', 'বিদেশী', 'শহীদকে', 'দশমীতে', 'আদেশকে', 'পরদেশী', 'শুকদেব', 'নদীতে', 'সেদিকে', 'বিদেশে']
['একাদশী', 'আকীদার', 'আকাশী', 'একাদশীর', 'চাঁদশী', 'ঠাকুরদা', 'আকীদা', 'আশাদুল', 'দানশীল', 'আশাবাদী']
['এদিক', 'একশ', 'এক', 'একদম', 'একন', 'একদল', 'একই', 'একক', 'একং', 'একদা']
['দুঁদে', 'উদ্দেশ', 'ব্দুদ', 'খুদ্দক', 'দেভুদু', 'দুদকে', 'দুদকেও', 'কদ্দুছ', 'দুদ্দু', 'দুইদিনে']
['ততদিন', 'তিনদিন', 'কতদিন', 'এতদিন', 'তিনদিক', 'দশদিন', 'অদিতি', 'তিনশ', 'যতদিন', 'দিতি']
['চাদর', 'চাঁদর', 'চাঁদি', 'চাঁদশী', 'চাঁদা', 'কদাচ', 'চিদাম', 'চাঁদির', 'চাঁদ', 'চকদার']
['পাঁচদিন', 'পশ্চাদপদ', 'চাঁদশী', 'রুপচাঁদা', 'চাঁদপাই', 'পুঁজিবাদ', 'চাঁদপুর', 'পুদিনা', 'চাঁদিপুর', 'চাঁদনি']
['ছয়দিন', 'ছন্দময়', 'ছয়শ', 'ছয়দফা', 'ছৈয়দ', 'ছয়শত', 'দ্বয়', 'আন্দখয়', 'হৃদয়ও', 'উদয়']
['সাদত', 'দস্তান', 'স্তাদ', 'সপ্তাদশ', 'সাদাত', 'সপ্তদশ', 'সদস্যতা', 'উস্তাদ', 'ওস্তাদ', 'সাতদিন']
['আট', 'আটশ', 'আদি', 'আটি', 'আদল', 'আটক', 'আঁট', 'আদম', 'আদা', 'আকদ']
['নন্দী', 'নয়নে', 'টি২০', 'বন্দী', 'মন্দে', '২০টি', 'দন্ড', 'নন্দ', 'নয়ে', '০২টি']
['দশ', 'দশম', 'দশক', 'দশা', 'মদদ', 'দশদিন', 'দাশ', 'দস', 'দন', 'দহ']
['এদগার্দো', 'দ্বাদশীর', 'দ্বাদশী', 'আদর্শবাদী', 'আদর্শবাদে', 'গঙ্গানদী', 'দুর্দশার', 'বন্দীদশার', 'দুর্গাদাস', 'পশ্চাদগামী']
['দেশনেত্রী', 'সন্দেশে', 'উদ্দেশে', 'প্রদেশে', 'যুদ্ধতে', 'মুর্শেদী', 'শত্রুদেশ', 'দুদেশের', 'স্বদেশী', 'দুতের্তে']
['দুদ্দু', 'চৌদ্দশ', 'চতুর্দ্দশ', 'উদ্বুদ্ধ', 'চৌদ্দ', 'উদ্ভুদ্ধ', 'উর্দ্দু', 'উদ্ধুদ্ধ', 'কুদ্দুছ', 'বদরুদ্দীন']
['দ্বীপদেশ', 'ইন্দ্রদীপ', 'সন্দেশে', 'দীপেন্দ্র', 'সন্দেশের', 'সন্দেশকে', 'দুর্দিনে', 'চীনদেশে', 'উদ্দেশ্য', 'বন্দীদের']
['দুষলেন', 'আন্দুল', 'দোদুল', 'ধুন্দল', 'দুষ্ট', 'আব্দুল', 'অশুদ্ধ', 'দোষ্ট', 'লুন্দ', 'শহীদুল']
['সন্দেশে', 'স্বদেশী', 'স্বদেশীদের', 'শত্রুদেশ', 'সন্দেশের', 'সত্ত্বদের', 'চতুর্দশীতে', 'বস্তুদের', 'স্বদেশে', 'সন্দেশকে']
['দ্বাদশী', 'দ্বাদশীর', 'আদর্শবাদী', 'আদর্শবাদে', 'বন্দীদশার', 'দুর্দশার', 'বন্দীদশা', 'আলাউদ্দীন', 'দন্ডাদেশ', 'আশীর্বাদও']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['এক', 'একর', 'একশ', 'একং', 'একি', 'একই', 'একা', 'একল', 'একজ', 'একন']
['শুরুই', 'শুরে', 'শহুরে', 'শেতুর', 'দুইশত', 'আঁশে', 'শুনতেই', 'শুনতে', 'দুইশ', 'পশুতে']
['তিন', 'তিনশ', 'তিনি', 'মতিন', 'তিনশত', 'তিশা', 'তিনা', 'নশতি', 'নতির', 'নিতি']
['চারি', 'চারশ', 'চারশত', 'চামর', 'চার', 'তারঁ', 'চারা', 'চারই', 'চাকর', 'শাকচর']
['পাঁচশত', 'পাঁচশ', 'পঁচাশি', 'বাঁশি', 'পাঁচ', 'কাঁপত', 'তাঁরই', 'রাঁচি', 'পাঁজি', 'পাঁচিল']
['ছয়শ', 'ছয়', 'ছয়শত', 'বছয়', 'আয়শা', 'হয়া', 'আশয়', 'ছয়জন', 'এছায়', 'জয়ি']
['সাতশ', 'সাতহ', 'সাতি', 'সাতশত', 'সাত', 'সাতা', 'মাসত', 'সাতই', 'তাসি', 'সাংত']
['আট', 'আটি', 'আটশ', 'আটা', 'আহট', 'আঁট', 'আটক', 'আল', 'আং', 'আকি']
['নয়', 'তনয়', 'নটী', 'তনু', 'শয়ন', 'নুট', 'নী', 'নয়ই', 'নীট', 'নয়া']
['দশ', 'দশম', 'দশা', 'দশক', 'দাশ', 'শরদ', 'আরশ', 'আশি', 'আতশ', 'রশি']
['কাশগরী', 'এগারোতম', 'শারীরগত', 'এগারো', 'এগারোর', 'রংপুরগামী', 'মাগুরার', 'এয়ারশো', 'এগারোবার', 'মাগুরায়']
['বারো', 'বাঁশরী', 'আবারো', 'বারোর', 'মুশতারী', 'তাবারী', 'বরাহী', 'শোরাবজী', 'তরবারী', 'মিরাবো']
['তেরো', 'বেরোতে', 'পেরোতে', 'ওতেরো', 'সতেরো', 'মেরুতে', 'শীতের', 'তৈরীতে', 'শেতুর', 'তোরে']
['করপোরেশনে', 'পশতুনের', 'শেরপুরে', 'পরিশোধে', 'মহেশপুরে', 'নতুনরূপে', 'কেরুনতলী', 'মোহনপুরে', 'বনশ্রীতে', 'পনেরোর']
['ষোলশ', 'ষোল', 'ষোড়শী', 'বশোলী', 'শিষগুলো', 'রোতলু', 'ষোলো', 'শোল', 'শোষণ', 'ষোলোর']
['সতেরোর', 'সতেরো', 'সিরোতে', 'সূত্রমতে', 'সত্তুরের', 'তিতুমীরের', 'থুতমোসের', 'কেরুনতলী', 'মুশতারী', 'হিরোতে']
['আঠারোতম', 'আঠারোশ', 'আঠারো', 'মুশতারী', 'আঠারোর', 'আরশোলার', 'শতকধারী', 'আশুরার', 'আরশোলা', 'মারশোল']
['এক', 'একশ', 'একজ', 'একি', 'একক', 'একং', 'একল', 'একর', 'একট', 'একা']
['দুদক', 'দুইশ', 'দুশ', 'বুঁদি', 'আবদুচ', 'দুই', 'ইদুল', 'দুআ', 'মুদি', 'আবদুশ']
['তিনশ', 'তিসি', 'সতিশ', 'তিন', 'সতিন', 'দিতি', 'তিনি', 'তিস', 'চিশতি', 'সিতি']
['চাদর', 'চারশ', 'চসার', 'চার', 'চাদ', 'আচার', 'চাকর', 'চারও', 'চারণ', 'চারি']
['পাঁচশ', 'চাঁদি', 'পঁচাশি', 'পাঁচ', 'পাঁচশত', 'পাঁচিল', 'চাঁদ', 'বাঁচি', 'চাঁদা', 'পঁচিশ']
['ছয়শ', 'ছয়', 'বছয়', 'ছয়শত', 'সদয়', 'চয়ন', 'ছয়টি', 'চায়', 'ছয়জন', 'এছায়']
['সাদত', 'সাতশ', 'সাত', 'বসাত', 'সাতি', 'সবাত', 'সাতহ', 'সাদি', 'সিতা', 'মাসত']
['আট', 'আটশ', 'আটক', 'আটি', 'আটা', 'আঁট', 'আহট', 'আদ', 'আউট', 'আদি']
['চয়ন', 'নয়', 'নটী', 'সদয়', 'নুট', 'জয়শ', 'নীট', 'শয়ন', 'নয়ন', 'বটু']
['দশ', 'দশক', 'দশম', 'দস', 'দশা', 'দপ', 'দল', 'দি', 'দাশ', 'দহ']
['পঞ্চাদশ', 'সাগরদিঘী', 'গঙ্গাচরণ', 'সাগরদীঘি', 'আচার্যগণ', 'সঞ্চালক', 'সঞ্চারণ', 'বদরাগী', 'সঞ্চালণ', 'সঞ্চারক']
['বারদী', 'পঞ্চাদশ', 'বিবাদী', 'চরবাসী', 'বিদারী', 'লঞ্চার', 'সঞ্চার', 'গবাদী', 'পঞ্চসার', 'সাদবীর']
['পঞ্চদশী', 'চতুর্দশী', 'চতুর্দশ', 'চর্তুদশ', 'পঞ্চদশের', 'দশমীতে', 'শতদ্রু', 'শতাব্দী', 'ইঞ্চিতে', 'দ্রুতই']
['চৌদ্দশ', 'চৌদ্দ', 'চৌদ্দটি', 'চৌহদ্দি', 'চৌদ্দতম', 'চৌদ্দজন', 'পঞ্চদশী', 'চৌহদ্দির', 'চৌদ্দবার', 'পঞ্চদশ']
['ষোলশ', 'ষষ্ঠদশ', 'দশলক্ষ', 'আঞ্চল', 'লঞ্চও', 'অঞ্চল৷', 'ষোল', 'লুচি', 'লঞ্চ', 'লক্ষণ']
['পঞ্চদশী', 'চর্তুদশ', 'পঞ্চদশের', 'চতুর্দশ', 'চতুর্দশী', 'বঞ্চিতদের', 'দস্তগীর', 'সমদর্শী', 'সঞ্চয়ী', 'পঞ্চশীল']
['পঞ্চাদশ', 'চাঁদশী', 'আশাবাদী', 'চাঁদমারী', 'আঠারোশ', 'সঞ্চালক', 'ঠাকুরদাস', 'ঠাকুরদা', 'আচ্ছাদক', 'আরশাদুর']
['একে', 'একো', 'এজকে', 'একজ', 'একং', 'একরে', 'এক', 'একেক', 'একই', 'এসকে']
['দেশী', 'দেশজুড়ে', 'দেশীয়', 'দুমড়ে', 'দৌড়েই', 'সুবেদী', 'দু্ই', 'দুধে', 'দ্রুজে', 'দেড়শ']
['নীতিন', 'নীতিশ', 'তিনু', 'নিতীশ', 'নিতীন', 'নীতি', 'নিতুন', 'পুতিন', 'জনিতৃ', 'তিনে']
['চারী', 'চারু', 'চাচীর', 'চড়ার', 'চারুর', 'চর্চার', 'চাকরী', 'চার্জ', 'করাচী', 'চাতরী']
['পাঁচপীর', 'পাঁচুর', 'চাঁপানী', 'পুজারী', 'পাঁচু', 'পুরাজীব', 'চাঁনপুর', 'পাঁচশো', 'ঘাজীপুর', 'কাঁচপুর']
['ছয়ে', 'জয়ী', 'রয়ছে', 'পৌছয়', 'ছয়ানী', 'রয়েছ', 'হয়ছে', 'ছয়ের', 'ছনুয়া', 'হয়েছ']
['সাজতে', 'সুজাত', 'সীতা', 'সীরাত', 'সুরাত', 'সাতানী', 'সাতারু', 'সারতে', 'সাতে', 'সরাতে']
['আটে', 'আট', 'আয়ই', 'আয়ও', 'আটি', 'আটা', 'আটের', 'এটী', 'আঁটে', 'আটশ']
['নয়ে', 'নড়ে', 'নীড়', 'নেয়', 'নয়৷', 'জয়ী', 'পীড়নে', 'জয়ে', 'নয়নে', 'শয়ে']
['দশে', 'দশ', 'দুশ', 'দশা', 'শুদ', 'দশমী', 'সদৃশ', 'রুশদ', 'দেশ', 'দশক']
['কোরাঙ্গী', 'ট্রেজারী', 'শৃঙ্গারের', 'কোজাগরী', 'হাঙ্গেরী', 'নাগেশ্বরী', 'রাজেশ্বরী', 'রাজশ্রী', 'রোজগারে', 'শ্রীনগরে']
['শোরাবজী', 'রাজশ্রী', 'রাজেশ্বরী', 'পার্শী', 'রবার্তো', 'বরুড়ার', 'টার্বো', 'রোবার্তো', 'বুধবারী', 'বার্কো']
['শ্ৰেণীতে', 'মেত্রো', 'পেত্রো', 'পুয়ের্তো', 'শ্রেনীতে', 'পেরোতে', 'নেত্রী', 'শ্রেণীতে', 'ছেত্রী', 'মৈত্রেয়ী']
['চন্দ্রচূড়', 'চোদ্দো', 'সুধীন্দ্র', 'নৌযুদ্ধে', 'উর্দ্দু', 'চন্দ্ৰ', 'দুদ্দু', 'মুৎসুদ্দী', 'গুন্দ্রী', 'ক্রুদ্ধ']
['শ্রেনীতে', 'পীড়নের', 'শ্রীপুরে', 'শ্রেনী', 'পশুপ্রেমী', 'শ্রীদেবী', 'পেরোনো', 'পত্নীরূপে', 'কোরেশী', 'প্রয়োজনে']
['শ্ৰেণীতে', 'শ্রেনীতে', 'শত্রুতে', 'শ্রেণীতে', 'স্তোত্রে', 'রোবের্তো', 'পুয়ের্তো', 'বুতের্সে', 'মেত্রো', 'স্রোতে']
['ট্রেজারী', 'শ্রীজাতের', 'রাজশ্রী', 'রাজেশ্বরী', 'রাণীশ্রী', 'কোরীয়রা', 'শোরাবজী', 'শ্রীরাধা', 'উয়ার্শী', 'শ্রীজাত']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
