['চা', 'চি', 'মা', 'চং', 'মাচ', 'ওচ', 'ওচা', 'চাম', 'আচা', 'ঘা']
['গুরু', 'নুরু', 'রুগী', 'গুনী', 'পুরুষে', 'ডুবুরী', 'রুনু', 'মুরু', 'সুগুনু', 'গোরু']
['ছেলে', 'মেলেছে', 'ফেলেছে', 'চেলেছে', 'ঢেলেছে', 'তুলেছে', 'ফলেছে', 'ফেলছে', 'ছেলেরে', 'মেলছে']
['বর', 'বরন', 'বি', 'বন', 'বরি', 'বহর', 'বরজ', 'রবি', 'বরই', 'বির']
['বাদশা', 'বাদশাহ', 'বাদশার', 'রশিদাবাদ', 'বাদশাহি', 'মাদিবা', 'বিদিশা', 'রাশিদা', 'শাদমান', 'পাদশাহ']
['বাঘ', 'বাঘি', 'বিঘা', 'বাঘই', 'বাঘা', 'বাঘও', 'বানি', 'বান', 'মাঘ', 'হাবি']
['যোগী', 'যোনী', 'মনোযোগী', 'যোনীতে', 'যোগীকে', 'ভোগী', 'যোগীর', 'যোগিনী', 'যোজনী', 'রোগী']
['তেজস্বিনী', 'তেজস্বী', 'তেজস্বীর', 'স্কুলজীবনে', 'স্রোতস্বিনী', 'আত্মীয়স্বজনের', 'রেসিডেন্সী', 'আত্মীয়স্বজনকে', 'আত্মজীবনী', 'আত্মীয়স্বজন']
['কিশোরী', 'কিশোরীর', 'কিশোর', 'কিশোরীটি', 'নিশোর', 'কিশোরীটির', 'কিশোরই', 'শিকোর', 'কিশোরের', 'শিশুকিশোর']
['নর', 'রন', 'নন', 'নি', 'নরি', 'নঃ', 'রনি', 'নরম', 'নহ', 'নম']
['সুন্দরী', 'সুন্নিদের', 'সুন্দরীর', 'সুবিন্দু', 'দুর্দিনে', 'সুন্দরি', 'সুন্দরবনে', 'সুন্নীদের', 'নুরুদ্দিন', 'নরুন্দি']
['গুণবান', 'গুনাবলী', 'গুণাবলী', 'নিপুণভাবে', 'গণবাহিনী', 'গুণাবলীর', 'মানুষবিহীন', 'গণমানুষ', 'গুণান্বিত', 'সুনিপুণভাবে']
['সৈন্যবাহিনী', 'মনুষ্যবিহীন', 'পুণ্যবান', 'পুণ্যস্নান', 'পুষ্পবিন্যাস', 'সুনিপুণভাবে', 'নিম্নবর্ণীয়', 'পুনর্বিন্যাস', 'হিন্দুয়ানী', 'মনুষ্যবাহী']
['বুদ্ধিমানের', 'যুদ্ধবিমানে', 'বুদ্ধিমান', 'যুদ্ধবিমানের', 'বিনোদনধর্মী', 'যুদ্ধবিমান', 'মিলাদুন্নবী', 'বুদ্ধিনাথের', 'বিন্দুবাসিনী', 'বুদ্ধিহীন']
['ধর্মানুশীলন', 'শ্রীমান', 'পুনর্মিলনী', 'পুনর্মিলনীর', 'সীমান্তহীন', 'নীলাম্বরী', 'ত্রিমোহনী', 'ত্রিমোহিনী', 'শিরোনামহীন', 'সম্মানীর']
['বিজয়', 'বিজয়ন', 'বিজয়ী', 'বিজয়িনী', 'বিনয়ী', 'বিনয়', 'লিবীয়', 'বিজনী', 'বিটু', 'বিজয়া']
['পাঠক', 'পাঠাক', 'পাঠকই', 'পাঠকও', 'পাঠিকা', 'পাঠন', 'পিনাক', 'পিঠার', 'পাঠান', 'নিমকাঠ']
['লেখক', 'লেখনী', 'লেখনি', 'লেখন', 'লেখকই', 'লেখনীর', 'লেখকঃ', 'লেখি', 'আলেখিন', 'লেখকও']
['গায়কি', 'গায়ক', 'লায়নকে', 'গিয়াকে', 'নায়ক', 'গায়িকা', 'বিধায়ক', 'গায়কির', 'গড়ায়নি', 'বিনায়ক']
['খোকা', 'খোকন', 'পোকখালী', 'খোকনকে', 'খোকনও', 'খোলাকে', 'খোকনের', 'খোকার', 'কখোনো', 'কোনখানে']
['ছাত্রী', 'ছাত্রীর', 'ছাত্রীও', 'ছাত্রীই', 'ছাত্রীটি', 'ছাত্র', 'ছাত্রের', 'ছাত্রীরা', 'ছাত্রে', 'ছাত্রই']
['শিক্ষিক', 'শিক্ষনীয়', 'শিক্ষক', 'সুশিক্ষিত', 'নিরীক্ষক', 'শিক্ষন', 'শিক্ষিকা', 'শিক্ষাথী', 'শিক্ষিত', 'শিক্ষকই']
['নেতা', 'নেতি', 'নেতাই', 'নেতাজী', 'চেতনা', 'বেতনা', 'চেনাতে', 'নিকেতনে', 'বেতনে', 'নিতেন']
['পাগলি', 'পাগল', 'পাগলা', 'পাগলও', 'পলিগন', 'পরাগল', 'নাগপাল', 'পালনও', 'বাগলি', 'পলিনা']
['প্রিয়', 'সুপ্রিয়', 'প্রিন্টে', 'বোধিপ্রিয়', 'অপ্রিয়', 'ট্রফিজয়ী', 'স্ট্রিপে', 'সুপ্রিয়র', 'চিন্ময়ী', 'নিষ্ক্রিয়']
['কনিষ্ঠ', 'একনিষ্ঠ', 'নীতিনিষ্ঠা', 'কনিষ্ঠা', 'ঘনিষ্ঠ', 'সন্নিবিষ্ট', 'নিরীক্ষন', 'জীবনঘনিষ্ঠ', 'দক্ষিনীয়', 'সর্বকনিষ্ঠ']
['লোক', 'কলোনী', 'লোকি', 'লোন', 'নোলক', 'লোকো', 'লোকই', 'আলোক', 'লোকজ', 'লুকনো']
['শ্রমিক', 'খনিশ্রমিক', 'আশ্রমিক', 'শিবিরকর্মী', 'কৃষিশ্রমিক', 'শ্রমিকই', 'শ্রমিকও', 'পরিশ্রমী', 'পরিশ্রমকে', 'শর্মিলী']
['নানাবাড়ি', 'বিধানাবলী', 'ননীবালা', 'বানাবেন', 'নানাবতী', 'পানিবাহী', 'রাব্বানি', 'বার্নাবি', 'বানাবে', 'বানাবো']
['চানাচুর', 'নাচানাচি', 'চিরচেনা', 'লামিচানে', 'লেজনাচানি', 'নাচানো', 'পাচিনো', 'চাপানী', 'পাচিনোর', 'চাঁপানী']
['জিদানদের', 'হাদ্দাদি', 'শালদানদী', 'সারাদিনে', 'দাদাপীর', 'দাদীমা', 'দাদাজী', 'দাদাদের', 'অনাদায়ি', 'চিদানন্দ']
['', '', '', '', '', '', '', '', '', '']
['নাজানীন', 'টানেননি', 'জানাননি', 'মানেননি', 'নাজনীন', 'নামাননি', 'শোনাননি', 'জানিনে', 'নাননিং', 'মান্নানও']
['জেলেকে', 'জুয়েলের', 'জুয়েলকে', 'পেনেলোপে', 'ইয়েমেনে', 'ঘেমেনেয়ে', 'লেজেন্ড', 'লড়েছেন', 'ছেলেমেয়ে', 'ছেঁড়েনি']
['পেরোয়নি', 'পানিরোধী', 'নেপোলিয়ন', 'নেপিডোয়', 'পিয়ানোতে', 'পোড়ানোর', 'ধোপাদী', 'ধোনিকে', 'প্রোটিনে', 'প্রবোধিনী']
['বেদেনী', 'লেনদেনে', 'মেহেন্দী', 'বেদীতে', 'ইয়েমেনে', 'চীনদেশে', 'মেয়েদের', 'মেহেদীকে', 'সেমেদোকে', 'দিয়েছেন৷']
['শ্রীগুরু', 'সুগুনু', 'চৌধুরী', 'চুর্নী', 'গুনগুনিয়ে', 'চোধুরী', 'চৌধুরীর', 'গুন্টুরের', 'গুন্টুর', 'মধুপুরে']
['মেলেছে', 'চেলেছে', 'পেয়েছিলেন', 'ছেলেমেয়ে', 'ফেলেছে', 'তুলেছে৷', 'ফেলেছেন', 'পেয়েছেন৷', 'কেড়েছিলেন', 'খেলিয়েছে']
['বনবীর', 'বিবরনী', 'রনবী', 'রনবীর', 'নবীর', 'রবীন', 'নিরবে', 'গরবিনী', 'নববীর', 'বিজরী']
['শালদানদী', 'নিদর্শনাদি', 'নিশিন্দারা', 'সারাদিনে', 'দানশীলতা', 'বন্দিশালা', 'নারীবাদি', 'সালাদিনের', 'হাশাশিনদের', 'দিলশানের']
['কাঙ্গালিনী', 'রাঙ্গুনিয়ার', 'লিঙ্গানুপাত', 'রাঙ্গুনিয়া', 'লিঙ্গানুপাতের', 'গার্ডিয়ানকে', 'গৌরাঙ্গিনী', 'মালিঙ্গাকে', 'কোম্পানিগুলির', 'কোম্পানীটির']
['মনোযোগী', 'যোনীতে', 'নিয়োগী', 'যোগীকে', 'গোপনীয়', 'খোমেনী', 'অমোচনীয়', 'গোধুলী', 'যমুনোত্রী', 'শোচনীয়']
['দুর্নীতিকে', 'আত্মীয়স্বজনের', 'রেসিডেন্সী', 'সীতাকুন্ডে', 'দুর্নীতিতে', 'মেনিফেস্টো', 'আত্মীয়স্বজনকে', 'নেতৃস্থানীয়', 'সেঞ্চুরিয়নে', 'প্রেসিডেন্সী']
['কিশোরীটি', 'কিশোরীটির', 'কিশোরীটিকে', 'নিকোটিনের', 'কিশোরীর', 'শিশুকিশোর', 'নোটিশের', 'কিশোরীকে', 'কিমোনোর', 'ত্রিমোহিনী']
['ননীর', 'জননীর', 'ননী', 'জননী', 'রজনী', 'নিনোর', 'নলিনী', 'নির', 'রমনী', 'রোনিন']
['নিন্দনীয়', 'সুন্নিদের', 'সুন্নীদের', 'সিন্ধুনীল', 'সিন্ধুনদের', 'দুর্দিনে', 'নন্দীপুর', 'নুরুদ্দিন', 'নিন্দুকের', 'নূরুদ্দিন']
['গুণান্বিত', 'চিকুনগুনিয়া', 'নমুনাগুলি', 'নমুনাগুলির', 'মিলাদুন্নবী', 'নিয়মকানুন', 'সুনিপুণভাবে', 'নিয়মকানুনের', 'কানুনগুলো', 'পুনর্নিমাণ']
['ছিন্নমুণ্ডা', 'পুণ্যস্নানের', 'সন্ন্যাসিনীকে', 'মুমিনুন্নিসা', 'ফিনল্যান্ডে', 'গুইন্যান্ড', 'নিত্যানন্দপুর', 'কুয়েন্টিন', 'প্রুটেনীয়', 'মিলাদুন্নবী']
['নাজিমুদ্দিনের', 'নিজামুদ্দীন', 'নাজিমুদ্দীন', 'বুদ্ধিমানের', 'নন্দিনীকে', 'নেজামুদ্দিন', 'মুমিনুন্নিসা', 'নির্বুদ্ধিতা', 'দিয়েভিন্ন', 'সিন্ধুনীল']
['ভিন্নধর্মী', 'ত্রিমোহিনী', 'নির্মীয়মাণ', 'নিম্নশ্রেণীর', 'নির্মানাধীন', 'পুনর্মিলনীতে', 'ধর্মানুশীলন', 'লক্ষ্মীরানী', 'নিম্নমূখী', 'নলীনীকান্ত']
['বিজয়িনী', 'ভিজিয়ে', 'বিনিময়ে', 'চিনিয়ে', 'বিনিয়ে', 'মিলিয়নে', 'নিপীড়িত', 'ছিনিয়ে', 'চিন্ময়ী', 'জিরিয়ে']
['পাঠানকোট', 'পাঠানটুলি', 'পাঠানকে', 'সহপাঠিনী', 'পিনাকীর', 'পিপীলিকা', 'কনীনিকার', 'কনীনিকা', 'ডাকিনীর', 'রাজনৈটিক']
['লেখনীটি', 'লেখনীকে', 'আলেখিনের', 'লেখেননি', 'লেখেনি', 'হেলেনিক', 'লেখনিতে', 'লেখনীতে', 'লেখনীর', 'খেলেননি']
['গাড়িটিকে', 'কেনিয়ায়', 'পিটুনিয়া', 'কটিয়াদী', 'সোনিয়াকে', 'আকুনিয়া', 'দুনিয়াকে', 'নারীটিকে', 'গিয়াকে', 'পট্টনায়ক']
['কোনোখানে', 'সোনামুখী', 'কোনখানে', 'কোনোকিছু', 'কোনাকুনি', 'পোকখালী', 'ডোমেনিকো', 'ধোনিকেও', 'লোকনীতি', 'খোয়ানোর']
['ছাত্রীটি', 'ছাত্রীটির', 'ছাত্রীটিকে', 'নাতিদীর্ঘ', 'মার্তিনো', 'জিন্নাতের', 'হাত্তিনের', 'রপ্তানীতে', 'ছাত্রীর', 'চিত্রালী']
['নিরীক্ষিত', 'নিরীক্ষক', 'নিরীক্ষন', 'নিষ্কন্টক', 'নিক্ষিপ্ত', 'নিক্ষেপিত', 'পুষ্করিনী', 'শিক্ষকমন্ডলী', 'নিরীক্ষণ', 'শিক্ষানীতি']
['নিকেতনে', 'নীতিতেই', 'জেতেননি', 'মনোনীত', 'নিকেতনের', 'বেনোনিতে', 'নেপিডোতে', 'নীতিতেও', 'নীতিকেই', 'জেনিরোতে']
['পাগলাপীর', 'কালনাগিনী', 'গলাটিপে', 'পাগলপন্থি', 'গানগুলির', 'জিলিগানকে', 'জিলিগানের', 'ঘটনাগুলি', 'গালিমপুর', 'পাল্টাননি']
['চিন্ময়ী', 'প্রিন্টে', 'নির্ণয়ে', 'স্প্রিন্টে', 'নিষ্ক্রিয়', 'সুপ্রিয়', 'ক্রিপ্টো', '২৪ডিগ্রী', 'প্রোটিনে', 'নির্ভয়ে']
['নীতিনিষ্ঠা', 'মিন্নিকে', 'নিষ্কন্টক', 'নিন্দনীয়', 'নিষ্পন্ন', 'অচিন্তনীয়', 'নন্দিনীর', 'নন্দিনীকে', 'অনিষ্পন্ন', 'মিষ্টান্ন']
['কলোনী', 'নিকোলো', 'লুকোনো', 'নিকোলে', 'কলোনীর', 'লোকোনো', 'কলোনীতে', 'কোলোন', 'টিকোলো', 'লুটিনো']
['ত্রিমোহিনী', 'সুনির্মিত', 'পুনর্নিমিত', 'ক্রিশ্চিন', 'পদ্মিনীর', 'পুননির্মিত', 'কম্যুনিটির', 'স্ক্রিনিং', 'নিম্নভূমির', 'কৃষিশ্রমিক']
['বাবনা', 'বানাব', 'নবাবি', 'লাবিবা', 'নাবিব', 'বাবলা', 'নবাবরা', 'বাবার', 'লানবা', 'বাবরা']
['চাচা', 'চাচার', 'চামচা', 'চাচির', 'কাচিনা', 'চাচারা', 'নাচটা', 'চাচাও', 'চাঁচা', 'চাচাত']
['দারদা', 'দাদরা', 'নাদিরা', 'দাদার', 'দানাদার', 'দাদা', 'দাদির', 'নাদাল', 'নাদলা', 'দিদার']
['', '', '', '', '', '', '', '', '', '']
['নানান', 'পাননা', 'জানিনা', 'নানা', 'কিনানা', 'নানার', 'ওনানা', 'নাননিং', 'নাজনা', 'নাজনিন']
['ডিজেলে', 'বেলিজে', 'জেলটেন', 'জেলেনা', 'ছিলেনে', 'জেপেলিন', 'ডেনজেল', 'নজেলের', 'ফেলেনি', 'ভিলেজে']
['ধোনিরা', 'নাপোলি', 'ধোপার', 'মোনপা', 'কোপান', 'পোনার', 'ধুমপান', 'রোজিনা', 'ডোপামিন', 'বোটানি']
['নিবেদনে', 'বেদেনা', 'আবেদনে', 'বেদিতে', 'বিদেশে', 'দেবেনই', 'সেদিনের', 'বেনিনে', 'বিভেদে', 'দেবেন']
['গুরুজি', 'গুরুজির', 'মুনিরুল', 'গুরুজন', 'কবিগুরু', 'সুপুরি', 'ডুবুরি', 'বিরুনী', 'চিরুনী', 'সুরগুলি']
['ছিলেনে', 'মিলেছে', 'গেছিলেন', 'টেনেছিল', 'হেনেছিল', 'বলেছিলে', 'ফেলছেন', 'ফেলেছি', 'ফেলেছিল', 'নেমেছিল']
['বর', 'বরন', 'বির', 'বরি', 'রবি', 'বরজ', 'বরা', 'বন', 'বরফ', 'বি']
['রশিদাবাদ', 'বাদশা', 'রাশিদা', 'বিদিশা', 'বাদশার', 'নকশাবিদ', 'অনাবাদি', 'শিবদাসানি', 'বিদিশার', 'বলিদান']
['টাঙ্গানিকা', 'কার্ডিনাল', 'কাস্টাগনলি', 'বাঙ্গালিরা', 'বাঙ্গালির', 'কালিগঙ্গা', 'পাঙ্গাসিনান', 'কার্ডিনালগণ', 'নলডাঙ্গার', 'কাজিরাঙ্গা']
['বাঘি', 'বিঘা', 'বানি', 'বিনা', 'বিঘার', 'নাবি', 'বাঘ', 'বিরা', 'বাঘা', 'বারি']
['তেজস্বিনী', 'প্রসেনজিত', 'ব্রিসবেনে', 'প্রসেনজিৎ', 'জিলেনস্কি', 'সেবাস্টিন', 'রিজেন্সি', 'জেসিন্ডা', 'জন্ডিসের', 'রিজেন্সিতে']
['কিশোরটি', 'কিশোরটির', 'শিরিনকে', 'হরকিশোর', 'শিশুটির', 'কলোনির', 'শিরোমনি', 'সোনিকার', 'শিরিনের', 'বিরুনির']
['নর', 'নরি', 'নির', 'রনি', 'নরম', 'নরা', 'রন', 'রিন', 'নন', 'পনর']
['সুরিন্দর', 'সুন্দরি', 'সুনন্দার', 'নরসুন্দর', 'নরসুন্দা', 'ভুপিন্দর', 'সুরিন্দার', 'সিকন্দর', 'পুরিন্দা', 'সুন্দরবন']
['গণশুনানি', 'গণশুনানির', 'গুনাবলি', 'গুণবান', 'চুনিবালা', 'বানানগুলি', 'গুলবাদিন', 'অনুবিভাগ', 'গুণাবলির', 'গুণাবলি']
['পানিবণ্টন', 'পুনর্নিমাণ', 'জনবিন্যাস', 'পুনঃবিন্যাস', 'পুননির্মাণ', 'পুননির্মান', 'গঠনবিন্যাস', 'পদবিন্যাস', 'মহাবিপন্ন', 'সুন্নিয়া']
['সমাধিমন্দির', 'দন্ডবিধির', 'বুদ্ধিমান', 'নিজামুদ্দিন', 'নাজিমুদ্দিন', 'পার্মেনিদিস', 'গ্রুদিনিইন', 'যুদ্ধবিমানটি', 'আন্দামানিজ', 'নাম্বুদিরি']
['শ্রীনিবাসন', 'নরমান্ডির', 'কন্ডিশনার', 'শ্রীনিবাস', 'ক্রিমিনাল', 'নির্মান', 'পুননির্মান', 'নিম্নাংশ', 'ধানমন্ডির', 'নির্নিওমান']
['বিজয়ন', 'রিজিয়ন', 'বিজয়া', 'বিনিময়', 'বিলিয়ন', 'জিনিয়া', 'বাড়িটি', 'বিজয়', 'বিনয়', 'পিজিনে']
['পাঠিকা', 'পিনাক', 'পিনাকল', 'পানিকল', 'পাঠাক', 'গাঠনিক', 'পাঠক', 'পিঠার', 'পাঠকরা', 'ঠিকানা']
['লেখনির', 'লেখিকা', 'আলেখিন', 'লেখনি', 'লিখেনি', 'লিখনের', 'লিখলেন', 'শিখলেন', 'খেলিনি', 'লেখিকার']
['গায়িকা', 'বিনায়ক', 'গায়কির', 'গায়কি', 'নায়িকা', 'গানটিকে', 'আটকায়নি', 'গায়ানিজ', 'গায়িকার', 'জিয়ানগর']
['কুলখানি', 'সোনিকা', 'দোকানি', 'লেখিকা', 'খুনিটা', 'খোকার', 'খিলোনা', 'কখনোবা', 'খোটান', 'খোকনও']
['পানিছত্র', 'ছাত্রটি', 'ছাত্রটির', 'চিন্তার', 'কান্তির', 'কাত্রিন', 'সিনাত্রা', 'ছাপচিত্র', 'কর্তিনা', 'রপ্তানির']
['শিক্ষিক', 'শিক্ষিকা', 'শিক্ষিকার', 'শিক্ষকরা', 'নিষ্কাশন', 'অশিক্ষক', 'ডিক্রিপশন', 'অশিক্ষিত', 'জনশিক্ষা', 'শিক্ষানবিস']
['বেনিতা', 'নেতাজি', 'জননেতা', 'বিতানে', 'নিকেতা', 'শিতানে', 'বেতনা', 'লাতিনে', 'তেনালি', 'কেনতা']
['পাগলি', 'নাগপাল', 'পাগলা', 'পলিগন', 'পরাগল', 'নগরপাল', 'সিগনাল', 'গাপটিল', 'পাগল', 'পিপলান']
['প্রিন্ট', 'জনপ্রিয়', 'প্রিটি', 'প্রিন্টিং', 'প্রিয়জন', 'প্রিয়া', 'অপ্রিয়', 'ব্ৰিটিশ', 'কর্নিয়া', 'ট্রিলিয়ন']
['একনিষ্ঠ', 'কনিষ্ঠা', 'কনিষ্ঠ', 'নিবিষ্ট', 'সন্নিকট', 'অনিষ্টকর', 'স্পিনিন', 'কন্ডিশনিং', 'বিছিন্ন', 'নিষ্কাষন']
['কলোনি', 'কোলিন', 'লোকি', 'কনোলি', 'নোলক', 'নিকোল', 'লোকির', 'কলোনির', 'লুকিন', 'লোনলি']
['খনিশ্রমিক', 'ক্রিমিনাল', 'শ্রমিকরা', 'ক্রামনিক', 'পারিশ্রমিক', 'শ্রমিকও', 'কাশ্মিরি', 'শ্রমিক', 'আর্কমিনিট', 'শ্রমিকই']
['বাবনা', 'বাবা', 'বানাব', 'বামবা', 'বাবার', 'বাবলা', 'নবাবি', 'বাবরা', 'বাহবা', 'লানবা']
['চাচা', 'চামচা', 'চাচার', 'চাঁচা', 'চাচাও', 'চাচি', 'নাচা', 'চাচাত', 'চাচির', 'নাচার']
['দাদা', 'দারদা', 'দাদার', 'দাদরা', 'দাদন', 'দাদি', 'দাদাও', 'নাদা', 'নাদলা', 'দানা']
['', '', '', '', '', '', '', '', '', '']
['নানা', 'নানান', 'পাননা', 'নানার', 'নানি', 'নাজনা', 'ওনানা', 'চাননা', 'বানান', 'নিনা']
['জেলে', 'জেলেনা', 'জেলেই', 'জেলটেন', 'জেলের', 'পড়লেই', 'জেহেল', 'নজেলের', 'জেলী', 'বেলিজে']
['ধোপা', 'ধোপার', 'পোনা', 'ধোনা', 'লোপা', 'মোনপা', 'পোপা', 'পোনার', 'রোপা', 'কোপান']
['বেদে', 'দেবেন', 'আবেদনে', 'বেদকে', 'বেদেনা', 'বনেদী', 'দেবেনই', 'বেদের', 'দেবে', 'বিদেশে']
['গুরু', 'গুরুর', 'গুরুং', 'গুরুজি', 'গুরুই', 'মুগুর', 'নুরু', 'গুরুজন', 'নুরুল', 'নুরুর']
['ছিলেনে', 'ছেলে', 'মেলছে', 'ফেলছে', 'ছেলেই', 'ফলেছে', 'বলেছে', 'খেলছে', 'মিলেছে', 'চলেছে']
['বর', 'বরন', 'বন', 'বরি', 'বি', 'রব', 'বল', 'বরজ', 'বির', 'রবি']
['বাদশা', 'বাদশার', 'বাদশাহ', 'রাশিদা', 'পাদশাহ', 'শাদাব', 'মাদিবা', 'বাদলা', 'শাদমান', 'বিশারদ']
['কাঙ্গাল', 'টাঙ্গানিকা', 'নাঙ্গাল', 'কালিগঙ্গা', 'বাঙ্গালির', 'বাঙ্গালি', 'বাঙ্গালিরা', 'মালিঙ্গার', 'মালিঙ্গাও', 'কাঙ্গালিনী']
['বাঘ', 'বাঘি', 'বিঘা', 'বাঘা', 'বান', 'বাঘও', 'বানি', 'বাম', 'বাঘই', 'বার']
['যোগিনী', 'যোগী', 'মনযোগী', 'যোগীর', 'যোনী', 'যোজনী', 'যোগেন', 'যোনীর', 'সংযোগী', 'নীরোগ']
['কিশোর', 'কিশোরটি', 'নিশোর', 'কিশোরও', 'কিশোরই', 'হরকিশোর', 'কিশোরটির', 'শিকোর', 'কলোনির', 'শিরোমনি']
['নর', 'রন', 'নন', 'নরি', 'নি', 'নল', 'নরম', 'নরা', 'নম', 'রনি']
['সুন্দরি', 'সুনন্দার', 'সুরিন্দর', 'সুন্দরম', 'নরসুন্দর', 'নরুন্দি', 'সুন্দর', 'অসুন্দর', 'সুনন্দা', 'সিন্দুর']
['গুণবান', 'গুনাবলি', 'গুণাবলি', 'গণশুনানি', 'গণমানুষ', 'গুণমান', 'ফুলবাগান', 'গণশুনানির', 'গুণাবলির', 'গুনমান']
['পুণ্যবান', 'পুনর্নিমাণ', 'পুনঃবিন্যাস', 'পুননির্মাণ', 'স্প্যানিয়', 'সুন্নিয়া', 'সৈন্যবিভাগ', 'স্প্যানিশ', 'বন্যাপ্রবণ', 'পুননির্মান']
['বুদ্ধিমান', 'যুদ্ধবিমান', 'যুদ্ধবিমানটি', 'যুদ্ধবিমানও', 'বুদ্ধিনাথ', 'নিজামুদ্দিন', 'গ্রুদিনিইন', 'সমাধিমন্দির', 'নাজিমুদ্দিন', 'বুদ্ধিমানের']
['শ্রীমান', 'শ্রীনিবাস', 'শ্রীনিবাসন', 'শ্রীনাথজি', 'নির্মান', 'পুননির্মান', 'সম্মানীর', 'নির্মীয়মান', 'কীর্তিমান', 'শিরোনামহীন']
['বিজয়ন', 'বিজয়', 'বিজয়া', 'বিনয়', 'বিজয়ও', 'নিবিড়', 'বিটু', 'বিজনী', 'বীজটি', 'রিজিয়ন']
['পাঠক', 'পাঠাক', 'পাঠকও', 'পাঠন', 'পাঠিকা', 'পাঠকই', 'পাঠান', 'পিনাক', 'পাঠকরা', 'পিঠার']
['লেখক', 'লেখনি', 'লেখকই', 'লেখকও', 'লেখন', 'লেখকঃ', 'লেখিকা', 'লেখনির', 'লেখান', 'আলেখিন']
['গায়কি', 'গায়ক', 'গায়িকা', 'গায়কির', 'নায়ক', 'নায়কও', 'বিনায়ক', 'গিয়ার', 'নকিয়া', 'গয়নার']
['খোকা', 'খোকার', 'খোকনও', 'খোকন', 'খোকসা', 'মোকনা', 'খোরাক', 'খোটান', 'কখনোবা', 'মোখিক']
['ছাত্র', 'অছাত্র', 'ছাত্রটি', 'ছাত্রও', 'ছাত্রই', 'পানিছত্র', 'ছত্রাক', 'ছাত্ররা', 'ছাত্তার', 'ছত্তার']
['শিক্ষিক', 'শিক্ষিকা', 'শিক্ষক', 'অশিক্ষক', 'শিক্ষকও', 'শিক্ষন', 'শিক্ষকরা', 'শিক্ষকই', 'শিক্ষিত', 'শিক্ষিকার']
['নেতা', 'নেতাই', 'কেনতা', 'বেতনা', 'নেতার', 'বেনিতা', 'নেতাও', 'যেতনা', 'চেতনা', 'নেতি']
['পাগল', 'পাগলি', 'পাগলা', 'পরাগল', 'পাগলও', 'নাগপাল', 'পলিগন', 'পাগান', 'নগরপাল', 'নাগাল']
['প্রিয়', 'অপ্রিয়', 'প্রিয়া', 'প্রিন্ট', 'জনপ্রিয়', 'প্রিয়জন', 'ট্রিপে', 'ক্রিপ্ট', 'গ্রিন্ট', 'প্রিয়ার']
['কনিষ্ঠ', 'একনিষ্ঠ', 'কনিষ্ঠা', 'ঘনিষ্ঠ', 'নিষ্কাষন', 'নিষ্কাশন', 'কনিষ্ঠতম', 'ঘনিষ্ঠজন', 'নিবিষ্ট', 'অনিষ্টকর']
['লোক', 'লোকি', 'নোলক', 'কোলন', 'কোলি', 'আলোক', 'লোকা', 'লোকজ', 'অলোক', 'লোকই']
['শ্রমিক', 'শ্রমিকও', 'খনিশ্রমিক', 'শ্রমিকরা', 'আশ্রমিক', 'শ্রমিকই', 'ক্রামনিক', 'কাশ্মিরি', 'পারিশ্রমিক', 'শ্রমিকসহ']
['বাবা', 'বাবাই', 'বাবনা', 'বামবা', 'বাহবা', 'বাবরা', 'বাবার', 'আবাবা', 'নবাবী', 'হাবীবা']
['চাচা', 'চাঁচা', 'চাচী', 'চামচা', 'চাচাত', 'চাচার', 'চাচাও', 'চাচি', 'নাচা', 'মাচা']
['দাদা', 'দাদী', 'দারদা', 'দাদাজী', 'দাদরা', 'দাদাও', 'দাদার', 'দাদি', 'দাদু', 'দাদন']
['', '', '', '', '', '', '', '', '', '']
['নানা', 'নাজনা', 'নানী', 'বনানী', 'নানার', 'নানান', 'নানি', 'পাননা', 'মানা', 'ওনানা']
['জেলে', 'জেলী', 'লড়েছে', 'লেজে', 'জ্বেলে', 'জেলেকে', 'পড়েছে', 'জেরে', 'নড়েছে', 'ডেলে']
['ধোপা', 'ধোপাদী', 'পুরোধা', 'ধোপে', 'পোড়া', 'ধোনা', 'ধোনী', 'পোড়াও', 'জোধা', 'গোপী']
['বেদে', 'দেবে', 'বেদী', 'বেদেনী', 'বেদীতে', 'দেবী', 'দেবীতে', 'ভেদে', 'গেদে', 'ছেদে']
['গুরু', 'রুগী', 'গ্রু', 'গুরো', 'গোরু', 'গুরুকে', 'মুরু', 'চুরু', 'ডুগু', 'রুরু']
['ছেলে', 'লড়েছে', 'মেলেছে', 'ফেলেছে', 'তুলেছে', 'চেলেছে', 'ছেলেরে', 'ভুলেছে', 'ঢেলেছে', 'ছেলেকে']
['বর', 'রব', 'বং', 'বহ', 'বা', 'বড', 'বম', 'বধ', 'বজ', 'বরই']
['বাদশা', 'আশাবাদী', 'বাদশাহ', 'বাদশাহী', 'বাদশার', 'শাদাব', 'বাদীরা', 'বাদেপাশা', 'অনাবাদী', 'বাদশাকে']
['বাঙ্গালী', 'কালেঙ্গা', 'কাঙ্গাল', 'কালীগঙ্গা', 'কালেঙ্গার', 'রঙ্গালী', 'বঙ্গালী', 'অবাঙ্গালী', 'বাঙ্গালীর', 'পাঙ্গাসী']
['বাঘ', 'বাঘী', 'বাঘি', 'বাঘা', 'বাঘই', 'বাঘও', 'মাঘ', 'বারী', 'বাসী', 'বাগী']
