['মেহেদুল', 'হেলেদুলে', 'বহুদেশে', 'দেহগুলো', 'জায়েদুল', 'হেদায়েতুল', 'সেহুন্দা', 'দোয়েল', 'লেন্দুপ', 'সায়েদুল']
['পনেরো', 'গোপনেই', 'পনেরোর', 'ইমপেরো', 'মিনেইরো', 'পেরোন', 'পেরোলেন', 'পেরোলেই', 'রেইনবো', 'পোনপেই']
['ষোল', 'গোলই', 'ষোলশ', 'লোই', 'ষোলো', 'আলোই', 'দোষই', 'হলোই', 'কোষই', 'শোলে']
['সতেরো', 'সোতেরের', 'পেরোতেই', 'সতেরোর', 'বেরোতেই', 'সেইমতো', 'বেরোতে', 'পেরোতে', 'সোতের', 'ওতেরো']
['আঠারো', 'আঠারোর', 'আঠারো', 'আঠারোশ', 'আঠারোতম', 'আঠালো', 'আঠারোজন', 'আঠারোটি', 'টাইরোন', 'আঁধারে']
['উনিশ', 'উনিই', 'উইনির', 'উইনিং', 'নিউই', 'টিউশন', 'ইউনিস', 'ইউনিক', 'উইনি', 'ইলিউশন']
['শিবই', 'বিশ', 'বিশি', 'বিংশ', 'বিবশ', 'বিশপ', 'বিশর', 'নবিশ', 'শিবি', 'বশির']
['একুশ', 'ইশকুল', 'একুশে', 'একুশের', 'এঁকে', 'একইরুপ', 'লংকেশ', 'একপেশে', 'অংশকেই', 'টেকশই']
['বাইশ', 'শাইবা', 'এইবারই', 'আইইবি', 'লাইনই', 'বংশাই', 'মাইশা', 'বাইদা', 'বাইলা', 'বাইল']
['তেইশ', 'মেইতেই', 'বইতেই', 'হইতেই', 'শেইন', 'শেইম', 'লেইতে', 'কেইনই', 'তেইশতম', 'শেইলা']
['চব্বিশ', 'চব্বিশতম', 'চব্বিশজন', 'বিশ্বই', 'চব্বিশটি', 'অশ্বিনই', 'পঞ্চবিংশ', 'ছাব্বিশ', 'বিশ্বেরই', 'আর্চবিশপ']
['পঁচিশ', 'পঁচাশি', 'পঁচিশজন', 'পঁচিশটি', 'পঁচিশতম', 'পাঁচিল', 'পাঁচটিই', 'পঁচিশে', 'পাঁচশ', 'এইচপির']
['ছাব্বিশ', 'ছাব্বিশে', 'ছাব্বিশতম', 'ছাব্বিশটি', 'সাব্বিরই', 'দ্বাবিংশ', 'মহাবিশ্বে', 'মহাবিশ্বের', 'বিশ্বকাপই', 'প্রবেশিকা']
['সাতাইশ', 'হতাশাই', 'সাতাশ', 'নাতসাই', 'সাতপাই', 'সাইতার', 'সাতাশতম', 'সাইতামা', 'নাতাশা', 'হতাশারই']
['আটাশ', 'আশাটা', 'আইওটা', 'আইনটা', 'আইটিও', 'আইওটি', 'আইটির', 'ইটালি', 'আইলটি', 'দলটাই']
['ঊনত্রিশ', 'ঊনত্রিশটি', 'উনত্রিশ', 'আন্তশিরা', 'উনত্রিশতম', 'তেত্রিশজন', 'নিশ্চিতই', 'প্রতিদিনই', 'মন্দিরই', 'অশান্তির']
['ইর্তিশ', 'ত্রিংশ', 'প্রতিই', 'ত্রিশ', 'ত্রিশা', 'ত্রিশের', 'শক্তিরই', 'তেত্রিশ', 'ত্রিশে', 'বত্রিশ']
['একত্রিশ', 'শক্তিরই', 'একত্রিশতম', 'পত্রিকাই', 'বিতর্কই', 'সাঁইত্রিশ', 'পেশিশক্তির', 'তেত্রিশটি', 'একশতেরও', 'আটত্রিশ']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['একই', 'এক', 'এইস', 'একং', 'একর', 'এআই', 'একা', 'এইচ', 'এরই', 'একশ']
['দুইই', 'দুইশ', 'দেশই', 'দেইর', 'দেহই', 'বেদই', 'দেবই', 'দেউই', 'দেইব', 'দুইট']
['তিনই', 'ইতির', 'গতিই', 'তিনিই', 'তিনশ', 'তিনা', 'নিতাই', 'চিতই', 'তিনি', 'ইশিতা']
['চাইর', 'চারই', 'চরকাই', 'চাইল', 'চাকর', 'আচার', 'চাউর', 'চাইম', 'চারা', 'চারও']
['চাঁপাই', 'পাঁচশ', 'পাঁচ', 'পিচাই', 'চাঁই', 'চাঁপা', 'উঁচাই', 'বাঁচাই', 'পাইকর', 'পাইছি']
['ছয়শ', 'ছয়', 'বছয়', 'এছায়', 'ইয়র', 'আইয়র', 'জয়ই', 'ইয়া', 'আইয়া', 'ইয়ং']
['সাতই', 'সাইতং', 'সিতাই', 'সাতশ', 'সাতা', 'ইসারত', 'ইসরাত', 'সাতহ', 'সাংত', 'সারই']
['আট', 'আটা', 'আটশ', 'আটক', 'আটি', 'আইল', 'আঁট', 'আইএ', 'আইও', 'আউট']
['দশ', 'দশা', 'দশম', 'দাশ', 'দশক', 'দইও', 'দলই', 'দই', 'পদই', 'ইদা']
['এগারোর', 'এলগারের', 'এগারোর', 'এচেগারাই', 'আগেরটাই', 'এগারো', 'টাইগারের', 'এডগারের', 'এগারোটা', 'লগারের']
['পাইরো', 'বারেই', 'বাইরে', 'জাইরো', 'বাইরের', 'কারোই', 'বারুই', 'বারসোই', 'কারোরই', 'বারেল']
['ভেতরেই', 'পেরোতেই', 'শোতেই', 'বেরোতেই', 'তীরেই', 'তেলের', 'খেতের', 'শীতেই', 'বেতের', 'ভেতরে']
['চৌদ্দশ', 'চৌদ্দ', 'চৌদ্দতম', 'চৌহদ্দি', 'চৌদ্দটি', 'চৌহদ্দির', 'বৌদ্ধদের', 'জেদ্দার', 'চৌদ্দজন', 'চৌদ্দবার']
['মিনেইরো', 'মোরেইরা', 'ইউরোপেই', 'পনেরোর', 'পেইনদের', 'ইমপেরো', 'পেরোলেই', 'আইফোনের', 'পেইনের', 'জানেইরো']
['ষোলশ', 'গোলই', 'আলোই', 'লোইস', 'লোকই', 'দোষই', 'হলোই', 'ষোল', 'শেলও', 'শেলফ']
['সতেরোর', 'সোতেরের', 'ভেতরেই', 'স্তরেই', 'সরষেতেই', 'সেইমতো', 'সংকেতের', 'সারেতে', 'সেতের', 'ফেরিতেই']
['আঠারো', 'আঠারোর', 'আঠারোশ', 'আঠারো', 'আঠারোতম', 'আগেরটাই', 'ইলোরার', 'আকারেই', 'আকারেরও', 'আঠারোটি']
['উইনির', 'জিউইশ', 'উইনিং', 'হিউইশ', 'উনিশ', 'ইলিউশন', 'ইউনিস', 'উনিই', 'টিউশন', 'ইউরিন']
['শিবই', 'বিংশ', 'বিশর', 'বিশপ', 'বিশ', 'বিএই', 'বশির', 'বিশফ', 'বিশি', 'ইশিল']
['ইশকুল', 'একইরুপ', 'একুশ', 'লংকেশ', 'অংশকেই', 'একইরূপ', 'পুঁইশাক', 'টেকশই', 'একুশের', 'অংশকেও']
['বাইশ', 'শাইবা', 'এইবারই', 'বংশাই', 'বাইদা', 'আইইবি', 'বাইলা', 'এইবার', 'মাইশা', 'বাইল']
['তেইশ', 'তেইশতম', 'শেইলা', 'শেইখা', 'বইতেই', 'তেইশটি', 'শেইখি', 'শেইম', 'শেইখ', 'কেইতা']
['চব্বিশ', 'চব্বিশতম', 'পঞ্চবিংশ', 'চব্বিশটি', 'পরিবেশই', 'আর্চবিশপ', 'চব্বিশজন', 'বিশ্বই', 'ছাব্বিশ', 'পরিবেশবিদ']
['পঁচিশ', 'পঁচাশি', 'পঁচিশটি', 'পঁচিশতম', 'পাঁচিল', 'পাঁচটিই', 'পঁচিশজন', 'পাঁচশ', 'এইচপির', 'পিএইচই']
['ছাব্বিশ', 'ছাব্বিশতম', 'ছাব্বিশটি', 'পরিবেশটাই', 'পরিবেশবাদ', 'বিশ্বকাপই', 'সাব্বিরই', 'দ্বাবিংশ', 'বেশিবার', 'বেশিরভাগই']
['সাতাইশ', 'সাতাশ', 'সাইতার', 'হতাশাই', 'সাতপাই', 'সাতাশতম', 'নাতসাই', 'সাইতামা', 'সাতভাই', 'হতাশারই']
['আটাশ', 'আশাটা', 'আইওটা', 'আশাটাও', 'টাইলর', 'লাইটস', 'আসাটাই', 'টাইলস', 'আকাশটা', 'আইনটা']
['সাঁইত্রিশ', 'ঊনত্রিশ', 'ঊনত্রিশটি', 'আন্তশিরা', 'আটত্রিশতম', 'উনত্রিশতম', 'উনত্রিশ', 'পত্রিকাই', 'একত্রিশতম', 'প্রতিবাদই']
['ইর্তিশ', 'ত্রিংশ', 'ত্রিশা', 'শক্তিরই', 'প্রতিই', 'আশ্রিতা', 'ছত্রিশ', 'ত্রিশাল', 'একত্রিশ', 'ত্রিশ']
['একত্রিশ', 'একত্রিশতম', 'সাঁইত্রিশ', 'শক্তিরই', 'পত্রিকাই', 'একশতেরও', 'এক্রাইলিক', 'অপ্রকাশিত', 'একত্রিকরণ', 'একমাত্রিক']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['একে', 'এক', 'একই', 'একো', 'এরে', 'এলে', 'এমে', 'এসে', 'এবে', 'এই']
['দুধে', 'দেশে', 'দেহে', 'দেগু', 'দেহু', 'দুরে', 'দেগে', 'দেকে', 'বেদে', 'রুদে']
['তিনে', 'তিতে', 'তিরে', 'নিতে', 'তিনু', 'তিলে', 'ডিতে', 'বিতে', 'নতিতে', 'সনিতে']
['চারে', 'চারু', 'চারী', 'চারো', 'চেরা', 'আচারে', 'চোর', 'চারের', 'কাচের', 'চাষে']
['পাঁচে', 'চাপুই', 'পাঁচু', 'পাঁচেই', 'পাঁচের', 'পাঁচেক', 'বাঁচে', 'পেঁচা', 'পাঁচেও', 'কাঁচে']
['ছয়ে', 'রয়ছে', 'হয়ছে', 'ছয়ের', 'রয়েছ', 'কয়ে', 'আয়ে', 'হয়েছ', 'জয়ে', 'রয়ে']
['সাতে', 'তাসে', 'সাতো', 'সারতে', 'আসাতে', 'সরাতে', 'বসাতে', 'হাসতে', 'সাজতে', 'সারে']
['আট', 'আটে', 'আয়', 'আয়ই', 'আলে', 'ইট', 'আই', 'আটা', 'আধ', 'আরে']
['নয়ে', 'নেয়', 'নয়', 'রয়ে', 'নড়ে', 'বয়ে', 'জয়ে', 'সয়ে', 'লয়ে', 'নয়৷']
['দশে', 'দশ', 'দরে', 'দই', 'দেশ', 'দলে', 'দহে', 'মদে', 'নদে', 'দমে']
['গামেরো', 'এগারোতে', 'লার্গো', 'মার্গে', 'বোরো', 'মার্গো', 'রোগী', 'রোগে', 'তুরাগে', 'গেলোরা']
['বোরো', 'বারোতে', 'বোররে', 'পারেতো', 'গামেরো', 'মেরো', 'সেরো', 'ঘোরাবে', 'লাহোরে', 'বার্লো']
['তেরো', 'পেরোতে', 'বেরোতে', 'মেত্রো', 'রোধে', 'যেতো৷', 'তোরে', 'পেত্রো', 'পেরোয়', 'তেতো']
['চোদ্দো', 'রৌদ্রে', 'বৌদ্ধের', 'পেদ্রো', 'যুদ্ধে', 'চৌদ্দ', 'পেদ্রু', 'বোর্দে', 'ভের্দু', 'দৌড়েও']
['পেরোতে', 'সেরেনো', 'পেরোলে', 'পেরোনো', 'রেপোশে', 'বেরোতে', 'পেরোয়', 'পেত্রো', 'মোরেনো', 'বেঘোরে']
['ষোলো', 'শোলে', 'রোষে', 'রোলে', 'হোলে', 'হেলো', 'কোষে', 'মেলো', 'সোলে', 'তোলে']
['মেত্রো', 'বেরোতে', 'পেরোতে', 'স্রোতে', 'সতেরো', 'রেস্তো', 'সেহোরে', 'পেত্রো', 'মেরুতে', 'জোসেতে']
['আঠেরো', 'বোরো', 'গামেরো', 'পারেতো', 'তোমারে', 'কাঠুরে', 'বারোতে', 'ডোমারে', 'লাহোরে', 'ঘোরালে']
['বিশে', 'শিবে', 'বিশু', 'বিশী', 'বেশি', 'বংশে', 'মিশে', 'বশে', 'বিষে', 'কিশে']
['একুশে', 'একুশের', 'শুকে', 'পশুকে', 'মুকেশ', 'বুশকে', 'সুকেশ', 'শুকের', 'কুশের', 'আশেকুর']
['বাইশে', 'রাইশে', 'বাইরে', 'যাইবে', 'পাশেই', 'বারেই', 'বাইরেই', 'যাবেই', 'ভাইবে', 'বাইতে']
['লেইতে', 'যেতেই', 'পেতেই', 'তেইদে', 'মেইতেই', 'দেশেই', 'খেতেই', 'মেইলে', 'শোতেই', 'হেইলে']
['বিশ্বে', 'বিশ্বেই', 'বিশ্বের', 'বিশ্বকে', 'বিশ্বেও', 'ছাব্বিশে', 'বিশ্বেরই', 'বিশ্বকেই', 'প্রবেশে', 'বটেশ্বরে']
['পঁচিশে', 'পঁচিশের', 'পাঁচশো', 'সুইচিং', 'পিচুর', 'পুলিশই', 'পাঁচে', 'সুইচি', 'পুলিশে', 'পিছুই']
['ছাব্বিশে', 'বালেশ্বরে', 'পার্শ্বেই', 'মোবাশ্বের', 'ছাব্বের', 'পার্শ্বে', 'বাগেশ্বরী', 'মহাবিশ্বে', 'বের্শেবা', 'বিশ্বেরই']
['শাসাতে', 'বাসাতে', 'হাসাতে', 'বাতাসে', 'সালাতে', 'সারাতে', 'ভাসাতে', 'সাজাতে', 'সেতারা', 'বাসাতেই']
['এটাশে', 'শাটেল', 'আশালয়', 'আইলায়', 'আমাশয়', 'আশায়', 'আইয়ার', 'আয়শা', 'আয়শার', 'ঘটালে']
['পঁয়ত্রিশে', 'শ্রেনিতে', 'বনশ্রীতে', 'নিঃশর্তে', 'রশ্মিতে', 'তেত্রিশ', 'লন্ড্রিতে', 'মিত্রদেশ', 'প্রতিশোধে', 'জনশ্রুতিতে']
['ত্রিশে', 'ত্রিশের', 'শর্তে', 'তেরশ্রী', 'তেত্রিশ', 'ফ্রিতে', 'মিত্রে', 'থ্রিতে', 'ট্রিতে', 'পেত্রি']
['শক্তিরূপে', 'পঁয়ত্রিশে', 'এক্সরেতে', 'মিত্রকে', 'একত্রে', 'মিশ্রকে', 'তেত্রিশ', 'শক্তিতেই', 'বিক্রিতে', 'শ্রুতিকে']
['একে', 'একো', 'এলে', 'এরে', 'এমে', 'এমকে', 'একই', 'এতে', 'এসে', 'এনে']
['দুধে', 'দেকে', 'দেশে', 'দেগে', 'দেহে', 'গেদে', 'দেলে', 'ছেদে', 'দেগু', 'ভেদে']
['তিনে', 'নিতে', 'তিতে', 'তিনু', 'তিরে', 'নতিতে', 'নিতেন', 'তিলে', 'ডিতে', 'নেতি']
['চারে', 'চোর', 'চারের', 'নাচের', 'চারী', 'চারেই', 'আচারে', 'চারো', 'চেরা', 'চারু']
['পাঁচে', 'চাপুই', 'পাঁচেই', 'পাঁচেক', 'পাঁচেও', 'পাঁচের', 'পেঁচা', 'পাঁচু', 'চাপেই', 'কাঁপে']
['ছয়ে', 'রয়ছে', 'হয়ছে', 'ছয়ের', 'হয়েছ', 'রয়েছ', 'জয়ে', 'যাছে', 'আয়ে', 'ওয়ে']
['সাতে', 'তাসে', 'আসাতে', 'সাতো', 'সারতে', 'সাজতে', 'সরাতে', 'হাসতে', 'সাতেক', 'সাতের']
['আটে', 'আট', 'আয়ই', 'আয়', 'আটকে', 'এটে', 'আলে', 'আঁটে', 'আটের', 'আটেন']
['নয়ে', 'নেয়', 'নড়ে', 'রয়ে', 'জয়ে', 'নয়৷', 'লয়ে', 'সয়ে', 'কয়ে', 'হয়ে']
['দশে', 'দেশ', 'দরে', 'দলে', 'নদে', 'মদে', 'দমে', 'দহে', 'ঈদে', 'পদে']
['এগারোতে', 'গামেরো', 'ওরেগানো', 'ইয়াগো', 'গেলোরা', 'এগোতে', 'গামেটো', 'গার্গেনো', 'রোগী', 'মার্গে']
['বোরো', 'বারোতে', 'পারেতো', 'গামেরো', 'পাজেরো', 'লাহোরে', 'তেরো', 'তানোরে', 'জোয়ারে', 'মেরো']
