['মুরতা', 'মুরাত', 'মুতার', 'তোমরা', 'বুমরা', 'তুরান', 'মুরাতা', 'তুবার', 'হুমরা', 'তুরার']
['সেরা', 'সারে', 'সের', 'রেসা', 'রাসে', 'সরে', 'সসের', 'সারসে', 'সেরি', 'সেবা']
['তিমিরা', 'তিনার', 'পরিনতি', 'তিরানা', 'তানির', 'পরিনিত', 'নাতনির', 'পরিনতির', 'তলানির', 'তিরান']
['শিক্ষকরা', 'শিক্ষারও', 'শিক্ষিকারা', 'পরিষ্কারক', 'শিক্ষিকার', 'শিক্ষাকাল', 'শিক্ষকতার', 'আবিষ্কারক', 'মক্ষিকার', 'পরিক্ষার']
['মাঝারি', 'মাঝিরা', 'মাঝির', 'জামিরা', 'মাঝরাত', 'মাজারি', 'লামারা', 'রালিমা', 'মাঝিরঘাট', 'মাজারির']
['ছাত্ররাও', 'ছাত্ররা', 'ছাত্ররাই', 'ছাত্তার', 'মাত্রার', 'কর্তারাও', 'যাত্রার', 'বাত্রার', 'হাত্রার', 'কর্তারা']
['ভাইরা', 'ভাইরাল', 'ভাইরাস', 'ভাইর', 'ভাইভার', 'ভাসাই', 'ভাবাই', 'ওভারই', 'ভারা', 'ভাইপার']
['শিক্ষকরা', 'শিক্ষারও', 'শিক্ষিকারা', 'পরিষ্কারক', 'শিক্ষিকার', 'শিক্ষাকাল', 'শিক্ষকতার', 'আবিষ্কারক', 'মক্ষিকার', 'পরিক্ষার']
['গরুর', 'বুগরা', 'বগুরা', 'গুরিরা', 'গুজরা', 'গুরা', 'গুরজার', 'তুগরা', 'বরগীর', 'মুরগির']
['ছেলেরা', 'ছেলেরাই', 'ছেলেরাও', 'ছেলেরও', 'পেছালে', 'ছেলেহারা', 'ছেলেধরা', 'সেলেরা', 'গোলের', 'জেলেরাও']
['মেয়েরা', 'মেয়েরাই', 'মেয়েরাও', 'মেয়েটার', 'মেয়েরে', 'কায়েমের', 'সায়েমের', 'মেয়ের', 'মেয়রের', 'মেয়েটা']
['ভাইরা', 'ভাইরাল', 'ভাইরাস', 'ভাইর', 'ভাইভার', 'ভাসাই', 'ভাবাই', 'ওভারই', 'ভারা', 'ভাইপার']
['পাখিরা', 'পাখিরাও', 'পাখিরও', 'পাখার', 'পাখির', 'পরিখার', 'পাখিমারা', 'পাখিরাই', 'পাখনার', 'পরিখা']
['সদস্যদরা', 'সদস্যরা', 'সদস্যরাও', 'সদস্যারা', 'সদস্যরাসহ', 'সদস্যতার', 'সদস্যরাই', 'সদস্যর', 'সদস্যতা', 'সদস্যা']
['বিচারসহ', 'ফিচারস', 'সচারচর', 'সচরাচর', 'সারিবল', 'সাবরির', 'বচসার', 'সবিরাম', 'সচিবও', 'পিকচারস']
['দর্শকরাও', 'দর্শকরা', 'দর্শকখরা', 'দর্শকসারি', 'পরিদর্শক', 'শর্করার', 'দর্শনার', 'বদরিকাশ্রম', 'আর্দাশির', 'পারদর্শি']
['শিক্ষকরা', 'শিক্ষারও', 'শিক্ষিকারা', 'পরিষ্কারক', 'শিক্ষিকার', 'শিক্ষাকাল', 'শিক্ষকতার', 'আবিষ্কারক', 'মক্ষিকার', 'পরিক্ষার']
['সুধীরা', 'মাধুরীর', 'সুধীর', 'সুধীরের', 'মাধুরী', 'সুধীরকে', 'তরুণীরা', 'চৌধুরীরা', 'কস্তুরীর', 'মুগীরা']
['সম্পাদকরা', 'সম্পাদিকার', 'সম্পাদনার', 'প্রাসাদসম', 'সম্পাদিকা', 'রমাপ্রসাদ', 'প্রাসাদটির', 'রামপ্রসাদ', 'সম্পাদনাও', 'কালিকাপ্রসাদ']
['পণ্ডিতরা', 'দণ্ডিতরা', 'পরিত্রাণ', 'বিতণ্ডার', 'পন্ডিতরা', 'প্রাণিত', 'প্রমাণিত', 'পাত্রটির', 'পত্রিকার', 'পত্রিকাও']
['মন্ত্রীরা', 'মন্ত্রীরাও', 'কার্তবীর্য', 'মন্ত্রীর', 'স্ত্রীরা', 'সন্ত্রাসীর', 'সন্ত্রাসীরা', 'কন্ত্রেরাস', 'গণতন্ত্রীরা', 'নারীমূর্তি']
['মরিয়মের', 'আয়মেরিক', 'অনিয়মের', 'আমুলিয়া', 'মরিয়মকে', 'আমেলিয়া', 'আরতিয়ম', 'আর্টেমিস', 'নিয়মের', 'অপরিমেয়']
['স্মৃতিটুকু', 'মুত্তিয়া', 'ধূমকেতুটি', 'মৃত্যুটি', 'স্মৃতিময়', 'সময়টুকুতে', 'ধূমকেতুর', 'দায়মুক্তি', 'কুয়েতি', 'স্মৃতিগুলো']
['সোয়ে', 'রেয়েস', 'মেয়ে', 'সুপেয়', 'বেয়ে', 'পেয়ে', 'চেয়ে', 'রয়েসয়ে', 'যেয়ে', 'সুইয়ের']
['প্রতিনিয়ত', 'নিয়মনীতি', 'নিয়মনীতির', 'প্রতিনিয়তই', 'পিটুনিতে', 'প্রতিনিধি', 'নিয়োজিত', 'নিয়তির', 'প্ৰতিটি', 'চিত্রটিতে']
['দায়মুক্তির', 'ক্রোয়েশিয়া', 'দায়মুক্তি', 'ক্ষেত্রটিকে', 'ক্ষেত্রটি', 'ক্ষেত্রটির', 'রক্তক্ষয়ী', 'ত্রিপক্ষীয়', 'ক্রোয়েশিয়ার', 'সুপ্রিয়কে']
['রোমানিয়া', 'মার্জিয়া', 'মারিয়ানোর', 'নিয়ামুর', 'পাটোয়ারি', 'রোমানিয়ায়', 'মারিয়ানো', 'মার্জিয়ার', 'মোটামুটি', 'রোমানিয়ার']
['ছত্রচ্ছায়ায়', 'গায়ত্রী', 'মন্ত্রণায়ের', 'কোর্তোয়ার', 'কর্তোয়া', 'দুয়ার্তে', 'আত্মীয়তার', 'পুত্রজায়ায়', 'ছাড়পত্রের', 'ছাত্রজোটের']
['নিয়োগী', 'আত্রেয়ী', 'ধেরুয়া', 'ধীরলয়ে', 'ধর্মীয়', 'জোয়েনা', 'নিয়েতো', 'পেরোয়নি', 'শ্রীময়ী', 'মৈত্রেয়ী']
['দায়মুক্তির', 'ক্রোয়েশিয়া', 'দায়মুক্তি', 'ক্ষেত্রটিকে', 'ক্ষেত্রটি', 'ক্ষেত্রটির', 'রক্তক্ষয়ী', 'ত্রিপক্ষীয়', 'ক্রোয়েশিয়ার', 'সুপ্রিয়কে']
['উরুগুয়ের', 'আগুয়েরোর', 'আগুয়েরো', 'উরুগুয়ে', 'গুরংয়ের', 'গুরুংয়ের', 'গেরুয়া', 'মুগুরের', 'প্রয়োগের', 'চৌধুরী']
['ছেলেমেয়ে', 'ছেলেমেয়ের', 'পেয়েছে', 'ছেলেমেয়েই', 'গেয়েছে', 'মেয়েগুলো', 'ছেলেমেয়েকে', 'পেয়েছেন৷', 'খেয়েছে', 'খুইয়েছে']
['খেয়েদেয়ে', 'মেয়েকে', 'মেয়েরে', 'ছেলেমেয়ে', 'বুয়েটে', 'নেচেগেয়ে', 'ধেয়ে', 'ঘেমেনেয়ে', 'কুয়েতে', 'বোয়েটেংয়ের']
['ভাইয়েরা', 'ভাইয়ের', 'ভোটের', 'ভাইয়াকে', 'ভেটেরান', 'সারাইয়ের', 'রাইয়ের', 'এভারেটের', 'ভাড়াটের', 'বারেটের']
['রূপরেখাটি', 'বখতিয়ারপুর', 'খামখেয়ালি', 'বখতিয়ারের', 'খতিয়ানের', 'পিয়ারপুর', 'পাটোয়ারি', 'বখতিয়ারকে', 'পাংখোয়া', 'খামখেয়ালির']
['সম্প্রদায়ে', 'সমুদ্রস্রোত', 'সমুদ্রস্তরের', 'পর্যুদস্ত', 'প্ৰসিদ্ধ', 'সম্প্রদায়ের', 'সমুদ্রতটে', 'দস্যুদের', 'সম্প্রদায়', 'সূর্যোদয়']
['সময়সূচির', 'সময়োচিত', 'সময়সূচি', 'সুবাসিচের', 'প্রেসসচিব', 'সচিবালয়ের', 'পুলিসিচের', 'সময়সূচিতে', 'সফরসূচিতে', 'স্বরোচিষ']
['আশ্রয়কেন্দ্র', 'শত্রুদেরকে', 'ত্রিদেশীয়', 'দুর্দশায়', 'দর্শকপ্রিয়', 'আয়ুর্বেদিক', 'প্ৰদৰ্শন', 'সম্প্রদায়ের', 'শত্রুদের', 'চন্দ্রশেখর']
['দায়মুক্তির', 'ক্রোয়েশিয়া', 'দায়মুক্তি', 'ক্ষেত্রটিকে', 'ক্ষেত্রটি', 'ক্ষেত্রটির', 'রক্তক্ষয়ী', 'ত্রিপক্ষীয়', 'ক্রোয়েশিয়ার', 'সুপ্রিয়কে']
['চৌধুরী', 'মৈত্রেয়ী', 'পুয়ের্তো', 'ধুয়েমুছে', 'উরুগুয়ে', 'শ্ৰেণীতে', 'মেয়েগুলো', 'ফুয়েগো', 'সেগুলোয়', 'হুড়মুড়িয়ে']
['সম্প্রদায়কে', 'সাম্প্রদায়িক', 'সম্প্রদায়ের', 'সম্প্রদায়ও', 'সম্প্রদায়ে', 'স্বল্পমেয়াদি', 'সম্প্রদায়গুলোর', 'সাম্পদোরিয়া', 'অসাম্প্রদায়িক', 'সম্পাদকীয়তে']
['প্রায়শ্চিত্ত', 'মুত্তিয়া', 'নিয়ন্ত্রণের', 'পাণ্ডিত্যে', 'পাণ্ডিত্যের', 'নিয়ন্ত্রণেও', 'স্তোত্রটির', 'নিয়ন্ত্রণকে', 'নিয়ন্ত্রণে', 'নিয়ন্ত্রিত']
['মৈত্রেয়ী', 'পুয়ের্তো', 'মেয়াদোত্তীর্ণ', 'নের্তৃত্বে', 'দুর্বৃত্তায়নের', 'স্নায়ুক্ষয়ী', 'কেন্দ্রীয়', 'কেন্দ্রগুলোয়', 'মন্ত্রীত্বের', 'দুর্বৃত্তায়ন']
['আমি', 'আমিই', 'আমরি', 'আমা', 'আরমি', 'আমির', 'আজমি', 'আমার', 'আমরা', 'আমিরই']
['তৈমুরি', 'পুতেরি', 'তিমুরে', 'তেমুর', 'রামুতে', 'মুমতাজের', 'ভুমিতে', 'রুমতেক', 'মুতারে', 'খেতমজুর']
['সে', 'রে', 'সেরে', 'রেসে', 'সেই', 'সেজে', 'বেসে', 'জেসে', 'সেবে', 'বে']
['তিনিই', 'তিনার', 'তিনি', 'তিনা', 'মিনতি', 'নিতাই', 'নাতনি', 'বিনতি', 'তানির', 'তানি']
['শিক্ষকেরা', 'শিক্ষকেরাই', 'শিক্ষকেরাও', 'শিক্ষকের', 'শিক্ষাকেও', 'শিক্ষাকে', 'শিক্ষাক্রম', 'শিক্ষকনেতা', 'শিক্ষকরূপে', 'প্রশিক্ষকের']
['মাঝারি', 'মাঝি', 'মাঝির', 'মাঝা', 'মাঝিরা', 'মাঝারী', 'মাজার', 'মাজারি', 'জামাই', 'নামাজি']
['ছাত্রেরা', 'ছাত্রের', 'ছাত্তারের', 'ছত্রাকের', 'ছাত্রনেতা', 'ছাত্রে', 'ছাত্রদের', 'ছাত্রনেতার', 'ছাত্রীরা', 'ছাত্রকে']
['ধনী', 'ধীরেন', 'বেনী', 'ধানী', 'ধোনী', 'ধনে', 'ফেনী', 'রেনো', 'ধনের', 'ধীরে']
['ভাই', 'ভাইর', 'ভাইরে', 'ভাইও', 'ভাইরা', 'ভাইট', 'ভাইব', 'ভাইল', 'ভাইন', 'ভাইভা']
['গরু', 'গরে', 'গরুই', 'গরুর', 'গুবরে', 'গুরা', 'গুমরে', 'গুর', 'গেরী', 'গুরেজ']
['ছেলেরে', 'মেলেছে', 'ঢেলেছে', 'ফেলেছে', 'চেলেছে', 'ছেলেকে', 'লেগেছে', 'পেরেছে', 'খেলেছে', 'ছেলেই']
['মেয়েরে', 'মেয়ে', 'মেয়েকে', 'পেয়েছে', 'মেয়েই', 'ধেয়ে', 'গেয়েছে', 'ঘেমেনেয়ে', 'গেয়ে', 'ছেলেমেয়ে']
['ভাই', 'ভাইর', 'ভাইরে', 'ভাইও', 'ভাইরা', 'ভাইট', 'ভাইব', 'ভাইল', 'ভাইন', 'ভাইভা']
['পাখিই', 'পাখার', 'পাখিরা', 'পাখিরাই', 'পাখি', 'পাখির', 'চাপাখি', 'খারাপই', 'পাখা', 'বাজপাখি']
['সদস্যেরা', 'সদস্যের', 'সদস্যদের', 'সদস্যেরও', 'সদস্যেরই', 'সেনাসদস্য', 'সদস্যদেরও', 'সদস্যে', 'সদস্যদেরই', 'সদস্যপদের']
['সচিবের', 'সচিব', 'সচিবেরা', 'সচিবও', 'রেলসচিব', 'বচসার', 'সাঁচি', 'চিবচা', 'সুবিচার', 'সবজিই']
['দর্শকেরা', 'দর্শকেরও', 'দর্শকের', 'দর্শকেরাই', 'দর্শকেরাও', 'দর্শকদের', 'দর্শকদেরই', 'দর্শকদেরও', 'দর্শনেরও', 'দর্শনের']
['শিক্ষকেরা', 'শিক্ষকেরাই', 'শিক্ষকেরাও', 'শিক্ষকের', 'শিক্ষাকেও', 'শিক্ষাকে', 'শিক্ষাক্রম', 'শিক্ষকনেতা', 'শিক্ষকরূপে', 'প্রশিক্ষকের']
['সুধী', 'সুধীরের', 'সুধীরকে', 'চোধুরী', 'চৌধুরী', 'সুধীর', 'সুমেরু', 'ধেরুয়া', 'সুগন্ধী', 'গোধুলী']
['সম্পাদকেরা', 'সম্পাদকের', 'সম্পাদনাকে', 'সম্পাদকদের', 'রামপ্রসাদকে', 'সম্পাদনের', 'প্রেমাদাসা', 'উপসম্পাদকের', 'সম্পাদকে', 'প্রাসাদকে']
['পণ্ডিতেরা', 'পণ্ডিতের', 'পন্ডিতেরা', 'পাণ্ডিত্য', 'পণ্ডিতগণের', 'পণ্ডিতদের', 'পন্ডিতের', 'পণ্ডিতকে', 'পাণ্ডিত্যের', 'প্রাণিতে']
['মন্ত্রীকে', 'মন্ত্রীত্বের', 'মন্ত্রীত্ব', 'মন্ত্রীকেও', 'মন্ত্রীদের', 'নারীনেত্রী', 'মন্ত্রের', 'নের্তৃত্বে', 'মন্ত্রীগণের', 'সেতুমন্ত্রী']
['আলিমুল', 'আমিমুল', 'আমিনুল', 'আলকেমি', 'আলসেমি', 'থিমগুলি', 'মামুলি', 'মিলগুলি', 'মুমিনুলও', 'আমঝুপি']
['পুতুলগুলি', 'সেতুগুলি', 'তন্তুগুলি', 'নীতিগুলো', 'স্মৃতিগুলো', 'পুতুলগুলো', 'তেঁতুলকুলি', 'তেঁতুলিয়া', 'তুলোধুনা', 'যুক্তিগুলো']
['সেগুলো', 'সেলুনে', 'সেকেলে', 'প্লেসে', 'লোৎসে', 'স্পেসে', 'স্কেলে', 'সেসোথো', 'লেসে', 'সোলে']
['তুলিনি', 'ফিলিস্তিনি', 'নীতিগুলি', 'অনুলিখিত', 'ইলুমিনাতি', 'প্লাতিনি', 'নিম্নলিখিত', 'নিন্মলিখিত', 'অনুলিপিতে', 'ফিলিস্তিন']
['শিক্ষাগুলো', 'শ্লোকগুলির', 'ভক্ষককোষগুলি', 'স্কুলশিক্ষক', 'শ্লোকগুলি', 'শক্তিগুলো', 'শক্তিগুলোর', 'লক্ষ্মীকোল', 'স্কুলশিক্ষা', 'কক্ষগুলোর']
['ঝাঁঝালো', 'সোমালিয়া', 'মালিটোলা', 'মধুমালা', 'মামলাগুলি', 'সুলায়মান', 'সোলায়মান', 'গোঁজামিল', 'জালুখালি', 'বোঝাবুঝি']
['খুত্তালের', 'আয়াতুল্লাহ', 'বার্তাগুলো', 'প্যালোত্তা', 'কালোত্তীর্ণ', 'ছত্রচ্ছায়ায়', 'চিন্তাগুলো', 'উপাত্তগুলো', 'লতাগুল্মের', 'প্রান্তগুলো']
['তুলোধুনো', 'বন্ধনীগুলো', 'গোধুলী', 'তুলোধুনা', 'তুলোধোনা', 'শুদ্ধোধন', 'দুধকোশী', 'সিন্ধুনীল', 'বন্ধনীতে', 'নদীগুলো']
['ভালোই', 'ভালোভাবেই', 'ভালোভাবে', 'দুলাভাই', 'ভালোভাবেই', 'ইলাভেন', 'দুইভাই', 'ভালোই', 'দোভাল', 'তেলেভাজা']
['শিক্ষাগুলো', 'শ্লোকগুলির', 'ভক্ষককোষগুলি', 'স্কুলশিক্ষক', 'শ্লোকগুলি', 'শক্তিগুলো', 'শক্তিগুলোর', 'লক্ষ্মীকোল', 'স্কুলশিক্ষা', 'কক্ষগুলোর']
['ছেলেগুলো', 'ছেলেগুলোকে', 'ছেলেগুলোর', 'হেলেদুলে', 'ছেলেমেয়ে', 'মেয়েগুলো', 'ছেলেখেলায়', 'তুলেছে৷', 'ছেলেমেয়েই', 'সেলুলয়েডের']
['খেয়েদেয়ে', 'মেয়েগুলো', 'ছেলেমেয়ে', 'মেয়েকে', 'ধুয়েমুছে', 'ছেলেমেয়েকে', 'ছেলেমেয়েই', 'নেচেগেয়ে', 'খেলোয়াড়ে', 'ঘেমেনেয়ে']
['ভালোই', 'ভালোভাবেই', 'ভালোভাবে', 'দুলাভাই', 'ভালোভাবেই', 'ইলাভেন', 'দুইভাই', 'ভালোই', 'দোভাল', 'তেলেভাজা']
['পাখিগুলি', 'পাখনাগুলো', 'পাখিগুলো', 'ঋণখেলাপি', 'খোলাখুলি', 'জালুখালি', 'পাখিগুলোর', 'গুনাখালি', 'পিঠখোলা', 'পাখাগুলো']
['সদস্যগুলো', 'সদস্যগুলোর', 'সদস্যদেশগুলো', 'স্থলযুদ্ধ', 'সদস্যগুলি', 'সামসুদ্দীন', 'কুদ্দুসসহ', 'সদস্যদেশগুলোর', 'সামসুদ্দোহা', 'সম্পদগুলো']
['শিল্পসচিব', 'পুলিসিচ', 'সমালোচিত', 'সুবাসিচ', 'বসতিগুলি', 'পুলিসিচের', 'জিনিসগুলো', 'বিচোলিম', 'সবগুলিই', 'যুগ্মসচিব']
['নির্দেশগুলো', 'শহীদুল্লা', 'আদর্শগুলো', 'দিল্লীশ্বর', 'দর্শনগুলো', 'প্রদেশগুলোর', 'প্রদেশগুলো', 'শ্রদ্ধাশীল', 'মুর্শিদকুলী', 'শব্দগুলোর']
['শিক্ষাগুলো', 'শ্লোকগুলির', 'ভক্ষককোষগুলি', 'স্কুলশিক্ষক', 'শ্লোকগুলি', 'শক্তিগুলো', 'শক্তিগুলোর', 'লক্ষ্মীকোল', 'স্কুলশিক্ষা', 'কক্ষগুলোর']
['তুলোধুনো', 'সেতুগুলো', 'গোধুলী', 'সেগুলোয়', 'যুদ্ধগুলো', 'স্কুলগুলোয়', 'মেয়েগুলো', 'লুধুয়া', 'সেতুগুলোর', 'ইস্যুগুলো']
['কামালুদ্দিন', 'কামালুদ্দীন', 'মুদ্দুপালানি', 'মোল্লাকান্দি', 'সাদুল্লাপুর', 'হেলালুদ্দিন', 'সায়দুল্লাহ', 'স্বল্পমেয়াদি', 'জামালুদ্দীন', 'কামোদ্দীপক']
['পাণ্ডুলিপিতে', 'পাণ্ডুলিপিগুলো', 'পদ্ধতিগুলো', 'ভূলুণ্ঠিত', 'কুণ্ডলিত', 'মুণ্ডুপাত', 'পাণ্ডুলিপি', 'পাণ্ডুলিপিগুলিতে', 'পদ্ধতিগুলোর', 'পাণ্ডুলিপিকে']
['মুখ্যমুন্ত্রী', 'কেন্দ্রগুলোয়', 'কেন্দ্রগুলোতে', 'ফ্লোরেন্তিনো', 'কেন্দ্রগুলো', 'ক্ষেত্রগুলো', 'মন্ত্রমুগ্ধের', 'বন্ধুত্ত্ব', 'ক্ষেত্রগুলোতে', 'সেতুমন্ত্রী']
['আদমি', 'আদমির', 'আমির', 'আদিম', 'আদমজি', 'আরমি', 'আমরি', 'আমিন', 'আমিই', 'আমিরই']
['মধুমতির', 'মুমিনদের', 'তিমুরিদ', 'ইন্দুমতি', 'তিতুমীর', 'অনুমদিত', 'মধুমতি', 'মধুমিতা', 'পুতিদের', 'তিমুরি']
['সে', 'সেই', 'রেসে', 'সেরেস', 'সের', 'সেরে', 'সেস', 'বেসে', 'রেসেস', 'ইসে']
['তিনদিন', 'তিনদিক', 'নিতিন', 'তিনটির', 'দিতির', 'গনিতবিদ', 'নিতিশ', 'নিনিত', 'তিনিও', 'তিনিই']
['শিক্ষকদেরও', 'শিক্ষকদের', 'শিক্ষিকাদের', 'শিক্ষিতদের', 'শিক্ষিকার', 'শিক্ষাবিদ', 'শিক্ষাদর্শন', 'দূরশিক্ষণ', 'দিকনির্দেশক', 'দূরশিক্ষার']
['মাঝির', 'মাঝারি', 'মাঝিরা', 'মাদিনার', 'বাদামি', 'রামাদি', 'মাদানির', 'মাদানি', 'জামদানি', 'মাজিদা']
['ছাত্রদের', 'ছাত্রদেরও', 'অছাত্রদের', 'ভ্রাতাদের', 'ছাত্তারের', 'কর্তাদের', 'আর্দ্রতার', 'ডাক্তারদের', 'যাত্রিদের', 'ছাত্রেরা']
['ধনীদের', 'ধনীর', 'ধনীক', 'ধীরেন', 'দীনেন', 'দেওধনী', 'দীনের', 'বনেদী', 'ননীের', 'দীনেশ']
['ভাইদ', 'ভাইর', 'ভাদাই', 'ভাইন', 'ভাইভা', 'ইভার', 'ভাইও', 'ভাইট', 'ভাইরা', 'ভাইভার']
['শিক্ষকদেরও', 'শিক্ষকদের', 'শিক্ষিকাদের', 'শিক্ষিতদের', 'শিক্ষিকার', 'শিক্ষাবিদ', 'শিক্ষাদর্শন', 'দূরশিক্ষণ', 'দিকনির্দেশক', 'দূরশিক্ষার']
['গরুর', 'গরুদের', 'গরুই', 'রুগেরি', 'গরুও', 'গুরগ', 'মগদের', 'সগরের', 'জগদগুরু', 'নগরের']
['মেয়েদের', 'মেয়েরে', 'মেয়েকে', 'মেয়েদেরও', 'ঘেমেনেয়ে', 'মেয়েকেই', 'মেয়েকেও', 'দুয়েকের', 'মেয়ের', 'ইয়েদের']
['ভাইদ', 'ভাইর', 'ভাদাই', 'ভাইন', 'ভাইভা', 'ইভার', 'ভাইও', 'ভাইট', 'ভাইরা', 'ভাইভার']
['পাখির', 'পাখিরা', 'পাখিরও', 'পাখিরাই', 'পাখিরাও', 'লাদাখির', 'খাদির', 'খাদিজার', 'লাদাখি', 'পাখনার']
['সদস্যদের', 'সদস্যদেরও', 'সদস্যদরা', 'সদস্যদেশ', 'সদস্যপদের', 'সংসদসদস্য', 'সদস্যর', 'সদস্যদেরই', 'সদস্যপদও', 'সমদ্দার']
['সচিবও', 'সচিবসহ', 'সবদিক', 'সচিব', 'দিবাচর', 'উপসচিব', 'আইনসচিব', 'সচিবদের', 'সাচিবিক', 'ইসিবির']
['দর্শকদেরও', 'দর্শকদের', 'দর্শকদেরই', 'দুরদর্শন', 'দুর্দশার', 'দূরদর্শন', 'পরিদর্শক', 'দর্শকেরও', 'বন্দীদশার', 'দ্বাদশীর']
['শিক্ষকদেরও', 'শিক্ষকদের', 'শিক্ষিকাদের', 'শিক্ষিতদের', 'শিক্ষিকার', 'শিক্ষাবিদ', 'শিক্ষাদর্শন', 'দূরশিক্ষণ', 'দিকনির্দেশক', 'দূরশিক্ষার']
['সুধীরের', 'সুধীরকে', 'সুধীর', 'সুদীপের', 'সুদীর্ঘ', 'সুদূরের', 'গুণীদের', 'সুবেদী', 'সুধীজনের', 'চোধুরী']
['সম্পাদকদের', 'সম্পাদিকার', 'সম্পাদকরা', 'সম্পাদিকা', 'সম্পাদনার', 'সিদ্দিকার', 'সমাদ্দার', 'সম্পাদকও', 'সরাফউদ্দিন', 'সম্পাদকগণ']
['পণ্ডিতদের', 'দণ্ডিতদের', 'পন্ডিতদের', 'দণ্ডবিধির', 'দণ্ডিতরা', 'পণ্ডিতেরা', 'পণ্ডিতের', 'পণ্ডিতগণের', 'পণ্ডিতবর্গ', 'ত্রিখণ্ডিত']
['মন্ত্রীদের', 'মন্ত্রীত্ব', 'মন্ত্রীদেরকে', 'মন্ত্রীত্বের', 'নৌমন্ত্রীর', 'ধর্মেন্দ্রর', 'মন্ত্রীর', 'তদন্তকেন্দ্রের', 'বন্দীত্বের', 'তীর্থকেন্দ্র']
['আদমি', 'আরমি', 'আমির', 'আমরি', 'আদমির', 'আদিম', 'আমিন', 'আদমজি', 'আওমি', 'আমি']
['তিমুরিদ', 'অনুমদিত', 'তদুপরি', 'অনুমতির', 'কুদরতি', 'তিমুরি', 'দুমকি', 'মুদির', 'মুতরিব', 'থুতনির']
['সেই', 'সের', 'সে', 'সেস', 'ইসে', 'সেব', 'সেক', 'সেন', 'সেল', 'সরে']
['তিনদিন', 'তিনদিক', 'নিতিন', 'বিনতি', 'পরিনতি', 'তিনিও', 'দিতির', 'তিঁনি', 'নিতিশ', 'তিনিই']
['শিক্ষকদেরও', 'শিক্ষকরা', 'শিক্ষাবিদ', 'শিক্ষিকার', 'শিক্ষকদের', 'শিক্ষিকাদের', 'শিক্ষাদান', 'শেষদিককার', 'শিক্ষিকা', 'শিক্ষকতার']
['মাঝির', 'মাঝারি', 'মাঝিরা', 'রামাদি', 'বাদামি', 'মাদানি', 'মাজদার', 'মাদার', 'দামারি', 'জমাদার']
['ছাত্রদল', 'ছাত্রদেরও', 'ছাত্রদের', 'অছাত্রদের', 'আদ্রতার', 'ছাত্রদলের', 'ছাত্ররাও', 'ছাত্রদলও', 'ছাত্তার', 'ছাত্ররাই']
['ধনীর', 'ধনীক', 'ধরনী', 'ধনীরা', 'ধনের', 'ধনীদের', 'ধরনীধর', 'ধরুন', 'ধরেন', 'ধমনীর']
['ভাইদ', 'ভাইর', 'ইভার', 'ভাইন', 'ভাইল', 'ভাইও', 'ভাইব', 'ভাদাই', 'ভাইরা', 'ভাইভা']
['শিক্ষকদেরও', 'শিক্ষকরা', 'শিক্ষাবিদ', 'শিক্ষিকার', 'শিক্ষকদের', 'শিক্ষিকাদের', 'শিক্ষাদান', 'শেষদিককার', 'শিক্ষিকা', 'শিক্ষকতার']
['গরুর', 'গরুই', 'গরুও', 'সগরের', 'আরগুন', 'বনগরু', 'গুরগ', 'নগরের', 'বগুরা', 'গরু']
['ছেলেদের', 'ছেলেদেরও', 'গেইলদের', 'বদলেছে', 'বদলেছেন', 'ছেলেরও', 'জেলেদের', 'ছেলের', 'ছেলেরা', 'আদেলের']
['ভাইদ', 'ভাইর', 'ইভার', 'ভাইন', 'ভাইল', 'ভাইও', 'ভাইব', 'ভাদাই', 'ভাইরা', 'ভাইভা']
['পাখির', 'পাখিরা', 'পাখিরও', 'পাখনার', 'পরিখা', 'পাখার', 'খাদির', 'পাখিও', 'পরিখার', 'পাখিরাও']
['সদস্যদরা', 'সংসদসদস্য', 'সদস্যপদও', 'সদস্যর', 'সদস্যপদ', 'সদস্যপদসহ', 'সদস্যসহ', 'সদস্যও', 'সদস্যদেরও', 'সদস্যদের']
['সচিবও', 'সচিব', 'সচিবসহ', 'সবদিক', 'উপসচিব', 'বিচরন', 'দিবাচর', 'আইনসচিব', 'সচিবগণ', 'সবজির']
['দর্শকদেরও', 'দর্শকরা', 'পরিদর্শক', 'দর্শকখরা', 'আদর্শবাদ', 'দর্শকরাও', 'দর্শকদের', 'আদর্শিক', 'দর্শকও', 'বরাদ্দকরণ']
['শিক্ষকদেরও', 'শিক্ষকরা', 'শিক্ষাবিদ', 'শিক্ষিকার', 'শিক্ষকদের', 'শিক্ষিকাদের', 'শিক্ষাদান', 'শেষদিককার', 'শিক্ষিকা', 'শিক্ষকতার']
['সুধীরের', 'সুধীর', 'সুধীরা', 'সুদীপের', 'সুধীন', 'সুধীজনের', 'সাধুদের', 'সুধীজনদের', 'সুদূরের', 'সুধীরকে']
['সম্পাদকরা', 'সম্পাদিকার', 'সম্পাদনার', 'রণদাপ্রসাদ', 'সম্পাদকদের', 'সম্পাদকও', 'সম্পাদিকা', 'সম্পাদকসহ', 'সম্পাদকগণ', 'বরাদ্দকরণ']
['দণ্ডিতরা', 'পণ্ডিতদের', 'পণ্ডিতরা', 'দণ্ডবিধির', 'পিণ্ডদান', 'পন্ডিতদের', 'পণ্ডিতগণ', 'পন্ডিতগণ', 'বিতণ্ডার', 'দণ্ডিতদের']
