['আপনারা', 'তোমরা', 'আপনি', 'তুমি', 'তোমরা', 'তোমাদের', 'তুই', 'তোমারা', 'আমরা', 'আপোন']
['পণ্ডিতরা', 'পণ্ডিতেরা', 'পণ্ডিতগণ', 'পণ্ডিতদের', 'পণ্ডিতবর্গ', 'পণ্ডিতগণের', 'পন্ডিতগণ', 'জ্ঞানীরা', 'পণ্ডিতই', 'পণ্ডিত']
['মন্ত্রীরা', 'মন্ত্রীগণ', 'মন্ত্রীদের', 'মন্ত্রীগণের', 'মন্ত্রীদেরকে', 'মন্ত্রীপরিষদের', 'মন্ত্রীরাও', 'মন্ত্রিপরিষদের', 'মন্ত্রী', 'মন্ত্রীর']
['আমি', 'মই', 'إِنِّي', 'আমিতো', 'আমিই', 'আমিবা', 'আমারে', 'আমার', 'আমিত', 'অামি']
['আপনারা', 'আপনি', 'তোমরা', 'তোমরা', 'তুমি', 'তুই', 'তোমরাই', 'তোমাদের', 'আপনারাই', 'তোমারা']
['সে', 'তিনি', 'তি\u200cনি', 'ő', 'তিনিই', 'উনি', 'সেগুলি', 'সেগুলির', 'সেসকল', 'সেঃ']
['তিনি', 'তি\u200cনি', 'সে', 'তিনিই', 'ő', 'উনি', 'সেগুলি', 'তাঁরা', 'এঁরা', 'সেগুলির']
['শিক্ষকরা', 'শিক্ষকগণ', 'শিক্ষকেরা', 'শিক্ষকবৃন্দ', 'শিক্ষকদের', 'শিক্ষকেরাই', 'শিক্ষিকারা', 'শিক্ষকবৃন্দের', 'শিক্ষকগণের', 'শিক্ষকনেতারা']
['মাঝিরা', 'মাঝিদের', 'মাঝি', 'মাঝির', 'মাঝিকে', 'মেয়ররা', 'মেয়ারস', 'মেরিনার্স', 'মেয়ার্স', 'মাজীদের']
['ধনীরা', 'ধনী', 'ধনীদের', 'ধনীর', 'বিত্তবানদের', 'ধনবান', 'সমৃদ্ধশালী', 'ধনশালী', 'ধনকুবেররা', 'ধনকুবেরদের']
['ভাইরা', 'ভাইয়েরা', 'ভাইয়েরা', 'ভাইদের', 'ভাইবোনরা', 'ভাইদেরকে', 'ভাইয়েদের', 'ভাই', 'ভাইকিঙেরা', 'ভাইও']
['শিক্ষকরা', 'শিক্ষকগণ', 'শিক্ষকেরা', 'শিক্ষকবৃন্দ', 'শিক্ষকদের', 'শিক্ষকেরাই', 'শিক্ষিকারা', 'শিক্ষকবৃন্দের', 'শিক্ষকগণের', 'শিক্ষকনেতারা']
['গরুগুলো', 'গরুদের', 'গরু', 'গরুগুলোকে', 'গরুগুলোর', 'ছাগলগুলো', 'গরুর', 'গরুও', 'গরুই', 'ঘোড়াগুলি']
['ছেলেগুলো', 'ছেলেরাই', 'ছেলেরা', 'ছেলেমেয়েরা', 'ছেলেমেয়েরা', 'ছেলেগুলোর', 'ছেলেগুলোকে', 'ছেলেমেয়েরাই', 'ছেলেমেয়েদের', 'পুত্ররা']
['মেয়েরা', 'মেয়েরাই', 'মেয়েগুলো', 'মেয়েরা', 'মেয়েদের', 'মেয়েদের', 'বালিকারা', 'কন্যারা', 'মেয়ে', 'মেয়েরাই']
['ভাইরা', 'ভাইয়েরা', 'ভাইয়েরা', 'ভাইদের', 'ভাইবোনরা', 'ভাইদেরকে', 'ভাইয়েদের', 'ভাই', 'ভাইকিঙেরা', 'ভাইও']
['পাখিগুলি', 'পাখিগুলো', 'পাখিরাই', 'পাখিরা', 'পাখিদের', 'পাখিগুলোকে', 'পাখি', 'পাখিগুলোর', 'পাখিদেরকে', 'পাখির']
['সদস্যারা', 'সদস্যগুলি', 'সদস্যগন', 'সদস্যগণ', 'সদস্যবৃন্দ', 'সদস্যদরা', 'সদস্যগুলো', 'সদস্যা', 'সদস্যদের', 'সদস্যরা']
['সচিবগণ', 'সচিবেরা', 'সচিবদের', 'সচিব', 'সচিবের', 'সচিবও', 'সচিবকে', 'সচিবালয়ের', 'সচিবালয়ের', 'সচিবালয়']
['দর্শকরা', 'দর্শকেরা', 'দর্শকগণ', 'দর্শকবৃন্দ', 'দর্শকগন', 'দর্শকদের', 'দর্শকখরা', 'দর্শকেরাই', 'দর্শকেরাও', 'ভিক্ষুগণ']
['শিক্ষকরা', 'শিক্ষকগণ', 'শিক্ষকেরা', 'শিক্ষকবৃন্দ', 'শিক্ষকদের', 'শিক্ষকেরাই', 'শিক্ষিকারা', 'শিক্ষকবৃন্দের', 'শিক্ষকগণের', 'শিক্ষকনেতারা']
['সুধী', 'সুধীরা', 'সুধীর', 'সুহৃদ', 'সুধীজন', 'সুষ্পষ্ট', 'সুধু', 'সুধীজনের', 'সুধীজনদের', 'সুবহ']
['সম্পাদকরা', 'সম্পাদকগণ', 'সম্পাদকেরা', 'সম্পাদকদের', 'সম্পাদক', 'সম্পাদকের', 'সম্পাদকও', 'সম্পাদকে', 'সম্পাদকঃ', 'এডিটর্স']
['পণ্ডিতরা', 'পণ্ডিতেরা', 'পণ্ডিতগণ', 'পণ্ডিতদের', 'পণ্ডিতগণের', 'পণ্ডিতবর্গ', 'পণ্ডিত', 'পণ্ডিতই', 'পণ্ডিতের', 'জ্ঞানীরা']
['মন্ত্রীরা', 'মন্ত্রীগণ', 'মন্ত্রীদের', 'মন্ত্রীগণের', 'মন্ত্রীদেরকে', 'মন্ত্রী', 'মন্ত্রীরাও', 'মন্ত্রীর', 'মন্ত্রীপরিষদের', 'মন্ত্রীই']
['আমি', 'মই', 'إِنِّي', 'আমিতো', 'আমিই', 'আমিবা', 'অামি', 'আমিস', 'আমিত', 'আই']
['আপনারা', 'তুমি', 'আপনি', 'তোমরা', 'তোমরা', 'তুই', 'তোমরাই', 'আপনারাই', 'তোমারা', 'তুমিই']
['সে', 'তিনি', 'তি\u200cনি', 'তিনিই', 'ő', 'উনি', 'إِنَّهُ', 'উনিই', 'সেঃ', 'সেসকল']
['তিনি', 'তি\u200cনি', 'তিনিই', 'সে', 'উনি', 'ő', 'উনিই', 'সেসকল', 'إِنَّهُ', 'এঁরা']
['শিক্ষকগণ', 'শিক্ষকরা', 'শিক্ষকবৃন্দ', 'শিক্ষকেরা', 'শিক্ষকেরাই', 'শিক্ষিকারা', 'শিক্ষকদের', 'শিক্ষকনেতারা', 'শিক্ষকবৃন্দের', 'শিক্ষক']
['মাঝিরা', 'মাঝি', 'মাঝিদের', 'মাঝির', 'মাঝিকে', 'মেয়ররা', 'যাজকেরা', 'যাজকরা', 'কর্ণধারেরা', 'মেয়ারস']
['ছাত্রেরা', 'ছাত্রগণ', 'ছাত্ররা', 'ছাত্রবৃন্দ', 'ছাত্রছাত্রীরা', 'শিক্ষার্থীগণ', 'শিক্ষার্থীরা', 'শিক্ষার্থীবৃন্দ', 'শিষ্যরা', 'ছাত্রদের']
['ভাইরা', 'ভাইয়েরা', 'ভাইয়েরা', 'ভাইদের', 'ভাইবোনরা', 'ভাই', 'ভাইটি', 'ভাইয়েদের', 'ভাইকিঙেরা', 'ভাইদেরকে']
['শিক্ষকগণ', 'শিক্ষকরা', 'শিক্ষকবৃন্দ', 'শিক্ষকেরা', 'শিক্ষকেরাই', 'শিক্ষিকারা', 'শিক্ষকদের', 'শিক্ষকনেতারা', 'শিক্ষকবৃন্দের', 'শিক্ষক']
['গরুগুলো', 'গরুদের', 'গরু', 'গরুগুলোর', 'গরুগুলোকে', 'ছাগলগুলো', 'গরুই', 'গরুর', 'গরুটি', 'গরুড়']
['ছেলেগুলো', 'ছেলেরাই', 'ছেলেরা', 'ছেলে', 'ছে\u200cলে', 'বালকেরা', 'ছেলেগুলোর', 'ছেলেটা', 'ছেলেমেয়েরা', 'ছেলেমেয়েরা']
['মেয়েরা', 'মেয়েরাই', 'মেয়েগুলো', 'বালিকারা', 'মেয়েরা', 'মেয়ে', 'মেয়েদের', 'মেয়ে', 'কন্যারা', 'মেয়েটা']
['ভাইরা', 'ভাইয়েরা', 'ভাইয়েরা', 'ভাইদের', 'ভাইবোনরা', 'ভাই', 'ভাইটি', 'ভাইয়েদের', 'ভাইকিঙেরা', 'ভাইদেরকে']
['পাখিগুলি', 'পাখিগুলো', 'পাখিদের', 'পাখিরা', 'পাখিরাই', 'পাখি', 'পাখিগুলোর', 'পাখিদেরকে', 'পাখিগুলোকে', 'পাখির']
['সদস্যদরা', 'সদস্যারা', 'সদস্যা', 'সদস্যগুলি', 'সদস্যগণ', 'সদস্যগুলো', 'সদস্যগন', 'সদস্যবৃন্দ', 'সদস্যেরা', 'সদস্যরা']
['সচিবগণ', 'সচিবেরা', 'সচিবদের', 'সচিব', 'সচিবের', 'সচিবকে', 'সচিবও', 'সেক্রেটারির', 'সচিবালয়ের', 'সেক্রেটারি']
['দর্শকেরা', 'দর্শকরা', 'দর্শকগণ', 'দর্শকবৃন্দ', 'দর্শকগন', 'দর্শকখরা', 'ভিক্ষুগণ', 'দর্শকেরাই', 'দর্শক', 'দর্শকদের']
['শিক্ষকগণ', 'শিক্ষকরা', 'শিক্ষকবৃন্দ', 'শিক্ষকেরা', 'শিক্ষকেরাই', 'শিক্ষিকারা', 'শিক্ষকদের', 'শিক্ষকনেতারা', 'শিক্ষকবৃন্দের', 'শিক্ষক']
['সুধীরা', 'সুধী', 'সুধীজনদের', 'সুধীজন', 'সুধীজনের', 'সুধীর', 'সুহৃদ', 'সৌম্যরা', 'সুধীরের', 'সুভদ্র']
['সম্পাদকেরা', 'সম্পাদকরা', 'সম্পাদকগণ', 'সম্পাদকদের', 'সম্পাদক', 'সম্পাদকের', 'এডিটর্স', 'সম্পাদকও', 'এডিটরস', 'সম্পাদককে']
['পণ্ডিতেরা', 'পণ্ডিতরা', 'পণ্ডিতগণ', 'পণ্ডিতবর্গ', 'পণ্ডিতদের', 'পণ্ডিতগণের', 'পণ্ডিত', 'পণ্ডিতই', 'পণ্ডিতের', 'জ্ঞানীরা']
['মন্ত্রীগণ', 'মন্ত্রীরা', 'মন্ত্রীদের', 'মন্ত্রীগণের', 'মন্ত্রীপরিষদের', 'মন্ত্রী', 'মন্ত্রীদেরকে', 'মন্ত্রীর', 'মন্ত্রীই', 'মন্ত্রীরাও']
['আমি', 'মই', 'إِنِّي', 'আমিতো', 'আমিই', 'আমিবা', 'আমিত', 'অামি', 'আমারে', 'আমিস']
['তুমি', 'তোমরা', 'আপনারা', 'তোমরা', 'আপনি', 'তুই', 'তোমারা', 'তোমরাই', 'اِنَّكَ', 'তোমাদের']
['সে', 'তিনি', 'তি\u200cনি', 'ő', 'তিনিই', 'উনি', 'সেঃ', 'ইনা', 'إِنَّهُ', 'উনিই']
['তিনি', 'তি\u200cনি', 'সে', 'তিনিই', 'ő', 'উনি', 'উনিই', 'ওঁর', 'তার', '\u200b\u200bতার']
['শিক্ষিকারা', 'শিক্ষকেরা', 'শিক্ষকবৃন্দ', 'শিক্ষকগণ', 'শিক্ষকনেতারা', 'শিক্ষকরা', 'শিক্ষক', 'শিক্ষকেরাই', 'শিক্ষকদের', 'শিক্ষকনেতা']
['মাঝি', 'মাঝিরা', 'মাঝির', 'মাঝিদের', 'মাঝিকে', 'মেহকার', 'মেথর', 'মেয়ারস', 'যাজকরা', 'মেরাজ']
['ছাত্রছাত্রী', 'ছাত্রগণ', 'ছাত্রবৃন্দ', 'ছাত্রেরা', 'ছাত্র', 'ছাত্রছাত্রীরা', 'শিক্ষার্থী', 'ছাত্ররা', 'শিক্ষার্থীবৃন্দ', 'ছাত্রীরা']
['ধনী', 'ধনীরা', 'ধনীর', 'ধনবান', 'ধনশালী', 'ধনীক', 'সমৃদ্ধশালী', 'ধনাঢ্য', 'ধনীদের', 'সম্পদশালী']
['শিক্ষিকারা', 'শিক্ষকেরা', 'শিক্ষকবৃন্দ', 'শিক্ষকগণ', 'শিক্ষকনেতারা', 'শিক্ষকরা', 'শিক্ষক', 'শিক্ষকেরাই', 'শিক্ষকদের', 'শিক্ষকনেতা']
['গরু', 'গরুদের', 'গরুগুলো', 'গরুড়', 'গাভী', 'গরুই', 'গরুর', 'গরুও', 'গাভীর', 'গরুমারা']
['ছেলেমেয়েরা', 'ছেলেমেয়ে', 'ছেলেমেয়েরা', 'ছেলেমেয়ে', 'ছেলেরা', 'ছেলে', 'ছে\u200cলে', 'ছেলেমেয়েই', 'ছেলেরাই', 'ছেলেমেয়েরাই']
['মেয়েরা', 'মেয়ে', 'মেয়েরাই', 'মেয়ে', 'মেয়েরা', 'বালিকা', 'মেয়েদের', 'মেয়েলী', 'বালিকারা', 'মেয়েপাখি']
['ভাইয়েরা', 'ভাইরা', 'ভাইয়েরা', 'ভাইবোনরা', 'ভাইবোনেরা', 'ভাইবোন', 'ভাইকিঙেরা', 'ভাই', 'ভাইদের', 'ভাইয়ের']
['পাখিগুলি', 'পাখি', 'পাখিরা', 'পাখিরাই', 'পাখির', 'পাখিগুলো', 'পাখিমারা', 'পাখিদের', 'পাখিগুলোকে', 'পাখিই']
['সদস্যদরা', 'সদস্যা', 'সদস্য', 'সদস\u200d্য', 'সদস্যগন', 'সদস্যেরা', 'সদস্যারা', 'সদস্যগুলি', 'সদস্যবৃন্দ', 'সদস্যগণ']
['সচিবগণ', 'সচিবেরা', 'সচিব', 'সচিবদের', 'সচিবের', 'সচিবও', 'সচিবকে', 'সচিবালয়', 'সচিবালয়', 'সচিবালয়ের']
['দর্শকবৃন্দ', 'দর্শকগণ', 'দর্শকগন', 'দর্শকখরা', 'দর্শকেরা', 'দর্শকরা', 'দর্শক', 'দর্শকদের', 'দর্শকসারি', 'দর্শকেরাও']
['শিক্ষিকারা', 'শিক্ষকেরা', 'শিক্ষকবৃন্দ', 'শিক্ষকগণ', 'শিক্ষকনেতারা', 'শিক্ষকরা', 'শিক্ষক', 'শিক্ষকেরাই', 'শিক্ষকদের', 'শিক্ষকনেতা']
['সুধী', 'সুধীরা', 'সুধীর', 'সুধীজন', 'সুহৃদ', 'সুভদ্র', 'সুগ্রীব', 'সুধু', 'সুশীতল', 'সুষ্পষ্ট']
['সম্পাদকগণ', 'সম্পাদক', 'সম্পাদকরা', 'সম্পাদকেরা', 'সম্পাদকদের', 'সম্পাদকের', 'সম্পাদকীয়', 'সম্পাদিকা', 'সম্পাদকও', 'সম্পাদকঃ']
['পণ্ডিত', 'পণ্ডিতবর্গ', 'পণ্ডিতরা', 'পণ্ডিতেরা', 'পণ্ডিতই', 'পণ্ডিতগণ', 'পণ্ডিতের', 'পণ্ডিতগণের', 'পণ্ডিতদের', 'মুণ্ডিত']
['মন্ত্রীগণ', 'মন্ত্রীরা', 'মন্ত্রী', 'মন্ত্রীগণের', 'মন্ত্রীপরিষদের', 'মন্ত্রীদের', 'মন্ত্রীর', 'মন্ত্রীই', 'মন্ত্রীদেরকে', 'মন্ত্রীতনয়']
['আমি', 'إِنِّي', 'মই', 'আমিতো', 'আমিই', 'আমিবা', 'আমিত', 'অামি', 'আই', 'আমারে']
['আপনারা', 'তুমি', 'আপনি', 'তোমরা', 'তোমরা', 'তুই', 'তোমারা', 'তোমরাই', 'তোমাদের', 'আপনারাই']
['সে', 'তিনি', 'তি\u200cনি', 'ő', 'তিনিই', 'উনি', 'সেঃ', 'ওঁর', 'إِنَّهُ', 'তার']
['তিনি', 'তি\u200cনি', 'সে', 'তিনিই', 'ő', 'উনি', 'উনিই', 'তাঁরা', 'ওঁর', 'তাঁর']
['শিক্ষকেরা', 'শিক্ষকরা', 'শিক্ষকগণ', 'শিক্ষকবৃন্দ', 'শিক্ষকেরাই', 'শিক্ষিকারা', 'শিক্ষকদের', 'শিক্ষকনেতারা', 'শিক্ষকবৃন্দের', 'শিক্ষকগণের']
['মাঝিরা', 'মাঝি', 'মাঝিদের', 'মাঝির', 'মাঝিকে', 'মেয়ররা', 'যাজকরা', 'কর্ণধারেরা', 'প্রধানেরা', 'পাদ্রীরা']
['ছাত্রেরা', 'ছাত্রগণ', 'ছাত্ররা', 'ছাত্রবৃন্দ', 'ছাত্রছাত্রীরা', 'শিক্ষার্থীরা', 'শিক্ষার্থীগণ', 'শিক্ষার্থীবৃন্দ', 'ছাত্রদের', 'স্টুডেন্টস']
['ধনী', 'ধনীরা', 'ধনীর', 'ধনীদের', 'ধনবান', 'সমৃদ্ধশালী', 'ধনশালী', 'ধনাঢ্য', 'ধনীক', 'সম্পদশালী']
['ভাইরা', 'ভাইয়েরা', 'ভাইয়েরা', 'ভাইদের', 'ভাই', 'ভাইয়ের', 'ভাইবোনরা', 'ভাইয়েদের', 'ভাইকিঙেরা', 'ভাইয়ে']
['গরু', 'গরুদের', 'গরুগুলো', 'গরুর', 'গরুগুলোকে', 'গরুই', 'গরুগুলোর', 'গরুও', 'গরুড়', 'গাভী']
['ছেলেরা', 'ছেলেরাই', 'ছেলেগুলো', 'ছেলে', 'ছে\u200cলে', 'ছেলেমেয়েরা', 'ছেলেমেয়েরা', 'ছেলেমেয়ে', 'ছেলেমেয়েই', 'ছেলেমেয়ে']
['মেয়েরা', 'মেয়েরাই', 'মেয়েরা', 'মেয়েদের', 'মেয়ে', 'মেয়েগুলো', 'মেয়ে', 'কন্যারা', 'মেয়েদের', 'বালিকারা']
['ভাইরা', 'ভাইয়েরা', 'ভাইয়েরা', 'ভাইদের', 'ভাই', 'ভাইয়ের', 'ভাইবোনরা', 'ভাইয়েদের', 'ভাইকিঙেরা', 'ভাইয়ে']
['পাখিগুলি', 'পাখিরাই', 'পাখিরা', 'পাখিগুলো', 'পাখি', 'পাখিদের', 'পাখির', 'পাখিগুলোকে', 'পাখিদেরকে', 'পাখিগুলোর']
['সদস্যা', 'সদস্যদরা', 'সদস্যারা', 'সদস্যগন', 'সদস্যগুলি', 'সদস্যেরা', 'সদস্যবৃন্দ', 'সদস্যগণ', 'সদস্যদের', 'সদস্যেদের']
['সচিবগণ', 'সচিবেরা', 'সচিবদের', 'সচিব', 'সচিবের', 'সচিবও', 'সচিবকে', 'সচিবালয়ের', 'সচিবালয়', 'সচিবালয়']
['দর্শকগণ', 'দর্শকেরা', 'দর্শকবৃন্দ', 'দর্শকরা', 'দর্শকগন', 'দর্শকখরা', 'দর্শকদের', 'দর্শক', 'দর্শকেরাই', 'দর্শকেরাও']
['শিক্ষকেরা', 'শিক্ষকরা', 'শিক্ষকগণ', 'শিক্ষকবৃন্দ', 'শিক্ষকেরাই', 'শিক্ষিকারা', 'শিক্ষকদের', 'শিক্ষকনেতারা', 'শিক্ষকবৃন্দের', 'শিক্ষকগণের']
['সুধী', 'সুধীরা', 'সুধীর', 'সুধীজন', 'সুহৃদ', 'সুষ্পষ্ট', 'সুধার', 'সুভদ্র', 'সুধীজনের', 'সুধু']
['সম্পাদকরা', 'সম্পাদকেরা', 'সম্পাদকগণ', 'সম্পাদকদের', 'সম্পাদক', 'সম্পাদকের', 'সম্পাদকও', 'সম্পাদকীয়', 'সম্পাদকীয়', 'সম্পাদকে']
['পণ্ডিতরা', 'পণ্ডিতেরা', 'পণ্ডিতগণ', 'পণ্ডিতবর্গ', 'পণ্ডিত', 'পণ্ডিতদের', 'পণ্ডিতগণের', 'পণ্ডিতই', 'পণ্ডিতের', 'জ্ঞানীরা']
['মন্ত্রীরা', 'মন্ত্রীগণ', 'মন্ত্রীদের', 'মন্ত্রীগণের', 'মন্ত্রী', 'মন্ত্রীপরিষদের', 'মন্ত্রীর', 'মন্ত্রীদেরকে', 'মন্ত্রীই', 'মন্ত্রীরাও']
['আমি', 'মই', 'إِنِّي', 'আমিতো', 'আমিই', 'আমিবা', 'আমারে', 'আমার', 'আমিত', 'আমারই']
['আপনি', 'আপনারা', 'তুমি', 'তোমরা', 'তোমরা', 'তোমরাই', 'তুই', 'তোমাদের', 'আপনারাই', 'তোমারা']
['সে', 'তিনি', 'তি\u200cনি', 'তিনিই', 'ő', 'উনি', 'তার', '\u200b\u200bতার', 'সেগুলি', 'সেগুলির']
['তিনি', 'তি\u200cনি', 'সে', 'তিনিই', 'ő', 'উনি', 'উনিই', 'সেগুলির', 'সেগুলি', 'তাঁর']
['শিক্ষকরা', 'শিক্ষকগণ', 'শিক্ষকেরাই', 'শিক্ষকেরা', 'শিক্ষকবৃন্দ', 'শিক্ষকগণের', 'শিক্ষকদের', 'শিক্ষকবৃন্দের', 'শিক্ষিকারা', 'শিক্ষিকাদের']
['মাঝিরা', 'মাঝিদের', 'মাঝি', 'মাঝির', 'মাঝিকে', 'মেয়ররা', 'পাদ্রীদের', 'ম্যান্টিসদের', 'পাদ্রীরা', 'মেয়ারস']
['ছাত্রেরা', 'ছাত্ররা', 'ছাত্রগণ', 'ছাত্রছাত্রীরা', 'শিক্ষার্থীরা', 'শিক্ষার্থীগণ', 'ছাত্ররাই', 'ছাত্রবৃন্দ', 'ছাত্রদের', 'শিক্ষার্থীদের']
['ধনীরা', 'ধনীদের', 'ধনী', 'ধনীর', 'বিত্তবানদের', 'ধনকুবেররা', 'ধনকুবেরদের', 'ধনবান', 'ধনশালী', 'ধনীক']
['ভাইরা', 'ভাইদের', 'ভাইয়েরা', 'ভাইয়েরা', 'ভাইয়েদের', 'ভাইবোনরা', 'ভাইটি', 'ভাইদেরকে', 'ভাই', 'ভাইয়ের']
['শিক্ষকরা', 'শিক্ষকগণ', 'শিক্ষকেরাই', 'শিক্ষকেরা', 'শিক্ষকবৃন্দ', 'শিক্ষকগণের', 'শিক্ষকদের', 'শিক্ষকবৃন্দের', 'শিক্ষিকারা', 'শিক্ষিকাদের']
['ছেলেগুলো', 'ছেলেরাই', 'ছেলেগুলোর', 'ছেলেরা', 'ছেলেটা', 'ছেলেটি', 'ছেলেগুলোকে', 'বালকেরা', 'ছেলেটার', 'ছেলেমেয়েরাই']
['মেয়েগুলো', 'মেয়েরাই', 'বালিকারা', 'মেয়েরা', 'কন্যারা', 'মেয়েরা', 'মেয়েটা', 'মেয়েদের', 'মেয়েটা', 'মেয়েটি']
['ভাইরা', 'ভাইদের', 'ভাইয়েরা', 'ভাইয়েরা', 'ভাইয়েদের', 'ভাইবোনরা', 'ভাইটি', 'ভাইদেরকে', 'ভাই', 'ভাইয়ের']
['পাখিগুলো', 'পাখিগুলি', 'পাখিদের', 'পাখিগুলোর', 'পাখিরাই', 'পাখিরা', 'পাখিগুলোকে', 'পাখিদেরকে', 'পাখিটা', 'পাখিটি']
['সদস্যগুলো', 'সদস্যগুলি', 'সদস্যারা', 'সদস্যদের', 'সদস্যরা', 'সদস্যদরা', 'সদস্যগণ', 'সদস্যা', 'সদস্যেদের', 'সদস্যেরা']
['সচিবেরা', 'সচিবগণ', 'সচিবদের', 'সচিবের', 'সচিব', 'সচিবকে', 'সচিবও', 'সচিবালয়ের', 'সচিবালয়ের', 'সেক্রেটারির']
['দর্শকেরা', 'দর্শকরা', 'দর্শকগণ', 'দর্শকবৃন্দ', 'দর্শকেরাই', 'দর্শকগন', 'দর্শকদের', 'দর্শকখরা', 'ভিক্ষুগণ', 'দর্শনার্থীরা']
['শিক্ষকরা', 'শিক্ষকগণ', 'শিক্ষকেরাই', 'শিক্ষকেরা', 'শিক্ষকবৃন্দ', 'শিক্ষকগণের', 'শিক্ষকদের', 'শিক্ষকবৃন্দের', 'শিক্ষিকারা', 'শিক্ষিকাদের']
['সুধী', 'সুধীরা', 'সুধীর', 'সুধীজনের', 'সুধীজনদের', 'সুধীজন', 'সুশীতল', 'সুধার', 'সুধু', 'সুহৃদ']
['সম্পাদকেরা', 'সম্পাদকরা', 'সম্পাদকদের', 'সম্পাদকগণ', 'সম্পাদকের', 'সম্পাদক', 'সম্পাদকে', 'সম্পাদকও', 'সম্পাদককে', 'সম্পাদিকা']
['পণ্ডিতরা', 'পণ্ডিতেরা', 'পণ্ডিতদের', 'পণ্ডিতগণের', 'পণ্ডিতগণ', 'পণ্ডিতই', 'পণ্ডিত', 'পণ্ডিতের', 'পণ্ডিতবর্গ', 'জ্ঞানীরা']
['মন্ত্রীরা', 'মন্ত্রীগণ', 'মন্ত্রীদের', 'মন্ত্রীগণের', 'মন্ত্রীদেরকে', 'মন্ত্রীর', 'মন্ত্রীই', 'মন্ত্রী', 'মন্ত্রীপরিষদের', 'মন্ত্রীরাও']
['আমি', 'মই', 'إِنِّي', 'আমিতো', 'আমিই', 'আমিবা', 'আমারে', 'আমায়', 'আমিত', 'আমায়']
['আপনারা', 'তোমরা', 'আপনি', 'তোমরা', 'তুমি', 'তোমাদেরকে', 'আপনাদেরকে', 'তুই', 'তোমাদের', 'তোমাদের']
['সে', 'তিনি', 'তি\u200cনি', 'ő', 'তিনিই', 'উনি', 'তার', '\u200b\u200bতার', 'إِنَّهُ', 'তাকে']
['তিনি', 'তি\u200cনি', 'সে', 'তিনিই', 'ő', 'উনি', 'তাঁর', 'তার', '\u200b\u200bতার', 'ওঁর']
['শিক্ষকদের', 'শিক্ষকগণ', 'শিক্ষকেরা', 'শিক্ষকবৃন্দ', 'শিক্ষকরা', 'শিক্ষকেরাই', 'শিক্ষিকাদের', 'শিক্ষকদেরকে', 'শিক্ষকবৃন্দের', 'শিক্ষিকারা']
['মাঝিদের', 'মাঝিরা', 'মাঝির', 'মাঝি', 'মাঝিকে', 'মাজীদের', 'মাস্টারদের', 'যাজকদের', 'মেষপালকদের', 'মেয়রদের']
['ছাত্রছাত্রীদের', 'ছাত্রদের', 'শিক্ষার্থীদের', 'ছাত্রছাত্রীদেরকে', 'ছাত্রগণ', 'ছাত্রেরা', 'ছাত্রবৃন্দ', 'ছাত্ররা', 'শিক্ষার্থীরা', 'পড়ুয়াদের']
['ধনীদের', 'ধনীরা', 'ধনী', 'ধনীর', 'বিত্তবানদের', 'ধনকুবেরদের', 'বড়লোকদের', 'ধনবান', 'বড়লোকের', 'ধনশালী']
['ভাইদের', 'ভাইয়েরা', 'ভাইরা', 'ভাইদেরকে', 'ভাইয়েদের', 'ভাইয়েরা', 'ভাইয়ের', 'ভাইবোনেদের', 'ভাইবোনদের', 'ভাইকে']
['শিক্ষকদের', 'শিক্ষকগণ', 'শিক্ষকেরা', 'শিক্ষকবৃন্দ', 'শিক্ষকরা', 'শিক্ষকেরাই', 'শিক্ষিকাদের', 'শিক্ষকদেরকে', 'শিক্ষকবৃন্দের', 'শিক্ষিকারা']
['গরুদের', 'গরুগুলোকে', 'গরুগুলো', 'গরু', 'গরুর', 'গরুকে', 'গরুগুলোর', 'ভেড়াদের', 'গরুই', 'গরুও']
['মেয়েদের', 'মেয়েদের', 'মেয়েরা', 'মেয়েরা', 'মেয়েরাই', 'বালিকাদের', 'মেয়েদেরকে', 'বালিকারা', 'মেয়েগুলো', 'তরুণীদের']
['ভাইদের', 'ভাইয়েরা', 'ভাইরা', 'ভাইদেরকে', 'ভাইয়েদের', 'ভাইয়েরা', 'ভাইয়ের', 'ভাইবোনেদের', 'ভাইবোনদের', 'ভাইকে']
['পাখিদের', 'পাখিগুলি', 'পাখিদেরকে', 'পাখিরাই', 'পাখিরা', 'পাখিগুলোকে', 'পাখিগুলো', 'পাখির', 'পাখি', 'পাখিগুলোর']
['সদস্যেদের', 'সদস্যদের', 'সদস্যদরা', 'সদস্যবৃন্দের', 'সদস্যা', 'মেম্বারদের', 'সদস্যারা', 'সদস্যগণের', 'সদস্যগন', 'সদস্যগুলি']
['সচিবদের', 'সচিবেরা', 'সচিবগণ', 'সচিব', 'সচিবের', 'সচিবকে', 'সচিবও', 'সচিবালয়ের', 'সচিবালয়কে', 'সেক্রেটারির']
['দর্শকেরা', 'দর্শকগণ', 'দর্শকরা', 'দর্শকবৃন্দ', 'দর্শকগন', 'দর্শকদের', 'দর্শকখরা', 'দর্শকেরাই', 'দর্শকেরাও', 'দর্শক']
['শিক্ষকদের', 'শিক্ষকগণ', 'শিক্ষকেরা', 'শিক্ষকবৃন্দ', 'শিক্ষকরা', 'শিক্ষকেরাই', 'শিক্ষিকাদের', 'শিক্ষকদেরকে', 'শিক্ষকবৃন্দের', 'শিক্ষিকারা']
