['পূর্বেই', 'আগেই', 'আগে', 'আ\u200cগে', 'আগেও', 'ইতোপূর্বে', 'পূর্বেও', 'এরপূর্বেই', 'ইতিপূর্বে', 'পূর্বে']
['যদ্যপি', 'কিছু', 'কোনোকিছু', 'কিছুকিছু', 'কিছুর', 'কিছুটি', 'কিচ্ছু', 'কোনোকিছুর', 'জেপি', 'কোনকিছু']
['', '', '', '', '', '', '', '', '', '']
['কিছু', 'কিছুটি', 'কিছুকিছু', 'কোনোকিছু', 'কিছু্', 'কিচ্ছু', 'কিছুকে', 'কিছুকেই', 'কোনোকিছুর', 'কতকটা']
['আগেই', 'পূর্বেই', 'আগেও', 'পূর্বে', 'এরপূর্বেই', 'পূর্বেও', 'পূৰ্বে', 'আগে', 'আ\u200cগে', 'এরপূর্বে']
['পূর্বেই', 'আগেই', 'আগেও', 'পূর্বেও', 'এরপূর্বেই', 'ইতোপূর্বে', 'আগেভাগেই', 'পূর্বে', 'পূর্বকালে', 'ইতিপূর্বে']
['অদ্য', 'কিছুটা', 'খানিকটা', 'একচিলতে', 'অদ্যবধি', 'প্রাথমিকভাবে', 'একটু', 'ভোরে', 'একটুও', 'কোনোরুপ']
['সহিত', 'নিয়ে', 'নি\u200cয়ে', 'সাথে', 'সা\u200cথে', 'সঙ্গে', 'স\u200cঙ্গে', 'নিয়ে', 'নি\u200cয়ে', 'সহকারে']
['দিয়া', 'দিয়া', 'দিছে', 'দেয়ে', 'দিয়াছেন', 'দেয়ে', 'দেওয়াই', 'দেয়ঈ', 'দেয়ারও', 'দেওয়াও']
['অদ্যাপি', 'ভোরে', 'সকালবেলায়', 'ভোরেই', 'ভোরেও', 'সকালবেলাতেই', 'সকালবেলায়', 'ভোরবেলায়', 'ভোরবেলায়', 'সকালেই']
['তথাপি', 'তথাপিও', 'তবুও', 'তারপরও', 'যাইহোক', 'তবেও', 'তবু', 'তারপরেও', 'তাস্বত্ত্বেও', 'এসত্ত্বেও']
['নতুবা', 'অন্যথায়', 'নাহলে', 'অন্যকথায়', 'অন্যথায়', 'নইলে', 'অন্যথা', 'অন্যভাবে', 'অন্যভাবেও', 'কিছুটা']
['নতুবা', 'অন্যথায়', 'নাহলে', 'অন্যকথায়', 'অন্যথায়', 'নইলে', 'অন্যথা', 'অন্যভাবে', 'অন্যভাবেও', 'কিছুটা']
['প্রায়শঃ', 'প্রায়', 'প্রায়শ', 'কমবেশি', 'প্রায়শঃই', 'কিছুটা', 'প্রায়', 'প্ৰায়', 'খানিকটা', 'একটুকরো']
['যদ্যপি', 'কিছুটা', 'জেপি', 'খানিকটা', 'অদ্যপি', 'যবিপ্রবি', 'অল্পকিছু', 'অল্প', 'কোনোরুপ', 'জেপির']
['', '', '', '', '', '', '', '', '', '']
['কিছুটা', 'খানিকটা', 'একটু', 'একটুখানি', 'খানিক', 'একটুকরো', 'একটুও', 'সামান্য', 'অল্পকিছু', 'কতকটা']
