['তুলা', 'তুলার', 'তুলাই', 'তুলাতুলি', 'তুলায়', 'তুলাধোনা', 'তুলাবরম', 'খুলা', 'কুলা', 'তুলাতুলী']
['অগ্নি', 'আগুন', 'অগ্নির', 'অগ্নিগড়', 'আগুনের', 'অগ্নিদেব', 'আগুনটা', 'অগ্নিকুন্ড', 'আগুনই', 'অগ্নিকে']
['বুড়া', 'বুড়োর', 'বুড়া', 'বুড়ো', 'বুড়ো', 'বুড়োর', 'বৃদ্ধ', 'বুড়োদের', 'বয়স্ক', 'বুড়ি']
['সুট', 'সুত', 'সুতা', 'সুতি', 'সুতো', 'সুড়ঙ্গ', 'সুতোর', 'ঘোঁট', 'সুড়ঙ্গ', 'শাণ']
['চন্দ্র', 'চন্দ্রের', 'চন্দ্রচূড়', 'চন্দ্রও', 'চন্দ্রকে', 'চন্দ্রচূড়', 'চাঁদর', 'চাঁদ', 'চাঁদের', 'চন্দ্রন']
['জুতা', 'জুতাই', 'জুতাও', 'জুতার', 'জুতো', 'জুতাপেটা', 'জুতাকে', 'জুতায়', 'জুতাটি', 'শী']
['তুলা', 'তুলাই', 'ঘি', 'ঘাই', 'ধুলা', 'তুলাইহা', 'ময়দা', 'ময়দা', 'তুলাবরম', 'ঘা']
['পূজাই', 'পূজা', 'পূজাও', 'পূজাকে', 'পূজার্চনা', 'পুজো', 'পূজার', 'পূজাটি', 'পূজারা', 'পূজার্চনার']
['জ্যোৎস্না', 'জ্য', 'জ্যোৎস্নার', 'জ্যোতি', 'জ্যোতির', 'জ্যোতিভূষণ', 'জ্যোতিষ্ক', 'জ্যোতিঃরসায়ন', 'জ্যোতিপ্রকাশ', 'জ্যোতিষ']
['পুরোহিত', 'পুরোহিতের', 'ধর্মপিতা', 'পুরোহিতকে', 'পুরোহিতরা', 'পুরোহিতেরা', 'পুরোহিতদের', 'পুরোহিতগণের', 'সন্ন্যাসী', 'সন্ন্যাসীর']
['শুষ্ক', 'শুকনো', 'শুকরি', 'ঘি', 'শুকিয়ে', 'শুষ্কতা', 'শুকিয়ে', 'শুকনা', 'শুকর', 'শুষ্কতার']
['বন্য', 'বন্যপ্রাণ', 'বন্যজীব', 'বন্যপ্ৰাণী', 'বন্যপ্রাণীর', 'বন্যপ্রাণী', 'বন্যপ্রাণের', 'ঘি', 'বন্যজীবন', 'বন্যজীবনের']
['হস্ত', 'হাত', 'হস্তী', 'হাতই', 'হাতটা', 'ঘি', 'হাতেম', 'হাতের', 'হা\u200cতের', 'হস্তীর']
['নাসিকা', 'নাসি', 'নাশিকে', 'নাসিক', 'নাজি', 'নাস', 'নাইসিয়া', 'নাসাই', 'নিশি', 'নী']
['ঘি', 'ব্যাঘ্র', 'দৈঘ্য', 'দী', 'দীঘ', 'দৈর্ঘ', 'দৈৰ্ঘ্য', 'ঝি', 'দৈ', 'দাহি']
['ঘি', 'শৃগাল', 'কষ', 'ঘালি', 'শ্যাষ', 'শল', 'ঘাই', 'গ্যি', 'ঘা', 'ছল']
['হস্তী', 'হস্তীর', 'হস্ত', 'ঘি', 'হাত্তি', 'হাতুরি', 'হাত', 'হাজি', 'হাতা', 'হাতলটি']
['পক্ষী', 'পক্ষীর', 'পাখী', 'ঘি', 'শখী', 'উত', 'হাঁস', 'হাঁপ', 'পক্ষিবিশেষ', 'উঘি']
['মৎস্য', 'মৎস্যের', 'মাছই', 'মাছেরা', 'মাছ', 'মৎস্যপুরাণ', 'মৎস্যগন্ধা', 'মাছের', 'মৎস্যসম্পদ', 'মাছদের']
['অগ্নি', 'ভগ্নি', 'অগ্নিশর্মা', 'আগুন', 'অগ্নিবীণা', 'অগ্নিবাণ', 'অগ্নিকান্ড', 'অগ্নিকাণ্ড', 'অগ্নির', 'আগুনই']
['বুড়ি', 'বুড়ো', 'বুড়ি', 'বুড়া', 'বুঢ়া', 'বুঢ়াগোহাঁই', 'বুড়া', 'বুড়ো', 'বুড়ো', 'বৃদ্ধা']
['সুঁই', 'সুতা', 'ঘি', 'সুই', 'সুতি', 'শ্যাষ', 'সুত', 'সূতা', 'সয়', 'শী']
['চন্দ্র', 'চন্দ্রের', 'চন্দ্রও', 'চন্দ্রকে', 'চন্দ্রচূড়', 'চন্দ্রা', 'মাহ', 'চাঁদের', 'চন্দ্রচূড়', 'চাঁদ']
['জুতা', 'বাঘ', 'জুতাই', 'জুতাকে', 'জুতাও', 'বাঘও', 'বাঘটি', 'জুতাপেটা', 'বাঘই', 'জুতাটি']
['তুলা', 'বাঘও', 'বাঘ', 'তুলাই', 'বাঘই', 'বাঘটি', 'কুলা', 'বাঘেল', 'তুলাইহা', 'বাঘের']
['পূজা', 'পূজাই', 'পূজাকে', 'পূজাও', 'পূজাটি', 'বাঘও', 'বাঘ', 'পূজার', 'বাঘই', 'পুজো']
['সিংহ', 'সিংহটি', 'সিংহর', 'সিংহল', 'সিংহও', 'বাঘ', 'বাঘও', 'সিংহের', 'সিংহকে', 'সিংহই']
['পুরোহিত', 'পুরোহিতকে', 'পুরোহিতের', 'বাঘ', 'বাঘও', 'পুরোহিতেরা', 'বকর', 'পুরোহিতরা', 'বাঘটি', 'বাঘই']
['শুকনো', 'শুষ্ক', 'শুকর', 'বাঘ', 'শুকলা', 'বাঘও', 'শুকিয়ে', 'শুকরি', 'বাঘই', 'শুকিয়ে']
['বাঘ', 'বাঘটি', 'বন্য', 'বন্যপ্ৰাণী', 'বন্যপ্রাণ', 'বনবিড়াল', 'বাঘের', 'নেকড়ের', 'বন্যজীব', 'বাঘও']
['হাতি', 'বাঘ', 'হাতির', 'বাঘটি', 'হাতিকে', 'হাঁপ', 'বাঘও', 'হাতিটি', 'হাতী', 'বাঘই']
['নাসিকা', 'নকসা', 'বাঘ', 'নাকা', 'নকিয়া', 'নেসা', 'নাকবা', 'নকিয়া', 'বাঘটি', 'বাঘও']
['বাঘ', 'বাঘটি', 'বাঘও', 'বাঘের', 'বাঘই', 'বাঘেরা', 'বাঘে', 'বাঘকে', 'বাঘেল', 'বাঘী']
['বাঘেল', 'বাঘ', 'বাঘটি', 'বাঘও', 'বাঘিল', 'কৃপ', 'বাঘই', 'গির', 'কচ্ছো', 'বাঘের']
['হাতি', 'হাতী', 'হাতির', 'বাঘ', 'হাতিটি', 'বাঘটি', 'হাতীর', 'বাঘই', 'হাতিবাগান', 'বাঘও']
['পক্ষী', 'বাঘ', 'বাঘটি', 'পক্ষীর', 'বাঘই', 'বাঘও', 'বাঘের', 'বাছুর', 'বিড়াল', 'বেড়াল']
['মৎস্য', 'মাছি', 'মাছ', 'মাছদের', 'মাছেরা', 'বাঘ', 'হাঁস', 'মাছির', 'বাঘই', 'মৎস্যের']
['বাঘ', 'অগ্নি', 'বাঘও', 'আগুন', 'বাঘই', 'বাঘটি', 'পোড়াল', 'অগ্নিকে', 'আগুনটা', 'বাঘকে']
['বাঘ', 'বাঘও', 'বাঘই', 'বাঘটি', 'ছাগল', 'বাঘের', 'বুড়ি', 'বুড়ি', 'বাঘী', 'বাছুর']
['বাঘটি', 'বাঘ', 'বাঘও', 'বাঘই', 'বাঘের', 'বাঘে', 'বাঘটিকে', 'বাঘকে', 'বাঘেল', 'সুতা']
['সিংহ', 'সিংহটি', 'চন্দ্র', 'সিংহকে', 'সিংহর', 'বাঘ', 'সিংহের', 'সিংহও', 'চন্দ্রকে', 'বাঘও']
['জুতা', 'জুতাই', 'জুতাও', 'জুতার', 'জুতো', 'জুতায়', 'জুতাকে', 'জুতাপেটা', 'জুতাটি', 'জুতোর']
['তুলা', 'তুলাই', 'তুলার', 'তুলায়', 'তুলাইহা', 'পেয়ালা', 'শেয়াল', 'চামড়া', 'কুলা', 'তোয়ালে']
['পূজা', 'পূজাই', 'পূজাও', 'পূজাকে', 'পূজার', 'পূজায়', 'পূজাটি', 'পূজাগুলি', 'পূজার্চনা', 'পূজারা']
['জ্যোৎস্না', 'জ্যোৎস্নার', 'জ্যোতি', 'জ্যোতির', 'জ্যোতিভূষণ', 'জ্যোতিষ্ক', 'জ্যোতিষ', 'জ্যোতিষে', 'শিয়েন', 'জ্যুড']
['পুরোহিত', 'পুরোহিতের', 'পুরোহিতরা', 'পুরোহিতেরা', 'পুরোহিতকে', 'ধর্মপিতা', 'পুরোহিতদের', 'পুরোহিতগণের', 'সন্ন্যাসী', 'সন্ন্যাসীর']
['শুষ্ক', 'শুকনো', 'শুকিয়ে', 'শুকিয়ে', 'শুকরি', 'শুকলা', 'শুকরান', 'শুকানো', 'শুকনা', 'শুকর']
['বন্য', 'বন্যপ্রাণ', 'বন্যপ্রাণের', 'বন্যপ্রাণী', 'বন্যপ্রাণীর', 'বন্যজীব', 'বন্যপ্ৰাণী', 'বন্যজীবন', 'বন্যজীবনের', 'বন্যপ্রাণীদের']
['হস্ত', 'হাত', 'হস্তী', 'হাতই', 'হস্তের', 'হাতটা', 'হাতও', 'হস্তে', 'হাতকে', 'হাতা']
['নাসিকা', 'নাইসিয়া', 'নকিয়া', 'নকিয়া', 'নাসাই', 'নেসা', 'নাসা', 'নয়েস', 'নক্সা', 'নিকায়ে']
['ঘৃত', 'ঘেরা', 'বেষ্টিত', 'মোড়া', 'মোড়ানো', 'আচ্ছাদিত', 'মোড়ানো', 'চেরা', 'মোড়া', 'ঘিরে']
['ব্যাঘ্র', 'দৈর্ঘ', 'প্রস্থ', 'দৈৰ্ঘ্য', 'ব্যাপী', 'ব্যাপি', 'দৈর্ঘের', 'ব্যাসার্ধ', 'সুদীর্ঘ', 'অর্ঘ']
['হস্তী', 'হাতুড়ি', 'হস্ত', 'হস্তের', 'হস্তীর', 'হাতার', 'হাতুরি', 'হাত', 'হাতা', 'হাতুড়']
['পক্ষী', 'শিয়াল', 'পক্ষীর', 'শিয়ালের', 'পোষ্য', 'শেয়াল', 'বেড়াল', 'বিড়াল', 'শিয়াল', 'বিড়ালটি']
['মৎস্য', 'মৎস্যের', 'মাছ', 'মাছই', 'মৎস্যসম্পদ', 'মাছগুলি', 'মৎস্যজাত', 'মাছেরা', 'মাছের', 'মাছও']
['আগুন', 'অগ্নি', 'আগুনই', 'আগুনটা', 'ফায়ার', 'আগুনও', 'আগুনের', 'অগ্নিকে', 'অগ্নির', 'আগুনকে']
['বুড়ি', 'বুড়া', 'বুড়া', 'বুড়ি', 'বুড়ো', 'বুড়ো', 'বুড়ো', 'বৃদ্ধ', 'পুরানো', 'বয়স্ক']
['সুতা', 'সুতি', 'সুত', 'সুট', 'সুতো', 'সুতির', 'সুতার', 'সুইটা', 'সুতাকে', 'সুইয়ের']
['চন্দ্র', 'চন্দ্রের', 'চন্দ্রও', 'চন্দ্রকে', 'চন্দ্রে', 'চাঁদের', 'চাঁদ', 'চন্দ্রচূড়', 'চাঁদকে', 'চন্দ্রা']
['জুতা', 'জুতো', 'জুতাই', 'জুতার', 'জুতাপেটা', 'জুতাকে', 'জুতাও', 'জুতাটি', 'জুতায়', 'জুতোর']
['তুলা', 'তুলাই', 'তুলার', 'তুলাধোনা', 'তুলাবরম', 'তুলাইহা', 'তুলাতুলি', 'তুলায়হা', 'কুলা', 'তুলায়']
['পূজা', 'পূজাই', 'পূজাকে', 'পূজাও', 'পূজার', 'পূজার্চনা', 'পূজাটি', 'উপাসনা', 'পূজায়', 'পূজারী']
['জ্যোৎস্না', 'জ্যোৎস্নার', 'জ্যোতি', 'জ্যোতির', 'জ্যোতিষের', 'জ্যোতিরাও', 'জ্যোতিকা', 'জ্যোতির্লিঙ্গ', 'সিংহ', 'সিংহল']
['পুরোহিত', 'পুরোহিতকে', 'পুরোহিতের', 'ধর্মপিতা', 'পুরোহিতরা', 'পুরোহিতেরা', 'পুরোহিতদের', 'সন্ন্যাসী', 'পূত', 'ধর্মপুত্র']
['শুষ্ক', 'শুকনো', 'শুকর', 'শুকিয়ে', 'শুকিয়ে', 'শুকলা', 'শুকনা', 'শুকানো', 'শুক্ল', 'শুকরান']
['বন্যপ্রাণ', 'বন্য', 'বন্যপ্ৰাণী', 'বন্যজীব', 'বন্যপ্রাণের', 'বন্যপ্রাণী', 'বন্যপ্রাণীর', 'নেকড়ের', 'বনবিড়াল', 'বনবিড়ালের']
['হাতি', 'হাতিকে', 'হাতির', 'হাতী', 'হাতিটি', 'হাতিটির', 'হাতীর', 'হাতিটিকে', 'হাতীবান্ধা', 'হাতিরপুল']
['নাসিকা', 'নকসা', 'নালিকা', 'নাকা', 'নিকা', 'নাজকা', 'নিকাহ', 'নাশিক', 'নকিয়া', 'নক্শা']
['ঘৃত', 'বাঘেরা', 'ঘেরা', 'আড়ত', 'মোড়া', 'চেরা', 'বেষ্টিত', 'প্রতিষ্টিত', 'আবরিত', 'মোড়ানো']
['ব্যাঘ্র', 'দীঘ', 'দীঘি', 'দৈৰ্ঘ্য', 'অর্ঘ', 'দৈর্ঘ', 'দৈর্ঘের', 'সূদীর্ঘ', 'মাঘ', 'মাঘের']
['শৃগাল', 'গির', 'কচ্ছ', 'গিরদাপ', 'বাঘিল', 'বাঘেল', 'কৃষাঙ্গ', 'শৃঙ্গার', 'চোঘ', 'কৃপ']
['পক্ষী', 'পক্ষীর', 'বেড়াল', 'হাতির', 'বিড়াল', 'হাতিটি', 'ষাঁড়', 'মহিষ', 'হাঁস', 'শিয়াল']
['মৎস্য', 'মাছেরা', 'মৎস্যের', 'মাছ', 'মাছির', 'মাছুদা', 'মাছই', 'মাছি', 'মাছের', 'মাছদের']
['অগ্নি', 'আগুন', 'অগ্নিকুন্ড', 'আগুনটা', 'অগ্নির', 'অগ্নিকে', 'অগ্নিগড়', 'অগ্নিকুণ্ড', 'আগুনই', 'পোড়াল']
['বুড়া', 'বুড়া', 'বুড়ো', 'বুড়োর', 'বুড়ি', 'বুড়ো', 'বুড়ো', 'বুড়ি', 'বৃদ্ধ', 'বৃদ্ধা']
['সুতা', 'সুত', 'সুতি', 'চিতাবাঘটি', 'চিতা', 'সুতো', 'সুট', 'সুতির', 'সুতাকে', 'বাঘটি']
['চন্দ্র', 'চন্দ্রচূড়', 'চন্দ্রকে', 'চন্দ্রচূড়', 'চন্দ্রও', 'চন্দ্রের', 'চাঁদের', 'চাঁদ', 'চাঁদকে', 'চন্দ্রকেতুগড়']
['জুতা', 'জুতাপেটা', 'জুতার', 'জুতাও', 'জুতাই', 'জুতো', 'জুতায়', 'জুতাকে', 'জুতাটি', 'জুতোর']
['তুলা', 'তুলাই', 'তুলার', 'তুলাধোনা', 'কুলা', 'খুলা', 'তুলাবরম', 'তুলাতুলি', 'তুলায়', 'তুলাতলি']
['পূজা', 'পূজার্চনা', 'পূজার্চনার', 'পূজাই', 'পূজাও', 'পূজাকে', 'পূজার', 'পূজানুষ্ঠান', 'পুজো', 'পূজাটি']
['জ্যোৎস্না', 'জ্যোৎস্নার', 'জ্যোতির', 'জ্যোতি', 'আলোকবর্ষ', 'জ্যোতিপ্রকাশ', 'জ্যোতির্লিঙ্গ', 'তারানা', 'জ্যোতিভূষণ', 'জ্যোতিষ্ক']
['পুরোহিত', 'পুরোহিতের', 'পুরোহিতকে', 'পুরোহিতরা', 'পুরোহিতেরা', 'ধর্মপিতা', 'পুরোহিতদের', 'পুরোহিতগণের', 'পুরোধা', 'সন্ন্যাসী']
['শুষ্ক', 'শুকনো', 'শুকিয়ে', 'শুকনা', 'শুকিয়ে', 'শুকলা', 'শুকানো', 'শুকরান', 'শুকনো', 'শুকরানা']
['বন্য', 'বন্যজীব', 'বন্যপ্রাণ', 'বন্যজীবন', 'বন্যপ্রাণী', 'বন্যপ্ৰাণী', 'বন্যপ্রাণের', 'বন্যপ্রাণীর', 'বন্যজীবনের', 'পাখি']
['হস্ত', 'হাত', 'হাতটা', 'হস্তের', 'হস্তী', 'হাতের', 'হা\u200cতের', 'হাতলটি', 'হাতছোঁয়া', 'হাতেখড়ি']
['নাসিকা', 'নকিয়া', 'নকিয়া', 'নিকা', 'নাকা', 'নক্শা', 'নক্\u200cশা', 'নকসা', 'নক্সা', 'নালিকা']
['ঘৃত', 'ঘেরা', 'মোড়ানো', 'বেষ্টিত', 'মোড়া', 'অলংকৃত', 'মোড়ানো', 'বৃত', 'বাক্\u200cরুদ্ধ', 'আবৃত']
['ব্যাঘ্র', 'দৈর্ঘ', 'দৈৰ্ঘ্য', 'ব্যাসার্ধ', 'ব্যাপী', 'প্রস্থ', 'অর্ঘ', 'ব্যাপি', 'ব্যাসার্ধ্য', 'সুদীর্ঘ']
['শৃগাল', 'শঙ্খচিল', 'গুর্খা', 'শৃঙ্গ', 'শঙ্খচূড়', 'শুঙ্গ', 'উৎকল', 'কাঁপল', 'গকুল', 'শুঁড়']
['হস্তী', 'হস্ত', 'হাতুড়', 'হাতখরচ', 'হস্তের', 'হাতপাখা', 'হস্তলিপি', 'হাতেখড়ি', 'হাত', 'হাতেখড়ি']
['মৎস্য', 'মাছ', 'মৎস্যের', 'মাছগুলি', 'মৎস্যসম্পদ', 'মাছের', 'মাছধরা', 'মৎস্যজাত', 'মৎস্যগন্ধা', 'মাছই']
['অগ্নি', 'আগুন', 'আগুনটা', 'ফায়ার', 'আগুনই', 'অগ্নির', 'অগ্নিকাণ্ড', 'অগ্নিশিখা', 'অগ্নিকান্ড', 'অগ্নিকুন্ড']
['বুড়া', 'বুড়া', 'বুড়ো', 'বুড়ো', 'বুড়োর', 'বুড়ি', 'বৃদ্ধ', 'বুড়ি', 'বুড়ো', 'বুড়োর']
['সুতা', 'সুতো', 'সুট', 'সুতি', 'সুত', 'সুতোর', 'সুলা', 'সুতির', 'সুনা', 'সুকার']
['চন্দ্র', 'চন্দ্রের', 'চাঁদ', 'চন্দ্রচূড়', 'চন্দ্রকে', 'চাঁদের', 'চন্দ্রও', 'চন্দ্রা', 'চন্দ্রবিন্দু', 'চন্দ্রচূড়']
['জুতা', 'জুতার', 'জুতাই', 'জুতাও', 'জুতাকে', 'জুতাপেটা', 'জুতো', 'জুতায়', 'জুতাটি', 'জুতোর']
['তুলা', 'তুলাই', 'তুলার', 'কুলা', 'খুলা', 'তুলায়', 'তুলাবরম', 'তুলাধোনা', 'তুলাতুলি', 'তুলাইহা']
['পূজা', 'পূজাকে', 'পূজাই', 'পূজার', 'পূজাও', 'পূজার্চনা', 'পূজাটি', 'পূজার্চনার', 'পূজায়', 'উপাসনা']
['জ্যোৎস্না', 'জ্যোৎস্নার', 'জ্যোতি', 'জ্যোতির', 'জ্যৈষ্ঠ', 'জ্যৈষ্ঠের', 'তারানা', 'জ্যোতির্লিঙ্গ', 'জ্যোতিষে', 'নক্ষত্র']
['পুরোহিত', 'পুরোহিতের', 'পুরোহিতকে', 'পুরোহিতরা', 'পুরোহিতেরা', 'পুরোহিতদের', 'ধর্মপিতা', 'পুরোহিতগণের', 'পুরোধা', 'সন্ন্যাসীর']
['শুষ্ক', 'শুকনো', 'শুকিয়ে', 'শুকিয়ে', 'শুকর', 'শুকনা', 'শুকলা', 'শুকানো', 'শুকরান', 'শুক্ল']
['বন্য', 'বন্যপ্রাণ', 'বন্যজীব', 'বন্যপ্রাণের', 'বন্যপ্ৰাণী', 'বন্যপ্রাণী', 'বন্যপ্রাণীর', 'বন্যজীবনের', 'বন্যজীবন', 'বনের']
['হস্ত', 'হাত', 'হাতটা', 'হস্তের', 'হাতলটি', 'হস্তী', 'হাতটি', 'হাতকে', 'হাতের', 'হা\u200cতের']
['নাসিকা', 'নকসা', 'নক্শা', 'নক্\u200cশা', 'নকিয়া', 'নাকা', 'নিকা', 'নকিয়া', 'নালিকা', 'নাজকা']
['ঘৃত', 'মোড়া', 'ঘেরা', 'মোড়ানো', 'বেষ্টিত', 'আড়ত', 'মোড়ানো', 'বাক্\u200cরুদ্ধ', 'বৃত', 'চেরা']
['ব্যাঘ্র', 'অর্ঘ', 'দৈর্ঘ', 'ব্যাপী', 'দৈর্ঘের', 'দৈৰ্ঘ্য', 'ব্যাপি', 'প্রস্থ', 'ব্যাসার্ধ', 'সুদীর্ঘ']
['শৃগাল', 'কাঁপল', 'শৃঙ্গ', 'খড়গ', 'চপল', 'কড়চা', 'শল', 'ছল', 'কাঙাল', 'চিড়']
['হস্তী', 'হস্ত', 'হস্তের', 'হাতুড়', 'হাতলটি', 'হাত', 'হাতখরচ', 'হস্তীর', 'হাতটা', 'হাতা']
['পক্ষী', 'পক্ষীর', 'পক্ষল', 'হাঁপ', 'পিঁপড়া', 'পাখী', 'বিড়াল', 'বিড়ালটি', 'হাঁস', 'বেড়াল']
['অগ্নি', 'আগুন', 'আগুনটা', 'অগ্নির', 'আগুনের', 'আগুনই', 'অগ্নিকে', 'অগ্নিগড়', 'আগুনকে', 'অগ্নিকুন্ড']
['বুড়া', 'বুড়া', 'বুড়ো', 'বুড়ো', 'বুড়ি', 'বুড়োর', 'বুড়ি', 'বুড়ো', 'বুড়োর', 'বৃদ্ধ']
['সুতা', 'সুতো', 'সুট', 'সুত', 'সুতি', 'সুলা', 'সুতোর', 'সুতোয়', 'সুতোয়', 'সুতাকে']
['চন্দ্র', 'চন্দ্রের', 'চন্দ্রকে', 'চাঁদ', 'চন্দ্রও', 'চন্দ্রচূড়', 'চাঁদের', 'চন্দ্রচূড়', 'চন্দ্রে', 'চন্দ্রা']
['জুতা', 'জুতার', 'জুতো', 'জুতাই', 'জুতাও', 'জুতাপেটা', 'জুতায়', 'জুতাকে', 'জুতোর', 'জুতাটি']
['তুলা', 'তুলাই', 'তুলার', 'তুলাধোনা', 'তুলাবরম', 'তুলায়', 'তুলাতুলি', 'কুলা', 'খুলা', 'তুলাইহা']
['পূজা', 'পূজার্চনা', 'পূজাই', 'পূজার', 'পূজাকে', 'পূজার্চনার', 'পূজাও', 'পূজানুষ্ঠান', 'উপাসনা', 'পূজায়']
['জ্যোৎস্না', 'জ্যোৎস্নার', 'জ্যোতির', 'জ্যোতি', 'জ্যৈষ্ঠের', 'জ্যৈষ্ঠ', 'জ্যোতিষ্ক', 'জ্যোতিভূষণ', 'জ্যোতির্লিঙ্গ', 'জ্যোতিরাও']
['পুরোহিত', 'পুরোহিতের', 'পুরোহিতকে', 'পুরোহিতরা', 'পুরোহিতেরা', 'ধর্মপিতা', 'পুরোহিতদের', 'পুরোহিতগণের', 'সন্ন্যাসীর', 'সন্ন্যাসী']
['শুষ্ক', 'শুকনো', 'শুকিয়ে', 'শুকিয়ে', 'শুকলা', 'শুকানো', 'শুকনা', 'শুকরান', 'শুকর', 'শুকরানা']
['বন্য', 'বন্যপ্রাণ', 'বন্যপ্রাণের', 'বন্যজীব', 'বন্যপ্রাণী', 'বন্যপ্ৰাণী', 'বন্যপ্রাণীর', 'বন্যজীবনের', 'বন্যজীবন', 'বন্যপ্রাণীদের']
['হস্ত', 'হাত', 'হস্তের', 'হস্তী', 'হাতটা', 'হাতের', 'হা\u200cতের', 'হস্তে', 'হাতই', 'হাতছোঁয়া']
['নাসিকা', 'নাৎসিরা', 'নাইসিয়া', 'নকসা', 'নকিয়া', 'নকিয়া', 'নক্শা', 'নক্\u200cশা', 'নাকা', 'নেসা']
['ঘৃত', 'ঘেরা', 'বেষ্টিত', 'আড়ত', 'মোড়া', 'আবরিত', 'বৃত', 'মোড়ানো', 'মোড়ানো', 'প্রতিষ্টিত']
['ব্যাঘ্র', 'ব্যাসার্ধ', 'ব্যাপী', 'দৈর্ঘ', 'দৈৰ্ঘ্য', 'প্রস্থ', 'দৈর্ঘের', 'অর্ঘ', 'ব্যাপি', 'প্রস্থের']
['শৃগাল', 'খড়গ', 'শৃঙ্গ', 'খড়গ', 'কৃষাঙ্গ', 'কড়চা', 'খরখগ', 'গোছল', 'শেরগড়', 'গড়াল']
['হস্তী', 'হস্ত', 'হস্তের', 'হস্তীর', 'হাতুড়', 'হাত', 'হাতলটি', 'হাতুরি', 'হাতার', 'হাতখরচ']
['পক্ষী', 'পক্ষীর', 'পাখীর', 'পক্ষল', 'পাখী', 'পক্ষিবিশেষ', 'বেড়াল', 'পাখির', 'পোষ্য', 'পাখি']
['মৎস্য', 'মৎস্যের', 'মাছ', 'মৎস্যজাত', 'মৎস্যসম্পদ', 'মাছের', 'মাছেরা', 'মৎস্যপুরাণ', 'মাছগুলি', 'মাছই']
['বুড়া', 'বুড়া', 'বুড়ো', 'বুড়োর', 'বুড়ো', 'বুড়ি', 'বুড়ো', 'বুড়ি', 'বৃদ্ধ', 'বুড়োর']
['সুতা', 'সুতো', 'সুত', 'সুতি', 'সুতোর', 'সুট', 'সুতির', 'সুতোয়', 'সুতোয়', 'সুতাকে']
['চন্দ্র', 'চন্দ্রের', 'চন্দ্রকে', 'চন্দ্রচূড়', 'চন্দ্রও', 'চন্দ্রচূড়', 'চাঁদের', 'চাঁদ', 'চন্দ্রে', 'চন্দ্রা']
['জুতা', 'জুতার', 'জুতাই', 'জুতো', 'জুতাও', 'জুতাপেটা', 'জুতায়', 'জুতাকে', 'জুতোর', 'জুতাটি']
['তুলা', 'তুলাই', 'তুলার', 'তুলাবরম', 'তুলাধোনা', 'তুলাতুলি', 'তুলায়', 'কুলা', 'খুলা', 'তুলাইহা']
['পূজা', 'পূজাই', 'পূজার্চনা', 'পূজার', 'পূজাকে', 'পূজাও', 'পূজার্চনার', 'উপাসনা', 'পূজায়', 'পূজানুষ্ঠান']
['জ্যোৎস্না', 'জ্যোৎস্নার', 'জ্যোতির', 'জ্যোতি', 'জ্যৈষ্ঠ', 'জ্যৈষ্ঠের', 'জ্যোতির্লিঙ্গ', 'জ্যোতিষ্ক', 'জ্যোতিভূষণ', 'জ্যোতিরাও']
['পুরোহিত', 'পুরোহিতের', 'পুরোহিতকে', 'পুরোহিতরা', 'পুরোহিতেরা', 'ধর্মপিতা', 'পুরোহিতদের', 'পুরোহিতগণের', 'সন্ন্যাসী', 'সন্ন্যাসীর']
['শুষ্ক', 'শুকনো', 'শুকিয়ে', 'শুকিয়ে', 'শুকলা', 'শুকনা', 'শুকানো', 'শুকর', 'শুকরান', 'শুক্ল']
['বন্য', 'বন্যপ্রাণ', 'বন্যজীব', 'বন্যপ্রাণের', 'বন্যপ্রাণীর', 'বন্যপ্রাণী', 'বন্যপ্ৰাণী', 'বন্যজীবনের', 'বন্যজীবন', 'বন্যপ্রাণীদের']
['হস্ত', 'হাত', 'হস্তের', 'হস্তী', 'হাতটা', 'হাতের', 'হা\u200cতের', 'হস্তে', 'হাতই', 'হাতলটি']
['নাসিকা', 'নাৎসিরা', 'নকসা', 'নাইসিয়া', 'নকিয়া', 'নক্শা', 'নক্\u200cশা', 'নকিয়া', 'নাকা', 'নাসিকের']
['ঘৃত', 'ঘেরা', 'বেষ্টিত', 'আড়ত', 'আবরিত', 'মোড়া', 'অলংকৃত', 'বৃত', 'প্রতিষ্টিত', 'মোড়ানো']
['ব্যাঘ্র', 'ব্যাপী', 'ব্যাসার্ধ', 'দৈৰ্ঘ্য', 'দৈর্ঘ', 'অর্ঘ', 'প্রস্থ', 'দৈর্ঘের', 'ব্যাপি', 'প্রস্থের']
['শৃগাল', 'শৃঙ্গ', 'খড়গ', 'সীগাল', 'কৃষাঙ্গ', 'খড়গ', 'মৃগালা', 'গোছল', 'শৃঙ্গের', 'সায়গল']
['হস্তী', 'হস্ত', 'হস্তের', 'হস্তীর', 'হাত', 'হাতুড়', 'হাতলটি', 'হাতেখড়ি', 'হাতেখড়ি', 'হাতের']
['পক্ষী', 'পক্ষীর', 'পক্ষল', 'পাখীর', 'পাখী', 'পক্ষিবিশেষ', 'উদগির', 'পাখি', 'পাখির', 'বেড়াল']
['মৎস্য', 'মৎস্যের', 'মৎস্যজাত', 'মাছ', 'মৎস্যসম্পদ', 'মৎস্যপুরাণ', 'মাছের', 'মাছই', 'মৎস্যচাষ', 'মাছেরা']
