['ব্র্গ্যাদ', 'গারুদা', 'বাগদাদ', 'বাগদা', 'ব্রিগ', 'গ্রিড', 'ব্রাগা', 'গড়াইয়া', 'গ্রিডের', 'গজরাজ']
['আজারবাইজান', 'আজারবাইজানি', 'আজারবাইজানী', 'আজারবাইজানের', 'আজারবাইযানের', 'জর্দানিয়ান', 'আজারবাইজানীয়', 'আজমিরিগঞ্জ', 'আজারবাইজানকে', 'আমেরিন্ডিয়ান']
['মালি', 'মালঞ্চি', 'মালিনী', 'মালেকী', 'মালকি', 'মালী', 'মালির', 'মালয়ে', 'মলির', 'মালিনীর']
['', '', '', '', '', '', '', '', '', '']
['বেইজিং', 'বেইজিংয়ের', 'মেলিজ', 'বেইজিংয়ের', 'মেইজি', 'মেলিয়েজ', 'মেইজির', 'মালি', 'মালিশ', 'মেলি']
['মালির', 'মালী', 'মালতি', 'মাল্য', 'মালি', 'মালৌত', 'মালয়ী', 'মালয়', 'মর্লি', 'মুরালির']
['মলিয়ের', 'বেল্লারি', 'মালির', 'বেলগ্রেড', 'বেল্লারী', 'মাল্লার', 'মেল্লি', 'ম্যালেরিয়ার', 'মিল্লির', 'গ্যালিলির']
['', '', '', '', '', '', '', '', '', '']
['বার্লিন', 'বার্লিনের', 'বার্লি', 'বার্লির', 'মার্লিন', 'মার্লি', 'বার্লিনেই', 'বার্লিনে', 'মর্লি', 'মলির']
['মর্লি', 'মার্লি', 'মালির', 'বার্নি', 'মালি', 'মালী', 'মার্লিন', 'বারনি', 'বার্নলি', 'পার্লি']
['মলির', 'মালির', 'মালি', 'মালী', 'মলিক', 'মেলি', 'মলি', 'মল্লিক', 'চিলি', 'মুলি']
['মল্লরাজা', 'মল্লক্রীড়া', 'ক্লারিসভ্যালি', 'মিল্লিয়া', 'মিলিয়া', 'ম্যালেরিয়া', 'ম্যালোরি', 'মেলিয়াগ্রিস', 'মারসিলিয়াস', 'ম্যালেরিয়ার']
['মারসিলিয়াস', 'মোরালেস', 'মোরালেসের', 'মিরাকলস', 'মল্লরাজাদের', 'মার্সেলাস', 'মেলিয়েস', 'মল্লরাজা', 'মিশেলস', 'মেলিয়াগ্রিস']
['মালুরিডি', 'মর্লি', 'মুরালির', 'মলির', 'মালদিনি', 'মালদিনির', 'মালির', 'বুরুন্ডির', 'মুলাদি', 'মুর্শিদি']
['', '', '', '', '', '', '', '', '', '']
['মলির', 'মালির', 'ক্যালরি', 'কেলির', 'কুলির', 'কনলি', 'কেলী', 'মর্লি', 'মালী', 'মালি']
['কোপেনহেগেনের', 'কোপেনহেগেন', 'কলোনি', 'মগেরিনি', 'কলিঞ্জ', 'মগিনির', 'কোপেনহেগেনে', 'মুলিগান', 'মগিনি', 'কোপেনহাগেন']
['মালি', 'মালির', 'মালী', 'ডাকার', 'মলির', 'ডাকাই', 'ম্যালি', 'মেলি', 'মেল্লি', 'কলের']
['দামেস্ক', 'দামেস্কে', 'দামেস্ককে', 'দামেস্কের', 'ম্যাক্সিলারি', 'মারসিলিয়াস', 'ম্যাক্সিমিলিয়ান', 'ম্যাক্সি', 'মাক্সিমিলিয়ান', 'মিজমিজি']
['মালিহা', 'মালয়া', 'মালি', 'মলয়া', 'মোলা', 'মোয়া', 'দোহা', 'মায়া', 'মাল্লা', 'মায়া']
['ডাবলিন', 'মালি', 'মালাবি', 'দালিয়ান', 'মেল্লি', 'মালী', 'মালাই', 'ডাবলিনের', 'মেলি', 'মেলিয়ার']
['মলির', 'মালি', 'মালী', 'মলি', 'মেলি', 'মালির', 'মুলি', 'মেল্লি', 'মর্লি', 'ম্যালি']
['', '', '', '', '', '', '', '', '', '']
['জর্জটাউন', 'মার্জিন', 'জর্জটাউনের', 'জর্জেট', 'জিলেটিন', 'জেলটেন', 'জরির', 'জুলিয়েন', 'জর্জিটাউনের', 'জুলিয়েন']
['মালি', 'হ্যানয়', 'মালী', 'ম্যানি', 'মাহালি', 'হ্যানয়', 'ম্যালি', 'ম্যানলি', 'মালাই', 'মাহি']
['মাহালি', 'মালেনা', 'মালিহা', 'মাহালী', 'মালিনী', 'মালি', 'মালিন', 'হানিয়া', 'হাভেলি', 'মালী']
['হেলসিঙ্কি', 'হেলসিঙ্কির', 'হেলসিংকি', 'হেলসিংকির', 'হেলসিংকিতে', 'জিলেনস্কি', 'মিল্কি', 'হেলসিঙ্কিতে', 'মালঞ্চি', 'হাক্সলির']
['মালায়লম', 'মালালাই', 'মালাই', 'মালায়ালাম', 'মালায়লাম', 'মালয়ালম', 'মালায়ালাম', 'মালয়ালাম', 'মালয়লাম', 'মালায়লাম']
['মালাটি', 'মালচা', 'মালতি', 'মালকা', 'মালাকে', 'মালাতিয়ার', 'মালাকার', 'মালেকা', 'মালৌত', 'মালতী']
['মালি', 'ময়াল', 'মালী', 'কাবুলি', 'ম্যাল', 'মালাবি', 'মালাই', 'ম্যালি', 'মলি', 'মাল্লা']
['মালি', 'কাঠমান্ডু', 'মালী', 'মালতি', 'কাঠমাণ্ডু', 'মালুম', 'মালাই', 'মামুলি', 'মালু', 'মালয়ালম']
['', '', '', '', '', '', '', '', '', '']
['থাইল্যান্ডের', 'থাইল্যান্ড', 'থাইল্যান্ডকে', 'থাই', 'থাইল্যান্ডে', 'তিয়েন', 'থাইউয়েন', 'থিইয়া', 'তাইজং', 'থাইদের']
['বৈরুত', 'তিরাহ', 'থাইল্যান্ড', 'তওহীদ', 'থাইরয়েড', 'থাইল্যান্ডের', 'তুইতাল', 'ত্রাতার', 'সতীদাহ', 'বৈতাল']
['টেলুরাইড', 'গিলার্ড', 'থাইল্যান্ড', 'টেইলড', 'গিল্ডরয়', 'টিলডা', 'টলেডো', 'জিলার্ড', 'গিল্ড', 'থাইল্যান্ডের']
['থাইল্যান্ড', 'থাইল্যান্ডের', 'থিলিনা', 'থাইল্যান্ডকে', 'থাইল্যান্ডে', 'থলির', 'রিল্যান্ড', 'তেরিয়ান', 'থ্যালিয়াম', 'থাইল্যান্ডসহ']
['তেরান', 'তেরিয়ান', 'ট্যারন', 'থেরন', 'থাইল্যান্ড', 'তারিন', 'টিরিয়ন', 'তেরানের', 'থাইল্যান্ডের', 'টাইরন']
['থাইল্যান্ড', 'থাইল্যান্ডের', 'তেইশ', 'থাইদের', 'বিশর', 'থাই', 'থিয়েল', 'তেইশটি', 'থিইয়া', 'ইদ্দিশ']
['ব্রাতিস্লাভা', 'ত্রিপলিতানিয়া', 'থাইল্যান্ড', 'ত্রেভিলিও', 'থাইল্যান্ডের', 'টেলুরাইড', 'ট্রলিয়াস', 'তাইরিওয়ালা', 'ট্রলিটি', 'ত্রিশলা']
['ট্রলিয়াস', 'থেলিস', 'ব্রাসেলস', 'থালেস', 'থ্যালাস', 'থ্যালেস', 'ব্রাসেল্\u200cস', 'টেইলস', 'থেলিসের', 'থ্যালাসের']
['ছত্তিসগড়', 'থাইল্যান্ড', 'ত্রিস্তান', 'ছত্তিশগড়', 'থাইল্যান্ডের', 'ছত্তিশগড়', 'থার্মিস্টর', 'তিসরি', 'তাতারস্তান', 'থরথর']
['থাইল্যান্ড', 'বুদাপেস্ট', 'টিলডা', 'থাড', 'তুইপ্রাল্যান্ড', 'তমোপদার্থ', 'মাটিলডা', 'থাডের', 'থাইল্যান্ডের', 'থাউজ্যান্ড']
['', '', '', '', '', '', '', '', '', '']
['কায়রো', 'কায়রো', 'কাইয়ো', 'থাইরা', 'কাইরা', 'কায়রোর', 'কায়রোয়', 'কায়রো', 'কেইয়ো', 'কায়রোর']
['থাইল্যান্ড', 'কান্তাব্রিয়া', 'কানাডা', 'ক্যাথরিনা', 'ক্যাপরা', 'কানাডার', 'ক্যানবেরা', 'ক্যাপেলা', 'ক্যারিবীয়রা', 'থাইল্যান্ডের']
['কেলাসের', 'ক্যারিয়াসের', 'থাইল্যান্ড', 'কেলাস', 'কালীদাস', 'কারদাসের', 'কার্লোস', 'কারদাস', 'কাতারিয়া', 'থালেস']
['', '', '', '', '', '', '', '', '', '']
['থাইল্যান্ড', 'কৈরী', 'কোরিয়া', 'কাথরিয়া', 'কোরিয়া', 'থাইল্যান্ডের', 'থিউরি', 'করালী', 'কোরিয়ার', 'তিওয়ারি']
['থাইল্যান্ড', 'কোপেনহেগেন', 'থাইল্যান্ডের', 'কোপেনহাগেন', 'কোপেনহেগেনের', 'হেপ্টাইন', 'কোপল্যান্ড', 'টেপেন', 'হেপ্টিন', 'জেপেলিন']
['ডাকার', 'থাইল্যান্ড', 'ডাকাই', 'ডাকা', 'থাইল্যান্ডের', 'ডাকটা', 'ডাকের', 'ডাকেন', 'ডাকণাম', 'ডায়াল']
['তাসলিমার', 'থাইল্যান্ড', 'দামেস্ক', 'থেসালির', 'থাইল্যান্ডের', 'তসলিমার', 'তিশমার', 'তাসমিন', 'থিসিস', 'থিসিসের']
['থাইল্যান্ড', 'থাইল্যান্ডের', 'থাইল্যান্ডকে', 'থাইল্যান্ডে', 'টাডা', 'টিলডা', 'থাইল্যান্ডসহ', 'থোডা', 'থাইল্যান্ডেও', 'থিয়া']
['থোডা', 'দোহা', 'টাডা', 'টোডা', 'তোয়াহা', 'তোয়াহা', 'থাড', 'হোদা', 'তায়ালা', 'টিলডা']
['ডাবলিন', 'থাইল্যান্ড', 'ডাবলিনের', 'থাইল্যান্ডের', 'দালিয়ান', 'ডেলিয়ান', 'থিলিনা', 'দালিয়ান', 'থাইল্যান্ডকে', 'ডাবলিনে']
['দুশানবে', 'থাইল্যান্ড', 'থাইল্যান্ডের', 'থাইল্যান্ডে', 'থাইল্যান্ডকে', 'থিয়েল', 'থাই', 'টিলডা', 'থায়ইয়া', 'থাড']
['ফুনাফুটি', 'তুফাইল', 'টিফানি', 'থাইল্যান্ড', 'তুফান', 'টফু', 'ফেইথফুল', 'ফিলিপাইন', 'ফুনাফুতি', 'তিসফুন']
['', '', '', '', '', '', '', '', '', '']
['জর্জটাউন', 'জর্জটাউনের', 'জরস্ট্রিয়ান', 'জেটল্যান্ড', 'ত্রিস্তান', 'তাজরিন', 'জর্জিটাউনের', 'জেরাল্ডিন', 'জর্জটাউনে', 'তাতারস্তান']
['হ্যানয়', 'হ্যানয়', 'হ্যানয়ে', 'হাইয়ান', 'হ্যানয়ে', 'থাইল্যান্ড', 'হ্যানয়ের', 'হানিয়া', 'থাইল্যান্ডের', 'হায়েনা']
['হারারে', 'হারারি', 'হারার', 'হারারেতে', 'হারারের', 'হারল', 'হারলা', 'হেরারা', 'হারই', 'হারাই']
['হাভানা', 'হায়েনা', 'হায়েনা', 'হাভানায়', 'হাভানার', 'হাওয়াইয়ান', 'হরিয়ানা', 'থাইল্যান্ড', 'তাহমীনা', 'হরিয়ানা']
['থেলিসের', 'হিলালি', 'থেসালির', 'থেলিস', 'হেলসিঙ্কি', 'হেলিয়সের', 'হ্যালিসিয়ন', 'হেলিয়স', 'হিলসাইড', 'থাইল্যান্ড']
['থাইল্যান্ড', 'থাইল্যান্ডের', 'ইসলামাবাদ', 'থাইল্যান্ডকে', 'ইসলামাবাদের', 'ইসমাইলিয়া', 'ইসলামাবাদকে', 'থাইল্যান্ডে', 'থাইল্যান্ডসহ', 'ইসরাইল']
['জিতার', 'জটলা', 'জ্যারাট', 'জটায়ুর', 'জাটুয়া', 'জটা', 'জটলার', 'কাতারিয়া', 'জামতাড়া', 'জারকা']
['তাউইল', 'খালেদুল', 'থাল', 'কাবুল', 'কাদাল', 'করতাল', 'থাইল্যান্ড', 'তুইতাল', 'টাইল', 'থাউবাল']
['তিরুমালা', 'তিরুমলা', 'ক্যামিলা', 'কাম্পালা', 'তামিল', 'তাছলিমা', 'থাইল্যান্ড', 'তামুলি', 'থেলমা', 'তমাল']
['কাঠমাণ্ডু', 'কাঠমান্ডু', 'থাইল্যান্ড', 'কাঠমুন্ডু', 'কাঠমন্ডু', 'কাঠমান্ডুর', 'তামিলনাডু', 'থাইল্যান্ডের', 'কাঠামো', 'কাঠবাদাম']
['খার্তুম', 'তেতুম', 'থারমাল', 'তামজীদ', 'তাহমিদ', 'থাল', 'থাইল্যান্ড', 'তৈমুর', 'থরথর', 'তসলিম']
['কিয়েভ', 'কিয়েভ', 'কেইভ', 'তায়িফ', 'তাইয়েপ', 'কিয়েভে', 'থিইয়া', 'থেইয়ার', 'কিয়েভে', 'তাইয়েপ']
['বন্যা', 'বেইজিং', 'বন্যাও', 'বর্ষণ', 'বেইজিংয়ের', 'বেইজিংয়ের', 'সেতুং', 'বেইজিংকে', 'বন্যাকে', 'বন্যার']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['গাম্বিয়া', 'গাম্বিয়া', 'গাম্বিয়ার', 'গাম্বিয়ান', 'গাম্বিয়ার', 'বার্লিন', 'গাম্বিয়ায়', 'গাম্বিয়ায়', 'বার্লিনের', 'গাম্বিয়াতে']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['ব্রাসেল্\u200cস', 'ব্রাসেলস', 'ব্রুসেল', 'ব্রাসেলসের', 'ব্রাউনহিলস', 'ব্রাসেল্\u200cসে', 'ব্রাসেলসে', 'ব্রাসিল', 'বন্যা', 'ব্রজলাল']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['বন্যা', 'হ্যানয়', 'বন্যার', 'বন্যাও', 'হ্যানয়ে', 'হ্যানয়ে', 'হ্যানয়ের', 'হ্যানয়ের', 'হ্যানয়', 'বন্যাকে']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['উনান্ডার', 'উগান্ডার', 'ওয়াকান্ডার', 'উইঙ্কলার', 'ওন্ডার', 'কুন্দনলাল', 'ওয়ান্ডারলা', 'ওয়ান্ডার', 'ওলাঁদ', 'উদানার']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['বৈরুত', 'চৈত্র', 'চতূর্থ', 'উরারতু', 'চৈত', 'কৃন্তন', 'শুদ্র', 'কুর্দ', 'বৃন্ত', 'হাথুরু']
['বেলগ্রেড', 'গলব্লাডার', 'গ্লেনডেল', 'গিল্ডরয়', 'গিলার্ড', 'ক্লটিল্ড', 'ক্লোরেট', 'ক্লারো', 'ক্লোরো', 'গ্লেনডন']
['', '', '', '', '', '', '', '', '', '']
['চীন', 'বার্লিন', 'চার্লিন', 'কার্লিন', 'চিলির', 'বার্লিনের', 'বার্লিনে', 'চিনের', 'চার্ল', 'চিনা']
['হার্ন', 'কার্নো', 'কার্নো', 'হার্নের', 'বার্ন', 'কার্নন', 'মার্ন', 'কার্নোর', 'হার্নি', 'কর্নিয়া']
['বিশকেক', 'বিশকেকের', 'বিশেক', 'শখানেক', 'কিত্তনখোলা', 'বিশকেকে', 'বিশর', 'কিঞ্চিৎ', 'শতিকার', 'বিশ']
['ব্রাতিস্লাভা', 'চরপাথালিয়া', 'ট্রাভোল্টা', 'থ্রুটা', 'ক্লারিসভ্যালি', 'ত্রিপুরা', 'কৃষ্ণলীলা', 'ক্র্যাবট্রি', 'ক্রাতেরোস', 'ক্রাকাতাও']
['ব্রাসেলস', 'ব্রাসেল্\u200cস', 'ক্যারোলাস', 'ক্রনিকলস', 'গ্রিলস', 'ব্রাসেলসের', 'ক্রনিকলস্', 'মিরাকলস', 'ক্রুনাল', 'ক্লারিস']
['কর্ণাটক', 'বুখারেস্ট', 'কর্ণাটী', 'কর্ণাটকের', 'সংস্কৃত', 'কর্ণাটকী', 'কর্ণাটকে', 'সংস্কৃতজ্ঞ', 'কর্ণাটকি', 'কর্ণাট']
['বুদাপেস্ট', 'গুন্ডাপ্পা', 'কুষ্মাণ্ডা', 'কপট', 'হাটপুকুরিয়া', 'কপ্ট', 'বুদাপেস্টের', 'চম্পট', 'কুতুবপুর', 'কপ্টার']
['', '', '', '', '', '', '', '', '', '']
['কায়রো', 'ক্যারো', 'কইরো', 'কায়রো', 'কায়রোর', 'কাহারো', 'কুইরো', 'কোরো', 'কায়রোর', 'কেরোয়া']
['ক্যানবেরা', 'ক্যানবেরার', 'ক্যান্টারবেরি', 'ক্যানবেরায়', 'ক্যানোলা', 'ক্যানাভারো', 'ক্যানবেরায়', 'ক্যানবেরাতে', 'ক্যান্টারবেরির', 'ক্যান্টাবরির']
['কারাকাস', 'কারাকাসের', 'কারকাস', 'কারাঙ্কা', 'কোরাক্স', 'কারাকাও', 'কেরাক', 'কারাক', 'কাজাখরা', 'ক্রোকাস']
['', '', '', '', '', '', '', '', '', '']
['কোনাক্রি', 'কোনাক্রির', 'ক্যানক্রি', 'কাকোরি', 'কাকোরী', 'কনারি', 'কোনার্ক', 'কোনাকার', 'কানুরি', 'কনিকের']
['কোপেনহাগেন', 'কোপেনহেগেন', 'কোপেনহেগেনের', 'কোপ্পেন', 'কোপেনহেগেনে', 'কোপেন', 'কোপেনের', 'কোপারনিকান', 'কোপের্নিকুস', 'কপেন']
['ডাকার', 'ডাকা', 'ডাকটা', 'ডাকেন', 'কল', 'ডাকাই', 'ডাকো', 'কলটা', 'ডাক', 'ডাকতে']
['দামেস্ক', 'দামেস্কে', 'দামেস্ককে', 'দামেস্কের', 'ডিএসসিসির', 'ডিএসসি', 'সিসমিক', 'ডিএসসিসি', 'দামাস্কাস', 'তুরস্ক']
['ঢাকা', 'ঢাকাকে', 'ঢাকাই', 'ঢাকাইয়া', 'ঢাকাবাসীর', 'ঢাকায়', 'ঢাকাও', 'ঢাকাস্থ', 'ঢাকাতেই', 'ঢাকাতে']
['দোহা', 'দোঁহা', 'দোরা', 'ডোরা', 'দোমা', 'দোনা', 'হোদা', 'দোহাকে', 'দোতালা', 'ঢা']
['ডাবলিন', 'ডাবলিনের', 'ডাবলিনে', 'ডাবলু', 'ডাবলুর', 'ডাম্বুলা', 'ডলফিন', 'দুলুনি', 'ডেলিয়ান', 'দুবলা']
['দুশানবে', 'দুঁদে', 'দুঃশলা', 'কুমতলব', 'দুবে', 'মক্তবে', 'দুকুল', 'দুখু', 'দুরুদুরু', 'দুশান্\u200cবে']
['ফুনাফুটি', 'ফুনাফুতি', 'ফুপু', 'কুংফু', 'ফুফু', 'ফুপা', 'ফুফুর', 'ফুপাতো', 'হনুফা', 'ফুপুর']
['', '', '', '', '', '', '', '', '', '']
['জর্জটাউন', 'জর্জটাউনের', 'জর্জটাউনে', 'জরস্ট্রিয়ান', 'জর্জিটাউনের', 'কর্ণাট', 'জিনতাওর', 'জরথ্রুস্ট', 'জারঘুন', 'জিনতান']
['হ্যানয়', 'হ্যানয়', 'হ্যানয়ে', 'হ্যানা', 'হ্যানয়ে', 'হ্যানয়ের', 'হ্যানয়ের', 'হ্যানরি', 'হিনু', 'হানানিয়া']
['হারারে', 'হারারের', 'হারারেতে', 'হারার', 'হারলা', 'হারুয়া', 'হেরারা', 'হারারি', 'হারু', 'হারুয়া']
['হাভানা', 'হ্যানা', 'হাভানায়', 'হান্না', 'হায়েনা', 'হানানিয়া', 'হায়েনা', 'হাভানার', 'হাভানাতে', 'হানুমা']
['হেলসিঙ্কি', 'হেলসিঙ্কির', 'হেলসিংকি', 'হেলসিংকির', 'হেলিক্সের', 'এইচসিএল', 'হেলিক্স', 'হাক্সলির', 'শিলখালী', 'হেলসিঙ্কিতে']
['ইসলামাবাদ', 'ইসলামাবাদের', 'ইসলামাবাদকে', 'ইসলামাবাদে', 'ইসলাম', 'ইন্ডিয়া', 'ভারত', 'ভার\u200dত', 'ইসলামো', 'ভারতমাতা']
['জাকার্তা', 'জাকার্তার', 'কাতার', 'জাকার্তায়', 'কাতারিয়া', 'জাকা', 'জাকার্তায়', 'কাতারের', 'জামতাড়া', 'কাতারও']
['কাবুল', 'কুল্লা', 'কুলু', 'কুল', 'কুওল', 'কুলুব', 'কাবুলের', 'কুণাল', 'কুলুপ', 'কুল্যা']
['কাম্পালা', 'কামলা', 'কামাল্লা', 'কামালা', 'কামিলা', 'কামারখোলা', 'কোপলা', 'কালমা', 'ক্যামিলা', 'ক্যাপেলা']
['কাঠমুন্ডু', 'কাঠমান্ডু', 'কাঠমাণ্ডু', 'কাঠমান্ডুর', 'কাঠমন্ডু', 'কাঠাম', 'কাঠামো', 'কাঠুয়া', 'কাঠামোর', 'কাঠুয়া']
['খার্তুম', 'কণ্ডম', 'কুন্তল', 'কণ্ডু', 'হাথুরু', 'কদ্রু', 'কুরু', 'কুটুম', 'খার্তুমের', 'কুরাম']
['কিয়েভ', 'কেইভ', 'কেইউ', 'কিয়েভ', 'কিভি', 'কিও', 'কিয়েভো', 'কিউঁ', 'কিয়েভে', 'কিউ']
['কিগালি', 'কিলি', 'কেইলি', 'ক্যালি', 'কেলির', 'কেলী', 'চিলির', 'কেলি', 'কিলিকিয়া', 'কোহলির']
['কিংস্টোন', 'কিংসটন', 'কিংস্টন', 'ক্যানটিন', 'কিংস্টনের', 'চীন', 'ক্যানটিনের', 'কিংস্টনে', 'কন্সতান্তিন', 'কেন্সিংটন']
['লেবানন', 'লেবাননে', 'লেবলাঙ্ক', 'লেংদেন', 'লেবাননের', 'লেবাননী', 'লেবাননকে', 'লেবানিজ', 'লেবানিয়', 'ল্যাম্বরগিনি']
['', '', '', '', '', '', '', '', '', '']
['লেবানন', 'লেবাননকে', 'লেবাননী', 'লেবাননে', 'লেবাননের', 'বার্লিন', 'বার্লিনের', 'লেবানিয়', 'বার্লিনে', 'বার্লিনেই']
['লেবানন', 'লেবাননী', 'লেবাননের', 'লেবাননকে', 'লেবাননে', 'লেবানিয়', 'লেবানিজ', 'লেনন', 'লেবানীয়', 'লেননের']
['লেবানন', 'লেবাননের', 'লেবাননকে', 'লেবাননী', 'লেক্সিকন', 'লেবানিয়', 'লেকিন', 'লেবানীয়', 'লেবানিজ', 'লেবাননে']
['লেবানন', 'লেবাননী', 'লেবাননের', 'লেবাননে', 'লেবাননকে', 'লেবানিজ', 'লেবানিয়', 'লেবানীয়', 'লাভিনিয়া', 'স্লোভেনিয়া']
['লেবানিজ', 'লেবানন', 'লেবাননী', 'লেবাননের', 'লেবাননে', 'লেবাননকে', 'লেসবস', 'লিসবনের', 'লেবানিয়', 'লেগানেস']
['লেবানন', 'লেবাননী', 'লেবাননের', 'লেবাননকে', 'লেবাননে', 'লেবানীয়', 'লেবানিজ', 'লেবানিয়', 'লেবানডফস্কি', 'লাবুশেন']
['লেবানডফস্কি', 'লেবানন', 'লেবাননী', 'লেবাননের', 'লেবাননে', 'লেবাননকে', 'লেবানিজ', 'লেবানীয়', 'লেবানিয়', 'লেগস্পিন']
['', '', '', '', '', '', '', '', '', '']
['লেবানন', 'লেবাননকে', 'লেবাননে', 'লেবাননের', 'কেলিঅ্যান', 'লেনো', 'কেইনকে', 'লেকো', 'কায়রো', 'লেবাননী']
['লেবানন', 'লেবাননে', 'লেবাননী', 'ক্যানবেরা', 'লেবাননের', 'লেবাননকে', 'লেবানিজ', 'লেবানিয়', 'কালাপানিয়া', 'ক্যানবেরায়']
['কারাকাস', 'লাসকানাস', 'লেবানন', 'লোকসান', 'কারাকাসের', 'লাকান', 'কালাকান', 'লেবাননের', 'লেবানিজ', 'লেবাননকে']
['', '', '', '', '', '', '', '', '', '']
['কোঙ্কানি', 'লঙ্কান', 'লেবানন', 'লঙ্কানরা', 'লেবাননী', 'কলোনিয়া', 'লেকিন', 'লেবাননের', 'লংকাওয়ে', 'লঙ্কানদের']
['কোপেনহেগেনের', 'কোপেনহেগেন', 'কোপেনহাগেন', 'কোপেনহেগেনে', 'লেবানন', 'লেবাননকে', 'লেবাননে', 'লেবাননের', 'কোপেনের', 'লেবাননী']
['লেবানন', 'লেবাননকে', 'লেবাননের', 'লেবাননে', 'লেবানিয়', 'ডাকার', 'লেবানীয়', 'লেবাননী', 'ডাকেন', 'কলিং']
['দামেস্ক', 'দামেস্ককে', 'দামেস্কে', 'লোকসান', 'লেক্সিকন', 'দামেস্কের', 'লেবানডফস্কি', 'লিমানস্কায়া', 'লিসবনের', 'লেবানন']
['ঢাকা', 'লেবানন', 'লেবাননে', 'লেবাননকে', 'লেবাননের', 'ঢাকায়', 'ঢাকাইয়া', 'ঢাকাকে', 'ঢাকাবাসীর', 'ঢাকাই']
['লেবানন', 'লেবাননকে', 'লেবাননী', 'লেবাননের', 'লেবাননে', 'লেহেঙ্গা', 'লানবা', 'দোনা', 'লেবানীয়', 'লোনা']
['লেবানন', 'লেবাননের', 'লেবাননী', 'লেবাননকে', 'ডাবলিন', 'ডাবলিনের', 'লেবাননে', 'লেবানিয়', 'লেবানিজ', 'লেবানীয়']
['লেবাননে', 'লেবাননকে', 'লেবানন', 'লেবাননী', 'লেবাননের', 'লেবানিজ', 'লেবানিয়', 'লেবানীয়', 'লিসবনে', 'লেবানডফস্কি']
['লেবাননী', 'লেবানন', 'লেবাননের', 'লেবাননে', 'লেবানিয়', 'লুফথানসা', 'লেবানডফস্কি', 'লেবাননকে', 'লেবানিজ', 'লুৎফুন্নেসা']
['', '', '', '', '', '', '', '', '', '']
['লেবানন', 'লেবাননকে', 'জর্জটাউন', 'লেবাননে', 'লেবাননের', 'লেগুনাস্ট্যান্ড', 'লেবাননী', 'জর্জটাউনের', 'জর্জটাউনে', 'লোগান']
['হানানিয়া', 'লেবানন', 'লেবাননী', 'হ্যানয়ে', 'হ্যানয়ে', 'হ্যানয়', 'হ্যানয়', 'লেবানিয়', 'হ্যানয়ের', 'লেবাননকে']
['লেবাননে', 'লেবাননকে', 'লেবানন', 'লেবাননের', 'লেবাননী', 'হারানের', 'হারনান', 'লেহেঙ্গা', 'হার্নান', 'লারনার']
['লেবানন', 'লেবাননে', 'লেবাননী', 'লেবাননকে', 'লেবাননের', 'হাভানা', 'লেবানিয়', 'হাভানায়', 'হাভানাতে', 'লেবানিজ']
['হেলসিঙ্কি', 'হেলসিংকি', 'হেলসিঙ্কির', 'হেলসিংকির', 'হেলসিংকিতে', 'জিলেনস্কি', 'লেমশীখালী', 'হেলসিঙ্কিতে', 'লেমশিখালী', 'লেক্সিকন']
['লেবানন', 'ইসলামাবাদ', 'লেবাননে', 'লেবাননের', 'লেবাননকে', 'লেবাননী', 'লম্বমান', 'ইসলামাবাদকে', 'ইসলামাবাদে', 'ইসলামাবাদের']
['লেবানন', 'লেবাননে', 'লেবাননের', 'লেবাননকে', 'লেবাননী', 'লাতাকিয়া', 'লোকসান', 'লাতাকিয়া', 'লাকান', 'জাকার্তা']
['লেবানন', 'লেবাননের', 'লেবাননকে', 'লেবাননে', 'লেবাননী', 'লেবানীয়', 'লেবানিয়', 'লেবানিজ', 'লাফলিন', 'কেলভিন']
['কলাম্বিয়া', 'কলাম্বিয়া', 'কাম্পানিয়া', 'কালাপানিয়া', 'কলম্বিয়া', 'কলম্বিয়া', 'লেবানন', 'কলম্ব', 'কলম্বিয়াকে', 'লাম্বা']
