['আপু', 'খালা', 'মামাতো', 'ঠাকুমা', 'বোন', 'চাচা', 'আম্মু', 'শ্বাশুড়ি', 'বোনের', 'আম্মুর']
['বেগম', 'বেগমের', 'বেগমও', 'বেগমকে', 'বাগ্মী', 'তেজস্বী', 'হৈমবতী', 'বেহমাই', 'বেগমসহ', 'বেহরামি']
['বেগম', 'বেগমের', 'কমবয়সী', 'কিশোরী', 'বয়েসী', 'অল্পবয়স্ক', 'অল্পবয়সী', 'কিশোর', 'কিশোরীর', 'বেগমও']
['বেগম', 'নায়েম', 'ন্যাম', 'নিমের', 'নম', 'বেগমের', 'নমে', 'নায়েম', 'নীম', 'নিযাম']
['বেগম', 'বেগমের', 'সুন্দর', 'সৌন্দর্যময়', 'সুন্দরম', 'বেগমও', 'সুন্দরী', 'সুদৃশ্য', 'সৌন্দর্যমন্ডিত', 'সুন্দরের']
['বেগম', 'বেগমের', 'গুণবান', 'গুণকাম', 'গুণসম্পন্ন', 'গুণান্বিত', 'গুণী', 'গুণমানসম্পন্ন', 'গুণীর', 'গুণবতী']
['বেগম', 'বেগমের', 'পুণ্যবান', 'বেগমও', 'বেগমকে', 'পুণ্যময়', 'আশীর্বাদপুষ্ট', 'বেগমদের', 'বেগমকেও', 'গুণবান']
['বেগম', 'বুদ্ধিমান', 'স্মার্ট', 'বেগমের', 'বুদ্ধিমতী', 'বুদ্ধিমানের', 'বুদ্ধিসম্পন্ন', 'জ্ঞানীর', 'জ্ঞানী', 'বিজ্ঞ']
['বেগম', 'শ্রীমান', 'বেগমের', 'সাম্মাম', 'সাইমুম', 'শামিমের', 'শামীম', 'শামিম', 'সামীম', 'সামিন']
['বিজয়ম', 'বেগম', 'বিজয়', 'বিজয়', 'বিজয়ও', 'বিজয়ের', 'বেগমের', 'বিজয়ের', 'জয়', 'বিজয়পাত']
['বেগম', 'পাঠক', 'বেগমের', 'পাঠকেরা', 'পাঠকই', 'পাঠকরা', 'পাঠকারী', 'পাঠকের', 'পাঠকও', 'পাঠকে']
['বেগম', 'লেখক', 'বেগমের', 'লেখকের', 'লেখকই', 'বেগমও', 'লেখকও', 'বেগমকে', 'লেখকঃ', 'লেখকবৃন্দ']
['বেগম', 'বেগমের', 'বেগমও', 'বেগমকে', 'বেগমকেও', 'গায়কি', 'গায়ক', 'গায়বী', 'গাইয়ুম', 'গামের']
['বেগম', 'বেগমও', 'বেগমের', 'বেগমকে', 'বেমা', 'বাচ্চা', 'খোকা', 'বাচ্চাকাচ্চা', 'বেম', 'শিশু']
['বেগম', 'শিক্ষার্থী', 'ছাত্রছাত্রী', 'ছাত্র', 'ছাত্রী', 'স্টুডেন্ট', 'ছাত্রছাত্রীর', 'ছাত্রই', 'ছাত্রীর', 'শিক্ষার্থী৷']
['বেগম', 'বেগমের', 'বেগমও', 'শিক্ষিকার', 'বেগমকে', 'শিক্ষিকা', 'শিক্ষক', 'শিক্ষয়িত্রী', 'শিক্ষকনেতা', 'স্কুলশিক্ষিকা']
['বেগম', 'বেগমের', 'বেগমও', 'বেগমকে', 'বেগমকেও', 'বেগমদের', 'নেতা', 'বেগমসহ', 'বেগমপেট', 'মাথা']
['বেগম', 'বেগমের', 'বেগমও', 'বেগমকে', 'পাগল', 'বেহমাই', 'পাগলামো', 'উন্মাদ', 'পাগলী', 'পাগলের']
['বেগম', 'প্রিয়', 'বেগমের', 'প্রিয়', 'প্রিয়তমার', 'প্রিয়তমার', 'প্রিয়তমা', 'প্রিয়তমা', 'প্রিয়পাত্র', 'প্রিয়জন']
['বেগম', 'বেগমের', 'কনিষ্ঠ', 'বেগমও', 'কমবয়সী', 'বেগমকে', 'কমবয়সী', 'কমবয়েসী', 'বেগমদের', 'কনিষ্ঠতম']
['বেগম', 'বেগমের', 'লোক', 'বেগমও', 'মানুষ', 'লোকজন', 'মানুহ', 'লোকজনের', 'বেগমদের', 'বেগমকে']
['বেগম', 'শ্রমিক', 'শ্রমজীবী', 'চাকরিজীবী', 'কর্মজীবী', 'বেগমের', 'শ্রমজীবি', 'চাকরিজীবীর', 'শ্রমিকের', 'চাকুরীজীবি']
['বাবা', 'বাবাই', 'বাবার', 'বাবামায়ের', 'বাবামা', 'পিতা', 'বাবাকে', 'বাবারা', 'বাবাদের', 'পিতৃ']
['চাচা', 'চাচাতো', 'চাচাও', 'চাচী', 'চাচীর', 'ভাতিজি', 'শ্বাশুড়ি', 'ভাতৃদ্বয়', 'চাচাত', 'ভাতিজা']
['দাদাভাই', 'দাদাপীর', 'দাদা', 'দাদাজী', 'দাদুর', 'দাদু', 'বড়ভাই', 'দাদামশাই', 'বড়ভাই', 'দাদার']
['', '', '', '', '', '', '', '', '', '']
['নানা', 'নানাজনের', 'নানাবতী', 'নানান', 'নানার', 'নানাকি', 'নানাবাড়ি', 'নানাবাড়ি', 'নন্নী', 'নন্দিনী']
['জেলে', 'জেলেই', 'জেলেকে', 'জেলের', 'জেলহাজতে', 'জেলবন্দী', 'বন্দীশালায়', 'জেলেও', 'বন্দীশালায়', 'কারাবন্দীর']
['ধোপা', 'ধোপার', 'ধোপাপাড়া', 'ধোপাদী', 'ধোয়ার', 'ধোওয়া', 'ধোয়ামোছার', 'ধোওয়ার', 'ধোয়া', 'ধোয়া']
['বেদে', 'সমুদ্রপৃষ্ঠে', 'বালুতে', 'সমুদ্রতলে', 'সমুদ্রমন্থনে', 'ভূপৃষ্ঠে', 'সমুদ্রতলের', 'স্থলভূমিতে', 'বেদেনী', 'সমুদ্রতটে']
['গুরু', 'গুরুজন', 'গুরুর', 'গুরুই', 'গুরুজনের', 'গুরুজির', 'গুরুগম্ভীর', 'গুরুকে', 'গুরুগণ', 'গুরুরা']
['ছেলে', 'ছে\u200cলে', 'ছেলের', 'ছেলেমেয়ে', 'ছেলেসন্তান', 'ছেলেসন্তানের', 'ছেলেমেয়ে', 'ছেলেমেয়ের', 'ছেলেমেয়ের', 'ছেলেমানুষি']
['বর', 'বরই', 'বী', 'বিরুনির', 'বণী', 'বীণ', 'বিরুনি', 'বীন', 'ব্রি', 'বানারী']
['বাদশা', 'বাদশার', 'বাদশাকে', 'বাদশাহের', 'বাদশাহরা', 'বাদশাহি', 'বাদশাদের', 'বাদশাহী', 'বাদশাহো', 'বাদশাহ']
['বাঘই', 'বাঘিনী', 'বাঘ', 'বাঘী', 'বাঘটি', 'বাঘের', 'বাঘও', 'বাঘিনীর', 'বাঘি', 'বাঘকে']
['যোগিনী', 'যোগী', 'যোগিনীর', 'যোগীর', 'যোগি', 'যোগেশ্বরী', 'যোগিনীদের', 'যোগীরা', 'যোগীকে', 'যোগীদের']
['তেজস্বী', 'তেজস্বিনী', 'তেজস্ক্রিয়', 'তেজস্বীর', 'উজ্জয়িনী', 'তেজস্ক্রিয়', 'বজ্রযানী', 'তেজুকার', 'উজ্জয়িনীর', 'তেজদীপ্ত']
['কিশোরী', 'কিশোর', 'কিশোরের', 'কিশোরই', 'কিশোরীর', 'কিশোরেরা', 'কিশোরীমোহনের', 'কিশোরকালীন', 'কিশোররা', 'কিশোরীরা']
['ন্যিন', 'নানির', 'নী', 'নরনারীর', 'ন্যি', 'নর', 'নরি', 'নলিনী', 'নওরীন', 'নায়ের']
['সুন্দর', 'সুন্দরের', 'সৌন্দর্যময়', 'সুদৃশ্য', 'সুদর্শনের', 'সুন্দরী', 'সুন্দরীর', 'সুদর্শন', 'সৌন্দর্যমন্ডিত', 'সৌন্দর্যমণ্ডিত']
['গুণবান', 'গুণী', 'গুণগ্রাহী', 'গুণীর', 'গুণসম্পন্ন', 'গুণীজনের', 'গুণমানসম্পন্ন', 'গুণান্বিত', 'গুণকাম', 'গুণীজন']
['পুণ্যবান', 'পুণ্যময়', 'সুভাষিণীর', 'গুরুত্তপূর্ণ', 'দয়াময়ীর', 'আশীর্বাদপুষ্ট', 'গুণবান', 'কল্যাণময়', 'দয়াময়ী', 'প্রসন্নময়ী']
['বুদ্ধিমান', 'বুদ্ধিমতী', 'বুদ্ধিসম্পন্ন', 'বুদ্ধিমানের', 'বুদ্ধিমত্তাসম্পন্ন', 'বুদ্ধিদীপ্ত', 'বুদ্ধিজীবী', 'বিজ্ঞের', 'বুদ্ধিমতি', 'বুদ্ধির']
['শ্রীমান', 'শ্রীরামকৃষ্ণের', 'শ্রীরামকৃষ্ণ', 'শ্রীমন্ত', 'শ্রীনিবাসন', 'শ্রীনদী', 'শ্রীশ্রীরামকৃষ্ণ', 'শ্রীময়ী', 'শ্রীরামকৃষ্ণকে', 'শ্রীরঙ্গমের']
['বিজয়', 'বিজয়ের', 'বিজয়পাত', 'বিজয়', 'বিজয়ের', 'বিজয়ও', 'বিজয়িনী', 'বিজয়া', 'বিজয়ন', 'বিজয়কে']
['পাঠক', 'পাঠকের', 'পাঠকারী', 'পাঠকেরা', 'পাঠকরা', 'পাঠকে', 'পাঠকদের', 'পাঠকই', 'পাঠককে', 'পাঠকদেরকে']
['লেখক', 'লেখকের', 'লেখকই', 'লেখনীর', 'লেখকও', 'লেখকেরা', 'লেখিকার', 'লেখকগণের', 'লেখককে', 'রচনাকার']
['গায়কীর', 'গায়িকার', 'গায়ক', 'গায়ক', 'গায়কের', 'গায়কোয়াড়', 'গায়িকার', 'গায়কী', 'গায়কোয়াড়ের', 'গায়কির']
['খোকা', 'বাচ্চাকাচ্চা', 'খোকাবাবু', 'বাচ্চা', 'শিশুকন্যাকে', 'শিশুকন্যার', 'খোকার', 'শিশুসন্তান', 'বালকি', 'শিশুকন্যা']
['ছাত্রছাত্রীর', 'ছাত্রছাত্রী', 'শিক্ষার্থী', 'ছাত্র', 'শিক্ষার্থীর', 'ছাত্রীর', 'ছাত্রের', 'স্টুডেন্ট', 'ছাত্রছাত্রীকে', 'ছাত্রী']
['শিক্ষকনেতা', 'শিক্ষক', 'শিক্ষিকার', 'শিক্ষয়িত্রী', 'শিক্ষকের', 'শিক্ষকেরা', 'শিক্ষকনেতারা', 'শিক্ষিকা', 'শিক্ষিকারা', 'শিক্ষকবৃন্দ']
['নেতা', 'নেতার', 'নেতাকর্মী', 'নেত্রীর', 'নেত্রী', 'নেতাকর্মীর', 'নেতা৷', 'নেতাকে', 'নেতাজীর', 'নেতাও']
['পাগলের', 'পাগলীর', 'পাগলী', 'পাগল', 'উন্মাদের', 'পাগলামির', 'পাগলার', 'পাগলাপীর', 'পাগলি', 'পাগলপ্রায়']
['প্রিয়', 'প্রিয়', 'প্রিয়তমার', 'প্রিয়দর্শী', 'প্রিয়জন', 'প্রিয়জন', 'প্রিয়পাত্র', 'প্রিয়তমার', 'প্রিয়পাত্রী', 'প্রিয়ভাজন']
['কনিষ্ঠ', 'কনিষ্ঠতম', 'কমবয়সী', 'কমবয়সী', 'কিশোরী', 'কিশোরের', 'সর্বকনিষ্ঠ', 'অল্পবয়স', 'অল্পবয়সী', 'কিশোরই']
['লোক', 'মানুষজন', 'মানুষ', 'মানুষের', 'মানু\u200cষের', 'মানুষজনের', 'মানুহ', 'মানুষদের', 'মানুষী', 'লোকজন']
['শ্রমিক', 'শ্রমিকের', 'চাকরিজীবীর', 'শ্রমিকনেতা', 'কর্মী', 'চাকরিজীবী', 'শ্রমিকই', 'শ্রমিকদের', 'শ্রমিকগণ', 'কর্মীর']
['বাবা', 'বাবামা', 'বাবারা', 'বাবাই', 'বাবামায়ের', 'পিতৃ', 'পিতা', 'পিতামহ', 'বাবার', 'বাবাজি']
['চাচা', 'ভাতিজি', 'চাচাত', 'চাচাতো', 'ঠাকুমার', 'চাচী', 'খালার', 'চাচীর', 'শ্বাশুড়ি', 'ভাতৃ']
['দাদাজী', 'দাদাপীর', 'দাদাভাই', 'দাদা', 'দাদু', 'দাদী', 'দাদামশাই', 'দাদুর', 'দাদার', 'দাদি']
['', '', '', '', '', '', '', '', '', '']
['নানা', 'নানাবাড়ি', 'নানাবতী', 'নানাকি', 'নানাজনের', 'নানাবাড়ি', 'নানান', 'নানার', 'নন্নী', 'বানারী']
['জেলে', 'জেলের', 'জেলেই', 'জেলেকে', 'জেলবন্দী', 'জেলেপল্লির', 'কারাবন্দীর', 'জেলহাজতে', 'কয়েদির', 'জেলেও']
['ধোপা', 'ধোপাদী', 'ধোপার', 'ধোপাপাড়া', 'ধোয়ামোছার', 'ধুবড়ী', 'ধোয়ার', 'ধোওয়ার', 'ধুবড়ির', 'ধমণী']
['বেদে', 'বেদেনী', 'বালুচরে', 'বালুতে', 'বালুর', 'পীরে', 'বেদেদের', 'মৃত্তিকায়', 'পাতলে', 'বেসিনে']
['গুরু', 'গুরুজন', 'গুরুর', 'গুরুই', 'গুরুগম্ভীর', 'গুরুজনের', 'গুরুজির', 'গুনী', 'গুরুজি', 'গুরুগণ']
['ছেলেমেয়ে', 'ছেলে', 'ছে\u200cলে', 'ছেলেধরার', 'ছেলেসন্তান', 'ছেলের', 'ছেলেমানুষি', 'ছেলেবন্ধু', 'ছেলেমেয়ে', 'ছেলেসন্তানের']
['বর', 'বরই', 'বীণ', 'বণী', 'বী', 'বাযের', 'বানীর', 'বানির', 'বারুণী', 'বানারী']
['বাদশা', 'বাদশার', 'বাদশাহরা', 'বাদশাহী', 'বাদশাহি', 'বাদশাকে', 'বাদশাহের', 'বাণরাজার', 'বাদশাহর', 'বাদশাদের']
['কাঙ্গালিনী', 'কাঙ্গাল', 'গঙ্গানদী', 'কাংসি', 'কানজি', 'ক্যানাল', 'কালনাগিনী', 'কঙ্গনাই', 'গাঙ্গুলী', 'গালানগল']
['যোগিনী', 'যোগী', 'যোগীর', 'যোগিনীর', 'যোগি', 'জায়েগী', 'যোগেশ্বরী', 'জায়গীর', 'যোগীরা', 'যোগীকে']
['তেজস্বী', 'তেজস্বিনী', 'তেজস্বীর', 'তেজস্ক্রিয়', 'বজ্রযানী', 'তরুক্ষীর', 'জবরদস্তির', 'ধ্বজাধারী', 'বাজসনেয়ী', 'ভবশঙ্করী']
['কিশোরী', 'কিশোর', 'কিশোরের', 'কিশোরই', 'কিশোরীর', 'কমবয়সী', 'শৈশবকালীন', 'বয়েসী', 'কিশোরেরা', 'অল্পবয়সী']
['নর', 'নরনারী', 'নরনারীর', 'নটীর', 'নানির', 'নানীর', 'নন্নী', 'নরি', 'নার', 'ন্যি']
['সুন্দর', 'সৌন্দর্যময়', 'সুন্দরের', 'সুদৃশ্য', 'সুন্দরী', 'সুদর্শনের', 'সুদর্শন', 'সুন্দরীর', 'সৌন্দর্যমণ্ডিত', 'সৌন্দর্যমন্ডিত']
['গুণবান', 'গুণীর', 'গুণী', 'গুণগ্রাহী', 'গুণকাম', 'গুণনীয়ক', 'গুণসম্পন্ন', 'গুণীজন', 'গুণবতী', 'গুণান্বিত']
['পুণ্যবান', 'পুণ্যময়', 'গুরুত্তপূর্ণ', 'গুণবান', 'প্রসন্নময়ী', 'সুভাষিণীর', 'প্রসন্নময়ীর', 'আশীর্বাদপুষ্ট', 'গুণীর', 'সুপণ্ডিত']
['বুদ্ধিমতী', 'বুদ্ধিমান', 'বুদ্ধিসম্পন্ন', 'বুদ্ধিমানের', 'বুদ্ধিদীপ্ত', 'বুদ্ধিমত্তাসম্পন্ন', 'বুদ্ধির', 'বিজ্ঞের', 'জ্ঞানীর', 'বুদ্ধিপ্রতিবন্ধী']
['শ্রীমান', 'শ্রীময়ী', 'শ্রীমন্ত', 'রামানির', 'শ্রীরঙ্গমের', 'শ্রীনদী', 'সামিন', 'শারমিন', 'রমনীর', 'শারমিনের']
['বিজয়', 'বিজয়ের', 'বিজয়িনী', 'বিজয়ি', 'বিজয়ন', 'বিজয়িনী', 'বিজয়া', 'বিজয়পাত', 'বিজয়', 'জয়ীর']
['পাঠক', 'পাঠকারী', 'পাঠকের', 'পড়শী', 'পাঠকই', 'পাঠকেরা', 'পাঠকরা', 'পাঠকে', 'পাঠকদের', 'পড়তির']
['লেখক', 'রচনাকার', 'রচনাকারী', 'লেখকের', 'লেখিকার', 'লেখনীর', 'রচনাবিদ', 'প্রণেতার', 'গ্রন্থকারের', 'গ্রন্থকার']
['গায়কী', 'গায়কীর', 'গায়কি', 'গায়ক', 'গায়কোয়াড়', 'গায়ক', 'গায়কির', 'গায়বী', 'গায়কোয়াড়ের', 'গীতকার']
['বাচ্চাকাচ্চা', 'খোকা', 'খোকার', 'বালকি', 'খোকাবাবু', 'খুদে', 'বাচ্চা', 'বালকা', 'শিশুসন্তান', 'বালক']
['ছাত্রছাত্রী', 'শিক্ষার্থী', 'ছাত্র', 'ছাত্রী', 'ছাত্রীর', 'ছাত্রছাত্রীর', 'স্কুলছাত্রী', 'শিক্ষার্থীর', 'স্কুলছাত্র', 'ছাত্রের']
['শিক্ষক', 'শিক্ষয়িত্রী', 'শিক্ষিকার', 'শিক্ষকনেতা', 'শিক্ষিকা', 'শিক্ষনুরাগী', 'শিক্ষিকারা', 'অধ্যাপনার', 'শিক্ষকনেতারা', 'শিক্ষকমন্ডলী']
['নেতা', 'নেতাকর্মী', 'নেত্রী', 'নেতাজীর', 'নেত্রীর', 'নেতার', 'নেতাই', 'নেতাকর্মীর', 'নেতাজী', 'নেতায়']
['পাগলীর', 'পাগলী', 'পাগলি', 'পাগলামির', 'পাগল', 'পাগলার', 'পাগলের', 'পাগলাপীর', 'পাগলু', 'উন্মাদের']
['প্রিয়', 'প্রিয়', 'প্রিয়পাত্র', 'প্রিয়দর্শী', 'প্রিয়জন', 'প্রেমী', 'প্রেমি', 'প্রিয়তমার', 'প্রিয়জন', 'প্রিয়পাত্র']
['কনিষ্ঠ', 'কমবয়সী', 'কমবয়সী', 'কিশোরী', 'কনিষ্ঠতম', 'ক্ষুদ্রকাঠী', 'লঘিষ্ঠ', 'কমবয়েসী', 'ছোটবেলার', 'অল্পবয়স']
['লোক', 'মানুষী', 'মানুষজন', 'মানুহ', 'লোকমান', 'মানুষ', 'জনমানব', 'লোকজন', 'মানুষিক', 'লোকের']
['শ্রমিক', 'শ্রমিকের', 'কর্মচারি', 'চাকরিজীবীর', 'শ্রমজীবী', 'চাকরিজীবী', 'কর্মী', 'শ্রমিকই', 'কর্মকার', 'শ্রমজীবি']
['বাবা', 'বাবাই', 'বাবামা', 'পিতা', 'বাবাকে', 'বাবার', 'পিতৃ', 'বাবারা', 'পিতাই', 'বাপের']
['চাচা', 'চাচাও', 'চাচাতো', 'চাচাত', 'চাচী', 'খালা', 'চাচাতো', 'ভাইবোন', 'ঠাকুমার', 'ভাতিজা']
['দাদা', 'দাদাভাই', 'দাদু', 'দাদুর', 'দাদাপীর', 'বড়ভাই', 'দাদার', 'বড়ভাই', 'ঠাকুমা', 'দাদী']
['', '', '', '', '', '', '', '', '', '']
['নানা', 'নানাজনের', 'নানার', 'নানান', 'নানাকি', 'ননিন', 'নন্নী', 'নানাবতী', 'নানীর', 'ননি']
['জেলে', 'জেলেই', 'জেলেকে', 'জেলহাজতে', 'জেলবন্দী', 'জেলের', 'জেলেও', 'কারাগারে', 'জেলেনা', 'কারাদন্ডে']
['ধোপা', 'ধাবা', 'ধোওয়া', 'ধোপাপাড়া', 'ধোপাঘাটা', 'ধোপার', 'ধোয়া', 'ধামা', 'ধুনট', 'ধোয়া']
['বেদে', 'বালুতে', 'সমুদ্রপৃষ্ঠে', 'ভূবনে', 'কূলে', 'সমুদ্রতলে', 'পীরে', 'তূলনায়', 'বালুচরে', 'ভূপৃষ্ঠে']
['গুরু', 'গুরুজন', 'গুরুর', 'গুরুজনের', 'গুরুই', 'ਗੁਰੂ', 'গুরুকে', 'গুরুরা', 'গুরুগণ', 'গুরুপদ']
['ছেলে', 'ছে\u200cলে', 'ছেলের', 'ছেলেমেয়ে', 'ছেলেসন্তান', 'ছেলেমেয়ে', 'ছেলেকে', 'ছেলেবন্ধু', 'ছেলেমানুষি', 'ছেলেই']
['বর', 'বীণ', 'বানর', 'বরন', 'বীন', 'বণী', 'বানরের', 'বান', 'বাণের', 'বাণ']
['বাদশা', 'বাদশার', 'বাদশাকে', 'বাদশাহরা', 'বাদুড়', 'বাদশাহের', 'বাদশাহ', 'বাদশাহো', 'বাদশাহি', 'বাদশাহী']
['কাঙ্গাল', 'কাঙ্গালিনী', 'কঙ্গনার', 'গালানগল', 'ক্যানাল', 'ক্যানালের', 'কঙ্গনা', 'কাননের', 'কানন', 'কানান']
['বাঘ', 'বাঘটি', 'বাঘও', 'বাঘই', 'বাঘের', 'বাঘী', 'বাঘি', 'বাঘিনী', 'বাঘকে', 'বাঘবেড়']
['তেজস্বী', 'তেজস্বিনী', 'তেজস্ক্রিয়', 'তেজস্বীর', 'তেজুকার', 'তেজুকা', 'তেজদীপ্ত', 'তানজীব', 'তেজস্ক্রিয়', 'বজ্রযানী']
['কিশোর', 'কিশোরী', 'কিশোরের', 'কিশোরই', 'কিশোরীর', 'কিশোরীকে', 'কিশোরটি', 'কিশোরকে', 'কিশোরেরা', 'কিশোররা']
['নর', 'নর্ন', 'ন্যিন', 'নান', 'নার', 'নরের', 'নুন', 'নাইন', 'নরেন', 'নানের']
['সুন্দর', 'সুন্দরের', 'সুদৃশ্য', 'সুদর্শন', 'সুন্দরী', 'সুন্দরীর', 'সৌন্দর্যময়', 'সুদর্শনের', 'সুন্দরকে', 'সুন্দরি']
['গুণবান', 'গুণী', 'গুণীর', 'গুণকাম', 'গুণসম্পন্ন', 'গুণান্বিত', 'গুণগ্রাহী', 'গুণনীয়ক', 'গুণীজনের', 'গুণীজন']
['পুণ্যবান', 'পুণ্যময়', 'গুণবান', 'গুরুত্তপূর্ণ', 'সুপণ্ডিত', 'কুরবান', 'সুভাষিণীর', 'কল্যাণময়', 'আশীর্বাদপুষ্ট', 'দয়াময়ীর']
['বুদ্ধিমান', 'বুদ্ধিমতী', 'বুদ্ধিমানের', 'বুদ্ধিসম্পন্ন', 'বুদ্ধিদীপ্ত', 'বুদ্ধির', 'বুদ্ধিমত্তাসম্পন্ন', 'বুদ্ধিমতি', 'বিজ্ঞ', 'বিজ্ঞের']
['শ্রীমান', 'শ্রীমন্ত', 'সিংমান', 'সিনামনের', 'সিনামন', 'শ্রীরঙ্গমের', 'শ্রীনাথ', 'শ্রীরঙ্গম', 'সামিন', 'সুরিনাম']
['বিজয়', 'বিজয়', 'বিজয়পাত', 'বিজয়ের', 'জয়ের', 'জয়লাভ', 'বিজয়ন', 'বিজয়া', 'বিজয়ের', 'বিজয়ন']
['পাঠক', 'পাঠকারী', 'পাঠকের', 'পাঠকই', 'পাঠকে', 'পাঠকরা', 'পাঠকেরা', 'পাঠককে', 'পাঠকদের', 'পাঠকও']
['লেখক', 'লেখকের', 'লেখকই', 'রচনাকার', 'রচনাকারী', 'লেখিকার', 'লেখনীর', 'লেখকও', 'লেখিকা', 'প্রণেতার']
['গায়ক', 'গায়ক', 'গায়কীর', 'গায়কোয়াড়', 'গায়িকার', 'গায়কী', 'গীতকার', 'গায়কের', 'গায়িকার', 'গীতিকার']
['খোকা', 'বাচ্চাকাচ্চা', 'খোকাবাবু', 'খোকার', 'খোকাকে', 'বাচ্চা', 'খুদে', 'শিশুকন্যা', 'শিশু', 'শিশুকন্যার']
['ছাত্র', 'শিক্ষার্থী', 'ছাত্রছাত্রী', 'ছাত্রী', 'স্টুডেন্ট', 'ছাত্রছাত্রীর', 'ছাত্রীর', 'শিক্ষার্থীর', 'ছাত্রের', 'ছাত্রছাত্রীকে']
['শিক্ষক', 'শিক্ষকনেতা', 'শিক্ষিকার', 'শিক্ষিকা', 'শিক্ষয়িত্রী', 'শিক্ষকের', 'শিক্ষকই', 'শিক্ষিকাকে', 'শিক্ষিকারা', 'শিক্ষকেরা']
['নেতা', 'নেত্রী', 'নেতা৷', 'নেতার', 'নেতাকে', 'নেতাই', 'নেতাও', 'নেত্রীর', 'নেতায়', 'নেতাকেই']
['পাগল', 'পাগলের', 'পাগলী', 'পাগলি', 'পাগলীর', 'উন্মাদ', 'পাগলা', 'পাগলার', 'পাগলামির', 'পাগলপ্রায়']
['প্রিয়', 'প্রিয়', 'প্রিয়জন', 'প্রিয়পাত্র', 'প্রিয়তমার', 'প্রিয়জন', 'প্রিয়তমা', 'প্রিয়ভাজন', 'প্রিয়তমার', 'প্রিয়দর্শী']
['কনিষ্ঠ', 'কনিষ্ঠতম', 'কমবয়সী', 'কমবয়সী', 'লঘিষ্ঠ', 'কিশোরী', 'ক্ষুদ্রতম', 'ক্ষুদ্রতর', 'অল্পবয়স', 'কিশোরের']
['লোক', 'মানুহ', 'মানুষ', 'মানুষজন', 'লোকক', 'লোকজন', 'মানুষজনের', 'মানুষেরা', 'মানুষের', 'মানু\u200cষের']
['শ্রমিক', 'শ্রমিকের', 'কর্মী', 'শ্রমিকনেতা', 'শ্রমিকই', 'চাকরিজীবীর', 'কর্মীর', 'শ্রমিককে', 'কর্মচারি', 'কর্মকার']
['বাবা', 'বাবাই', 'পিতা', 'বাবাকে', 'বাবার', 'বাবামা', 'পিতাই', 'পিতৃ', 'বাবারা', 'বাপের']
['চাচা', 'চাচাও', 'চাচাত', 'চাচাতো', 'চাচী', 'ভাই', 'চাচাকে', 'চাচাতো', 'চাচীর', 'ভাইয়ের']
['দাদা', 'দাদু', 'দাদাভাই', 'দাদুর', 'আব্বা', 'আব্বু', 'দাদার', 'বড়ভাই', 'আব্বস', 'বড়ভাই']
['', '', '', '', '', '', '', '', '', '']
['নানা', 'নানান', 'নানাজনের', 'নানার', 'নানাকি', 'নানাপ্রকার', 'নানাবাড়ি', 'বিবিধ', 'নানারকমের', 'নানারকম']
['জেলে', 'জেলেই', 'জেলেকে', 'জেলের', 'জেলহাজতে', 'জেলবন্দী', 'জেলেও', 'জেলখানায়', 'কারাগারে', 'জেলখানায়']
['ধোপা', 'ধোপার', 'ধোওয়া', 'ধাবা', 'ধোপাপাড়া', 'ধোপাঘাটা', 'ধোয়া', 'ধোওয়ার', 'ধড়ক', 'ধোয়া']
['বেদে', 'বালুতে', 'বালুর', 'বালুচরে', 'সমুদ্রপৃষ্ঠে', 'সমুদ্রতলে', 'পীরে', 'মৃত্তিকায়', 'সমুদ্রতটে', 'ভূপৃষ্ঠে']
['গুরু', 'গুরুর', 'গুরুজন', 'গুরুই', 'ਗੁਰੂ', 'গুরুকে', 'গুরুজনের', 'গুরুপদ', 'গুরুরা', 'গুরুগণ']
['ছেলে', 'ছে\u200cলে', 'ছেলের', 'ছেলেকে', 'ছেলেমেয়ে', 'ছেলেসন্তান', 'ছেলেই', 'ছেলেমেয়ে', 'ছেলেবন্ধু', 'ছেলেটা']
['বর', 'বরন', 'বীণ', 'বরই', 'বরও', 'বুর', 'বির', 'বানর', 'বয়', 'বয়']
['বাদশা', 'বাদশার', 'বাদশাকে', 'বাদুড়', 'বাদুড়', 'বাদশাহ', 'বাদশাহো', 'বাদশাহের', 'বাদশাহরা', 'বাদশাহ্\u200c']
['কাঙ্গাল', 'কাঙ্গালিনী', 'গালানগল', 'ক্যানাল', 'ক্যানালের', 'ক্যাঙ্গারু', 'কাঞ্জোয়াল', 'কাঙাল', 'কাঞ্জিলাল', 'কাং']
['বাঘ', 'বাঘও', 'বাঘটি', 'বাঘের', 'বাঘই', 'বাঘী', 'বাঘি', 'বাঘেল', 'বাঘে', 'বাঘকে']
['যোগী', 'যোগি', 'যোগীর', 'যোগিনী', 'যোগিনীর', 'যোগীকে', 'যোগীরা', 'যোগেশ্বরী', 'যোগজ', 'যোগেশ্বর']
['কিশোর', 'কিশোরী', 'কিশোরের', 'কিশোরই', 'অল্পবয়স্ক', 'কমবয়সী', 'কিশোরকালীন', 'অল্পবয়সী', 'কিশোরকে', 'শৈশবকালীন']
['নর', 'নার', 'নরের', 'নল', 'নর্ন', 'নাইর', 'নলের', 'নর্ম', 'নোর', 'নুনের']
