['দুটা', 'দুই', 'দু\u200cই', '\u200dদুই', 'দুইটি', 'ফার্স্ট', 'দ্বিতীয়া', 'দ্বিতীয়তম', 'প্রথমা', 'দুইটা']
['পঞ্চমী', 'পঞ্চম', 'পঞ্চমীর', 'পঞ্চমত', 'পঞ্চমটি', 'পঞ্চমাত্রিক', 'পাঁচ', 'পঞ্চমুখ', 'পাঁচের', 'পঞ্চমুখী']
['ছয়', 'ছয়ের', 'ছয়টা', 'ছয়', 'ছয়টা', 'ছয়ের', 'ছয়টি', 'ষষ্ঠী', 'ছয়টি', 'ছয়জন']
['সপ্তমী', 'সাতাত্তর', 'সাতই', 'সাতি', 'সপ্তম', 'সপ্তমুখী', 'সাতান্ন', 'সাতত্যের', 'সাত্যকি', 'সাতান্নতম']
['অষ্টমী', 'অষ্টম', 'একাদশী', 'অষ্টমীর', 'একাদশ', 'একাদশই', 'একাদশটা', 'আট', 'একাদশের', 'একাদশীর']
['নয়', 'নন', 'নয়', 'নহে', 'নহি', 'নয়ই', 'নয়ই', 'না', 'নাই', 'নি']
['একাদশী', 'দশমী', 'দশম', 'একাদশ', 'একাদশীর', 'একাদশটা', 'দশ', 'দশনামী', 'একাদশের', 'দশেরা']
['বারো', 'বারোতম', 'বার্ব', 'একাদশী', 'বারোটি', 'বারোটার', 'বারোটা', 'একাদশ', 'বারজন', 'বিংশ']
['একাদশী', 'একাদশ', 'একাদশীর', 'একাদশের', 'একাদশটা', 'একাদশই', 'একাদশটি', 'একাদশকে', 'একাদশতম', 'চতুৰ্থ']
['একাদশী', 'চৌদ্দতম', 'একাদশ', 'একাদশীর', 'চতুৰ্থ', 'চতুর্দশপদী', 'একাদশের', 'একাদশটি', 'একাদশতম', 'চতুর্দশ']
['একাদশী', 'পনেরতম', 'একাদশীর', 'একাদশের', 'একাদশটা', 'একাদশ', 'একাদশটি', 'একাদশতম', 'একাদশই', 'পনেরোটি']
['ষোলতম', 'ষষ্ঠী', 'একাদশী', 'একাদশ', 'ষষ্ঠ', 'ষষ্ঠীর', 'ষোলনল', 'ষষ্ঠীতলা', 'ষষ্ঠীপদ', 'একাদশটা']
['একাদশী', 'একাদশীর', 'একাদশটা', 'একাদশের', 'একাদশটি', 'একাদশ', 'একাদশই', 'একাদশতম', 'একাদশকে', 'একাদশটাই']
['একাদশী', 'একাদশীর', 'একাদশ', 'একাদশটা', 'একাদশতম', 'একাদশের', 'একাদশটি', 'একাদশই', 'একাদশকে', 'একাদশটাই']
['এক', 'একচেটিয়া', 'একের', 'একচেটিয়া', 'একন্', 'একটা', 'এজন', 'একটার', 'একটী', 'একনের']
['দ্বায়ী', 'দ্বৈতের', 'দ্বয়', 'দুয়েকের', 'দ্বৈবচয়নের', 'দ্বৈত', 'দুদ্দু', 'দুই', 'দু\u200cই', '\u200dদুই']
['তিনাশি', 'তিনসুকীয়া', 'তিন্ত', 'তিনিচুকীয়া', 'তিনমাথা', 'তিনের', 'তিনটে', 'ত্রিশূর', 'ত্রিচি', 'তিন']
['চতুর্দশপদী', 'চতুর্দশ', 'চতুৰ্থ', 'চতুর্দ্দশ', 'চতুর্বিংশ', 'চতুর্বেদী', 'দ্বাদশী', 'চতুর্থী', 'চতুর্থীর', 'চতুষ্পাঠী']
['পঞ্চদশী', 'পাঁচথুবী', 'পঞ্চবটী', 'পঞ্চপদী', 'পঞ্চমী', 'পঞ্চমুণ্ডির', 'পাঁচপীর', 'পঞ্চসার', 'পঞ্চমুখী', 'পঞ্চরত্ন']
['ছয়ের', 'ছয়', 'ছয়টা', 'ছয়টি', 'ছয়', 'ছয়টা', 'ছয়ের', 'ছয়েক', 'ছয়টি', 'ছয়দফার']
['সাতাত্তর', 'সাত্যকি', 'সাতই', 'সাতি', 'সাতান্ন', 'সাতত্যের', 'সপ্তমুখী', 'সপ্তসিন্ধু', 'সাতমসজিদ', 'সাতের']
['অষ্টমী', 'অষ্টমীর', 'আটের', 'আট', 'আটাশ', 'আটটি', 'আটটা', 'অষ্টম', 'আটচল্লিশ', 'আটচল্লিশতম']
['নয়', 'নয়', 'নহে', 'নয়ই', 'নন', 'নয়ই', 'নয়ছয়', 'হচ্ছেনা', 'না', 'নাইছ']
['দশাশ্বমেধ', 'দশনামী', 'দশমী', 'দশরথের', 'দশরথি', 'দশের', 'দশসনা', 'দশ', 'দশরথ', 'দশেক']
['এগারসিন্দুর', 'সপ্তদশ', 'দ্বাদশীর', 'দ্বাদশী', 'এগারসিন্ধুর', 'সপ্তাদশ', 'এগারতম', 'এগারটি', 'সতেরতম', 'আঠাশতম']
['দ্বাদশী', 'তেত্রিশ', 'তেত্রিশটি', 'ত্রয়োদশ', 'ছত্রিশ', 'দ্বাদশীর', 'তেইশটি', 'চৌত্রিশ', 'তেইশতম', 'তেইশ']
['দ্বাদশী', 'চৌদ্দ', 'দ্বাদশীর', 'চৌদ্দশ', 'চৌদ্দটি', 'চৌদ্দজন', 'চৌষট্টিটি', 'চোদ্দোটি', 'ষোড়শী', 'চতুর্দশপদী']
['পঞ্চদশী', 'পঞ্চরত্নের', 'পঞ্চরত্ন', 'পনেরোটি', 'পঞ্চনামা', 'পঞ্চাননের', 'পনেরতম', 'পঞ্চান্ন', 'পঞ্চবিংশতি', 'পঁচিশের']
['ষোড়শী', 'ষোড়শী', 'ষষ্ঠদশ', 'ষোলতম', 'ষোড়শিক', 'ষোলোজন', 'ষোলোটি', 'ষোলটি', 'ষাটের', 'ষোলজন']
['সপ্তাদশ', 'সতেরোটি', 'সপ্তশতী', 'সপ্তদশ', 'সপ্তসিন্ধু', 'সতেরটি', 'সতেরতম', 'সতের', 'সতেরো', 'ছত্তীসগঢ়ের']
['আঠাশতম', 'ষোড়শী', 'সপ্তদশ', 'সপ্তাদশ', 'ষোড়শী', 'আঠারোর', 'দ্বাদশী', 'আঠাশ', 'দ্বাদশীর', 'আঠারোশ']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['এক', 'একটী', 'একঝলক', 'একজটী', 'একচালার', 'একচক্রা', 'একজাতীয়', 'একপ্রকার', 'একচক্ষু', 'একবালপুর']
['দুয়ের', 'দ্বিমিক', 'দ্বি', 'দ্বিযোজী', 'দুটি', 'দু\u200cটি', 'দুজন', 'দ্বিবেদী', 'দ্বিভূজ', 'দুটার']
['তিনার', 'তিনপ্রকার', 'তিন্নি', 'তিন', 'ত্রিবেণীর', 'তিনসুকীয়া', 'তিনরকম', 'তিনু', 'তিনবিঘা', 'তিন্ত']
['চতুর্দশী', 'চতুর্ভূজ', 'চতুর্মুখী', 'চতুরঙ্গ', 'চাররঙা', 'চারদলীয়', 'চতুষ্পদী', 'চতুর্দলীয়', 'চারদলীয়', 'চতুর্ভুজাকার']
['পাঁচপীর', 'পাঁচালীর', 'পাঁচগাছী', 'পাঁচথুবী', 'পাঁচামি', 'পাঁচালী', 'পাঁচরুখী', 'পাঁচলাইশ', 'পাঁচুর', 'পাঁচকড়ি']
['চতুর্দশী', 'চতুর', 'চতুরের', 'চতুরা', 'ছয়ের', 'ছয়ানী', 'চাতুর্যময়', 'ছয়', 'চতুষ্পদী', 'ছয়ের']
['সাত্যকি', 'সাতৈর', 'সাতদলীয়', 'সাতি', 'চতুর', 'চতুর্দশী', 'সাতোর', 'সাতকড়ি', 'সেঁজুতির', 'সাতপাই']
['চতুর্দশী', 'চতুর', 'আটি', 'আটদলীয়', 'আটের', 'এটী', 'চতুরের', 'চতুরা', 'উস্থি', 'আটান্ন']
['নয়', 'নহে', 'নন', 'নয়', 'নহি', 'নই', 'নহবত', 'না', 'নাই', 'হচ্ছেনা']
['চতুর্দশী', 'দশনামী', 'চতুর', 'চতুরের', 'দশরথের', 'তানজীব', 'দশরথি', 'চতুরা', 'চাতুর্যময়', 'দশসনা']
['চতুর্দশী', 'চতুর', 'চতুরের', 'চতুরা', 'উষসী', 'খুংরিকাশির', 'উভকামী', 'ঘোরী', 'উজিমুখ', 'উর্বশী']
['বারোর', 'বরশী', 'বার্লো', 'বারো', 'বারু', 'বরও', 'ব্যোর', 'বারও', 'বারাণসী', 'বারুণী']
['চতুর্দশী', 'ত্রিবেণীর', 'ত্রিযোজী', 'চতুর', 'চতুরের', 'ত্রিশূলী', 'ত্রয়োদশী', 'ত্রিবেণী', 'ত্রিবেদী', 'তিনার']
['চতুর্দশী', 'চতুরের', 'চতুর', 'পঞ্চশীল', 'চতুরা', 'পঞ্চবটী', 'পঞ্চস্তম্ভের', 'পনেরোর', 'উভকামী', 'পঞ্চদলীয়']
['চতুর্দশী', 'চতুর', 'চতুরের', 'চতুরা', 'ছেংতু', 'ষোলনল', 'ছোলি', 'চতুষ্পদী', 'ছলচাতুরীর', 'চতুর্ভূজ']
['চতুর্দশী', 'চতুর', 'চতুরের', 'ছত্তীসগঢ়', 'ছত্তীসগঢ়ী', 'সেঁজুতির', 'চতুরা', 'ছেষট্টির', 'ছেংতু', 'সন্নাসী']
['চতুর্দশী', 'চতুরের', 'চতুর', 'চতুরা', 'ছত্তীসগঢ়', 'ছত্তীসগঢ়ী', 'ইছামতী', 'খুংরিকাশির', 'চাতুর্যময়', 'চাতুর্যপূর্ণ']
['এক', 'একখানা', 'একটা', 'একখানি', 'একেক', 'একের', 'একেকটি', 'একটি', 'এক\u200cটি', 'একন্']
['দুই', 'দু\u200cই', '\u200dদুই', 'দুইটি', 'দুটা', 'দুটি', 'দু\u200cটি', 'দু্ই', 'দুজন', 'দুয়ের']
['তিন', 'তিনটি', 'তিন\u200cটি', 'তিনাশি', 'তিন্ত', 'তিনটা', 'তিনের', 'তিনা', 'তিনমাথা', 'তিনটে']
['চার', 'চারের', 'চারই', 'চারটা', 'চারটি', 'চতুর্থী', 'চতুর্থ', 'চারকে', 'চতুর্থীর', 'চারটে']
['পাঁচ', 'পাঁচগাছি', 'পাঁচপীর', 'পাঁচটা', 'পাঁচের', 'পাঁচথুবী', 'পাঁচতারা', 'পাঁচলাইশ', 'পাঁচগাছী', 'পাঁচটি']
['ছয়', 'ছয়', 'ছয়ের', 'ছয়টা', 'ছয়টা', 'ছয়টি', 'ছয়ের', 'ছয়টি', 'ছয়েক', 'ছয়দফার']
['সাত', 'সাতই', 'সাতি', 'সাতাত্তর', 'সাতৈর', 'সাতের', 'সাতটা', 'সাত্যকি', 'সাতটি', 'সাতহ']
['আট', 'আটের', 'আটটা', 'আটটি', 'আটাশ', 'আটটিই', 'আটখানা', 'আটজন', 'আটে', 'আটশ']
['নয়', 'নয়', 'নহে', 'নহবত', 'নন', 'না', 'নাই', 'فَلَا', 'নই', 'হচ্ছেনা']
['দশ', 'দশাশ্বমেধ', 'দশরথ', 'দশরথি', 'দশরথের', 'দশটা', 'দশের', 'দশভুজা', 'দশটি', 'দশেক']
['এগার', 'এগারোটি', 'এগারসিন্দুর', 'এগারো', 'এগারসিন্ধুর', 'এগারোর', 'এগারটি', 'এগারতম', 'এগারোর', 'এদগার্দো']
['বারো', 'বার্ব', 'বারোটি', 'বারও', 'বারোটা', 'বারু', 'বারই', 'বারযাহ্\u200c', 'বারজন', 'বারোবার']
['তেরো', 'তেরোটা', 'তের', 'তেরোটি', 'ত্রয়োদশ', 'তেরোজন', 'ত্রিশূর', 'তেত্রিশ', 'তিনাশি', 'ত্রিশ']
['চৌদ্দ', 'চতুর্দশ', 'চতুর্দ্দশ', 'চৌষট্টি', 'চতুর্দশপদী', 'চৌদ্দশ', 'চৌষট্টিটি', 'চৌদ্দটি', 'চৌত্রিশ', 'চৌদ্দজন']
['ষষ্ঠী', 'ষোল', 'ষষ্ঠদশ', 'ষোড়শী', 'ষোড়শী', 'ষষ্ঠীর', 'ষষ্ঠীপদ', 'ষষ্ট', 'ষষ্ঠ', 'ষষ্ঠীতলা']
['সপ্তাদশ', 'ছিয়াত্তর', 'সতেরোটি', 'সপ্তসিন্ধু', 'সাতাইশ', 'সপ্তশতী', 'সতেরোর', 'সপ্ত', 'সপ্তদশ', 'সতের']
['আঠারোর', 'আঠারোশ', 'আঠারো', 'আঠারোবাঁকি', 'আঠাশ', 'আঠারোজন', 'আঠারোটি', 'আঠাশতম', 'ষোড়শী', 'ষষ্ঠদশ']
['এক', 'একটা', 'একের', 'এজন', 'একজন', 'একটার', 'একন্', 'একটির', 'একজনের', 'একটি']
['দুই', 'দু\u200cই', '\u200dদুই', 'দুটা', 'দুয়ের', 'দুইটি', 'দুজন', 'দুটি', 'দু\u200cটি', 'দুইয়ের']
['তিন', 'তিনের', 'তিনটি', 'তিন\u200cটি', 'তিনার', 'তিনজন', 'তিনটা', 'তিনু', 'ত্রিশূর', 'তিন্ত']
['চারের', 'চার', 'চারই', 'চতুর্থীর', 'চারটি', 'চতুর্থী', 'চারআনি', 'চারটা', 'চতুর্থ', 'চারকে']
['পঞ্চমী', 'পঞ্চমীর', 'পাঁচপীর', 'পাঁচ', 'পাঁচতারা', 'পাঁচের', 'পাঁচআনি', 'পাঁচথুবী', 'পাঁচটা', 'পাঁচগাছি']
['ছয়ের', 'ছয়', 'ষোড়শী', 'ছয়টা', 'ছয়', 'ছয়ের', 'ছয়টা', 'ছয়টি', 'ছয়জন', 'ছয়েক']
['সাতাত্তর', 'সাতই', 'সাতৈর', 'সাতি', 'সাতভাই', 'সাতের', 'সাত', 'সাতোর', 'সাত্যকি', 'সাতোশি']
['আটের', 'আট', 'আটটা', 'আটটি', 'আটজন', 'আটাশ', 'আটশ', 'আটটিই', 'আটজনের', 'আটত্রিশ']
['নয়', 'নয়', 'নহে', 'নন', 'নহি', 'নয়ই', 'নয়ই', 'না', 'নহবত', 'নই']
['দশরথি', 'দশরথের', 'দশেক', 'দশের', 'দশ', 'দশমী', 'দশেরা', 'দশরথ', 'দশাশ্বমেধ', 'দশেকের']
['এগারসিন্ধুর', 'এগারোর', 'এগারোটি', 'এগারো', 'এগারসিন্দুর', 'এগারোর', 'এদগার্দো', 'এগার', 'এগারোটা', 'এগারতম']
['বারো', 'বার্ব', 'বারোটি', 'বারোটা', 'বারোটার', 'বারও', 'বারু', 'বার্বি', 'বারজন', 'বারোতম']
['তেরো', 'ত্রিশূর', 'তেরোটা', 'তেরোজন', 'ত্রয়োদশ', 'তের', 'তেরোটি', 'ত্রয়োদশ', 'তেত্রিশ', 'তেরটি']
['চতুর্দশ', 'চতুর্দ্দশ', 'চৌদ্দ', 'চৌদ্দশ', 'চতুর্দশপদী', 'দ্বাদশী', 'দ্বাদশীর', 'চৌদ্দজন', 'চতুষ্কোণ', 'চৌদ্দটি']
['পনেরোটি', 'পনেরোর', 'পনেরো', 'পঞ্চদশী', 'পনেরতম', 'পঞ্চরত্নের', 'পনের', 'পঞ্চরত্ন', 'পনেরটি', 'পঞ্চান্ন']
['সতেরোটি', 'সতেরোর', 'ছিয়াত্তরের', 'সতেরো', 'সপ্তাদশ', 'সপ্তসিন্ধু', 'সপ্তশতী', 'সতেরতম', 'সতেরটি', 'সপ্তদশ']
['আঠারোর', 'আঠারোশ', 'আঠারোজন', 'আঠারো', 'আঠারোটি', 'আঠারোবাঁকি', 'আঠারোতম', 'আঠাশতম', 'ষোড়শী', 'ষোড়শী']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
