['সক্ষম', 'সকর্মক', 'সক্ষমতায়', 'সক্ষমতায়', 'সক্ষমতাও', 'সামর্থ্যই', 'অক্ষ', 'সামর্থ্যে', 'ক্ষমতাই', 'সক্ষমতার']
['', '', '', '', '', '', '', '', '', '']
['কৃতজ্ঞ', 'কৃতজ্ঞতা', 'কৃতজ্ঞতায়', 'কৃতজ্ঞতাস্বরূপ', 'কৃতজ্ঞতার', 'কৃতি', 'কৃতার্থ', 'কৃতজ্ঞচিত্তে', 'কৃতিত্বে', 'কৃতিত্বই']
['কোমল', 'পরিমল', 'কমল', 'কোমলতা', 'নগণ্য', 'মুলত', 'মল্ল', 'ময়নামতি', 'কোমরে', 'ঝলমল']
['নগণ্য', 'খুচরা', 'অর্থকড়ি', 'খরচের', 'খরচটি', 'ময়দা', 'হাজারী', 'ময়লা', 'ময়ূর', 'খরচটা']
['গরিষ্ঠ', 'বলিষ্ঠ', 'কনিষ্ঠ', 'সুবৃহৎ', 'বিশিষ্ঠ', 'বরিষ্ঠ', 'নগণ্য', 'অর্থপূর্ন', 'স্বল্পোন্নত', 'বিশজন']
['খ্যাতি', 'খ্যাতিতে', 'খ্যাতির', 'খ্যাতিকে', 'খ্যতি', 'বিখ্যাতটি', 'খ্যাতিমান', 'প্রখ্যাত', 'স্বনামখ্যাত', 'খ্যতিমান']
['খ্যাত', 'খ্যাপ', 'প্রখ্যাত', 'নগণ্য', 'আখ্যাত', 'খ্যাতির', 'স্বনামখ্যাত', 'খ্যিল', 'কুখ্যাত', 'খ্যাতিমান']
['গঞ্জনা', 'গঞ্জা', 'গাঞ্জা', 'গঞ্জাম', 'গাজনা', 'গন্ডোয়ানা', 'গুঞ্জা', 'গানা', 'গোবিন্দা', 'গঞ্জ']
['গরল', 'বরকল', 'বহুতল', 'গরুই', 'গরজ', 'বহুলুল', 'গজাল', 'ব্যয়বহুল', 'গুড়', 'বহুলী']
['গৌণ', 'গৌতম', 'গৌছ', 'গৌরী', 'গৌরীর', 'গৌতমের', 'গৌতমী', 'গৌরবময়', 'গৌহাটী', 'গৌতার']
['চঞ্চল', 'চঞ্চলতা', 'চঞ্চলা', 'চঞ্চুর', 'কতশত', 'পরিমাপণ', 'চিরঞ্জীব', 'চম্বল', 'ঋতব্রত', 'চিরল']
['জটিল', 'জটিলই', 'জটিলতার', 'জটিলতাই', 'জটিলের', 'জটিলতায়', 'জটিলতা', 'জটিলতায়', 'জটিলতর', 'কঠিনতম']
['জ্ঞানী', 'জ্ঞানের', 'জ্ঞানীর', 'জ্ঞানবাপি', 'জ্ঞানদানের', 'জ্ঞানদা', 'জ্ঞানদাসের', 'জ্ঞানদাস', 'জ্ঞানটি', 'জ্ঞানতাপস']
['নগণ্য', 'পরিযায়ী', 'অর্থকড়ি', 'পরিমল', 'পরিমাপণ', 'ঠুনকো', 'অর্থপূর্ন', 'ময়নামতি', 'ধনপুর', 'গোপণ']
['দুরন্ত', 'নগণ্য', 'দুরন্তপনা', 'দুরন্তপনার', 'বদান্যতা', 'অর্থকড়ি', 'বেদান্তের', 'পরিব্যাপ্তি', 'দম্পত্তি', 'পুরনামা']
['দুর্নাম', 'দুর্গম', 'বদরুল', 'পরিযায়ী', 'নগণ্য', 'বিনষ্ট', 'বৃহদাংশ', 'দুর্জয়', 'দুর্বাসা', 'দুর্ভাগা']
['দুর্ভাগ্য', 'দূর্ভাগ্য', 'হতভাগ্য', 'দুর্ভাগ্যের', 'দূর্ভাগ্যের', 'দুর্ভাগ্যকে', 'দুর্ভাগ্যই', 'দুর্ভাগ্যজনক', 'দুর্ভাগ্যে', 'দুর্দশা']
['দেশী', 'নগণ্য', 'দেশভাগ', 'পরিমাণমত', 'অর্থকড়ি', 'পরিমল', 'পরিমাপণ', 'পরিজনের', 'পরিমাণগত', 'পরিমাণমতো']
['ধূর্ত', 'পরিমাপণ', 'পরিযায়ী', 'অর্থপূর্ন', 'অম্বল', 'বদরুল', 'নগণ্য', 'কতশত', 'ময়নুল', 'অর্থকড়ি']
['দোষ', 'দোষও', 'দোষটা', 'দোষই', 'দোষারোপ', 'দোষেই', 'দোষে', 'দোষের', 'দোষত্রুটি', 'দোষারোপের']
['দোষী', 'দোষীকে', 'দোষারোপের', 'দোষারোপ', 'দোষীর', 'দোষটা', 'দোষই', 'দোষও', 'দোষত্রুটি', 'দোষ']
['ধনাত্মক', 'ধনীক', 'ধনাত্বক', 'ধনাত্নক', 'সম্পদশালী', 'খনিজসম্পদ', 'মহানায়ক', 'অর্থপূর্ন', 'বহুমূল্যবান', 'ধনীর']
['নতুন', 'নতুনের', 'নতুনতর', 'নতুনত্বের', 'নতুনে', 'নতুনেরা', 'নতুনহাট', 'নতুনকে', 'নতুনকরে', 'নতুনত্ব']
['নশ্বর', 'নয়াবাদ', 'নবির', 'নব্বইয়ের', 'নব্বইএর', 'নয়াবাদ', 'নুরসেদ', 'নন্দুরবার', 'নব্বইয়ের', 'নন্দ']
['নিরস', 'নিরু', 'নগণ্য', 'নিরোদ', 'নিরজা', 'নিরাজ', 'নৃসিংহের', 'নিরুপন', 'বিরু', 'নিরলস']
['মিথ্যা', 'মিথ্যে', 'মিথ্যাই', 'মিথ্যাভাবে', 'মিথ্যাও', 'মিথ্যের', 'মিথ্যায়', 'মিথ্যাকে', 'মিথ্যাচারে', 'মিথ্যাচার']
['বড়', 'বড়ো', 'বড়ু', 'বড়ে', 'বড়া', 'বুড়া', 'বড', 'বড়ি', 'বুড়ো', 'বড়ে']
['সস্তা', 'সস্তায়', 'বহুমূল্য', 'বহুমূল্যবান', 'দুর্মূল্য', 'স্বল্পমূল্য', 'ব্যয়বহুল', 'স্বল্পমূল্যে', 'অমূল্য', 'নগণ্য']
['পরিষ্কার', 'পরিষ্কারে', 'পরিষ্কারক', 'পরিষ্কারের', 'পরিষ্কারই', 'অষ্টপরিষ্কার', 'পরিষ্কারভাবে', 'পরিষ্কারভাবেই', 'পরিস্কারভাবে', 'পরিস্কার']
['সহজ', 'সহজে', 'সহজের', 'সহজতম', 'সহজেই', 'সাধল', 'সহজসাধ্য', 'সহজভাবে', 'সাধনে', 'সহজই']
['ভারী', 'ভারি', 'নগণ্য', 'বৃহওম', 'মহানায়ক', 'পরিমানে', 'পরিমান', 'পরিমানের', 'বটতল', 'পরিমাপণ']
['গরম', 'গরমের', 'গরমে', 'আগরকর', 'বরকল', 'কতশত', 'মহানায়ক', 'কঠোরতম', 'গরমজনিত', 'পরিমাপণ']
['ধনী', 'ধনীর', 'ধনসম্পদ', 'ধনীদের', 'সম্পদশালী', 'ধনদৌলত', 'ধনের', 'সমৃদ্ধ', 'ধনীরা', 'সমৃদ্ধশালী']
['অবিবাহিত', 'অবিবাহিতা', 'বিবাহিত', 'বিবাহযোগ্য', 'বিবাহিতা', 'বিবাহবহির্ভূত', 'বিবাহযোগ্যা', 'বিবাহও', 'বিবাহোত্তর', 'বিবাহ']
['ঠিক', 'ঠিকই', 'ঠিকরে', 'ঠিকে', 'ঠিকমত', 'ঠিকমতো', 'ঠিকভাবে', 'সঠিক', 'ঠিকও', 'সঠিকই']
['নিরাপদ', 'নিরাপদে', 'নিরাপদেই', 'নিরাপদভাবে', 'নিরাপত্তাজনিত', 'নিরাপত্তাহীন', 'নিরাপত্তাগত', 'অনিরাপদ', 'নিরাপত্তাবলয়', 'নিরাপত্তাবেষ্টিত']
['মসৃণ', 'পরিমাপণ', 'পরিমল', 'মসৃন', 'পরিযায়ী', 'বদরুল', 'বিকশিত', 'মসৃণতা', 'পরিমাপের', 'অর্থপূর্ন']
['নরম', 'পরিমল', 'নূন্যতম', 'নগণ্য', 'পরিমাপণ', 'ময়নামতি', 'বিনম্র', 'নরুল', 'নুরমি', 'অর্থকড়ি']
['লম্বা', 'লম্বাও', 'লম্বাই', 'লম্বায়', 'লম্বক', 'লম্বায়', 'লম্বাটে', 'দীর্ঘ', 'পরিমানে', 'বেড়েই']
['দীর্ঘ', 'দীর্ঘ্য', 'দীর্ঘসময়', 'দীর্ঘই', 'দৈর্ঘ্যর', 'দীর্ঘসময়', 'দীর্ঘকাল', 'দীর্ঘকালীন', 'দীর্ঘতর', 'দীর্ঘপথ']
['ভিজা', 'ভিজিএ', 'ভিজি', 'ভিসিএ', 'ভিতা', 'ভিজে', 'ভিসিরা', 'ভিয়া', 'ভেস্টা', 'ভিজেই']
['পুরু', 'নগণ্য', 'পুপুর', 'পুরোনাম', 'রূপপুর', 'বারু', 'মংবা', 'পয়সা', 'পণ', 'পরিমাপ']
['প্রশস্ত', 'অর্থপূর্ন', 'প্রশমিত', 'অর্থবল', 'দংশিত', 'নগণ্য', 'প্রশম', 'প্রকশিত', 'বিজারিত', 'প্রদাহজনিত']
['আঁটসাঁট', 'আঁটছে', 'আঁটির', 'আকাংখিত', 'আঁটে', 'বিবর্ধন', 'আঁচল', 'আঁটতে', 'আঁটা', 'আঁটলেন']
['ভালো', 'ভাল', 'ভালই', 'ভালে', 'ভালোই', 'ভালো', 'ভালা', 'ভালভাল', 'ভালর', 'ভালভাবে']
['খোলা', 'খোলায়', 'খোলনলচে', 'খোলসে', 'খুলে', 'খোলের', 'খুলল', 'খুলেন', 'খোলেন', 'খুলনাও']
['পরিষ্কার', 'পরিষ্কারে', 'পরিষ্কারক', 'পরিষ্কারের', 'পরিষ্কারই', 'অষ্টপরিষ্কার', 'পরিষ্কারভাবে', 'পরিষ্কারভাবেই', 'পরিস্কারভাবে', 'পরিস্কার']
['দামী', 'দামই', 'মহানায়ক', 'অর্থকড়ি', 'পরিযায়ী', 'নগণ্য', 'অর্থপূর্ন', 'দুর্মূল্য', 'হাজারতম', 'দামের']
['অকর্মক', 'পাইকারি', 'পাইকারী', 'পাইকারিভাবে', 'অভাবনীয়', 'অপ্রাপ্তির', 'অকালিক', 'অসামরিকায়িত', 'অবাণিজ্যিক', 'অকালপক্ক']
['অক্ষম', 'অক্ষমতাজনিত', 'অক্ষমতার', 'পাইকারি', 'ক্ষমতাহীন', 'পাইকারী', 'অযোগ্যতার', 'অক্ষতই', 'অভাবনীয়', 'অক্ষমতা']
['পাইকারি', 'পাইকারী', 'পাইকারিতে', 'পাইকার', 'পিচকারি', 'পিপলে', 'পিকারিং', 'পাপন', 'পাইলন', 'পাইকপাড়া']
['পাইকারি', 'পাইকারী', 'অচেতন', 'পাইকারিতে', 'পিচকারি', 'পাইকার', 'পাইকারিভাবে', 'পাইনের', 'পিকারিং', 'পাটীগণিত']
['পাইকারি', 'পাইকারী', 'অনুকূল', 'পাইন', 'অরিত্রি', 'পাইকারিতে', 'পাইনের', 'অনুকূলিত', 'অনুগুল', 'পাইকার']
['অনুরাগ', 'অনুরাগের', 'পাইকারি', 'পাইকারী', 'অনুরাগী', 'অনুরাগীর', 'পিকারিং', 'পাইকার', 'অনুরাসিরি', 'অনুয়ায়ী']
['অহিংস', 'পাইকারী', 'পাইকারি', 'লঙ্ঘনের', 'ধর্ষকামী', 'পাইকারিতে', 'পিকেটিং', 'পিকারিং', 'অপঘর্ষক', 'বহির্মুখী']
['পাইকারি', 'পাইকারী', 'পিয়াসি', 'পাইকারিতে', 'পাইকার', 'পাইলন', 'আলস্য', 'পাসি', 'পাইয়ন', 'পাইনস']
['পাইকারি', 'পাইকারী', 'পাইকারিতে', 'আসক্ত', 'পাইকার', 'পিপলে', 'পাইকগাছার', 'পিগমেন্টের', 'পাইয়ন', 'অরিত্রির']
['আস্তিক', 'পাইকারি', 'পাইকারিভাবে', 'পাইকারী', 'পাইকারিতে', 'পাইকার', 'পিকারিং', 'পিচকারি', 'পিপলে', 'পেপ্টিক']
['পাইকারি', 'ইতর', 'পাইকারী', 'পের', 'পাইনের', 'পিই', 'পাইকার', 'পেই', 'পাইকারিতে', 'পাইন']
['পাইকারি', 'পাইকার', 'পাইকারী', 'পিয়ের', 'পিগমেন্ট', 'উচ্চ', 'পাইকর', 'পিয়াফ', 'পাকমণ্ড', 'পাইয়ন']
['উৎকৃষ্ট', 'উৎকৃষ্টতর', 'পাইকারি', 'আবেশী', 'সর্বোৎকৃষ্ট', 'শ্রেষ্ঠ', 'পাইকারী', 'পাইকারিতে', 'অাধুনিক', 'ভালমানের']
['পাইকারি', 'পাইকারী', 'পাইকারিতে', 'পিপলে', 'পাইনের', 'পাইন', 'পিকচারে', 'অতিকায়', 'পাইকার', 'পাইকারিভাবে']
['উন্নত', 'উন্নতর', 'উন্নততর', 'উন্নতির', 'উন্নতি', 'উন্নতিকরণ', 'উন্নতিতে', 'উন্নতকরণ', 'উন্নয়ণ', 'উন্নতিই']
['উন্নতি', 'উন্নতির', 'উন্নতিকরণ', 'উন্নতর', 'উন্নতিতে', 'উন্নতকরণ', 'উন্নতিকে', 'উন্নত', 'উন্নতিই', 'উন্নতিটা']
['পাইকারি', 'পাইকারী', 'উপকারিতা', 'পাইকারিতে', 'পিকারিং', 'পাইকার', 'পাইকগাছার', 'উপকারিতার', 'পেকার', 'পিরামিডাকৃতির']
['উষ্ণ', 'উষ্ণায়ন', 'উষ্ণতর', 'উষ্ণতম', 'উষ্ণতার', 'উষ্ণতা', 'উষ্ণশোণিত', 'উষ্ণায়নের', 'উষ্ণমণ্ডলীয়', 'উষ্ণীষ']
['পাইকারি', 'পকী', 'পিকেতি', 'পেকাই', 'পাইকারী', 'কচি', 'পাইকার', 'পিকেপি', 'পিকি', 'পাকশি']
['কুৎসিত', 'পাইকারিভাবে', 'পাইকারি', 'পাইকারী', 'পাইকারিতে', 'পাইকার', 'পিকারিং', 'পাইকর', 'পাইক', 'পাইকের']
['', '', '', '', '', '', '', '', '', '']
['কৃতজ্ঞ', 'কৃতজ্ঞতায়', 'কৃতজ্ঞতা', 'কৃতজ্ঞতার', 'কৃতজ্ঞচিত্তে', 'কৃতজ্ঞতাস্বরূপ', 'কৃতি', 'কৃতিত্বে', 'কৃতিত্বকে', 'কৃতার্থ']
['পাইকারি', 'পিকল', 'পাইকার', 'পাইলন', 'পিকুল', 'পিরামল', 'পাইকারী', 'পাইকর', 'পিয়াল', 'পাইকারিতে']
['পাইকারি', 'পাইকারী', 'পাইকার', 'পাইকের', 'পাইকারদের', 'পাইকাররা', 'পাইকর', 'পাইক', 'পাইনের', 'পাইকারিতে']
['পাইকারি', 'পাইকারী', 'গরিষ্ঠ', 'পাইকারিভাবে', 'পাইকারিতে', 'পাইকার', 'পাইকর', 'পিকারিং', 'পিয়েরি', 'পিয়ের']
['খ্যাতি', 'পাইকারি', 'পাইকারী', 'খ্যাতির', 'খ্যাতিমান', 'খ্যাতিকে', 'পাইকারিতে', 'খ্যাতিতে', 'খ্যতি', 'পিগমেন্টেশন']
['পাইকারি', 'পাইকারী', 'খ্যাত', 'পাইকার', 'পাইকারিতে', 'পাইয়ন', 'পিগমেন্টের', 'পিগমেন্ট', 'পাইয়ের', 'পিপলে']
['গঞ্জনা', 'পাইকারি', 'পাইপগান', 'গঞ্জা', 'পিনাকরঞ্জন', 'গঞ্জি', 'পায়ারজিনি', 'পিয়ানিচের', 'পিনাকল', 'পেকটিন']
['পাইকারি', 'পাইকারী', 'পাইকার', 'পাইকারিভাবে', 'গরল', 'পাইকর', 'পাইকারিতে', 'পাইক', 'পিকথাল', 'পিকল']
['পাইকারি', 'পাইকারী', 'গৌণ', 'পাইকারিতে', 'পাইকার', 'পাইকগাছার', 'পেকাই', 'পাইকগাছা', 'পাইকর', 'পিয়ংইয়ংয়ের']
['পাইকারি', 'পাইকারী', 'পিচকারি', 'পাইকারিতে', 'পাইকারিভাবে', 'পিকারিং', 'পাইকার', 'পাইকগাছার', 'পাইকপাড়ার', 'পাইকর']
['জটিল', 'জটিলের', 'জটিলতার', 'পাইকারি', 'পাইকারী', 'জটিলতা', 'জটিলতায়', 'জটিলতায়', 'পাইকারিতে', 'পাইকারিভাবে']
['জ্ঞানী', 'জ্ঞানীর', 'জ্ঞানের', 'জ্ঞানপিপাসু', 'মহাজ্ঞানী', 'জ্ঞানদানের', 'জ্ঞানদাস', 'জ্ঞানগর্ভ', 'জ্ঞানদাসের', 'জ্ঞানশ্রীমিত্র']
['পাইকারি', 'পাইকারী', 'পাইকার', 'পাইকর', 'পাইকারিতে', 'পেকাই', 'পাইকগাছার', 'পেকার', 'পকী', 'পাইকগাছা']
['পাইকারি', 'পাইকারী', 'দুরন্ত', 'পাইকার', 'পাইকারিতে', 'দুরন্তপনার', 'পাইকর', 'পেকার', 'পেত্রি', 'পাইয়ন']
['পাইকারি', 'পাইকারী', 'পাইকারিতে', 'পাইকার', 'পিচকারি', 'পাইকারিভাবে', 'পাইকর', 'পেকার', 'পাইকপাড়া', 'পাইকপাড়ার']
['দুর্ভাগ্য', 'দূর্ভাগ্য', 'দূর্ভাগ্যের', 'দুর্ভাগ্যই', 'দুর্ভাগ্যের', 'হতভাগ্য', 'দুর্ভাগ্যকে', 'দুর্ভাগ্যজনক', 'দুর্ভাগ্যে', 'দুর্দশা']
['পাইকারি', 'পাইকারী', 'পাইকারিতে', 'পিয়াসি', 'পিয়েরি', 'পেকাই', 'পাইকার', 'দেশী', 'পাসি', 'পকী']
['পাইকারি', 'পাইকারী', 'পাইকারিতে', 'পাইকার', 'পিচকারি', 'পাইকারিভাবে', 'পাইকপাড়ার', 'পাইকগাছার', 'পাইকপাড়া', 'পিয়ের']
['দোষ', 'দোষও', 'দোষারোপ', 'দোষই', 'দোষটা', 'দোষারোপের', 'দোষেই', 'দোষের', 'দোষে', 'দোষীকে']
['দোষী', 'দোষীকে', 'দোষারোপের', 'দোষীর', 'দোষারোপ', 'দোষও', 'দোষই', 'দোষীসাব্যস্ত', 'অপরাধী', 'দোষীদের']
['পাইকারি', 'পাইকারিভাবে', 'ধনাত্মক', 'পাইকারী', 'পাইকারিতে', 'ধনাত্বক', 'পাটিগাণিতিক', 'ধনাত্নক', 'পলিমারিক', 'পাইকার']
['নতুন', 'পাইকারি', 'নতুনের', 'পাইকারী', 'পাইনের', 'নতুনতর', 'পাইকার', 'নতুনে', 'পাইনস', 'নতুনদের']
['পাইকারি', 'নশ্বর', 'পাইকর', 'পাইকার', 'পাইরার', 'পাইকারী', 'পিআরপি', 'পেকার', 'পাইকের', 'পিয়েরি']
['পাইকারি', 'পাইকারী', 'পাইকার', 'পাইকর', 'পাইকারিতে', 'পিয়ের', 'পিচকারি', 'পিয়ের', 'পিয়াসি', 'পেকার']
['মিথ্যা', 'মিথ্যাও', 'মিথ্যের', 'মিথ্যাই', 'মিথ্যাভাবে', 'মিথ্যাচার', 'মিথ্যে', 'মিথ্যায়', 'মিথ্যাকে', 'মিথ্যাচারে']
['বড়', 'বড়ো', 'বড়ু', 'বড়ে', 'বুড়ো', 'বুড়া', 'বড়া', 'বড়ি', 'পাইকারি', 'পিগমেন্ট']
['সস্তা', 'পাইকারি', 'সস্তায়', 'পাইকারী', 'পাইকারিতে', 'পাইকারিভাবে', 'পাইকার', 'পিচকারি', 'পেকার', 'পিকারিং']
['পরিষ্কার', 'পরিষ্কারক', 'পরিষ্কারে', 'পরিষ্কারের', 'পরিষ্কারকরণ', 'পরিষ্কারই', 'পরিষ্কারভাবে', 'পরিস্কার', 'পরিস্কারভাবে', 'পরিষ্কারভাবেই']
['সহজ', 'সহজে', 'সহজের', 'সহজভাবে', 'সাধল', 'সহজসাধ্য', 'সহজেই', 'সহজতম', 'সহজসরল', 'সহজগম্য']
['ভারী', 'পাইকারি', 'পাইকারী', 'পাইকার', 'পাইকারিতে', 'পাইকর', 'পেকাই', 'পিয়েরি', 'পাইক', 'ভারি']
['পাইকারি', 'পাইকারী', 'পাইকারিভাবে', 'পাইকারিতে', 'গরম', 'পাইকার', 'পাইকর', 'গরমের', 'পিচকারি', 'পাইক']
['ধনী', 'ধনীর', 'ধনীদের', 'পাইকারি', 'ধনদৌলত', 'ধনাত্বক', 'ধনসম্পদ', 'পাইকারী', 'সমৃদ্ধিলাভ', 'ধনের']
['অবিবাহিত', 'অবিবাহিতা', 'বিবাহিত', 'বিবাহযোগ্য', 'বিবাহিতা', 'বিবাহযোগ্যা', 'বিবাহোত্তর', 'বিবাহবহির্ভূত', 'বিবাহও', 'বিয়ে']
['ঠিক', 'ঠিকে', 'ঠিকরে', 'ঠিকই', 'ঠিকমত', 'ঠিকমতো', 'ঠিকঠাক', 'ঠিকও', 'ঠিকভাবে', 'সঠিক']
['নিরাপদ', 'নিরাপদে', 'নিরাপদেই', 'নিরাপত্তাজনিত', 'নিরাপদভাবে', 'নিরাপত্তাগত', 'নিরাপত্তাহীন', 'নিরাপত্তার', 'নিরাপত্তাবলয়', 'অনিরাপদ']
['পাইকারি', 'পাইকারী', 'পাইকারিতে', 'পিচকারি', 'পিকারিং', 'পাইকার', 'পিপলে', 'পাইকারিভাবে', 'পাইকপাড়া', 'পাইকগাছার']
['পাইকারি', 'পাইকারী', 'পাইকারিতে', 'পাইকার', 'পাইকর', 'পেকাই', 'পিরামল', 'পিরি', 'পিক', 'পিচকারি']
['লম্বা', 'লম্বাও', 'লম্বাই', 'লম্বায়', 'লম্বায়', 'লম্বাটে', 'লম্বক', 'লম্বার', 'দীর্ঘ', 'পাইকারি']
['দীর্ঘ', 'দীর্ঘ্য', 'দীর্ঘকালীন', 'দীর্ঘকাল', 'দীর্ঘদেহী', 'দীর্ঘসময়', 'দীর্ঘকালের', 'দীর্ঘসময়', 'দীর্ঘতর', 'দীর্ঘায়িত']
['ভিজা', 'পাইকারি', 'ভিজি', 'পিজা', 'পিজি', 'ভিজেই', 'পিয়াসি', 'পাসি', 'পাইয়ু', 'ভিজিএ']
['পাইকারি', 'পাইয়ু', 'পাইকার', 'পাইকর', 'পাইকারী', 'পেকাই', 'পিই', 'পিও', 'পাইকারিতে', 'পাইয়ন']
['পাইকারি', 'পাইকারী', 'পাইকারিতে', 'পাইকার', 'পিকারিং', 'পিপলে', 'পাইয়ন', 'পাইনের', 'প্লেয়িং', 'পাইয়ের']
['পাইকারি', 'আঁটসাঁট', 'পাইকারী', 'পাইকপাড়ার', 'পাইকার', 'পড়ার', 'পাইকারিতে', 'পাটকর', 'পড়ুন', 'পড়লেন']
['ভালো', 'ভালোই', 'ভালে', 'ভাল', 'ভালই', 'ভালো', 'ভালর', 'ভালভাবে', 'ভালোও', 'ভালা']
['খোলায়', 'খোলা', 'খোলেন', 'খোলে', 'খোলার', 'খোলাই', 'পাইকারি', 'খোলায়', 'খোলাকে', 'খুলল']
['পরিষ্কার', 'পরিষ্কারক', 'পরিষ্কারে', 'পরিষ্কারের', 'পরিষ্কারকরণ', 'পরিষ্কারই', 'পরিষ্কারভাবে', 'পরিস্কার', 'পরিস্কারভাবে', 'পরিষ্কারভাবেই']
['পাইকারি', 'পাইকারী', 'পাইকারিতে', 'পাইকারিভাবে', 'পাইকার', 'পেকাই', 'পকী', 'পিচকারি', 'পাইকর', 'পাপি']
['অকর্মক', 'অপ্রাপ্তির', 'অনিচ্ছার', 'অবলুপ্তির', 'অবলুপ্তি', 'অকশন', 'অখাদ্য', 'অব্যক্ত', 'অদক্ষতার', 'অপ্রতুলতার']
['অক্ষম', 'অক্ষমতাজনিত', 'অক্ষমতার', 'অক্ষতই', 'অখাদ্য', 'অক্ষমতাকে', 'অক্ষশক্তি', 'অযোগ্যতার', 'ক্ষমতাহীন', 'অক্ষুণ্ণ']
['অচল', 'অপভ্রংশ', 'অতলান্ত', 'অপর্ণা', 'অপারগ', 'অচলা', 'অবস্হান', 'অসাড়তা', 'অচ্ছুত', 'অসমর']
['অচেতন', 'অতলান্ত', 'অমার্জিত', 'অবুদ্ধ', 'অচ্ছুত', 'অকশন', 'অশ্বচালনা', 'অসুবিধের', 'অবক্ষেপিত', 'অনিচ্ছার']
['অনুকূল', 'অনুগুল', 'অনুকূলেই', 'অনুকূলিত', 'অপর্ণা', 'অনুকুল', 'নৃত্যগোপাল', 'নৃত্যগীত', 'অচ্যূতচরণ', 'অনুকূলে']
['অনুরাগ', 'অনুরাগের', 'অনুরাগীর', 'অনুরাসিরি', 'অনুরণনের', 'অনুধাবণ', 'আয়ত্তকরণ', 'সংষ্করণের', 'সংষ্করণে', 'সংষ্কার']
['অহিংস', 'লঙ্ঘনকে', 'লঙ্ঘনের', 'বহির্মুখী', 'দ্বৈপায়ন', 'অপলাপ', 'অহংবোধের', 'লঙ্ঘন', 'বহির্ভাগের', 'বিরোধী']
['আলস্য', 'আলমাজ', 'আলাবেদ', 'আলহাজ্ব', 'আলোড়ন', 'আলহাজ', 'আলপনার', 'আলাবা', 'আলমোড়া', 'আলাগ']
['আসক্ত', 'খিলক্ষেত', 'অবস্খায়', 'বিরুপাক্ষ', 'কাঙ্ক্ষিত', 'পরিপৃক্ত', 'জড়িপে', 'স্খলিত', 'খোঁপায়', 'সমালোচিত']
['আস্তিক', 'বিচলন', 'আকস্মিকতায়', 'ধ্বনিদল', 'জোটবদ্ধতার', 'অস্তাচলে', 'ত্শাগ', 'অরুণাচলে', 'আস্তিক্যবাদ', 'আত্রাশ']
['ইতর', 'ইশতার', 'ইশতেহারে', 'ইশতাহার', 'যাবত', 'তেরছা', 'ইশতেহারের', 'পরায়', 'রূপরেখা', 'ইত্যাদিতে']
['উচ্চ', 'উচ্ছন্ন', 'অধস্তন', 'উচ্ছ্বাস', 'উঁকি', 'উত্তোলন', 'আজমগড়', 'উচ্ছাস', 'সরবোচ্চ', 'সৰ্বোচ্চ']
['উৎকৃষ্ট', 'উৎকণ্ঠায়', 'বেষ্ট', 'আঠটি', 'নস্যাৎ', 'অভার', 'বেষ্টনি', 'আঠাল', 'এযাবৎকালের', 'উৎকণ্ঠা']
['অতিকায়', 'অভিপ্রায়ে', 'অষ্টবসু', 'সমালোচনায়', 'তিলকরত্নে', 'অসুরকে', 'অরুণাচলে', 'অমুককে', 'অদুরে', 'অতিমাত্রায়']
['উন্নত', 'উন্নতর', 'উন্নতি', 'উন্নতকরণ', 'উন্নতিই', 'উন্নতিতে', 'উন্নতিকরণ', 'উন্নতির', 'উন্নতিটা', 'উন্নততর']
['উন্নতি', 'উন্নতিকরণ', 'উন্নতির', 'উন্নতিটা', 'উন্নতিকে', 'উন্নতিতে', 'উন্নতকরণ', 'উন্নতিই', 'উন্নতর', 'বিবর্তন']
['উপকারিতা', 'উপকািরতা', 'উপকরণের', 'উপকরনের', 'উপকরণে', 'উপকরন', 'উদহারণ', 'উপকরণাদি', 'আধাপাঁকা', 'আসন্নীকরণ']
['উষ্ণ', 'উষ্ণায়ন', 'উষ্ণতর', 'উষ্ণায়নের', 'উষ্কে', 'উষ্ম', 'উষ্ণতার', 'উষ্ণশোণিত', 'গরমের', 'উষ্ণতম']
['কচি', 'কচা', 'কুচি', 'চুকচি', 'কুশখালী', 'কচকচে', 'করচি', 'কাঁচপুরে', 'কচিকাঁচার', 'কুঁচি']
['কুৎসিত', 'ক্ষুণ্ন', 'কুৎসা', 'ভুতুড়ে', 'ঘনীভূত', 'বিষণ্ণ', 'অরুণোদয়', 'হস্তচালিত', 'নিষ্কাশন', 'হস্তলিপি']
['', '', '', '', '', '', '', '', '', '']
['কৃতজ্ঞ', 'কৃতজ্ঞতা', 'কৃতজ্ঞতায়', 'কৃতজ্ঞতার', 'কৃতজ্ঞতাস্বরূপ', 'কৃতজ্ঞচিত্তে', 'কৃতি', 'কৃতার্থ', 'কৃতদাস', 'কৃপায়']
['কোমল', 'কমলে', 'কমলা', 'কমলাটে', 'কমলের', 'কমলকে', 'কমাল', 'কোমরে', 'মখমল', 'কমলাপেট']
['গণ্য', 'যক্ষদের', 'খোজাদের', 'পর্যদুস্ত', 'নৃত্যধারা', 'রাঁধা', 'লাহুড়িয়া', 'রাক্ষসরা', 'চোপড়া', 'যাকাতের']
