['চাচা', 'চাচাকে', 'আংকেল', 'আঙ্কল', 'নানু', 'আঙ্কর', 'আঙ্কেল', 'চাচাতো', 'মামা', 'মা']
['নেতা', 'নেতাজীর', 'নেতার', 'নেতাজি', 'নেতাজী', 'নেতাকে', 'নেতাজির', 'নেতাই', 'নেতাকেই', 'নেতায়']
['পাগল', 'পাগলীর', 'পাগলী', 'পাগলি', 'পাগলের', 'পাগলা', 'পাগলামি', 'পাগলামির', 'পাগলার', 'পাগলাটে']
['প্রিয়', 'প্রিয়তম', 'প্রিতম', 'প্রিয়জন', 'প্রিয়তমা', 'প্রিয়জনের', 'প্রিয়ন', 'প্রিয়কের', 'প্রিয়তা', 'প্রিয়জনকে']
['কনে', 'কনিষ্ঠ', 'নিকাশী', 'কানেকটিকাটে', 'চনক', 'খানিক', 'কটকী', 'কংকর', 'কনকনে', 'নিকাশি']
['লোক', 'কনেকে', 'লোকটি', 'কনে', 'লোকটির', 'লোকের', 'লোককে', 'কোম্যান', 'লোকই', 'লোকটা']
['শ্রমিক', 'শ্রমিকের', 'শ্রমিকনেতা', 'শ্রমিককে', 'চাকরী', 'শ্রমিকরা', 'শ্রমিকশ্রেণির', 'চাকুরী', 'শ্রমিকনেতাদের', 'শ্রমিকগণ']
['বেগ', 'বেটে', 'বাপা', 'বেগম', 'বাবে', 'যুব', 'বাটি', 'বাবা', 'বেহুলা', 'বাটু']
['চাচা', 'বেগম', 'বেগমের', 'বেজা', 'আঙ্কল', 'বেপরোয়া', 'বেগমকে', 'অসগুড', 'আঙ্কোলা', 'বেকা']
['বেগম', 'দাদু', 'দাদা', 'দাদন', 'বুগতি', 'বুধ', 'বেগ', 'দাদি', 'দাদরি', 'বেগমের']
['', '', '', '', '', '', '', '', '', '']
['নানা', 'নাইনা', 'নীনা', 'নিদা', 'নুনু', 'নিয়া', 'বেনা', 'নাজনা', 'নান্না', 'নানে']
['জেলে', 'জেলেই', 'জেলহাজতে', 'জেলখানায়', 'কারাগারে', 'কারাদন্ডে', 'কারাদণ্ডে', 'জেলখানায়', 'কারগারে', 'অন্তরীণে']
['বেগম', 'ধোলাইখাল', 'ধোপা', 'বেগমের', 'ধলাটুপি', 'ঝাঁঝ', 'ধলাকোমর', 'বেগমপেট', 'বুগতি', 'ছুতোয়']
['বেদে', 'বেগম', 'বেগে', 'বেজায়', 'বেগমের', 'বেগমপুর', 'বেদম', 'বেগমকে', 'বিরু', 'নিরীখে']
['বেগম', 'গুরু', 'বেগুন', 'বুগতি', 'গুরগ', 'গুমরে', 'জুলুর', 'বেগমের', 'সুতাং', 'বেগমকে']
['ছেলেমেয়ে', 'ছেলে', 'ছেলেরে', 'ছেলেবেলা', 'ছেল', 'ছেলেই', 'ছোটও', 'ছোংয়ে', 'যুব', 'যুবাইর']
['বেগম', 'বর', 'বাথে', 'বেতাই', 'বেগে', 'বেথে', 'বেতিসে', 'বেজে', 'বেগুন', 'বেগমের']
['কাঙ্গাল', 'কুনহাল', 'কিনজাল', 'কংলাক', 'বেগমগঞ্জ', 'জাঙ্গাল', 'কমলালেবু', 'কেলোগ', 'মংগল', 'কুণাল']
['বাঘ', 'বাঘাইছড়ি', 'বাঘই', 'বাঘও', 'তাগলিব', 'বাঘসহ', 'বাঘি', 'বাঘাইছড়ির', 'বাঘায়', 'বাঘাযতীন']
['যোগী', 'বেগম', 'যোগীপোল', 'সঙ্গম', 'যোগকে', 'বেগমের', 'যোগি', 'সঙ্গমে', 'যুগোপযোগী', 'মিলনে']
['বেগম', 'বেগমের', 'বেগমকে', 'তিরুমালাই', 'বেগমপুর', 'জুলুর', 'বিন্দু', 'দুষ্টুমি', 'বেগমগঞ্জ', 'তল্লাশী']
['বেগম', 'কিশোর', 'বেগমের', 'ছোটোগল্প', 'ছোটগল্প', 'ছোটানোর', 'কিশোরকালীন', 'কতলু', 'বেগমপুর', 'ছোটভাকলা']
['নর', 'নিরিহ', 'নুরে', 'নিরোকে', 'নিরস', 'নিরু', 'নিরোদ', 'নিরো', 'নিরাইন', 'নদ']
['সুন্দর', 'সুন্দরম', 'সুন্দরতম', 'সুন্দরি', 'সুদর্শন', 'দারুন', 'অসুন্দর', 'সুক্ষ্ম', 'দরুণ', 'সুন্দরভাবে']
['বেগম', 'বিন্দু', 'গুণবান', 'বেগমের', 'জুলুর', 'গহীন', 'বেগমগঞ্জ', 'বেদম', 'বেগমকে', 'দুষ্টুমি']
['বেগম', 'বিন্দু', 'পুণ্যবান', 'নির্গমিত', 'বিলম্বিত', 'পরাক্রম', 'অম্বল', 'মফঃস্বল', 'বেগমের', 'বিন্দুটি']
['বুদ্ধিমান', 'বুদ্ধিমানের', 'বুদ্ধিমতী', 'বুদ্ধিগত', 'বুদ্ধিমতি', 'বুদ্ধিদীপ্ত', 'বুদ্ধিমত্তা', 'চালাক', 'বুদ্ধিমত্তার', 'সুবুদ্ধি']
['শ্রীমান', 'শ্রীম', 'শ্রীমতি', 'শ্রীমতী', 'শ্রীমুখ', 'শ্রীমা', 'শ্রীকান্ত', 'ঝিল্লিময়', 'শ্রীমন্ত', 'শ্রীমদ্ভাগবত']
['বিজয়', 'বিজয়পাত', 'বিজয়া', 'বিজয়িনী', 'বিজয়াবর্ধনে', 'বিজয়ে', 'বিজরিত', 'বিজয়বর্গীয়', 'বিজয়ন', 'বিজয়']
['বেগম', 'পাঠক', 'পাঠকক্ষ', 'বেগমের', 'পাঠকের', 'পাঠকই', 'লেজতল', 'পাঠকে', 'বেগমকে', 'বেগমপুর']
['লেখক', 'লিখক', 'লেখনী', 'লেখিকা', 'লিখুক', 'লেখকের', 'লেখাপড়া', 'লেখিকাদের', 'লেখিকার', 'লেখনির']
['গায়ক', 'বেগম', 'বেগমের', 'জুলুমের', 'জুলুর', 'বেগমগঞ্জ', 'বেগমকে', 'গানলেখক', 'গায়িকা', 'সুংয়ের']
['বেগম', 'বেহুলা', 'বেগমের', 'বেজা', 'বেজে', 'ছোঁয়াচে', 'বুগতি', 'বেগমকে', 'দুষ্টুমি', 'বেগুন']
['বেগম', 'বেগমের', 'ছাত্র', 'শিষ্যে', 'তিক্ত', 'শিষ্যের', 'বিন্দু', 'শিক্ত', 'ছৈয়দ', 'বেগমকে']
['শিক্ষিক', 'বেগম', 'অশিক্ষক', 'শিক্ষক', 'শিক্ষাথী', 'শিক্ষকতার', 'শিক্ষকই', 'শিক্ষকমন্ডলী', 'শিক্ষিকা', 'শিক্ষাবিদ']
['নেতায়', 'নেতা', 'বেগম', 'নেতাই', 'নেতাজী', 'নেতাজি', 'নেতায়', 'নেতার', 'বেগমের', 'নেতাও']
['পাগলি', 'পাগলের', 'পাগলামি', 'পাগলাপীর', 'পাগল', 'পাগলামির', 'পাগলায়', 'পাগলী', 'পাগলাটে', 'পাগলও']
['প্রিয়', 'প্রিয়তম', 'প্রিতম', 'বেগম', 'মঙ্গত', 'প্রিয়তমা', 'ভালোয়', 'প্রিয়জন', 'প্রেমপূর্ণ', 'প্রমোদ']
['কনিষ্ঠ', 'বেগম', 'স্বল্পকাল', 'স্বল্পমেয়াদি', 'ছোটানো', 'যৎসামান্য', 'ছোটান', 'স্বল্প', 'বেদম', 'বেচু']
['লোক', 'লোকজন', 'লোকতাক', 'লোকজন', 'লোকের', 'লোকক', 'লোকটা', 'লোকগাঁথা', 'লোকবল', 'লোককে']
['শ্রমিক', 'শ্রমিকের', 'শ্রমের', 'কর্মঠ', 'শ্রমিকনেতা', 'শ্রমিককে', 'ব্যাবসা', 'সেপারেশন', 'শ্রমিকরা', 'পরিশ্রম']
['বাবা', 'বাবাই', 'পিতি', 'বাবাও', 'বাবি', 'বাবামা', 'বাবরি', 'বাপের', 'বাবার', 'পিতানা']
['চাচা', 'চাচাকে', 'আঙ্কল', 'আংকেল', 'আঙ্কেল', 'আঙ্কর', 'চাচারা', 'আন্টি', 'চাচাতো', 'নানচিংকে']
['দাদি', 'দাদা', 'দাদরি', 'দাদাগিরি', 'দাদীর', 'দাদী', 'দাদার', 'দাদাজী', 'দাদির', 'দাদাপুর']
['', '', '', '', '', '', '', '', '', '']
['নানা', 'নিনা', 'নান্দিনা', 'নাজনা', 'নানি', 'নানকানা', 'নাগিনা', 'নাইনা', 'নানিকে', 'আনিলা']
['জেলে', 'জেলেই', 'জেলখানায়', 'কারাগারে', 'কারাগারটিতে', 'কারাদন্ডে', 'কারাদণ্ডে', 'কারাগারেই', 'জেলের', 'জেলখানায়']
['ধোপা', 'ধুবরী', 'ফালগুনী', 'ধোনী', 'পুখুরী', 'ধলেশ্বরী', 'শালবনী', 'ধনবাড়ী', 'ধুবরি', 'পঙ্কজিনী']
['বেদে', 'বেদেনী', 'বেদি', 'বেদিতে', 'বেদই', 'বেদীটি', 'বেদিটি', 'বেদীতে', 'বাকৃবি', 'বারদী']
['গুরু', 'গুতি', 'গুনি', 'গলগি', 'ধোনিরা', 'খুদরী', 'গিদারি', 'গজনি', 'সৎগুরু', 'গুনাহ']
['ছেলে', 'ছেলেমেয়েকে', 'ছেলেই', 'পুত্রই', 'ছেলেশিশুকে', 'ছেলেমেয়ের', 'ছেলেরে', 'পুত্রা', 'ছেল', 'ছেলেকে']
['বর', 'বনানী', 'বরি', 'বনানীর', 'বারী', 'বেরি', 'বহি', 'বারা', 'বরাটি', 'বরের']
['বাদশা', 'বাদশাহী', 'বাদশাকে', 'বাদশাহদের', 'বাদশাহকে', 'বাদশাহরা', 'বাদশাহ', 'বাদশাহো', 'বাদশাদের', 'বাদশাহি']
['বাঘ', 'বাঘের', 'বাঘি', 'সিংহী', 'বাঘও', 'বাঘটির', 'বাঘই', 'বাঘী', 'বাঘটিকে', 'বাঘায়']
['যোগী', 'যোগিনী', 'যোগিনীর', 'যোজনী', 'সহপাঠিনী', 'সহপাঠি', 'যোগীর', 'যোগদানকারী', 'সঙ্গিনী', 'যোগীকে']
['তেজস্বিনী', 'তেমুহনী', 'তেজতুরী', 'তেজস্বী', 'সুগতাকুমারী', 'ওলাইচণ্ডী', 'জগন্মোহিনী', 'উজ্জয়িনী', 'চৌহদ্দি', 'তারাসুন্দরী']
['কিশোরী', 'কিশোরীটির', 'কিশোরীটি', 'কিশোর', 'কিশোরীটিকে', 'কিশোরীর', 'কিশোরই', 'কিশোরীগঞ্জ', 'কিশোরের', 'কিশোরীকে']
['নর', 'নুরানী', 'নুরানি', 'নেরি', 'নোরা', 'নুরি', 'নরনারীর', 'নওরীন', 'নুরী', 'নরনারী']
['সুন্দরী', 'সুন্দরি', 'সুন্দর', 'সুন্দরতম', 'সৌন্দর্যই', 'সুন্দরীতমা', 'সুন্দরীর', 'সুন্দরম', 'সৌন্দর্যময়', 'সৌন্দর্য']
['ভানুশালী', 'শালবনী', 'পালমোনারী', 'গুণবান', 'গনী', 'গোপালদী', 'শেণী', 'গুণ্ডরী', 'গুণবতী', 'জগন্মোহিনী']
['পুণ্যলতা', 'প্রণয়িনী', 'যামিনী', 'ভীমানন্দজি', 'ধ্যানী', 'পুণ্যার্থী', 'কল্যাণজি', 'পালমোনারী', 'রামনবমী', 'উজ্জয়িনী']
['বুদ্ধিমান', 'বুদ্ধিমানের', 'বুদ্ধিমতি', 'বুদ্ধিমতী', 'সুবুদ্ধি', 'বুদ্ধিমত্তা', 'বুদ্ধিজীবি', 'উপলদ্ধি', 'বুদ্ধিজীবী', 'বুদ্ধি']
['শ্রীমান', 'শ্রীনগর', 'শ্রীময়ী', 'শ্রীনাথজি', 'শ্রীনিবাসকে', 'শ্রীনদী', 'শ্রীরামের', 'শ্রীনিকেতনের', 'শ্রীনগরের', 'শ্রীশ্রী']
['বিজয়', 'বিজয়িনী', 'জয়ধ্বনী', 'বিজয়ী', 'জয়ধ্বনি', 'বিজিতা', 'বিজয়ম', 'বিজয়নগরে', 'বিজয়ের', 'বিজয়ন']
['পাঠক', 'পাঠকারী', 'পাঠকের', 'পাঠকদের', 'পাঠকরা', 'পাঠককে', 'পাঠকেরা', 'পাঠকক্ষ', 'পাঠকদেরকে', 'পাঠিকাদের']
['লেখক', 'লেখিকার', 'লেখকের', 'লিখক', 'লেখনীর', 'লেখিকা', 'লেখককে', 'লেখকগণের', 'লেখকরা', 'লেখিকাকে']
['গায়ক', 'গায়িকার', 'গায়িকা', 'গায়িকাকে', 'গায়ত্রী', 'সঙ্গীতদলের', 'কানারি', 'সঙ্গীতধারার', 'গায়কের', 'সঙ্গীতালোচক']
['খোকা', 'যশোরী', 'বনানী', 'কন্দলী', 'খোদাইকারী', 'গোপালদী', 'যোজনী', 'কপালী', 'বাল্মীকি', 'শালবনী']
['ছাত্র', 'ছাত্রীর', 'ছাত্রের', 'ছাত্রছাত্রী', 'ছাত্রছাত্রীর', 'ছাত্রলীগের', 'ছাত্রদের', 'ছাত্রনেতা', 'ছাত্রনেতার', 'ছাত্রী']
['শিক্ষক', 'শিক্ষকনেতা', 'শিক্ষিকা', 'শিক্ষকগণের', 'শিক্ষকের', 'শিক্ষিকার', 'শিক্ষানগরী', 'শিক্ষাদানকারী', 'শিক্ষিকাদের', 'শিক্ষকতার']
['নেতা', 'নেতাজীর', 'নেতাজী', 'নেতাজি', 'নেতার', 'নেতাজির', 'নেতাগণ', 'নেতাকেই', 'নেতাকে', 'নেতাই']
['পাগলী', 'পাগল', 'পাগলীর', 'পাগলা', 'পাগলি', 'উন্মাদনা', 'পাগলের', 'পাগলও', 'পাগলামি', 'পাগলামির']
['প্রিয়', 'প্রিয়তমা', 'প্রিয়জন', 'প্রিয়তম', 'প্রিয়জনের', 'প্রিতম', 'প্রিয়তা', 'প্রিয়ন', 'প্রেমি', 'প্রিয়জনকে']
['কনিষ্ঠ', 'শেণী', 'গুণ্ডরী', 'গরিষ্ঠ', 'সর্বাঙ্গীণ', 'বেশধারী', 'কমদামী', 'কিন্নরী', 'শালবনী', 'বরইতলী']
['লোক', 'লোকজন', 'লোকটি', 'লোকজন', 'লোকজনের', 'লোকটির', 'লোকটা', 'ব্যক্তি', 'লোকেরাই', 'লোকই']
['শ্রমিক', 'শ্রমিকনেতা', 'শ্রমিকের', 'শ্রমিকরা', 'শ্রমিককে', 'শ্রমিকদের', 'শ্রমিকশ্রেণির', 'শ্রমিকনেতাদের', 'শ্রমিকেরা', 'শ্রমিকগণ']
['বাবাই', 'বাবরি', 'বাবা', 'বাবামা', 'বাবে', 'বাবি', 'বাপা', 'বাবরসা', 'বাবাও', 'বাবনা']
['চাচা', 'চাচাকে', 'চাচাতো', 'চাচারা', 'আংকেল', 'আঙ্কল', 'চাচাতো', 'ভাসিপ', 'মামা', 'আঙ্কর']
['দাদি', 'দাদা', 'দাদামশাই', 'দাদরি', 'দাদাজী', 'দাদাগিরি', 'দাদাভাই', 'দাদাপীর', 'দাদাকে', 'পরদাদা']
['', '', '', '', '', '', '', '', '', '']
['নানা', 'নানি', 'নাইনা', 'নাজনীন', 'নাজনা', 'জেনা', 'নানিকে', 'আনাগোনা', 'নাথানা', 'নানির']
['জেলে', 'জেলেই', 'জেলখানায়', 'কারাগারে', 'জেলখানায়', 'কারাদন্ডে', 'জেলহাজতে', 'বন্দীশালায়', 'বন্দীশিবিরে', 'কারাগারেই']
['বাগাভী', 'বোধিলাভ', 'মুকরী', 'মাধবপাশা', 'বাঘিনী', 'ভুবি', 'বাশুলী', 'বকাবকি', 'বায়োলজি', 'ধোনী']
['বেদেনী', 'বেদিতে', 'বেদে', 'এমবায়ে', 'বাহীনি', 'বিজিবি', 'বিগে', 'বিন্দি', 'বাওয়ানী', 'বেচেই']
['ভুবি', 'বিগে', 'গুরু', 'সবুজায়ন', 'বোরহানী', 'মাজনুন', 'বাওয়ানী', 'ভরবেগ', 'ভিখারি', 'বিকনা']
['ছেলে', 'ছেলেবেলা', 'ছেলেমেয়ে', 'ছেলেরে', 'যুবাইর', 'ছেলেমেয়েকে', 'ছেলেমেয়ের', 'ছেল', 'ছেলেই', 'বকুল']
['বর', 'বারজন', 'বাহন', 'বহি', 'বিহিন', 'বহে', 'ভুবন', 'বাহা', 'বাহী', 'বাহির']
['বাদশা', 'বাদশাকে', 'বাদশাহী', 'মহাপজাপতি', 'বাদশাহো', 'উপাসনা', 'বাদশাহরা', 'উপাসনার', 'বাদশাদের', 'বাদশাহকে']
['কাঙ্গাল', 'কাঙ্গালিনী', 'কাঞ্চী', 'কাঞ্চনমালা', 'কাঞ্চননগর', 'করেঙ্গাতলী', 'কাঞ্চন', 'কালনাগিনী', 'কঙ্কালীতলা', 'কাঞ্চীর']
['যোগী', 'যোগিনী', 'যোগি', 'সহপাঠিনী', 'সমবাহু', 'সংসারী', 'যোগিতা', 'সমাগমের', 'সম্মোহনী', 'যোগীর']
['বারাণসী', 'মালভূমি', 'বেণীমাধবের', 'বাসমতী', 'যামিনী', 'বেণী', 'বিজিবি', 'তেমুহনী', 'বেগুনীর', 'রূপকথাই']
['যশোদাবেনের', 'বকশীগঞ্জ', 'কৈশোরে', 'কিশোর', 'কৈশোরেই', 'বকশিশ', 'বকশিগঞ্জ', 'বকসী', 'বকশীর', 'বকশীগঞ্জের']
['নিরেন', 'নর', 'নুরে', 'নানুরে', 'নয়নে', 'নবির', 'নির', 'ননীের', 'নিয়ন', 'নয়নের']
['সুন্দরি', 'সুন্দর', 'সুন্দরম', 'সুন্দরতম', 'সৌন্দর্যই', 'সুদর্শন', 'সৌন্দর্যময়', 'সুন্দরী', 'সুন্দরীগাছ', 'সৌন্দর্যায়ন']
['গুণবান', 'বাওয়ানী', 'মাহজাবীন', 'বাগাভী', 'বেরুনী', 'বোরহানী', 'বেগুনীর', 'বাসমতী', 'বেণী', 'মহানবমী']
['পুণ্যবান', 'রূপবান', 'বাস্পীয়', 'রাসবিহারী', 'পুণর্বাসন', 'মুজগুন্নী', 'ফণীমনসা', 'বায়ুগতিময়', 'বিলম্বন', 'ভবানন্দ']
['বুদ্ধিমতি', 'বুদ্ধিমানের', 'বুদ্ধিমতী', 'বুদ্ধিমান', 'বুদ্ধিমত্তা', 'সুবুদ্ধি', 'বুদ্ধিমত্তায়', 'বুদ্ধিগত', 'উপলদ্ধি', 'বুদ্ধিমত্তায়']
['শ্রীমান', 'শ্রীময়ী', 'শ্রীনগর', 'শ্রীমদ্', 'শ্রীমা', 'শ্রাইন', 'শ্রীম', 'শ্রীবিজয়', 'সাদমীন', 'সাদমান']
['বিজয়', 'বিজয়িনী', 'বিজিতা', 'বিজয়িনী', 'বিজয়ন', 'বিজয়া', 'জয়ধ্বজ', 'জয়ধ্বনী', 'বিজিবির', 'বিজয়নগরে']
['পাঠক', 'পাঠকারী', 'পাঠকের', 'পাঠকদের', 'পাঠকক্ষ', 'পাঠকরা', 'পাঠককে', 'পাঠকেরা', 'পাঠিকাদের', 'পাঠক্রম']
['লেখক', 'লেখিকার', 'লেখিকাদের', 'লেখকরা', 'লেখকের', 'লিখক', 'লেখিকা', 'লেখকগণের', 'লেখনী', 'লেখকদের']
['গায়ক', 'গায়িকার', 'গায়িকা', 'সঙ্গীতালোচক', 'বাচনিক', 'বাঘিনী', 'গায়িকাকে', 'সঙ্গীতধারার', 'গায়ত্রী', 'সঙ্গীতঙ্গ']
['বাগাভী', 'মুকরী', 'ইমামবারা', 'খোকা', 'মাজী', 'ভিখারী', 'বাদামি', 'বাশুলী', 'বিকনা', 'ভুবি']
['ছাত্র', 'ছাত্রীর', 'ছাত্রদের', 'ছাত্রছাত্রীর', 'ছাত্রবৃন্দ', 'ছাত্ররা', 'ছাত্রের', 'ছাত্রলীগের', 'ছাত্রলীগে', 'পারদর্শী']
['শিক্ষকনেতা', 'শিক্ষকতার', 'শিক্ষক', 'শিক্ষকমন্ডলী', 'শিক্ষাদানকারী', 'শিক্ষিকা', 'শিক্ষিকার', 'শিক্ষকমণ্ডলী', 'শিক্ষাথী', 'শিক্ষানগরী']
['নেতা', 'নেতাজী', 'নেতাজি', 'নেতায়', 'নেতাজীর', 'নেতাই', 'নেতার', 'নেতায়', 'নেতি', 'নেতাজির']
['পাগল', 'পাগলায়', 'পাগলা', 'পাগলী', 'পাগলি', 'পাগলাটে', 'পাগলীর', 'পাগলের', 'পাগলার', 'পাগলাপীর']
['প্রিয়', 'প্রিয়তমা', 'প্রিয়জন', 'প্রিয়তম', 'প্রেমাম', 'প্রিয়কের', 'প্রিয়তা', 'প্রেমি', 'প্রিতম', 'প্রিয়জনের']
['বকশিশ', 'কনিষ্ঠ', 'বেবিচকের', 'কবিশেখর', 'বিসমিলের', 'বকশীর', 'বায়তুল', 'বিশপীয়', 'ছাব্বিশতম', 'বিসমিল']
['লোক', 'লোকজন', 'লোকজন', 'স্বজন', 'মস্ত', 'লোকদের', 'মানজুর', 'লোকসভায়', 'লোকগাঁথা', 'জনকী']
['শ্রমিক', 'শ্রমিকনেতা', 'শ্রমিকশ্রেণির', 'শ্রমিকরা', 'শ্রমিকের', 'শ্রমিককে', 'শ্রমিকদের', 'কর্মবীর', 'শ্রমিকনেতাদের', 'শ্রমিকগণ']
['বাবা', 'পিতি', 'বাবার', 'বাবাই', 'বাবি', 'বাপা', 'আব্বুর', 'বাপের', 'বাবাও', 'পিতা']
['চাচা', 'চাচাকে', 'আঙ্কল', 'আংকেল', 'আঙ্কেল', 'আঙ্কর', 'চাচাতো', 'চাচাতো', 'চাচারা', 'আঙ্কটাড']
['দাদা', 'দাদি', 'দাদার', 'দাদরি', 'দাদীর', 'দাদন', 'দাদির', 'দাদাজী', 'দাদনের', 'দাদু']
['', '', '', '', '', '', '', '', '', '']
['নানা', 'নাজনা', 'নানকানা', 'নাইনা', 'নাথানা', 'য়ানা', 'নুনা', 'নানি', 'আনাইয়া', 'নিনা']
['জেলে', 'জেলেই', 'জেলখানায়', 'কারাগারে', 'কারাদন্ডে', 'কারাদণ্ডে', 'জেলখানায়', 'কারগারে', 'জেলহাজতে', 'কারাগারটিতে']
['ধোপা', 'ধোপাঘাটা', 'ধোনী', 'ধনারপাড়', 'ধোলাইয়ের', 'ষটপদী', 'ধোবাউড়া', 'ধুলিহর', 'ধোনিদের', 'ঝাঁপি']
['বেদে', 'বেদিতে', 'বেদেনী', 'বেদকে', 'বেদীতে', 'বিন্দি', 'দরদামে', 'দেরীতে', 'আদুরে', 'দেরিতে']
['গুরু', 'গুরুর', 'গুতি', 'সৎগুরু', 'গুরো', 'গরু', 'গুরগুরি', 'গুনা', 'গহের', 'গুরগাঁওয়ের']
['ছেলে', 'ছেলেরে', 'ছেল', 'ছেলেমেয়েকে', 'ছেলেমেয়ের', 'ছেলের', 'ছেলেকে', 'ছেলেই', 'ছেলেমেয়ে', 'ছেলেশিশুকে']
['বর', 'বহি', 'বরন', 'ভারে', 'বাহির', 'বহরু', 'ভাজ', 'বরের', 'হরণ', 'বারণ']
['বাদশা', 'বাদশাকে', 'বাদশাহী', 'বাদশাহকে', 'বাদশাহো', 'বাদশাহ', 'বাদশাদের', 'বাদশাহদের', 'পদবীকে', 'বাদশাহরা']
['কাঙ্গাল', 'কাঙ্গালিনী', 'কাঞ্চী', 'করেঙ্গাতলী', 'কাঞ্চীর', 'কাঞ্চন', 'কুঞ্জরানী', 'কাঞ্জোয়াল', 'কাঞ্চনমালা', 'কুলঙ্গি']
['বাঘ', 'বাঘি', 'বাঘের', 'বাঘও', 'বাঘটির', 'বাঘায়', 'বাঘে', 'বাঘকে', 'বাঘই', 'বাঘাইছড়ির']
['তেজস্বী', 'তেজস্বীর', 'তেজতুরী', 'তেমুহনী', 'তপস্বী', 'তেজহাটী', 'তমোশক্তির', 'তরপুরচণ্ডী', 'তপস্বিনী', 'শৌলমারী']
['কিশোর', 'কিশোরের', 'কিশোরীটির', 'কিশোরীর', 'কিশোরী', 'কিশোরই', 'কিশোরীটি', 'কিশোরকে', 'কিশোরকালীন', 'কিশোরটির']
['নর', 'নিরেন', 'নার', 'নরের', 'নুরের', 'নুর', 'নুরে', 'নিরো', 'নাইর', 'নর্দ']
['সুন্দর', 'সুন্দরম', 'সুন্দরতম', 'সুদর্শন', 'সুন্দরি', 'সৌন্দর্যই', 'সুন্দরী', 'সৌন্দর্যময়', 'সুন্দরীর', 'সুন্দরের']
['গুণবান', 'গুণগান', 'গুনগতমান', 'গুণবতী', 'গুণাবলির', 'গুণাবলী', 'তপস্বিনী', 'গুণমানের', 'শালবনী', 'গরুবাহী']
['পুণ্যবান', 'পুণ্যলতা', 'প্রযত্ন', 'পুষ্করিণী', 'রত্নখচিত', 'রত্নপাথর', 'তত্কালিন', 'রুখসানা', 'রত্নমালা', 'রত্নমের']
['বুদ্ধিমান', 'বুদ্ধিমানের', 'বুদ্ধিমতী', 'বুদ্ধিমতি', 'বুদ্ধিমত্তা', 'সুবুদ্ধি', 'বুদ্ধিদীপ্ত', 'উপলদ্ধি', 'বুদ্ধিগত', 'বুদ্ধিমত্তায়']
['শ্রীমান', 'শ্রীময়ী', 'শ্রীনগর', 'শ্রীরামের', 'শ্রীমা', 'শ্রীমদ্', 'শ্রাইন', 'শ্রীরামকে', 'শ্রীশ্রী', 'শ্রীপ্রিয়া']
['বিজয়', 'জয়ধ্বনী', 'বিজয়নগরে', 'বিজয়িনী', 'বিজিতা', 'জয়ধ্বনি', 'জয়ধ্বজ', 'বিজয়ন', 'বিজয়ের', 'বিজয়িনী']
['পাঠক', 'পাঠকের', 'পাঠকারী', 'পাঠকক্ষ', 'পাঠককে', 'পাঠকদের', 'পাঠকরা', 'পাঠকেরা', 'পাঠকে', 'পাঠিকাদের']
['লেখক', 'লেখিকার', 'লেখকের', 'লেখকগণের', 'লিখক', 'লেখিকা', 'লেখনীর', 'লেখিকাদের', 'লেখনী', 'লেখককে']
['গায়ক', 'গায়িকার', 'গায়িকা', 'গায়িকাকে', 'গায়ত্রী', 'গানলেখক', 'গায়কের', 'গায়িকার', 'সঙ্গীতালোচক', 'গান্ধিজির']
['খোকা', 'খুচরা', 'ছুদাসামা', 'খোকনের', 'কুমারখালী', 'মাগধী', 'কপালী', 'কৌশিক', 'বেগুনী', 'গালিচা']
['ছাত্র', 'ছাত্রের', 'ছাত্রীর', 'ছাত্রে', 'ছাত্রকে', 'ছাত্রনেতার', 'ছাত্রত্ব', 'ছাত্রদের', 'ছাত্রছাত্রীর', 'ছাত্রবৃত্তির']
['শিক্ষক', 'শিক্ষকনেতা', 'শিক্ষিকা', 'শিক্ষকের', 'শিক্ষকতার', 'শিক্ষানগরী', 'শিক্ষিকার', 'শিক্ষকগণের', 'শিক্ষাদর্শন', 'শিক্ষককে']
['নেতা', 'নেতাজীর', 'নেতাজী', 'নেতার', 'নেতাজি', 'নেতায়', 'নেতাজির', 'নেতায়', 'নেতাকে', 'নেতাই']
['পাগল', 'পাগলী', 'পাগলা', 'পাগলীর', 'পাগলি', 'পাগলের', 'পাগলায়', 'পাগলার', 'পাগলাটে', 'উন্মাতাল']
['প্রিয়', 'প্রিয়তমা', 'প্রিয়তম', 'প্রিয়জন', 'প্রিয়তা', 'প্রিতম', 'প্রিয়তা', 'প্রিয়কের', 'প্রিয়জনের', 'প্রিয়ন']
['কনিষ্ঠ', 'গরিষ্ঠ', 'আধিক্য', 'ক্যত', 'অশিষ্ট', 'নীহার', 'ছাব্বিশতম', 'বারোতম', 'নিবর্ণী', 'শাকল্য']
['লোক', 'লোকজন', 'পরলোক', 'লোকটির', 'মানজুর', 'মানুকে', 'লোকজন', 'গণ্য', 'লোকজনের', 'লোকের']
['শ্রমিক', 'শ্রমিকনেতা', 'শ্রমিকের', 'শ্রমিককে', 'শ্রমিকশ্রেণির', 'শ্রমিকরা', 'কর্মবীর', 'শ্রমিকদের', 'শ্রমের', 'শ্রমিকনেতাদের']
['বাবাই', 'বাবা', 'বাবি', 'বাবাও', 'পিতি', 'বাবামা', 'বাবার', 'বাবরি', 'পিতানা', 'বাবনা']
