['দুইবেলা', 'দুই', 'দুইশো', 'দুজন', 'দুইতলা', 'দুটার', 'দুইটা', 'দুটোরই', 'দুটিও', 'দুইট']
['একুশ', 'আকুতি', 'ইশকুল', 'একুশে', 'শাকাশী', 'এরশাদই', 'এজকন', 'শ্রুতি', 'যাকাতুল', 'আশিকি']
['বাইশ', 'বাইশে', 'বাইজ', 'বাইচুং', 'বিকাশ', 'খুবিই', 'বখশি', 'বাইশগাঁও', 'তউজী', 'বকশিশ']
['তেইশ', 'তেকিশ', 'তেজী', 'তূরাই', 'তিথী', 'তিথি', 'তকী', 'তারিয়ে', 'তরিৎ', 'তেইদে']
['চব্বিশ', 'চব্বিশতম', 'প্রাঙ্গণেই', 'তাহাজ্জুদ', 'চমকপ্রদই', 'সুচারুরূপে', 'সারদামণি', 'খুশিমনেই', 'সাদামাটাই', 'খুবিই']
['পঁচিশ', 'পঁচিশের', 'পাঁচপীর', 'পাঁচগাঁও', 'পাঁচেই', 'পাঁচথুপি', 'পাঁচলাইশ', 'পাঁচেক', 'পঁচিশে', 'পঁচিশতম']
['ছাব্বিশ', 'ছাব্বিশে', 'খুবিই', 'তথাপি', 'আজমলকে', 'আজমগড়ে', 'সশব্দে', 'ছিদাম', 'তেজপুরে', 'আবুজায়']
['সাতাশ', 'সাতাইশ', 'সাতাশটি', 'সাতেই', 'সাজ্জাদ', 'সুজুরি', 'সুকাশ', 'সাতই', 'সুজেয়', 'সাজ্জাত']
['আটাশ', 'আটশ', 'তেইশ', 'তেজী', 'তাতিয়ে', 'আতাসি', 'তিসরি', 'তিতির', 'তূরাই', 'টিশ']
['ঊনত্রিশ', 'ঊনত্রিশটি', 'ঊনবিংশ', 'ঊনসত্তরের', 'ঊনিশ', 'ঊনসত্তর', 'ঐনিতম', '২৯শে', '৮৯তম', 'আটত্রিশ']
['ত্রিশ', 'তিরিশ', 'ছত্রিশ', 'ট্রিশ', 'সায়ত্রিশ', 'ত্রিশের', 'ত্রিশটি', 'ত্রিশে', 'তিরিশের', 'ত্রিশতম']
['একত্রিশ', 'একত্রিশতম', 'শতপদী', 'শতকধারী', 'শতভাগই', 'একাদশতম', 'একচল্লিশ', 'চতুর্দশী', 'সতিশ', 'শতাধিকের']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['এক', 'একি', 'এককে', 'এইজি', 'একেএকে', 'একং', 'এইউ', 'একে', 'এনেই', 'একজ']
['দুই', 'দুইই', 'দুটোকেই', 'দুটোই', 'দুটো', 'দুইয়ে', 'দুটোরই', 'দুইশো', 'দুটার', 'দুটিও']
['তিন', 'তিনে', 'তিনেই', 'নয়টি', 'তিনের', 'নয়ই', 'নয়টা', 'নয়নে', 'তিনটিও', 'তিনু']
['চার', 'চারী', 'চতুর্দশ', 'চারটার', 'চতুর্থী', 'চারটের', 'চতুর্থত', 'চারখি', 'চারটিই', 'চারাটি']
['পাঁচ', 'পাঁজি', 'পাঁচটিই', 'পাঁচটার', 'পাঁচের', 'পাঁচটি', 'পাঁচগুণ', 'পাঁচবাগ', 'পাঁচ্চর', 'পাঁচশ']
['ছয়', 'ছয়ে', 'ছই', 'সয়ে', 'নয়ে', 'নুয়ে', 'ছয়', 'নয়নে', 'ছয়ে', 'নুইয়ে']
['সাত', 'সাতই', 'সাতি', 'সাতের', 'সাতে', 'সাতভাই', 'সাত্তে', 'সাতগুণ', 'নবিশ', 'সাতেই']
['আট', 'আটশ', 'আটি', '৬টা', '৬ই', 'আটটি', '৮টিই', '৮টা', 'নয়টি', 'আটটায়']
['দশ', 'দশমে', 'দশটা', 'দশজন', 'দশটি', 'দশম', 'দশমী', 'নয়টায়', 'নয়টি', 'দশটায়']
['এগারো', 'নয়াগাঁও', 'এগোই', 'নোয়াগাঁও', 'এগলো', 'নয়াগাঁও', 'নওগাঁও', 'এগারজন', 'নগাঁও', 'এগারোটা']
['বারো', 'নব্বই', 'নভে', 'নূরী', 'বারও', 'নূরে', 'বারু', 'বরো', 'ছনের', 'বারে']
['তেরো', 'টেরও', 'টেরে', 'টেরই', 'তেরোটা', 'টিরই', 'নভো', 'অারো', 'তেরার', 'ওতেরো']
['চৌদ্দ', 'চৌরঙ্গী', 'চৌদ্দগ্রাম', 'চৌরঙ্গীর', 'চৌধুরী', 'চৌকিদারের', 'চৌধুরাণী', 'চৌধুরাণীর', 'তেরাউচি', 'চৌরাশি']
['পনেরো', 'পনেরোটি', 'পেন্নাই', 'পনেরোর', 'পনের', 'পিনু', 'পনির', 'পঞ্জী', 'নোফলো', 'পিন্টো']
['ষোল', 'ষোলো', 'নভো', 'নেভায়', 'তুভা', 'তাউয়ে', 'নুয়ে', 'জোল', 'ভুজ', 'নুভা']
['সতেরো', 'নুইয়ে', 'নুয়ে', 'নেয়ামত', 'নব্বইয়ে', 'নজিরও', 'নোয়াখালী', 'নেভায়', 'সতের', 'জরো']
['আঠারো', 'ঠেকিয়েই', 'জরো', 'রচনাই', 'আধারে', 'আঠারোজন', 'ধারাই', 'নেভায়', 'তৈরিও', 'ঠেকিয়ে']
['উনিশ', 'নূরী', 'নবিশ', 'নুয়াইম', 'নূরি', 'নিতিশ', 'নিতেশ', 'নিয়োগে', 'নাইছ', 'উনিশে']
['বিশ', 'নবিশ', 'বিআই', 'শেগাঁও', 'নূরী', 'বিসাউ', 'সুঁই', 'জিআই', 'বিজিবি', 'جَزَاء']
['একুশ', 'ইয়ুচি', 'এসকিউ', 'সুঁই', 'সঙ্কোশ', 'নাকাশ', 'পরশু', 'কুশ', 'নয়াগাঁও', 'নিয়োগ']
['বাইশ', 'বাইশে', 'বাইজি', 'বাইশগাঁও', 'খুবি', 'বাহি', 'বিগে', 'বিইসি', 'বিজু', 'বাইজ']
['তেইশ', 'তেকিশ', 'টিআই', 'তিথি', 'ইয়াশ', 'তাউয়ে', 'তেজী', 'তাইপেই', 'যাতি', 'তারিয়ে']
['নব্বইয়ে', 'চব্বিশ', 'চৌহালি', 'চমকেই', 'চৌকি', 'সব্জি', 'খুবিই', 'ছিদাম', 'নুয়ে', 'ছালেহ']
['পঁচিশ', 'পাঁচগাঁও', 'পাঁচেক', 'পাঁচে', 'পাঁজি', 'পাঁচেই', 'পাঁচতলা', 'পঁচিশের', 'পাঁচথুপি', 'পাঁচলাইশ']
['ছাব্বিশ', 'ছাব্বিশে', 'নব্বইয়ে', 'নুহাশ', 'নেভায়', 'ছাব্বের', 'নুয়ে', 'খুবি', 'নওয়াজ', 'নোয়াখালী']
['সাতাশ', 'সাতাইশ', 'সাতেই', 'সুজেয়', 'সাতাশটি', 'সাতোশি', 'সাজ্জাদ', 'সাতি', 'সৌধটি', 'সুরেশ']
['আটাশ', 'তিনাশি', 'নিতেশ', 'আতাসি', 'টিশ', 'তেইশ', 'টসে', 'নিয়াজ', 'থিও', 'আটশ']
['ঊনত্রিশ', 'ঊনত্রিশটি', 'ঊনবিংশ', 'নয়টি', 'ঊনিশ', '৯ই', 'নয়জন', 'নয়জনের', 'নয়টায়', 'নয়জনই']
['ত্রিশ', 'ছত্রিশ', 'ত্রিশটি', 'ট্রিশ', 'ত্রিশের', 'বত্রিশ', 'ত্রিশলা', 'তিরিশ', 'ত্রিশতম', 'ত্রিশজন']
['একত্রিশ', 'একত্রিশতম', 'তিনশো', 'তিনশোর্ধ্ব', 'চতুর্দশী', 'তিনেক', 'চতুর্বিংশ', 'তিনতলা', 'বত্রিশ', 'ছত্রিশ']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['এক', 'একং', 'একেএকে', 'একাটি', 'এককটি', 'একে', 'একক', 'একের', 'একটির', 'এককটির']
['দুই', 'দুটিও', 'দুইই', 'দুটোকে', 'দুটির', 'দুইটায়', 'দুইটি', 'দুটি', 'দুটিকে', 'দুটিই']
['তিন', 'তিনখানি', 'তিনখানা', 'তিনটি', 'ছটায়', 'তিনের', 'তিনজন', 'তিনটা', 'তিনটিই', 'তিন্ত']
['চার', 'চারটার', 'চারী', 'চারতলা', 'চারকে', 'চারের', 'চতুর্থবার', 'চারটের', 'চারতলায়', 'চারটিই']
['পাঁচ', 'পাঁচটিই', 'পাঁচজনে', 'পাঁচজনের', 'পাঁচটি', 'পাঁচের', 'পাঁজি', 'পাঁচটার', 'পাঁচগুণ', 'পাঁচ্চর']
['ছয়', 'ছয়ে', 'ছই', 'সেটে', 'ছা', 'সেথায়', 'ত্রে', 'শুয়ে', 'সইয়ে', 'ছইল']
['সাত', 'সাতি', 'সাতে', 'সাত্তে', 'সাতই', 'সাতনা', 'সাত্তা', 'সাতের', 'সেভড', 'সাততলায়']
['আট', '৬টা', 'আটটার', 'আটি', 'আটবছর', '৮টা', 'আটে', 'আটবার', 'আটশ', 'আটা']
['নয়', 'নি', 'না', 'হয়না', 'হইনি', 'নই', 'হয়নি', 'হননি', 'হয়নি', 'নয়তো']
['দশ', 'দশমে', 'দশটায়', 'দশমী', 'দশটি', 'দশটা', 'দশম', 'দশজনকে', 'দশমিকের', 'দশটির']
['এগারো', 'এগারোটায়', 'এগারোটা', 'এগোবেন', 'এগারজন', 'এগারোজন', 'এগারোটি', 'এগোবে', 'এগার', 'একরামুলকে']
['বারো', 'বারোটি', 'বারে', 'বারই', 'বরাবর', 'বারও', 'বারেই', 'বারু', 'বারোটা', 'বারোতে']
['তেরো', 'টেরও', 'তেরোটা', 'তেরার', 'তিরু', 'তানোরে', 'টেরে', 'ওতেরো', 'তোরোর', 'তেরোটি']
['চৌদ্দ', 'চৌদ্দগ্রাম', 'চৌধুরাণী', 'চৌকিদারের', 'চৌধুরাণীর', 'চৌরঙ্গী', 'চৌকিতে', 'চৌকিদারি', 'চৌধুরির', 'চৌদ্দজন']
['পনেরো', 'পনেরোটি', 'পনেরোর', 'পিন্টুর', 'পিন্টোর', 'পনির', 'পিঞ্জরে', 'পনের', 'পেনরোজ', 'পিনু']
['ষোল', 'ষোলো', 'ষোলজন', 'ষোলনল', 'ষোলোয়', 'টলমলে', 'তোলপাড়', 'টোলে', 'ছুটলেন', 'ষোলোশহর']
['সতেরো', 'সমহারে', 'তাড়িৎ', 'সততায়', 'সমরখন্দে', 'সতোপন্থ', 'সচেয়ে', 'সারস্বত', 'তালশহর', 'প্রমথ']
['আঠারো', 'আঠারোজন', 'আঠারগাছিয়া', 'আঠেরো', 'আঠারখাদা', 'আঠারোবাঁকি', 'আঠাল', 'আঠারোতম', 'আঠারোশ', 'আঠারোর']
['বিশ', 'বিশদে', 'বিশে', 'বিশের', 'দিশম', 'দুহাত', 'শয়ে', 'বিগে', 'শেহবাজ', 'দুখু']
['একুশ', 'একুশে', 'আকুতি', 'ইশকুল', 'কোহাত', 'যোশিকে', 'পরশু', 'ইয়াকুত', 'কোভে', 'কুশাখালী']
['বাইশ', 'বাইশে', 'বাইজ', 'বাইচুং', 'বাইপাসে', 'বাইয়েত্তি', 'বাজিল', 'বিপুলের', 'বায়োলজি', 'বিজু']
['তেইশ', 'যাতি', 'ক্ষিতি', 'তপেশ', 'যাতায়াত', 'তেজপুরে', 'সিত্তাহ', 'তেজে', 'তরিৎ', 'সতীকে']
['চব্বিশ', 'সারদামণি', 'চব্বিশটি', 'সমরখন্দে', 'উচ্ছ্বাসে', 'হজ্বে', 'খুশিমনে', 'চব্বিশতম', 'বিচ্ছুর', 'শালবনে']
['পঁচিশ', 'পঁচিশের', 'পাঁচে', 'পাঁচেক', 'পাঁচথুপি', 'পাঁচেই', 'পাঁচপীর', 'পাঁচথুবী', 'পাঁচেকের', 'পাঁজা']
['ছাব্বিশ', 'ছাব্বিশে', 'আবুজায়', 'যোধপুরে', 'শালিবাহন', 'সমরখন্দে', 'আবুধাবিতে', 'গুচ্ছাকারে', 'জব্দে', 'মুষলধারে']
['সাতাশ', 'সাতাশটি', 'সাদাটে', 'সাদাত', 'সাইতারে', 'সাতাইশ', 'সাজ্জাত', 'সাবেত', 'সৌধটি', 'সিউতাত']
['আটাশ', 'আতাত', 'আতোয়াঁ', 'আটকাল', 'আকুতি', 'আটগুণ', 'আতাসি', 'তাখত', 'আস্তিন', 'আতাবেগ']
['ঊনত্রিশ', 'ঊনত্রিশটি', 'ঊনসত্তরের', 'ঊনবিংশ', 'ঊনসত্তর', 'সপ্তডিঙ্গা', '৬টিতেই', '৬টিতে', 'সপ্তসিন্ধু', 'সপ্তশৃঙ্গ']
['ত্রিশ', 'ত্রিশে', 'ত্রিশটি', 'ত্রিশের', 'ত্রিভুজে', 'ত্রিসে', 'ছত্রিশ', 'ত্রিশলা', 'ত্রিবর্গ', 'ত্রিশুল']
['একত্রিশ', 'একত্রিশতম', 'চতুর্দিকে', 'একবিংশ', 'চতুর্দশী', 'একত্বের', 'সভাতেই', 'চারধামের', 'একাদশতম', 'চতুর্ভুজ']
['এক', 'একেএকে', 'একদম', 'একের', 'একতি', 'একুশে', 'একং', 'একক', 'এককটি', 'একরকমের']
['দুই', 'দুটো', 'দুটা', 'দুটিকে', 'দুইটাই', 'দুটোই', 'দুইটিই', 'দুটোরই', 'দুজন', 'দুইটা']
['তিন', 'তিনখানা', 'তিনটিও', 'তিনখানি', 'তিনের', 'তিনটা', 'তিনতলা', 'তিনটি', 'তিনেই', 'তিনজন']
['চার', 'চারটার', 'চারতলা', 'চারমাথা', 'চারী', 'চারমগজ', 'চতুর্থী', 'চতুর্থবার', 'চারকোণা', 'চতুর্থীর']
['পাঁচ', 'পাঁচটার', 'পাঁচের', 'পাঁচজনের', 'পাঁচটিই', 'পাঁচজন', 'পাঁচগুণ', 'পাঁচজনে', 'পাঁচটি', 'পাঁচতারকা']
['ছয়', 'স্তবে', 'জোড়া', 'স্তুপে', 'ছিনিয়ে', 'ছলনায়', 'রচনায়', 'ছা', 'ইঙ্গে', 'ছনুয়া']
['সাত', 'সেগরে', 'সাতই', 'সাদত', 'সাতনা', 'সাহিবে', 'সাতে', 'আরশে', 'বসল', 'বিশে']
['আট', 'আটশ', 'আটবছর', 'আটটার', 'আটজন', 'আটটির', 'আটবার', 'আটটায়', 'আটটি', 'আটা']
['নয়', 'নি', 'না', 'হইনি', 'হয়না', 'নই', 'হয়নি', 'হননি', 'হয়নি', 'নয়তো']
['দশ', 'দশটা', 'দশটায়', 'দশজন', 'দশমে', 'দশজনকে', 'দশমী', 'দশটির', 'দশমীর', 'দশটি']
['এগারো', 'এগারোটায়', 'একরামুলকে', 'এগারজন', 'এগোবেন', 'এগার', 'এগারোটা', 'এগুনোর', 'এগোবে', 'এগারোজন']
['বারো', 'বরিশালে', 'বারে', 'বরাবর', 'বারোটা', 'বারই', 'বহুলা', 'বরকলে', 'বদরপুর', 'সর্বনাম']
['তেরো', 'তেরোটা', 'তেরোজন', 'তালশহর', 'তালুর', 'তারাতলা', 'গোরখা', 'পরিনামে', 'তালহা', 'তিরু']
['চৌদ্দ', 'বারিধারায়', 'চৌরাস্তা', 'চৌকিদারি', 'চৌদ্দবার', 'শিকলবাহার', 'খুরশিদা', 'খানপুরে', 'চৌদ্দজন', 'চৌকাঠে']
['পনেরো', 'পনেরোটি', 'পনেরোর', 'পনের', 'পিঞ্জরে', 'পিনহোল', 'পিনাংয়ের', 'পিন্টুর', 'পিন্টোর', 'পনসের']
['ষোল', 'ষোলজন', 'ষোলো', 'ষোলনল', 'ষোলোয়', 'হাবলা', 'পালশা', 'পোষণ', 'তেরখাদা', 'ধনুকা']
