['অলীক', 'ভক্ষ্য', 'অলঙ্কৃতা', 'উল্লুক', 'ভবিষ্য', 'ভবিষ্যৎ', 'উল্লেখজনক', 'ভবপ্রীতানন্দ', 'অভেদ্য', 'ফলশ্রুতি']
['গুপ্ত', 'অস্নাতক', 'অস্বভাবী', 'অনুষঙ্গী', 'অনাবশ্যক', 'অরুচিকর', 'অপরিশুদ্ধ', 'জালালুদ্দীন', 'অবিশুদ্ধ', 'পচনশীল']
['গ্রহণ', 'গ্রহণের', 'অনবদ্য', 'গ্রহীতা', 'অবোধ্য', 'গ্রহাণুর', 'অনাবশ্যক', 'গ্রহীত', 'অনাদায়ি', 'অনাগ্রহী']
['গ্রাম্য', 'গ্রামভিত্তিক', 'গ্রামছাড়া', 'গ্রামাঞ্চল', 'গ্রামীন', 'গ্রিম', 'গ্রীস্মকালীন', 'গ্রিমের', 'অনবদ্য', 'গ্রায়েম']
['মড়ক', 'চলিত', 'শিহরিত', 'চলনশীল', 'অনর্গল', 'অমার্জিত', 'রুচিহীন', 'যথোচিত', 'জলাশয়', 'করতলগত']
['জন্ম', 'জন্মই', 'জন্মগত', 'জন্মাত', 'জন্মান', 'জন্মান্ধ', 'জন্মসনদ', 'জন্মদান', 'জন্মজয়ন্তী', 'জন্মের']
['জরিমানা', 'জরিমানার', 'জরিমানাসহ', 'অনাবাদি', 'অনামিকার', 'অনৈচ্ছিক', 'অদ্বৈত', 'অপরাধলব্ধ', 'অশালীন', 'অসীমা']
['জলে', 'জলাশয়ের', 'জলের', 'জলতল', 'জলজ', 'জলাশয়', 'জলঢুপ', 'জলাবদ্ধ', 'জলঢাকা', 'জলসায়']
['জোয়ার', 'জোয়ার্দ্দার', 'জোয়ারের', 'জোয়া', 'জোয়াদ্দার', 'জোয়ার্দার', 'জালেম', 'জালমির', 'জোয়ারি', 'জালিম']
['দুর্লভ', 'দূর্লভ', 'অনাবশ্যক', 'বিরল', 'অস্বাভাবিক', 'আবিভূর্ত', 'অমানবিক', 'নির্ভূল', 'অসঙ্কালিক', 'অবোধ্য']
['তিরস্কার', 'বিষ্ণুভক্ত', 'কেলেঙ্কারির', 'অরুচিকর', 'অস্নাতক', 'অনুষঙ্গী', 'অনিষ্টকর', 'অস্বভাবী', 'অনুতপ্ত', 'অনুষদভুক্ত']
['অন্নদামঙ্গল', 'তুষ্ট', 'অনাবশ্যক', 'অশুদ্ধ', 'অভ্রান্ত', 'অনিষ্ট', 'অনর্গল', 'দুষ্মন্ত', 'অনুতপ্ত', 'অনুষঙ্গী']
['দিবা', 'অনতিকাল', 'দিবি', 'দিবালা', 'দেরিদা', 'দৈন্যতা', 'দিবালার', 'ইনতিকাল', 'অদিত', 'দৈব']
['দিবস', 'দিবসের', 'দিনকর', 'দিনের', 'দিনশা', 'দিনকার', 'দিবর', 'দিনগত', 'দিনকরের', 'দিবসসমূহ']
['দীর্ঘায়ু', 'দীর্ঘদেহী', 'দীর্ঘায়িত', 'দীর্ঘায়ু', 'সুদীর্ঘকাল', 'দীর্ঘায়িত', 'দৈর্ঘ্যবিশিষ্ট', 'দীর্ঘপথ', 'দীর্ঘদেহের', 'দীর্ঘায়ন']
['দূর', 'দূরতম', 'দূরবর্তী', 'দূরগামী', 'দূর্বার', 'দূরে', 'দূরের', 'দূরবর্তি', 'দূর্বা', 'অনাবশ্যক']
['দেনা', 'দেনায়', 'দাওনা', 'দানাপানি', 'দাতিনা', 'অদাহ্য', 'দাওনি', 'দানী', 'দানা', 'অনবদ্য']
['নিঃশ্বাস', 'নিঃশ্বাসে', 'নিঃশ্বাসের', 'শ্বাস', 'শ্বাসের', 'শ্বাসন', 'রুদ্ধতাপীয়', 'শ্বাসপ্রশ্বাস', 'শ্বাসরুদ্ধ', 'শ্বাসকার্য']
['অনির্দিষ্ট', 'নির্দিষ্ট', 'অনাবশ্যক', 'অনির্দিষ্টভাবে', 'নির্দ্দিষ্ট', 'সুনির্দিষ্ট', 'বৈশিষ্ট', 'অপরিষ্কার', 'আবিভূর্ত', 'ঘনত্ববিশিষ্ট']
['অন্যায্য', 'অনাবশ্যক', 'ন্যায়', 'অন্যাতম', 'অনার্য', 'অলোক', 'অকথ্য', 'অনাদায়ি', 'নৈব', 'অণুরক্ত']
['পূর্ণিমা', 'পূর্ণবিকশিত', 'ত্রুটিপূর্ণ', 'জলপূর্ণ', 'পরিপূর্ণ', 'পরিপুর্ণ', 'অপূর্ণ', 'নৈকট্যপূর্ণ', 'বসতিপূর্ণ', 'পরিপূর্ন']
['অনবদ্য', 'প্রসারণ', 'অপরিশুদ্ধ', 'জালালুদ্দীন', 'অনর্গল', 'অমার্জিত', 'বিমলমিত্র', 'অনবচ্ছেদ', 'অশূণ্য', 'অনুষঙ্গের']
['বক্তা', 'ঘূর্ণমান', 'বনাঞ্চল', 'অনবদ্য', 'বক্তাই', 'অশূণ্য', 'জালালুদ্দীন', 'অনুষঙ্গের', 'অনুষঙ্গী', 'অবুদ্ধ']
['প্রারম্ভ', 'প্রারম্ভিক', 'প্রারাম্ভ', 'প্রারম্ভে', 'প্রাইমাস', 'প্রারম্ভের', 'অনবদ্য', 'প্রিমিটিভ', 'অনাবশ্যক', 'প্রিমিয়াম']
['ভূমিকা', 'ভূমিকাও', 'ভূমিকায়', 'ভূমিকার', 'ভূমিকাই', 'ভূমিকায়', 'ভূমিকাকে', 'ভূমিকাটির', 'ভুমিকা', 'ভূমিকাগুলি']
['মৌখিক', 'অমানুষিক', 'নারকীয়', 'নৃতাত্বিক', 'অমানবিক', 'অনাদায়ি', 'জালালুদ্দীন', 'সাংঘাতিক', 'অনাবশ্যক', 'অমৌলিক']
['দূরে', 'দূরের', 'দূরই', 'দূরতম', 'দূরবর্তী', 'দূর', 'দূরেই', 'দূরহ', 'দূরেও', 'বহুদূরে']
['ভিতরে', 'ভিতরের', 'ভিতরেই', 'ভেতরের', 'ভেতরে', 'অভ্যন্তরে', 'ভিতরগড়', 'ভিতরেও', 'অভ্যন্তরেই', 'ভিতর']
['আলো', 'আলোর', 'পরিশুদ্ধির', 'অনুজ্জ্বল', 'আলোকবর্তিকা', 'আলোকপাত', 'অত্যুজ্জ্বল', 'আলোকিত', 'আলোকময়', 'আলোয়']
['অনেক', 'অনাবশ্যক', 'অনেকর', 'বহুগুণ', 'অনেকগুণ', 'অনেকরকম', 'অনেকবেশি', 'অনেকখানি', 'অনেকাংশই', 'অনেকাংশ']
['ডান', 'ডান্ডা', 'অনাবশ্যক', 'অসরিক', 'অনারারী', 'ডানা', 'অনারের', 'অনাদায়ি', 'ডানাই', 'অনিহা']
['তরুণ', 'তরুণতম', 'শিশুতোষ', 'তরুণই', 'তারুণ্যকে', 'যুবতী', 'তরুণের', 'তারুণ্যের', 'তরুণটি', 'তরুণী']
['অতীত', 'অতীতের', 'অতীতকে', 'অতীব', 'অতীবাহিত', 'অতীন', 'অতীতও', 'অতীষ্ঠ', 'অতীতেও', 'অতীতে']
['অলীক', 'ওলীদ', 'অভিষেক', 'অলংকরণ', 'অভিশংসক', 'অলক', 'অভিলাষী', 'অলংকরন', 'লালজসেক', 'অলঙ্করণ']
['আকর্ষণ', 'আকর্ষণের', 'আকর্ষণী', 'আকর্ষণকে', 'আকর্ষণে', 'আকর্ষণই', 'আকর্ষনের', 'আকর্ষণকারী', 'আকর্ষন', 'আকর্ষণস্থল']
['আগমন', 'আগমণ', 'আগমনের', 'আগমণের', 'আগোত', 'আগমনে', 'আগমনকে', 'আগমনী', 'পৌঁছানর', 'পৌঁছানোর']
['আজ', 'আজকে', 'আজকের', 'এদিন', 'আজই', 'আজকেও', 'আজকাল', 'আজকালের', 'বর্তমানে', 'আইদিন']
['আদি', 'অবদি', 'আদী', 'আদব', 'আদিতে', 'আদির', 'আহাদি', 'আদবানি', 'ইদি', 'আদা']
['আবশ্যক', 'আবশ্যিক', 'বোধহয়', 'নিশ্চয়', 'নিশ্চল', 'শর্তাবলি', 'নিরীক্ষন', 'আবশ্যকতা', 'সংষ্কার', 'অতিবেগুনি']
['আলো', 'বাতিসা', 'বাতিন', 'জানাল', 'আলোর', 'আকাবাদ', 'বাতেন', 'বাতের', 'আলোটা', 'আলোচ্য']
['আশীর্বাদ', 'আশীর্বাদের', 'প্রশংসায়', 'আশীর্বাদধন্য', 'করুণাকণা', 'প্রশংসায়', 'প্রশংসাই', 'করুণায়', 'করুণাময়', 'আশীর্বাদে']
['ইচ্ছুক', 'ইচ্ছার', 'অবরোহন', 'অবরোহণ', 'ইচ্ছাপত্র', 'অভিমুখ', 'ইচ্ছাপূরণ', 'অক্ষিপট', 'অবগুণ্ঠন', 'অভিমুন্য']
['ইহকাল', 'পুরাণের', 'পরকালীন', 'সমকাল', 'বয়সজনিত', 'পুরাণ', 'অকাল', 'জাঁকাল', 'দৈব', 'বয়শে']
['উত্তর', 'উত্তরও', 'উত্তরণ', 'উত্তরই', 'উত্তরখান', 'উত্তরটা', 'উত্তরেও', 'উত্তরোত্তর', 'উত্তরের', 'উত্তরকাশি']
['', '', '', '', '', '', '', '', '', '']
['উত্থান', 'উত্থানের', 'উতপন্ন', 'উতলা', 'উত্তোলন', 'উঠিয়া', 'উত্ত', 'উত্খাত', 'উত্তোরণ', 'উতসব']
['উদয়', 'অবরোহন', 'অবরোহণ', 'উদয়ন', 'ধারাপাত', 'অভিকা', 'ভেজায়', 'ভেজা', 'খুরদা', 'ফেঁপে']
['অতিবৃষ্টি', 'অতিবৃষ্টির', 'অবনমিত', 'অবক্ষেপন', 'অতিবৃষ্টিতে', 'অবক্ষেপণ', 'অবগাহন', 'অবগুণ্ঠন', 'অতলান্ত', 'অষ্টভুজা']
['উজান', 'উজানের', 'উসাইন', 'উজানে', 'উসেইন', 'উসমান', 'ওশেন', 'অাসেন', 'উগয়েন', 'অসেন']
['উৎরাই', 'উৎরে', 'তৎপরতার', 'তৎপরতা', 'তৎপরতায়', 'অবরোহণ', 'তৎপরতায়', 'উৎক্ষেপ', 'অগ্রসর', 'উৎপীড়ন']
['উত্তীর্ণ', 'প্রক্ষিপ্ত', 'উপার্জিত', 'অবরোহণ', 'সূক্ষ্ণ', 'পরাক্রান্ত', 'ধারাপাট', 'বৃত্তান্ত', 'উত্সর্গিত', 'ধারাবাহিতা']
['', '', '', '', '', '', '', '', '', '']
['ঊষা', 'উপজলা', 'চিৎলা', 'সাঁথিয়া', 'শবলা', 'শোষন', 'শীলা', 'চেষ্ঠা', 'পরিখা', 'শুকলা']
['একাল', 'একালের', 'অবরোহন', 'সন্তরণ', 'অবরোহণ', 'পরচিত', 'বহাগ', 'তক্ষশিলা', 'পরদা', 'সমরের']
['', '', '', '', '', '', '', '', '', '']
['এখন', 'এখনে', 'এখনো', 'এখনের', 'এখনকার', 'সখনো', 'এখনেই', 'বর্তমানে', 'এখনি', 'এখনই']
['কল্পনা', 'কল্পনাকে', 'কল্পনার', 'কল্পনাও', 'কল্পনায়', 'কল্পনায়', 'কল্পনাই', 'ধারনায়', 'ভাবাদর্শ', 'কল্পনাশক্তি']
['কুমেরু', 'কুমারঘাট', 'কুমিরের', 'কুমুদলাল', 'কুমারার', 'কুমুদরঞ্জন', 'কুমিরার', 'কুমারভোগ', 'মহুকুমার', 'কুমকুম']
['ক্ষণস্থায়ী', 'অভিষিক্ত', 'অবক্ষেপণ', 'তক্ষশিলার', 'অভিগম্যতা', 'অষ্টভুজা', 'বহিঃপ্রান্ত', 'অবরোহণ', 'নৃত্যধারার', 'ক্ষতবিক্ষত']
['কৃষ্ণাঙ্গ', 'কৃষ্ণচূড়া', 'কৃষ্ণাঙ্গদের', 'কৃষ্ণকায়', 'কৃষ্ণার', 'কৃষ্ণণের', 'কালো', 'কৃষ্ণবিবরের', 'কালুবিতরাণা', 'কৃষ্ণণকে']
['ঘৃণা', 'ঘৃণার', 'ঘৃণায়', 'ঘৃনা', 'ঘৃণাকে', 'ঘৃণাবোধ', 'ঘৃণানির্ভর', 'ঘৃণায়', 'ঘৃণাও', 'ঘৃণাভরে']
['গোপন', 'গোপনের', 'গোপনের', 'গোপনে', 'গোপনীয়তা', 'গোপনীয়তার', 'গোপনীয়', 'গোপনীয়তা', 'গোপনীয়', 'গোপন']
['গুপ্ত', 'খোঁপায়', 'উপগুপ্ত', 'খুঁতযুক্ত', 'শিংযুক্ত', 'কম্পিত', 'খুতবার', 'গুপ্তছড়া', 'দর্শিত', 'পিচঢালা']
['গ্রহণ', 'গ্রহণের', 'গ্রহণে', 'গ্রহনে', 'গ্রহীত', 'গ্রহণকে', 'গ্রহনের', 'গ্রহন', 'গ্রহাণুর', 'অবরোহণ']
['গ্রাম্য', 'গ্রানিত', 'গ্রাবরেখা', 'গ্রায়েম', 'গ্রুম', 'গ্রহের', 'গ্রামছাড়া', 'গ্রামাঞ্চল', 'গ্রহে', 'গ্রাহ্য']
['চলিত', 'অবরোহণ', 'অবরোহন', 'প্রচলন', 'ধারাপাত', 'খোঁজা', 'চরিত', 'প্রচালন', 'রেখাপাত', 'লাগায়']
['জন্ম', 'জন্মু', 'জন্মায়', 'জন্মের', 'জন্মাল', 'জন্মাত', 'জন্মসনদ', 'জন্মান', 'জন্মে', 'জন্মদান']
['জরিমানা', 'জরিমানার', 'জরিমানাসহ', 'নিষিক্ত', 'নিষাদের', 'নিষাদ', 'অকুপেশনাল', 'নিষিদ্ধতা', 'শাস্তির', 'শাস্তিপ্রদান']
['জলে', 'জলাবন', 'জলেতে', 'জলঢাকা', 'জলজ', 'জমালেন', 'জলছাপ', 'জলমগ্ন', 'জলপান', 'জলের']
['জোয়ার', 'জোগাতেন', 'জোয়ার্দার', 'জোয়ার', 'জোয়ারের', 'জহুরার', 'জোয়াগ', 'জোগাবেন', 'জেওর', 'জোয়ার্দ্দার']
['দুর্লভ', 'বিরল', 'দূর্লভ', 'বিন্দুমাত্র', 'আবিভূর্ত', 'স্বকীয়', 'বিছিন্ন', 'অশিষ্ট', 'বাধাই', 'অনাড়ম্বর']
['তিরস্কার', 'তিরস্কারের', 'ধিক্কার', 'দর্শানোর', 'বাগধারার', 'অশ্লীলতার', 'অভিষিক্ত', 'কেলেঙ্কারির', 'বিশৃংখলার', 'সেঁজুতির']
['তুষ্ট', 'পরাস্ত', 'অতলান্ত', 'কম্পিত', 'বিচ্ছিন', 'খোঁচা', 'সেঁজুতি', 'খোঁচা', 'কাঙ্খিত', 'বিচলার']
['দিবা', 'দিবালা', 'দিবি', 'দিত', 'দিব্যা', 'দিবালার', 'দিযে', 'দিদা', 'দিলা', 'দিবালাকে']
['দিবস', 'দিনশা', 'দিবর', 'দিবসের', 'দিনকার', 'দিন', 'দিনমান', 'দিবসসমূহ', 'দিনকাল', 'দিবার']
['দীর্ঘায়ু', 'দীর্ঘায়ন', 'দীর্ঘায়ু', 'দীর্ঘায়িত', 'দীর্ঘপথ', 'দীর্ঘদেহী', 'দীর্ঘকায়', 'দৈর্ঘ্যর', 'সুদীর্ঘকাল', 'দৈর্ঘ্য']
['দূর', 'দূরতম', 'দূরদেশ', 'দূরের', 'দূরবর্তি', 'দূরে', 'খুড়ে', 'দূরগামী', 'দূরবর্তী', 'দূরবিন']
['দেনা', 'দাওনা', 'দেওন', 'দেয়া', 'দিতেন', 'দেন', 'দেনায়', 'দেওয়া', 'দেয়', 'দেথা']
['নিঃশ্বাস', 'নিঃশ্বাসে', 'নিঃশ্বাসের', 'শ্বাস', 'শ্বাসের', 'শ্বাসন', 'শ্বাসকার্য', 'শ্বাসপ্রশ্বাস', 'শ্বাসরোধে', 'বাতুলতা']
['নির্দিষ্ট', 'নির্দিষ্টতা', 'নিদিষ্ট', 'সুনির্দিষ্ট', 'নির্দিষ্টভাবে', 'নির্দ্দিষ্ট', 'নির্ত', 'নিদৃষ্ট', 'বৈশিষ্ট্যময়', 'বৈশিষ্টগত']
['ন্যায়', 'ন্যাশ', 'ন্যাপথা', 'ন্যাস্ত', 'ন্যাপের', 'ন্যাশন', 'ন্যাশকে', 'ন্যাড়া', 'অধিবাস', 'অতন্ত']
['পূর্ণিমা', 'পূর্ণিমার', 'পূর্ণিমায়', 'পূর্ণা', 'পূর্ণতর', 'পূর্ণের', 'পূর্ণাংগ', 'পূর্ণতার', 'পরিপূর্ন', 'পূর্ণিমাকে']
['প্রসারণ', 'প্রসারন', 'প্রসারণের', 'অবরোহণ', 'প্রচালন', 'প্রসারণে', 'প্রচলন', 'অবরোহন', 'প্রসারতার', 'প্রসাশন']
['বক্তা', 'বক্তাবলী', 'বক্তার', 'বক্তাই', 'বক্তাকে', 'বক্র', 'বক্রের', 'বক্কার', 'বক্তারপুর', 'বন্দিশালা']
['প্রারম্ভ', 'প্রারাম্ভ', 'প্রাইমাল', 'প্রাইমাস', 'প্রাইম', 'প্রারম্ভের', 'প্রেসমাড', 'প্রভিশনাল', 'প্রারম্ভে', 'প্রাইমা']
['ভূমিকা', 'ভূমিকায়', 'ভুমিকা', 'ভূমিকায়', 'ভূমিকাও', 'ভূমিকাকে', 'ভূমিকার', 'ভূমিকাই', 'ভূমিকাগুলি', 'ভূমিকাতে']
['মৌখিক', 'মাশরিক', 'মৎস্যচাষ', 'মণিহারী', 'মহাপণ্ডিত', 'মহিষখোলা', 'রাসবিহারী', 'সাংঘাতিক', 'মণিমালা', 'মণিহার']
['দূরে', 'দূরের', 'দূর', 'দূরেই', 'দূরই', 'দূরেও', 'দূরবর্তি', 'দূরতম', 'দূরত্বেই', 'দূরত্বে']
['ভিতরে', 'ভিতরের', 'ভেতরে', 'ভেতরের', 'ভিতর', 'ভিতরগড়', 'ভিতরেই', 'ভেতরই', 'ভেতরেই', 'ভেতরও']
['আলো', 'বাতিসা', 'বাতিন', 'জানাল', 'আলোর', 'আকাবাদ', 'বাতেন', 'বাতের', 'আলোটা', 'আলোচ্য']
['অনেক', 'অনেকর', 'অনেকগুণ', 'অনেকাংশ', 'অনেকটা', 'অনেকটুকু', 'বেশিকিছু', 'অনেকটাই', 'বহুভাবে', 'অনেকরকম']
['ডান', 'ডানা', 'ভারনন', 'ডানাই', 'দেন', 'দায়ভার', 'দাইন্যা', 'ডানার', 'ডানি', 'দায়া']
['তরুণ', 'তরুণই', 'তরুণতম', 'তরুণের', 'তরুন', 'তরুণাস্থির', 'তারুণ্যকে', 'তরুণকে', 'তরুনী', 'যুবতী']
['অতীত', 'অতীতের', 'অতীতকে', 'অতীব', 'অতীন', 'অতীতেও', 'অতীবাহিত', 'অতীতও', 'অতীতে', 'অতীতেই']
['অলীক', 'অলংকরণ', 'ধানুকা', 'অলমের', 'কষযুক্ত', 'দমকল', 'অলঙ্করণ', 'ধামকি', 'ধানকল', 'হরকাত']
['আকর্ষণ', 'আকর্ষণকে', 'আকর্ষণী', 'আকর্ষণে', 'আকর্ষণই', 'আকর্ষণের', 'আকর্ষনের', 'আকর্ষণকারী', 'আকর্ষনে', 'আকর্ষণেই']
['আগমন', 'আগমণের', 'আগমনের', 'আগমণ', 'আগমনে', 'আগমনকে', 'আগোত', 'পৌঁছানর', 'আগমনী', 'পৌঁছয়']
['আজ', 'আজকে', 'আজকের', 'আজকেও', 'এদিন', 'আজকালের', 'আজকেই', 'আজকাল', 'বর্তমানে', 'এদিনই']
['আদি', 'আদিতে', 'আদী', 'আচি', 'আদা', 'ইদি', 'আদমি', 'আদানি', 'আদব', 'আহাদি']
['আবশ্যক', 'বোধহয়', 'নিশ্চই', 'পাক্শি', 'দ্বারকায়', 'খণ্ডিত', 'নিশ্চয়তার', 'বার্ধক্যে', 'নিশ্চিন্তপুর', 'তথাকার']
['আরোহন', 'আরোহণ', 'আওতার', 'ধিবেহী', 'আরোহণে', 'আঁধার', 'আরোপকে', 'পাকানোর', 'আরোপণ', 'পুঁজিতে']
['আশীর্বাদ', 'প্রশংসায়', 'প্রশংসাই', 'প্রশংসাও', 'করুণাকণা', 'প্রশংসা', 'প্রশংসাটা', 'করুণারত্নে', 'আশীর্বাদের', 'করুণা']
['ইচ্ছুক', 'ইচ্ছের', 'ইচ্ছার', 'ইচ্ছাশক্তি', 'হাড়ক্ষয়', 'তথাকার', 'কন্ঠদান', 'ইচ্ছেয়', 'ইচ্ছাপত্র', 'ইচ্ছাপুর']
['ইহকাল', 'প্রতিমান', 'পুরাণের', 'বয়শে', 'দীননাথ', 'মেয়াদকাল', 'বয়সজনিত', 'দৈব', 'প্রথাগত', 'পুরাণকে']
['উত্তর', 'উত্তরও', 'উত্তরই', 'উত্তরেও', 'উত্তরখান', 'উত্তরণ', 'উত্তরটা', 'উত্তরের', 'উত্তরোত্তর', 'উত্তরটি']
['', '', '', '', '', '', '', '', '', '']
['উত্থান', 'উত্থানের', 'বাড়ানোর', 'উঠবার', 'উঠিয়া', 'উতবা', 'উঠোন', 'বাড়াই', 'উতলা', 'উঠেছেন']
['উদয়', 'আঁধার', 'ধারাও', 'খাঁটিয়ে', 'পুঁজিতে', 'দাড়িয়া', 'ধিবেহী', 'আশুড়ার', 'তটরেখা', 'ধারাই']
['ধ্বনিতে', 'আঁধার', 'আঁধারের', 'অতিবৃষ্টি', 'আশুড়ার', 'ছাঁচনপাত্তি', 'ধানগাছের', 'চাঁপদানি', 'আঁধারি', 'ঘামাতে']
['উজান', 'উজানের', 'উজানে', 'উসাইন', 'উসমান', 'উজানচর', 'উসেইন', 'উসাইর', 'উজানির', 'উজানি']
['উৎরাই', 'তৎপরতার', 'তৎপরতাই', 'আনিছুর', 'তৎপরতায়', 'আঁধার', 'চরিতে', 'তৎপরতা', 'প্রদর', 'আঁচলের']
['উত্তীর্ণ', 'সচরাচর', 'ঘনিষ্ঠতার', 'ধারাবাহিক', 'নির্বচন', 'নিক্ষেপক', 'দুর্ধরার', 'অঙ্গচালনার', 'খপ্পর', 'ধানক্ষেত']
['', '', '', '', '', '', '', '', '', '']
['ঊষা', 'থোড়', 'খাটা', 'তারকায়', 'ঔষধে', 'তুমকুর', 'তথাপি', 'করাতি', 'কাধেঁ', 'টুঁটি']
['একাল', 'একালের', 'তবিবর', 'পরশমণি', 'রূপরেখা', 'কক্ষনো', 'আনিছুল', 'ধারাবি', 'তটরেখার', 'করাতের']
['', '', '', '', '', '', '', '', '', '']
['এখন', 'এখনে', 'এখনের', 'এখনো', 'এখনকার', 'এখনেই', 'এখনি', 'এখনই', 'বর্তমানে', 'বর্তমানেই']
['কল্পনা', 'কল্পনাও', 'কল্পনাকে', 'কল্পনাই', 'কল্পনার', 'কল্পনায়', 'ভাবাদর্শ', 'কল্পনায়', 'ভাবপ্রবণ', 'ধারনায়']
['কুমেরু', 'কুমিরের', 'কুম্ভের', 'কুমকুম', 'কুমারও', 'কুমের', 'কুমারার', 'কুমকুমের', 'কুমারা', 'কুমারের']
['ক্ষণস্থায়ী', 'ক্ষুদিরামের', 'হাড়ক্ষয়', 'ক্ষিপ্রতার', 'নির্জনতার', 'মহড়াকক্ষে', 'খণ্ডতার', 'ক্ষণিকের', 'ক্ষিপ্রতায়', 'ক্ষীণকায়']
['কৃষ্ণাঙ্গ', 'কৃষ্ণাঙ্গদের', 'কৃষ্ণার', 'কৃষ্ণাদের', 'কালোটাকা', 'কৃষ্ণকান্ত', 'কৃষ্ণণের', 'কৃষ্ণচূড়া', 'কৃষ্ণসারের', 'কালুবিতরাণা']
['ঘৃণা', 'ঘৃণায়', 'ঘৃণার', 'ঘৃণাকে', 'ঘৃনা', 'ঘৃণাবোধ', 'ঘৃণায়', 'ঘৃণাও', 'ঘৃণানির্ভর', 'ঘৃণাভরে']
['গোপন', 'গোপনের', 'গোপনীয়তার', 'গোপনীয়', 'গোপনে', 'গোপনীয়', 'গোপনীয়তায়', 'গোপনীয়তা', 'গুপ্ত', 'চপকার']
['গুপ্ত', 'তামাকখেত', 'গুপ্তছড়া', 'উপগুপ্ত', 'কুঁচকির', 'কাদাখোঁচা', 'শুঁয়োপোকা', 'কুশলতার', 'ধাপেরহাট', 'আঁধারি']
['গ্রহণ', 'গ্রহণে', 'গ্রহণের', 'গ্রহণকে', 'গ্রহাণুর', 'গ্রহনে', 'আঁধার', 'ধরেনের', 'ধরলার', 'গ্রহাণুটি']
['গ্রাম্য', 'গ্রামছাড়া', 'গ্রাহ্য', 'গ্রানিত', 'গ্রাহাম', 'গ্রুম', 'গ্রামাঞ্চল', 'গ্রাবরেখা', 'গ্রমের', 'গ্রুমিং']
['চলিত', 'ক্রীড়ায়', 'খাঁটিয়ে', 'পুঁজিতে', 'আঁধার', 'চেপে', 'খাটানো', 'চুকিয়ে', 'আঁচলের', 'আঁধারে']
['জন্ম', 'জন্মায়', 'জন্মাত', 'জন্মদান', 'জন্মের', 'জন্মান', 'জন্মু', 'জন্মায়', 'জন্মে', 'জন্মানো']
['জরিমানা', 'জরিমানার', 'জরিমানাসহ', 'নিষাদের', 'নিষিক্ত', 'জরিমানাও', 'শাস্তির', 'নিষাদ', 'অনামিকার', 'শাস্তিপ্রদান']
['জলাবন', 'জলেতে', 'জলখাবার', 'আঁধার', 'ঘামাতে', 'জলে', 'ঘামছেন', 'আঁধারে', 'জলছাপ', 'জমালেন']
['জোয়ার', 'জোয়ার', 'জোয়ারের', 'জুঁইয়ের', 'জোগাতেন', 'জুঁইয়ের', 'তুজুয়ের', 'আঁধার', 'জোয়ারে', 'জুলেখার']
['দুর্লভ', 'বিরল', 'দূর্লভ', 'বিন্দুমাত্র', 'বিছিন্ন', 'বাধাই', 'অভাবহেতু', 'অশিষ্ট', 'বেগম', 'অনাড়ম্বর']
['তিরস্কার', 'তিরস্কারের', 'ক্রোধের', 'পাক্শির', 'শৃংখলার', 'কুশলতার', 'ধানখেতের', 'আষাঢ়ের', 'তাংয়ের', 'বিঘাপ্রতি']
['তুষ্ট', 'তুষ্টি', 'ধানুকা', 'ধান্দা', 'চিড়া', 'তুষ্টির', 'মুষড়ে', 'তামাংয়ের', 'ধানোরা', 'আঁধার']
['দিবা', 'দিবে', 'দিবি', 'দিব্যা', 'দিযে', 'দাপটে', 'দিতেন', 'দিত', 'দইয়ের', 'দখিন']
['দিবস', 'দিবসের', 'দিবর', 'দিনের', 'দিনমান', 'দিনকর', 'দিবসকে', 'দিন', 'দিবসটির', 'দিবসসমূহ']
['দীর্ঘায়ু', 'দীর্ঘদেহী', 'দৈর্ঘ্যর', 'দীর্ঘায়ু', 'দীর্ঘাকার', 'দৈর্ঘ', 'দীর্ঘকায়', 'দীর্ঘায়িত', 'দৈর্ঘ্য', 'দৈর্ঘ্যকে']
['দূর', 'আদুরে', 'বারপাড়া', 'দূরের', 'তোরণ', 'তাড়িয়ে', 'অদুরে', 'অগ্রহায়ণ', 'ছাড়াছাড়ির', 'নেছার']
['দেনা', 'দাওনা', 'দিতেন', 'দেওন', 'দাতে', 'দেনায়', 'দিনো', 'দন', 'উদানা', 'দিতে']
['নিঃশ্বাস', 'নিঃশ্বাসে', 'নিঃশ্বাসের', 'শ্বাস', 'শ্বাসন', 'শ্বাসের', 'শ্বাসরোধে', 'শ্বাসকার্য', 'নাড়াতে', 'শ্বাসগ্রহণ']
['নির্দিষ্ট', 'নির্দিষ্টতা', 'নিদিষ্ট', 'নির্দিষ্টভাবে', 'সুনির্দিষ্ট', 'বৈশিষ্ট্যময়', 'নির্দ্দিষ্ট', 'নির্ত', 'বৈশিষ্ট্য', 'নির্বিশেষ']
['ন্যায়', 'ন্যাড়া', 'ন্যাশকে', 'ন্যাপের', 'করে্ন', 'ন্যাপথা', 'তন্তুকে', 'মনঃপুত', 'আচ্ছাদন', 'ন্যাস্ত']
['পূর্ণিমা', 'পূর্ণতর', 'পূর্ণিমার', 'পূর্ণিমায়', 'পূর্ণতার', 'পূর্ণা', 'পূর্ণচ্যুতি', 'পূর্ণের', 'পূর্ণনাম', 'পূর্ণিমাকে']
