['তুমি', 'আমরা', 'আপনা', 'আপনি', 'আমারা', 'আপনারই', 'তোমাদের', 'আমাদেরই', 'তোমরা', 'আমাদের']
['মাঝি', 'মাঝামাঝি', 'মাখজুমি', 'ব্ঝি', 'মাঝেই', 'মেয়াদি', 'মাগসি', 'মাঝামঝি', 'মক্খলি', 'মাতাজি']
['ধনী', 'ধনীরা', 'ধনীদের', 'ধনীর', 'ধনদৌলত', 'সমৃদ্ধশালী', 'ধনসম্পদ', 'সম্পদশালী', 'বড়লোকদের', 'সমৃদ্ধ']
['ভাই', 'ভাইও', 'ভাইরা', 'ভাইবে', 'ভাইয়া', 'ভাইয়ে', 'ভাইয়া', 'ভাইপো', 'ভাইয়েরা', 'ভাইব']
['শিক্ষকরা', 'শিক্ষকদের', 'শিক্ষকনেতারা', 'শিক্ষকেরা', 'শিক্ষকগণ', 'শিক্ষিকারা', 'শিক্ষিকাদের', 'শিক্ষকগণের', 'শিক্ষকেরাই', 'শিক্ষক']
['গরু', 'গালভরা', 'গরুদের', 'গরুমারা', 'গুরিরা', 'গোর্খারা', 'গুরুরা', 'গরুগুলো', 'গরুর', 'গহিরা']
['ছেলে', 'ছেলেদের', 'ছেল', 'ছেলেহারা', 'পুত্রা', 'ছেলেরে', 'ছেলেমেয়েদের', 'ছেলেই', 'পুত্রদের', 'পুত্রেরা']
['মেয়ে', 'মেয়ে', 'মেয়ের', 'মেয়েকে', 'কন্যাদের', 'মেয়েরা', 'মেয়েকে', 'মেয়েই', 'মেয়েদের', 'মেয়েদের']
['ভাই', 'ভাইও', 'ভাইরা', 'ভাইবে', 'ভাইয়া', 'ভাইয়ে', 'ভাইয়া', 'ভাইপো', 'ভাইয়েরা', 'ভাইব']
['পাখি', 'পাখী', 'পাখীদের', 'পাখিগুলি', 'পাখিরাই', 'পাখিদের', 'পাখনাগুলো', 'পাখিরা', 'পাখিটি', 'পাখতুন']
['সদস্যদরা', 'সদস্যেরা', 'সদস্যরা', 'সদস্যেদের', 'সদস্যদের', 'সদস্যগণ', 'সদস্য', 'সদস্যগুলো', 'সদস্যগুলি', 'সদস্যরাই']
['সচিব', 'সচিবের', 'শেখপুরা', 'সাপগুলি', 'সিপাহীরা', 'সেবকরা', 'শিবাজী', 'সিপাহীদের', 'কুশীলবেরা', 'শৈলীগুলি']
['দর্শকরা', 'দর্শকেরা', 'দর্শকগণ', 'দর্শকদের', 'দর্শক', 'দর্শকগন', 'দর্শকেরাই', 'দর্শকের', 'পরিদর্শকেরা', 'ধারাভাষ্যকররা']
['শিক্ষকরা', 'শিক্ষকদের', 'শিক্ষকনেতারা', 'শিক্ষকেরা', 'শিক্ষকগণ', 'শিক্ষিকারা', 'শিক্ষিকাদের', 'শিক্ষকগণের', 'শিক্ষকেরাই', 'শিক্ষক']
['সুধী', 'সুধীরা', 'সুধীজনদের', 'সাপগুলি', 'সাধকেরা', 'সমাধী', 'সাধুরা', 'সাবেকরা', 'সাধকরা', 'সজনী']
['সম্পাদকরা', 'সম্পাদকেরা', 'সম্পাদকগণ', 'সম্পাদকদের', 'সম্পাদক', 'সম্পাদিকার', 'সম্পাদনার', 'সম্পাদকের', 'সম্পাদককে', 'সম্পাদকীয়']
['পণ্ডিত', 'পণ্ডিতগণ', 'পণ্ডিতদের', 'পণ্ডিতরা', 'পণ্ডিতেরা', 'পণ্ডিতের', 'পাণ্ডিত্যের', 'পণ্ডিতই', 'দন্ডিত', 'চন্দনপুরা']
['মন্ত্রীগণ', 'মন্ত্রীদের', 'মন্ত্রীরা', 'মন্ত্রীগণের', 'মন্ত্রীপরিষদের', 'মন্ত্রী', 'মন্ত্রীই', 'মন্ত্রীদেরকে', 'মন্ত্রি', 'মন্ত্রীও']
['আমি', 'আমারই', 'আমরা', 'আমারা', 'আমা', 'আমগুলো', 'আমরাই', 'আমানি', 'আমারে', 'তুমি']
['তুমি', 'আপনি', 'আপনা', 'তুমিই', 'তোমরা', 'তোমাদের', 'আপনারই', 'তোমরা', 'তোমারা', 'আপনিই']
['সে', 'উনা', '°সে', 'তিনি', 'উনাই', 'সই', 'তারা', 'উনি', 'উনিই', 'ì']
['তিনি', 'উনাই', 'তিনিই', 'তারাই', 'উনিই', 'তাঁরাই', 'তাঁরা', 'উনাদের', 'তারা', 'তাদেরই']
['শিক্ষকদের', 'শিক্ষক', 'শিক্ষকরা', 'শিক্ষকগণের', 'শিক্ষকগণ', 'শিক্ষকের', 'শিক্ষকনেতারা', 'শিক্ষকেরা', 'শিক্ষিকারা', 'শিক্ষিকাদের']
['মাঝি', 'মাঝেই', 'মাখজুমি', 'বুমি', 'ব্ঝি', 'মাঝামাঝি', 'মেয়াদি', 'মক্খলি', 'মণি', 'মামুলি']
['ছাত্র', 'ছাত্ররা', 'ছাত্রদের', 'ছাত্রনেতাদের', 'ছাত্রেরা', 'ছাত্রগণ', 'ছাত্রনেতারা', 'ছাত্রকে', 'ছাত্রছাত্রীরা', 'ছাত্রের']
['ভাই', 'ভাইও', 'ভাইবে', 'ভাইয়া', 'ভাইয়া', 'ভাইয়ে', 'ভাইপো', 'ভাইকে', 'ভাইয়ের', 'ভাইব']
['শিক্ষকদের', 'শিক্ষক', 'শিক্ষকরা', 'শিক্ষকগণের', 'শিক্ষকগণ', 'শিক্ষকের', 'শিক্ষকনেতারা', 'শিক্ষকেরা', 'শিক্ষিকারা', 'শিক্ষিকাদের']
['গরু', 'গরুদের', 'গুরিরা', 'গুরুরা', 'গোচরা', 'গালভরা', 'গরুর', 'গুরা', 'গোবরা', 'গহিরা']
['ছেলে', 'ছেল', 'পুত্রা', 'ছেলের', 'ছেলেরে', 'ছেলেই', 'ছেলেকে', 'বালকা', 'ছেলেদের', 'যুবাইরের']
['মেয়ে', 'মেয়ের', 'মেয়ে', 'মেয়েকে', 'কন্যাদের', 'মেয়েকে', 'পুত্রী', 'মেয়েশিশু', 'মেয়েশিশুর', 'মেয়েও']
['ভাই', 'ভাইও', 'ভাইবে', 'ভাইয়া', 'ভাইয়া', 'ভাইয়ে', 'ভাইপো', 'ভাইকে', 'ভাইয়ের', 'ভাইব']
['পাখি', 'পাখী', 'পাখীদের', 'পাখিদের', 'পাখিরা', 'পাখিগুলি', 'পাখিটি', 'পাখতুন', 'পাখিরাই', 'পাখিটা']
['সদস্য', 'সদস্যদের', 'সদস্যেদের', 'সদস্যগণ', 'সদস্যদরা', 'সদস্যরা', 'সদস্যেরা', 'সদস্যের', 'সদস্যদেশ', 'সদস্যগুলো']
['সচিব', 'সচিবের', 'সিপাহীদের', 'শেখপুরা', 'সেবকরা', 'সখীদের', 'সদগুণের', 'মতুয়ারা', 'সিপাহীরা', 'শেখরা']
['দর্শক', 'দর্শকদের', 'দর্শকগণ', 'দর্শকরা', 'দর্শকের', 'দর্শকেরা', 'দর্শকগন', 'দর্শককে', 'পরিদর্শক', 'পরিদর্শকদের']
['শিক্ষকদের', 'শিক্ষক', 'শিক্ষকরা', 'শিক্ষকগণের', 'শিক্ষকগণ', 'শিক্ষকের', 'শিক্ষকনেতারা', 'শিক্ষকেরা', 'শিক্ষিকারা', 'শিক্ষিকাদের']
['সুধীরা', 'সুধী', 'সাধকরা', 'সাবেকরা', 'সাধকেরা', 'সুদের', 'সাধুরা', 'সয়তরা', 'সমাধী', 'সাপেদের']
['সম্পাদক', 'সম্পাদকগণ', 'সম্পাদকরা', 'সম্পাদকদের', 'সম্পাদকেরা', 'সম্পাদিকার', 'সম্পাদনার', 'সম্পাদকের', 'সম্পাদককে', 'সম্পাদিকা']
['পণ্ডিত', 'পণ্ডিতগণ', 'পণ্ডিতদের', 'পণ্ডিতের', 'পণ্ডিতরা', 'শিষ্যরা', 'পণ্ডিতগণের', 'চন্দনপুরা', 'পাণ্ডিত্যের', 'পড়ুয়াদের']
['মন্ত্রী', 'মন্ত্রীদের', 'মন্ত্রীগণ', 'মন্ত্রীগণের', 'মন্ত্রীই', 'মন্ত্রীর', 'মন্ত্রি', 'মন্ত্রীপরিষদের', 'মন্ত্রীও', 'মন্ত্রীকে']
['আমি', 'আমগুলো', 'আমারা', 'আমরা', 'তারা', 'আমানি', 'আমারই', 'তারাই', 'আপনারা', 'আমা']
['আপনারা', 'তোমরা', 'আপনারাই', 'তোমরা', 'তোমারা', 'তুমি', 'আপনি', 'তোমাদের', 'আপনাদের', 'আপনাদেরই']
['সে', 'তারা', 'সেগুলা', 'সেগুলি', 'সেগুলো', 'তদের', 'এরা', 'তেরা', 'তাঁরা', 'সই']
['তিনি', 'তারাই', 'তারা', 'তাঁরা', 'উনাদের', 'তোমরা', 'তারাদের', 'তাঁরাই', 'তিনিই', 'যাঁরা']
['শিক্ষকরা', 'শিক্ষকেরা', 'শিক্ষকনেতারা', 'শিক্ষিকারা', 'শিক্ষকদের', 'শিক্ষিকাদের', 'শিক্ষকগণ', 'শিক্ষাবিদদের', 'শিক্ষাবিদরা', 'শিক্ষাথীদের']
['মাঝি', 'মুজাহিদরা', 'মণিপুরিরা', 'মক্কাবাসীরা', 'মহকুমাগুলি', 'মাঝামাঝি', 'মণিপুরীরা', 'মাখজুমি', 'মাঝিরা', 'মাৎসুদাইরা']
['ছাত্ররা', 'ছাত্রনেতারা', 'ছাত্রছাত্রীরা', 'ছাত্রদের', 'ছাত্রনেতাদের', 'ছাত্রীরা', 'ছাত্রেরা', 'শিক্ষার্থীরা', 'ছাত্র', 'শিক্ষার্থীদের']
['ধনীরা', 'ধনী', 'ধনীদের', 'ধনীর', 'বড়লোকদের', 'সমৃদ্ধশালী', 'ধনদৌলত', 'ধনসম্পদ', 'ধনসম্পদের', 'সমৃদ্ধিলাভ']
['শিক্ষকরা', 'শিক্ষকেরা', 'শিক্ষকনেতারা', 'শিক্ষিকারা', 'শিক্ষকদের', 'শিক্ষিকাদের', 'শিক্ষকগণ', 'শিক্ষাবিদদের', 'শিক্ষাবিদরা', 'শিক্ষাথীদের']
['গরুমারা', 'গালভরা', 'গুরিরা', 'গরুগুলো', 'গোর্খারা', 'গুরুরা', 'গরুদের', 'গজিরা', 'গরু', 'ঘোরাফেরা']
['সন্তানেরা', 'ছেলেমেয়েদের', 'পুত্রেরা', 'ছেলেদের', 'ছেলেহারা', 'পুত্রদের', 'সন্তানরা', 'ছেলেশিশুদের', 'ছেলেধরা', 'ছেলেমেয়েরা']
['স্ত্রীরা', 'মেয়েরা', 'কন্যাদের', 'বালিকারা', 'মেয়েদের', 'স্ত্রীদের', 'কন্যারা', 'রমণীরা', 'মেয়ে', 'তরুণীরা']
['ভাইয়েরা', 'ভাইয়েরা', 'ভাইরা', 'ভাইয়েদের', 'ভাইদের', 'ভাইবোনেরা', 'ভাইদেরকে', 'ভাইবোনদের', 'ভাইকিংদের', 'ভাইবোনেদের']
['পাখীদের', 'পাখিরা', 'পাখিগুলি', 'পাখি', 'পাখিদের', 'পাখী', 'পাখনাগুলো', 'পাখিরাই', 'পাখিগুলো', 'পাখাগুলো']
['সদস্যদরা', 'সদস্যেদের', 'সদস্যগণ', 'সদস্যেরা', 'সদস্যদের', 'সদস্যরা', 'সদস্যগুলি', 'সদস্যগুলো', 'সদস্যদেশগুলো', 'সহকর্মীরা']
['সিপাহীরা', 'সচিব', 'সিপাইদের', 'পবিতরা', 'সচিবেরা', 'সেবকরা', 'উপনিবেশকারীরা', 'সিপাহীদের', 'রশিদরা', 'ধানতারা']
['দর্শকেরা', 'দর্শকরা', 'দর্শকদের', 'দর্শকগণ', 'পরিদর্শকেরা', 'পরিদর্শকদের', 'দর্শক', 'ধারাভাষ্যকররা', 'দর্শকেরাই', 'ধারাভাষ্যকাররা']
['শিক্ষকরা', 'শিক্ষকেরা', 'শিক্ষকনেতারা', 'শিক্ষিকারা', 'শিক্ষকদের', 'শিক্ষিকাদের', 'শিক্ষকগণ', 'শিক্ষাবিদদের', 'শিক্ষাবিদরা', 'শিক্ষাথীদের']
['সুধীরা', 'সাধকেরা', 'সাবেকরা', 'সুধীজনদের', 'সওদাগরদের', 'ধানতারা', 'সাধকরা', 'সুধী', 'মতুয়ারা', 'সমাধিগুলি']
['সম্পাদকরা', 'সম্পাদকেরা', 'সম্পাদকগণ', 'সম্পাদকদের', 'সম্পাদক', 'সম্পাদিকার', 'সম্পাদনার', 'সম্পাদকের', 'সম্পাদকীয়', 'সম্পাদককে']
['পণ্ডিতরা', 'পণ্ডিতগণ', 'পণ্ডিতেরা', 'পণ্ডিতদের', 'পদার্থবিদরা', 'পদার্থবিদদের', 'শৈলশিরা', 'পণ্ডিত', 'উপনিবেশকারীরা', 'শিষ্যরা']
['মন্ত্রীরা', 'মন্ত্রীগণ', 'মন্ত্রীদের', 'উপমন্ত্রীরা', 'মন্ত্রীদেরকে', 'মন্ত্রীপরিষদের', 'উপমন্ত্রীদের', 'মন্ত্রীগণের', 'প্রতিমন্ত্রীদের', 'মন্ত্রণালয়গুলো']
['আমি', 'আমগুলো', 'আমারই', 'আমারা', 'আমরা', 'আমানি', 'আমা', 'ওরাই', 'আমরাই', 'তারা']
['তুমি', 'তোমারা', 'তোমরা', 'তোমরা', 'আপনারাই', 'আপনি', 'আপনারা', 'তোমাদের', 'আপনা', 'তোরা']
['সে', '°সে', 'তারা', 'ওরাই', 'সেগুলি', 'উনা', 'সেগুলা', 'ওরা', 'সই', 'এরা']
['তিনি', 'তারাই', 'তারা', 'তাঁরা', 'তাঁরাই', 'ওরা', 'উনাই', 'উনাদের', 'ওরাই', 'তিনিই']
['শিক্ষকেরা', 'শিক্ষকরা', 'শিক্ষকদের', 'শিক্ষকনেতারা', 'শিক্ষকগণ', 'শিক্ষিকারা', 'শিক্ষিকাদের', 'শিক্ষকেরাই', 'শিক্ষাথীদের', 'শিক্ষাবিদদের']
['মাঝি', 'মাঝামাঝি', 'মেয়াদি', 'মাখজুমি', 'ব্ঝি', 'মক্খলি', 'মহকুমাগুলি', 'মাগসি', 'খনিজগুলো', 'তহসিলগুলি']
['ছাত্ররা', 'ছাত্রদের', 'ছাত্রেরা', 'ছাত্রনেতারা', 'ছাত্রনেতাদের', 'ছাত্র', 'ছাত্রীরা', 'ছাত্রছাত্রীরা', 'ছাত্ররাই', 'ছাত্রগণ']
['ধনী', 'ধনীরা', 'ধনীদের', 'ধনীর', 'ধনদৌলত', 'বড়লোকদের', 'ধনের', 'ধনসম্পদের', 'সমৃদ্ধশালী', 'সম্পদশালী']
['ভাই', 'ভাইরা', 'ভাইও', 'ভাইয়েরা', 'ভাইয়া', 'ভাইয়েরা', 'ভাইবে', 'ভাইয়েদের', 'ভাইয়ে', 'ভাইবোনেরা']
['গালভরা', 'গরু', 'গোর্খারা', 'গরুগুলো', 'গুরিরা', 'গরুমারা', 'গুরুরা', 'গরুদের', 'গোচরা', 'ঘোরাফেরা']
['ছেলেহারা', 'পুত্রেরা', 'ছেলেদের', 'ছেলেমেয়েরা', 'পুত্রদের', 'ছেলেমেয়েদের', 'ছেলেমেয়েরা', 'ছেলেরা', 'ছেলেমেয়েদের', 'পুত্ররা']
['মেয়ে', 'মেয়েরা', 'মেয়ে', 'কন্যাদের', 'মেয়েদের', 'মেয়েরা', 'মেয়েদের', 'কন্যারা', 'স্ত্রীরা', 'মেয়ের']
['ভাই', 'ভাইরা', 'ভাইও', 'ভাইয়েরা', 'ভাইয়া', 'ভাইয়েরা', 'ভাইবে', 'ভাইয়েদের', 'ভাইয়ে', 'ভাইবোনেরা']
['পাখি', 'পাখিগুলি', 'পাখীদের', 'পাখী', 'পাখিরা', 'পাখনাগুলো', 'পাখিরাই', 'পাখিদের', 'পাখিগুলোর', 'পাখাগুলো']
['সদস্যেরা', 'সদস্যদরা', 'সদস্যরা', 'সদস্যেদের', 'সদস্যদের', 'সদস্যগণ', 'সদস্যগুলো', 'সদস্যগুলি', 'সদস্যগুলোর', 'সদস্যরাই']
['সচিব', 'সিপাহীরা', 'সাপগুলি', 'সেবকরা', 'শৈলীগুলি', 'শেখপুরা', 'সচিবের', 'উপশাখাগুলি', 'সিপাহীদের', 'সমাধিগুলি']
['দর্শকেরা', 'দর্শকরা', 'দর্শকদের', 'দর্শকগণ', 'দর্শক', 'দর্শকেরাই', 'পরিদর্শকেরা', 'দর্শকের', 'দর্শকগন', 'পরিদর্শকদের']
['শিক্ষকেরা', 'শিক্ষকরা', 'শিক্ষকদের', 'শিক্ষকনেতারা', 'শিক্ষকগণ', 'শিক্ষিকারা', 'শিক্ষিকাদের', 'শিক্ষকেরাই', 'শিক্ষাথীদের', 'শিক্ষাবিদদের']
['সুধী', 'সুধীরা', 'সাধকেরা', 'সাপগুলি', 'সমাধিগুলি', 'সাধকরা', 'সয়তরা', 'সেইগুলি', 'সাবেকরা', 'সাপগুলো']
['সম্পাদকরা', 'সম্পাদকেরা', 'সম্পাদকগণ', 'সম্পাদকদের', 'সম্পাদক', 'সম্পাদিকার', 'সম্পাদনার', 'সম্পাদকের', 'সম্পাদককে', 'সম্পাদকীয়']
['পণ্ডিতরা', 'পণ্ডিতগণ', 'পণ্ডিত', 'পণ্ডিতেরা', 'পণ্ডিতদের', 'পণ্ডিতের', 'চন্দনপুরা', 'শৈলশিরা', 'শিষ্যরা', 'দর্শনগুলির']
['মন্ত্রীরা', 'মন্ত্রীদের', 'মন্ত্রীগণ', 'মন্ত্রীদেরকে', 'উপমন্ত্রীরা', 'মন্ত্রীপরিষদের', 'মন্ত্রীগণের', 'মন্ত্রী', 'মন্ত্রীই', 'মন্ত্রীও']
['আমি', 'আমগুলো', 'আমারই', 'আমরা', 'আমারা', 'আমরাই', 'তারাই', 'আমানি', 'তারগুলো', 'আমা']
['তুমি', 'আপনি', 'তুমিই', 'আপনারাই', 'আপনারই', 'তোমরা', 'তোমাদের', 'তোমরা', 'তোমারা', 'আপনিই']
['সে', 'সেগুলা', 'সেগুলি', 'সেগুলো', 'সেগুলো', 'তারগুলো', 'সেগুলোই', 'তিনি', 'তারা', 'উনা']
['তিনি', 'তারাই', 'তিনিই', 'তাঁরাই', 'উনাই', 'উনিই', 'সেগুলোই', 'তাঁরা', 'তাদেরই', 'তারগুলো']
['শিক্ষকদের', 'শিক্ষকনেতারা', 'শিক্ষকেরা', 'শিক্ষিকারা', 'শিক্ষকগণ', 'শিক্ষকরা', 'শিক্ষকগণের', 'শিক্ষিকাদের', 'শিক্ষকেরাই', 'শিক্ষকদেরকে']
['মাঝি', 'খনিজগুলো', 'তহসিলগুলি', 'শৈলীগুলি', 'তহশিলগুলি', 'মহকুমাগুলি', 'মেলাগুলি', 'পরিমাপগুলি', 'সমাধিগুলি', 'খনিগুলি']
['ছাত্ররা', 'ছাত্রদের', 'ছাত্রনেতাদের', 'ছাত্রছাত্রীরা', 'ছাত্র', 'ছাত্রেরা', 'ছাত্ররাই', 'ছাত্রনেতারা', 'ছাত্রগণ', 'ছাত্রদেরকে']
['ধনীরা', 'ধনী', 'ধনীদের', 'ধনীর', 'ধনসম্পদের', 'সমৃদ্ধশালী', 'সম্পদশালী', 'ধনশালী', 'ধনসম্পদ', 'বড়লোকদের']
['ভাই', 'ভাইও', 'ভাইরা', 'ভাইবে', 'ভাইয়া', 'ভাইপো', 'ভাইয়ে', 'ভাইয়া', 'ভাইবোনেরা', 'ভাইব']
['শিক্ষকদের', 'শিক্ষকনেতারা', 'শিক্ষকেরা', 'শিক্ষিকারা', 'শিক্ষকগণ', 'শিক্ষকরা', 'শিক্ষকগণের', 'শিক্ষিকাদের', 'শিক্ষকেরাই', 'শিক্ষকদেরকে']
['ছেলেগুলো', 'ছেলেমেয়েদের', 'ছেলে', 'ছেলেমেয়েদের', 'ছেলেগুলোর', 'ছেলেদের', 'ছোটোদের', 'ছেলেই', 'ছেলেশিশুদের', 'ছেলেধরা']
['মেয়ে', 'মেয়েগুলো', 'কন্যাদের', 'মেয়েদের', 'মেয়েরা', 'স্ত্রীরা', 'মেয়ের', 'মেয়েকে', 'মেয়ে', 'মেয়েদের']
['ভাই', 'ভাইও', 'ভাইরা', 'ভাইবে', 'ভাইয়া', 'ভাইপো', 'ভাইয়ে', 'ভাইয়া', 'ভাইবোনেরা', 'ভাইব']
['পাখনাগুলো', 'পাখিগুলি', 'পাখাগুলো', 'পাখিগুলো', 'পাখিগুলোর', 'পাখী', 'পাখনাগুলোকে', 'পাখীদের', 'পাখি', 'পাখিগুলোকে']
['সদস্যগুলো', 'সদস্যদের', 'সদস্যগুলি', 'সদস্যগুলোর', 'সদস্যেদের', 'সদস্যগণ', 'সদস্যদরা', 'সদস্যেরা', 'সদস্যরা', 'সদস্যদেশগুলো']
['শৈলীগুলি', 'সমাধিগুলি', 'শাবকগুলো', 'সাপগুলি', 'সাপগুলো', 'তহশিলগুলি', 'শৈলীগুলির', 'উপশাখাগুলি', 'বসতিগুলি', 'সমাধিগুলো']
['দর্শকগণ', 'দর্শকদের', 'দর্শকরা', 'দর্শকেরা', 'দর্শক', 'দর্শকের', 'পরিদর্শকদের', 'দর্শকেরাই', 'পরিদর্শকেরা', 'দর্শকদেরকে']
['শিক্ষকদের', 'শিক্ষকনেতারা', 'শিক্ষকেরা', 'শিক্ষিকারা', 'শিক্ষকগণ', 'শিক্ষকরা', 'শিক্ষকগণের', 'শিক্ষিকাদের', 'শিক্ষকেরাই', 'শিক্ষকদেরকে']
['সমাধিগুলি', 'সাপগুলো', 'সমাধিগুলো', 'সাপগুলি', 'শৈলীগুলি', 'সনদগুলো', 'শৈলীগুলির', 'তহশিলগুলি', 'সুধীরা', 'স্তবকগুলো']
['সম্পাদকগণ', 'সম্পাদকরা', 'সম্পাদকেরা', 'সম্পাদকদের', 'সম্পাদক', 'সম্পাদিকার', 'সম্পাদকের', 'সম্পাদনার', 'সম্পাদককে', 'সম্পাদিকা']
['বিবরণগুলো', 'বিবরণগুলি', 'উপকরণগুলো', 'উপাত্তগুলো', 'উপনিবেশগুলো', 'উপনিবেশগুলি', 'পরামিতিগুলো', 'উপনিবেশগুলোর', 'উপনিবেশগুলির', 'পণ্ডিত']
['মন্ত্রীদের', 'মন্ত্রীগণ', 'মন্ত্রী', 'মন্ত্রীগণের', 'মন্ত্রীরা', 'মন্ত্রীপরিষদের', 'মন্ত্রীদেরকে', 'মন্ত্রণালয়গুলো', 'মন্ত্রীই', 'মন্ত্রি']
['আমি', 'আমগুলো', 'আমারই', 'আমারা', 'আমরা', 'আমরাই', 'আমানি', 'ওরাই', 'ওরা', 'তারাই']
['তোমরা', 'আপনারা', 'আপনারাই', 'তোমরা', 'তুমি', 'তোমারা', 'তোমাদের', 'আপনি', 'আপনাদেরই', 'তোমাদের']
['সে', 'তারা', 'ওরা', 'ওরাই', 'উনারা', 'তদের', 'উনাদের', 'তারাদের', 'এরা', 'সেগুলা']
['তিনি', 'তারাই', 'উনাদের', 'তাঁরা', 'তারাদের', 'তারা', 'ওরা', 'তোমরা', 'তাঁরাই', 'তিনিই']
['শিক্ষকদের', 'শিক্ষকরা', 'শিক্ষকগণ', 'শিক্ষকেরা', 'শিক্ষিকারা', 'শিক্ষকনেতারা', 'শিক্ষিকাদের', 'শিক্ষাবিদদের', 'শিক্ষকগণের', 'শিক্ষাথীদের']
['মাঝি', 'মাঝামাঝি', 'মাখজুমি', 'মাগসি', 'মুজাহিদরা', 'মহকুমাগুলি', 'ব্ঝি', 'মাঝেই', 'মেহরি', 'মেহসুদের']
['ছাত্ররা', 'ছাত্রদের', 'ছাত্রনেতাদের', 'ছাত্র', 'ছাত্রেরা', 'ছাত্রনেতারা', 'ছাত্রছাত্রীরা', 'ছাত্রগণ', 'ছাত্রদেরকে', 'ছাত্রীরা']
['ধনীরা', 'ধনী', 'ধনীদের', 'ধনীর', 'বড়লোকদের', 'ধনদৌলত', 'সমৃদ্ধশালী', 'ধনের', 'ধনসম্পদের', 'সম্পদশালী']
['ভাইরা', 'ভাই', 'ভাইয়েরা', 'ভাইয়েরা', 'ভাইও', 'ভাইদের', 'ভাইয়েদের', 'ভাইকিংদের', 'ভাইদেরকে', 'বান্দারা']
['শিক্ষকদের', 'শিক্ষকরা', 'শিক্ষকগণ', 'শিক্ষকেরা', 'শিক্ষিকারা', 'শিক্ষকনেতারা', 'শিক্ষিকাদের', 'শিক্ষাবিদদের', 'শিক্ষকগণের', 'শিক্ষাথীদের']
['গালভরা', 'গুরিরা', 'গরু', 'গরুমারা', 'গরুদের', 'গুরুরা', 'গোর্খারা', 'গোচরা', 'গরুগুলো', 'গহিরা']
['মেয়েদের', 'মেয়েদের', 'মেয়েরা', 'মেয়েরা', 'স্ত্রীরা', 'কন্যাদের', 'মেয়ে', 'কন্যারা', 'মেয়েরাই', 'মেয়ের']
['ভাইরা', 'ভাই', 'ভাইয়েরা', 'ভাইয়েরা', 'ভাইও', 'ভাইদের', 'ভাইয়েদের', 'ভাইকিংদের', 'ভাইদেরকে', 'বান্দারা']
['পাখি', 'পাখীদের', 'পাখী', 'পাখিদের', 'পাখিগুলি', 'পাখিরাই', 'পাখিরা', 'পাখনাগুলো', 'পাখিগুলোর', 'পাখিদেরকে']
['সদস্যেদের', 'সদস্যদের', 'সদস্যেরা', 'সদস্যদরা', 'সদস্যরা', 'সদস্যগণ', 'সদস্যগুলো', 'সদস্যগুলি', 'সদস্যগুলোর', 'সদস্যরাই']
['সচিব', 'সিপাহীদের', 'সিপাহীরা', 'সিপাইদের', 'শেখপুরা', 'সচিবের', 'সেবকরা', 'সাকিবদের', 'সাপগুলি', 'সখীদের']
['দর্শকদের', 'দর্শকেরা', 'দর্শকরা', 'দর্শকগণ', 'পরিদর্শকদের', 'দর্শক', 'পরিদর্শকেরা', 'দর্শকের', 'দর্শকদেরকে', 'দর্শকগন']
['শিক্ষকদের', 'শিক্ষকরা', 'শিক্ষকগণ', 'শিক্ষকেরা', 'শিক্ষিকারা', 'শিক্ষকনেতারা', 'শিক্ষিকাদের', 'শিক্ষাবিদদের', 'শিক্ষকগণের', 'শিক্ষাথীদের']
['সুধীরা', 'সুধীজনদের', 'সুধী', 'সাবেকরা', 'সাধকেরা', 'সওদাগরদের', 'সমরসেকরা', 'সিপাহীদের', 'মতুয়ারা', 'সাধকরা']
['সম্পাদকরা', 'সম্পাদকগণ', 'সম্পাদকেরা', 'সম্পাদকদের', 'সম্পাদক', 'সম্পাদিকার', 'সম্পাদকের', 'সম্পাদনার', 'সম্পাদককে', 'সম্পাদকীয়']
['পণ্ডিতদের', 'পণ্ডিতগণ', 'পণ্ডিত', 'পণ্ডিতরা', 'পণ্ডিতেরা', 'পণ্ডিতের', 'দর্শনগুলির', 'পদার্থবিদদের', 'চন্দনপুরা', 'পড়ুয়াদের']
['মন্ত্রীরা', 'মন্ত্রীদের', 'মন্ত্রীগণ', 'মন্ত্রীদেরকে', 'মন্ত্রীপরিষদের', 'উপমন্ত্রীরা', 'মন্ত্রীগণের', 'মন্ত্রী', 'উপমন্ত্রীদের', 'মন্ত্রি']
['আমি', 'আমগুলো', 'আমারই', 'আমরা', 'আমরাই', 'আপনারাই', 'আমারা', 'তারাই', 'আমিই', 'ওরাই']
['আপনারাই', 'তোমাদের', 'তোমরা', 'তুমি', 'আপনি', 'আপনারা', 'আপনারই', 'আপনাদেরই', 'তোমারা', 'তোমরা']
['সে', 'উনাদের', 'তিনি', 'ওরাই', '°সে', 'তাদের', 'যাঁরা', 'যারা', 'তারা', 'তাঁদের']
['তিনি', 'তিনিই', 'তারাই', 'উনাদের', 'তারাদের', 'তাঁরাই', 'তাঁরা', 'উনাই', 'তাদেরই', 'যাঁরা']
['শিক্ষকগণ', 'শিক্ষকদের', 'শিক্ষকগণের', 'শিক্ষিকাদের', 'শিক্ষিকারা', 'শিক্ষকনেতারা', 'শিক্ষকেরা', 'শিক্ষকেরাই', 'শিক্ষাবিদগণ', 'শিক্ষাবিদদের']
