['হইয়াছি', 'হইয়াও', 'হইয়াছিল', 'লইলাম', 'হইয়াছে', 'অতছ', 'আসিয়াছিল', 'আছিলাম', 'খসিয়া', 'হইয়া']
['নিয়াছিলেন', 'লইয়াছিলেন', 'চাহিয়াছিলেন', 'বলিয়াছিলেন', 'পড়িয়াছিলেন', 'পারিয়াছিলেন', 'দিয়াছিলেন', 'রাখিয়াছিলেন', 'দেখিয়াছিলেন', 'পাইয়াছিলেন']
['আনিয়াছে', 'ধরিয়াছে', 'রহিয়াছেন', 'হইয়াছিল', 'বলিয়াছে', 'রাখিয়াছে', 'চাহিয়াছে', 'করিয়াছিলেন', 'পাইয়াছে', 'লইয়াছিল']
['হইয়াছিলেন', 'হইয়াছিলাম', 'হইয়াছিল', 'বলিয়াছিলেন', 'করিয়াছিলেন', 'পাইয়াছিলেন', 'লইয়াছিলেন', 'করাইয়াছিলেন', 'নিয়াছিলেন', 'চাহিয়াছিলেন']
['হইয়াছিল', 'বলিয়াছিল', 'দিয়াছিল', 'করিয়াছিলেন', 'হইয়াছিলাম', 'হইয়াছিলেন', 'করিয়াছিল', 'করিয়াছিলাম', 'বলিয়াছিলেন', 'দিয়াছিলেন']
['হইয়াছিল', 'হইয়াছিলেন', 'হইয়াছি', 'হইয়াও', 'হইয়াছিলাম', 'হইয়াছেন', 'হইয়াছে', 'হইয়াছ', 'বলিয়াছিলেন', 'বলিয়াছিল']
['দেখিয়াছে', 'দেখিয়াছিলেন', 'দেখিয়াছিলাম', 'বলিয়াছিল', 'লইয়াছিল', 'দিয়াছিল', 'হইয়াছিল', 'দেখিয়াই', 'দেখিয়াছ', 'চাহিয়াছিল']
['করিয়াছিলেন', 'বলিয়াছিলেন', 'করিয়াছিলাম', 'করাইয়াছিলেন', 'হইয়াছিলেন', 'পাইয়াছিলেন', 'চাহিয়াছিলেন', 'করিয়াছিল', 'দিয়াছিলেন', 'রাখিয়াছিলেন']
['হইয়াছিল', 'পড়িয়াছিল', 'পড়িয়াছে', 'উঠিয়াছিল', 'আনিয়াছে', 'লইয়াছিল', 'আনিয়াছিল', 'ধরিয়াছে', 'বলিয়াছিল', 'উঠিয়াছে']
['হইয়াছিল', 'পড়িয়াছিল', 'পড়িয়াছে', 'উঠিয়াছিল', 'আনিয়াছে', 'লইয়াছিল', 'আনিয়াছিল', 'ধরিয়াছে', 'বলিয়াছিল', 'উঠিয়াছে']
['লাগিলো', 'লাগিলেন', 'উঠিয়াছিল', 'দেখিয়াছিলেন', 'লাগিলাম', 'লইয়াছিল', 'লাগিয়াছিল', 'চাহিয়াছিলেন', 'আনিয়াছিল', 'ধরিয়াছে']
['খুলিয়াছে', 'দিয়াছিল', 'লইয়াছিল', 'দিয়াছিলেন', 'চাহিয়াছিল', 'চাহিয়াছিলেন', 'হইয়াছিল', 'উঠিয়াছিল', 'বলিয়াছিল', 'বলিয়াছিলেন']
['বলিয়াছিল', 'বলিয়াছিলেন', 'বলিয়াছে', 'বলিয়াছি', 'বলিয়াছিলাম', 'বলিয়াই', 'হইয়াছিল', 'বলিয়াছেন', 'হইয়াছিলেন', 'বলিয়অ']
['দিয়াছিল', 'উঠিয়াছিল', 'আনিয়াছিল', 'পড়িয়াছে', 'পড়িয়াছিল', 'আনিয়াছে', 'আনিয়াছি', 'ধরিয়াছে', 'লইয়াছিল', 'বলিয়াছিল']
['দিয়াছিল', 'দিয়াছিলাম', 'দিয়াছিলেন', 'চাহিয়াছিলেন', 'বুঝিয়াছিলাম', 'দেখিয়াছিলেন', 'নিয়াছিলেন', 'চাহিয়াছিল', 'দিয়াছি', 'সাজাইতে']
['ফুটিয়াছিল', 'ফুটিয়াছে', 'আনিয়াছিল', 'বুঝিয়াছিলাম', 'উঠিয়াছিল', 'বলিয়াছিল', 'ভাবিয়াছিল', 'আনিয়াছে', 'শুনিয়াছিলাম', 'লইয়াছিল']
['ছুটিতেছে', 'আসিয়াছিলেন', 'ছুটিতেই', 'ছুটিতেও', 'লইয়াছিলেন', 'আসিয়াছিলাম', 'দেখিয়াছিলেন', 'নিয়াছিলেন', 'লইয়াছিলাম', 'পাইয়াছিলেন']
['আসিয়াছে', 'আসিয়াই', 'খসিয়া', 'আসিয়াছিল', 'আসিয়াছি', 'পড়িল', 'বসিয়া', 'আসিয়াছ', 'চলিয়া', 'পড়িয়া']
['হইয়াছি', 'লইলাম', 'হইবা', 'রহিয়াছি', 'হইয়াছিল', 'হইলেন', 'হইয়াও', 'পাইয়াছি', 'হইলে', 'হইয়া']
['করিবারে', 'হইবার', 'করিবেন', 'করিয়া', 'করিলে', 'করিবে', 'করিবই', 'করিতে', 'করিব', 'করিয়াছে']
['করিবারে', 'হইবার', 'করিবেন', 'করিয়া', 'করিলে', 'করিবে', 'করিবই', 'করিতে', 'করিব', 'করিয়াছে']
['পাইয়াছিল', 'পাইয়াছে', 'পাইয়াছেন', 'পাইয়াছি', 'পাইয়াছিলাম', 'চাহিয়াছিলেন', 'লইয়াছিল', 'লইয়াছিলেন', 'দিয়াছিলেন', 'পড়িয়াছিলেন']
['গিয়াছেন', 'গিয়াছিল', 'বলিয়াছিলেন', 'চাহিয়াছিলেন', 'গিয়াছে', 'পড়িয়াছিলেন', 'আসিয়াছিলেন', 'উঠিয়াছিল', 'গিয়াছি', 'দিয়াছিলেন']
['পাইয়াছিলেন', 'লইয়াছিলেন', 'চাহিয়াছিলেন', 'পড়িয়াছিলেন', 'হইয়াছিলেন', 'বলিয়াছিলেন', 'গিয়াছিলেন', 'আসিয়াছিলেন', 'গিয়াছেন', 'রাখিয়াছিলেন']
['লইলেন', 'হইয়াছি', 'হইয়াছেন', 'হইয়াছিল', 'হইয়াও', 'রহিয়াছি', 'হইলে', 'রহিয়াছেন', 'গিয়াছেন', 'হইয়াছিলেন']
['হইয়াও', 'হইলে', 'হইতেছে', 'হইয়াছিল', 'ঘটিল', 'লইবেন', 'চলিবে', 'হইলো', 'বলিলে', 'হইব']
['হইয়াও', 'হইয়াছি', 'হইয়াছে', 'হইয়াছিল', 'হইয়াছ', 'রহিয়া', 'হইয়াই', 'হইয়াছেন', 'পাইয়া', 'পড়িয়াছে']
['দেখিয়াই', 'দেখিয়াছে', 'দেখিল', 'দেখিয়াছি', 'দেখিয়াছ', 'দেখিলে', 'বুঝিল', 'তুলিয়া', 'লইয়াই', 'আসিয়াছে']
['করিলম', 'করিলো', 'করিলেক', 'করিলেও', 'ধরিলেন', 'করিল', 'করিলে', 'করিলেই', 'করিয়াছেন', 'আসিলেন']
['উঠিবে', 'উঠিল', 'লইল', 'উঠিলে', 'পড়িয়াছে', 'উঠিব', 'পড়িলে', 'চলিলো', 'চলিলে', 'ঘটিল']
['উঠিবে', 'উঠিল', 'লইল', 'উঠিলে', 'পড়িয়াছে', 'উঠিব', 'পড়িলে', 'চলিলো', 'চলিলে', 'ঘটিল']
['লাগিলো', 'লাগিলেন', 'উঠিল', 'দেখিল', 'উঠিলে', 'উঠিবে', 'লাগিত', 'লাগিলাম', 'চলিলে', 'উঠিয়াছে']
['তুলিয়া', 'খুলিয়াছে', 'লইল', 'লবটুলিয়া', 'খুলিল', 'চলিয়া', 'পড়িয়া', 'ধরিয়া', 'ছিড়িয়া', 'ঠেলিয়া']
['বলিয়াই', 'বলিয়অ', 'বলিয়াছি', 'বলিয়াছে', 'বলিয়াছিল', 'বলিয়াছেন', 'বলিয়াÂ', 'করিয়া', 'তুলিয়া', 'বলিবে']
['উঠিবে', 'ভাঙিল', 'উঠিলে', 'ভাঙিলে', 'লইল', 'রহিছে', 'উঠিল', 'উঠিব', 'পড়িয়াছে', 'পড়িল']
['বসাইতে', 'শুকাইতে', 'উঠাইতে', 'পাডাইতে', 'শুধাইতে', 'ছুটাইতে', 'পলাইতে', 'ফিরাইতে', 'বুঝাইতে', 'জাইতে']
['ফুটিয়াছে', 'ফুটিয়াছিল', 'তুলিয়া', 'ফুটিবে', 'তুলিল', 'ফুটিল', 'উঠিল', 'উঠিলে', 'ফুটিলে', 'উঠিয়াছে']
['ছুটিতেছে', 'ছুটিল', 'ছুটিতেই', 'আসিবার', 'ছুটিছে', 'আসিয়াছি', 'আসিয়াছে', 'যাইবার', 'ছুটিতেও', 'ছুটি']
['আসিয়াই', 'আসিয়াছিল', 'বসিয়া', 'যাইয়া', 'আগাইয়া', 'ধরিয়া', 'উঠাইয়া', 'আসিয়াছে', 'খসিয়া', 'পড়িয়া']
['হইলেও', 'লইলাম', 'হইলো', 'হইলেই', 'হইয়াছি', 'আইলাম', 'হইয়াও', 'যাইত', 'বইলাম', 'হইব']
['করিয়া', 'করিবারে', 'করিলে', 'করিয়াছি', 'হইলেও', 'করিলেও', 'থাকিলেও', 'করিয়াছিল', 'হইবেক', 'করিবো']
['করিয়া', 'করিবারে', 'করিলে', 'করিয়াছি', 'হইলেও', 'করিলেও', 'থাকিলেও', 'করিয়াছিল', 'হইবেক', 'করিবো']
['পাইয়াছিল', 'পাইয়াছিলাম', 'দিয়াছিলেন', 'লইয়াছিল', 'পাইয়াছি', 'লইয়াছিলেন', 'দিয়াছিল', 'পড়িয়াছিলেন', 'পাইয়াছে', 'চাহিয়াছিলেন']
['গিয়াছিল', 'গিয়াছিলো', 'গিয়াছিলাম', 'দিয়াছিলেন', 'গিয়াছি', 'বলিয়াছিলেন', 'রাখিয়াছিলেন', 'বলিয়াছিল', 'পড়িয়াছিলেন', 'রাখিয়াছিল']
['লইয়াছিলেন', 'পাইয়াছিলেন', 'পড়িয়াছিলেন', 'গিয়াছিলেন', 'রাখিয়াছিলেন', 'দিয়াছিলেন', 'চাহিয়াছিলেন', 'নিয়াছিলেন', 'বলিয়াছিলেন', 'হইয়াছিলেন']
['রাখিয়াছে', 'গিয়াছে', 'লইয়াছে', 'দিয়াছে', 'রহিয়াছি', 'বলিয়াছে', 'আনিয়াছে', 'পড়িয়াছে', 'হইয়াছিল', 'পাইয়াছে']
['হইলেও', 'হইলেই', 'হইলো', 'হইয়াও', 'যাইত', 'হইলে', 'হইতেছে', 'হইব', 'হইয়াছিল', 'যাইব']
['হইয়াও', 'হইলেও', 'হইলেই', 'হইয়াছি', 'পাইয়া', 'যাইয়া', 'আগাইয়া', 'এড়াইয়া', 'হইয়াছিল', 'হইয়াছে']
['দেখিয়াই', 'দেখিল', 'দেখিয়াছে', 'লইয়াই', 'দেখিলে', 'দেখিয়াছি', 'দেখিয়াছ', 'থাকিত', 'আগাইয়া', 'রাখিয়া']
['করিলেও', 'করিলম', 'করিলো', 'করিলেই', 'করিলেক', 'করিলে', 'ধরিলেন', 'করিয়াছিল', 'করিতাম', 'করিয়াছি']
['উঠিবে', 'পড়িত', 'উঠিল', 'পড়িয়া', 'দেখিল', 'লইল', 'পড়িয়াছে', 'পড়িলে', 'পড়িয়াছিল', 'ছড়াইয়া']
['উঠিবে', 'পড়িত', 'উঠিল', 'পড়িয়া', 'দেখিল', 'লইল', 'পড়িয়াছে', 'পড়িলে', 'পড়িয়াছিল', 'ছড়াইয়া']
['লাগিলো', 'লাগিলেন', 'দেখিল', 'লাগিত', 'লাগিলাম', 'থাকিত', 'উঠিল', 'উঠিয়াছিল', 'পড়িয়াছিল', 'উঠিলেন']
['তুলিয়া', 'আগাইয়া', 'খুলিল', 'এড়াইয়া', 'উঠাইয়া', 'ধরিয়া', 'পিছাইয়া', 'যাইয়া', 'পড়িয়া', 'উড়াইয়া']
['বলিয়াই', 'বলিয়অ', 'বলিয়াছিল', 'বলিয়াছি', 'হইলেও', 'বলিয়াও', 'করিয়া', 'বলিয়াÂ', 'বলিয়াছে', 'পাইয়া']
['উঠিবে', 'দেখিল', 'পড়িয়া', 'ভাংগিয়া', 'ধরিয়া', 'ছড়াইয়া', 'উঠাইয়া', 'লইল', 'উড়াইয়া', 'উঠিল']
['বসাইতে', 'শুকাইতে', 'পলাইতে', 'ধরাইতে', 'ফুটাইতে', 'শুনাইতে', 'ফিরাইতে', 'উঠাইতে', 'পরাইতে', 'শুধাইতে']
['ফুটিয়াছিল', 'ফুটিয়াছে', 'ফুটিবে', 'ছড়াইয়া', 'দেখিল', 'উড়াইয়া', 'ধরিয়া', 'চড়াইয়া', 'উঠিয়াছিল', 'ছাইয়া']
['ছুটিতেছে', 'যাইবার', 'আসিয়াই', 'আসিতে', 'ছুটিতেও', 'ছুটিতেই', 'যাইয়া', 'হইলো', 'আসিয়াছিল', 'হইলেই']
['আসিয়াই', 'বসিয়া', 'আসিয়াছে', 'আসিয়াছিল', 'গিয়া', 'যাইয়া', 'খসিয়া', 'আসিয়াছি', 'থাকিয়া', 'হইয়াও']
['হইয়াছি', 'হইতেছি', 'হইয়াও', 'হইছেন', 'হইলো', 'হইতেছে', 'হইয়াছিলাম', 'আছিলাম', 'হইলেই', 'যাইতেছি']
['করিবারে', 'করিয়া', 'করিবারও', 'করিয়াছেন', 'করিয়াছি', 'করিয়াছে', 'করিবই', 'করিতেছে', 'করিবো', 'করিয়াছিল']
['করিবারে', 'করিয়া', 'করিবারও', 'করিয়াছেন', 'করিয়াছি', 'করিয়াছে', 'করিবই', 'করিতেছে', 'করিবো', 'করিয়াছিল']
['লইয়াছিলেন', 'হইয়াছিলেন', 'নিয়াছিলেন', 'পাইয়াছিলাম', 'চাহিয়াছিলেন', 'পাইয়াছিল', 'দিয়াছিলেন', 'রাখিয়াছিলেন', 'করিয়াছিলেন', 'পাইয়াছেন']
['গিয়াছিলো', 'নিয়াছিলেন', 'গিয়াছেন', 'রাখিয়াছিলেন', 'বলিয়াছিলেন', 'চাহিয়াছিলেন', 'হইয়াছিলেন', 'পড়িয়াছিলেন', 'লইয়াছিলেন', 'গিয়াছিলাম']
['হইয়াছিলেন', 'লইয়াছিলেন', 'পাইয়াছিলেন', 'নিয়াছিলেন', 'রাখিয়াছিলেন', 'চাহিয়াছিলেন', 'পড়িয়াছিলেন', 'গিয়াছিলেন', 'পারিয়াছিলেন', 'দেখিয়াছিলেন']
['রাখিয়াছে', 'বলিয়াছে', 'করিয়াছে', 'রহিয়াছেন', 'করিয়াছেন', 'ঘটিয়াছে', 'চাহিয়াছে', 'রহিয়াছি', 'দেখিয়াছে', 'থাকিয়াছে']
['হইলো', 'হইয়াও', 'হইয়াছি', 'হইলেই', 'হইয়াছিলেন', 'হইয়াছেন', 'হইতেছি', 'হইতেন', 'হইয়াছিলাম', 'হইতেছিল']
['হইয়াও', 'হইয়াছি', 'হইয়াছ', 'হইয়াই', 'হইলেই', 'হইতেছে', 'হইয়াছেন', 'হইয়াছিল', 'পাইয়া', 'হইতেছি']
['দেখিয়াই', 'দেখিয়াছে', 'দেখিয়াছি', 'দেখিয়াছ', 'দেখিয়াও', 'দেখিয়াছেন', 'হইয়াও', 'করিয়া', 'দেখিলেই', 'দেখিয়াছিলাম']
['করিলেও', 'করিলম', 'করিয়াছেন', 'করিলেক', 'করিয়াছিলাম', 'করিয়াছিলেন', 'করিয়াছি', 'করিয়াছিল', 'করিলো', 'পারিলেন']
['পড়িয়াছে', 'হইয়াও', 'বসিয়া', 'পড়িলেন', 'দেখিল', 'পড়িলে', 'আসিয়াছে', 'পড়িয়া', 'থাকিয়া', 'উঠিয়াছে']
['পড়িয়াছে', 'হইয়াও', 'বসিয়া', 'পড়িলেন', 'দেখিল', 'পড়িলে', 'আসিয়াছে', 'পড়িয়া', 'থাকিয়া', 'উঠিয়াছে']
['লাগিলো', 'লাগিলেন', 'লাগিলাম', 'দেখিল', 'লাগিত', 'হইতেছিল', 'দেখিলেন', 'দেখিলাম', 'বসিয়াছে', 'হইয়াছি']
['তুলিয়া', 'খুলিয়াছে', 'পিছাইয়া', 'হইয়াও', 'যাইয়া', 'রাখিয়া', 'এড়াইয়া', 'আগাইয়া', 'করিয়া', 'লইয়া']
['বলিয়াই', 'বলিয়াছি', 'হইয়াও', 'বলিয়াছে', 'বলিয়াছিল', 'করিয়া', 'বলিয়াও', 'বলিয়াÂ', 'বলিয়অ', 'বলিয়াছেন']
['দেখিল', 'পড়িয়াছে', 'হইয়াও', 'চলিল', 'ভাংগিয়া', 'পড়িয়া', 'বসিয়া', 'দেখিলাম', 'যাইয়া', 'উঠিবে']
['ফিরাইতে', 'বসাইতে', 'মারাইতে', 'পরাইতে', 'শুকাইতে', 'ঠেকাইতে', 'ধরাইতে', 'পাডাইতে', 'হারাইতে', 'করাইতে']
['ফুটিয়াছে', 'ফুটিয়াছিল', 'হইয়াও', 'দেখিল', 'শুনিয়াছি', 'দেখিয়াছে', 'রাখিয়াছে', 'দেখিয়াই', 'চড়াইয়া', 'বুঝিয়াছি']
['ছুটিতেছে', 'ছুটিতেও', 'ছুটিতেই', 'ছুটি’তে', 'বেড়াইতেছে', 'ছুটিসহ', 'বেড়াইতে', 'যাইবার', 'যাইতেছিল', 'ছুটি']
['আসিয়াই', 'বসিয়া', 'দাঁড়াইয়া', 'ঝাপাইয়া', 'খসিয়া', 'যাইয়া', 'পিছাইয়া', 'হইয়াছি', 'আগাইয়া', 'এড়াইয়া']
['হইয়াছি', 'হইয়াছিলাম', 'হইয়াও', 'হইয়াই', 'হইয়াছ', 'বইলাম', 'লইলাম', 'হইতেছি', 'আইলাম', 'অইলাম']
['হইয়াছি', 'হইয়াছ', 'করিবারে', 'লইয়াছি', 'হইয়াছেন', 'হইয়াছিলাম', 'করিয়া', 'হইয়াই', 'হইয়াও', 'হইবার']
['হইয়াছি', 'হইয়াছ', 'করিবারে', 'লইয়াছি', 'হইয়াছেন', 'হইয়াছিলাম', 'করিয়া', 'হইয়াই', 'হইয়াও', 'হইবার']
['হইয়াছিলেন', 'পাইয়াছিলাম', 'হইয়াছিলাম', 'লইয়াছিলেন', 'হইয়াছিলো', 'হইয়াছি', 'চাহিয়াছিলেন', 'পড়িয়াছিলেন', 'লইয়াছিলাম', 'দেখিয়াছিলেন']
['হইয়াছিলেন', 'হইয়াছিলাম', 'গিয়াছেন', 'পড়িয়াছিলেন', 'চাহিয়াছিলেন', 'গিয়াছিলাম', 'লইয়াছিলেন', 'গিয়াছিলো', 'বলিয়াছিলেন', 'আসিয়াছিলেন']
['হইয়াছিলেন', 'হইয়াছিলাম', 'লইয়াছিলেন', 'পাইয়াছিলেন', 'হইয়াছিলো', 'পড়িয়াছিলেন', 'চাহিয়াছিলেন', 'লইয়াছিলাম', 'গিয়াছিলেন', 'দেখিয়াছিলেন']
['হইয়াছি', 'চাহিয়াছে', 'উঠিয়াছে', 'বলিয়াছে', 'পড়িয়াছে', 'রহিয়াছি', 'রাখিয়াছে', 'রহিয়াছেন', 'লইয়াছে', 'দেখিয়াছে']
['হইয়াছি', 'হইয়াছ', 'হইয়াও', 'হইয়াছিলাম', 'হইয়াছিলেন', 'হইয়াছেন', 'হইয়াই', 'হইয়াছিলো', 'হইতেছি', 'হইলো']
['হইয়াও', 'হইয়াছি', 'হইয়াছ', 'হইয়াই', 'হইতেছি', 'হইয়াছিলাম', 'হইলেই', 'পিছাইয়া', 'হইলো', 'হইলেন']
['দেখিয়াই', 'দেখিয়াছ', 'হইয়াছি', 'দেখিয়াও', 'দেখিয়াছে', 'হইয়াও', 'দেখিয়াছি', 'দেখিলেন', 'পিছাইয়া', 'দেখিল']
['করিলম', 'করিলেক', 'হইয়াছি', 'ধরিলেন', 'পড়িলেন', 'করিলেও', 'হইয়াছিলাম', 'হইয়াছ', 'করিলো', 'পারিলেন']
['পড়িয়াছে', 'পড়িলেন', 'হইয়াছি', 'পড়িলে', 'দাঁড়াইয়া', 'উঠিয়াছে', 'হইয়াও', 'পড়িয়া', 'দেখিল', 'পলাইয়া']
['পড়িয়াছে', 'পড়িলেন', 'হইয়াছি', 'পড়িলে', 'দাঁড়াইয়া', 'উঠিয়াছে', 'হইয়াও', 'পড়িয়া', 'দেখিল', 'পলাইয়া']
['লাগিলো', 'লাগিলেন', 'হইয়াছি', 'লাগিলাম', 'উঠিলেন', 'দেখিল', 'দেখিলেন', 'পড়িলেন', 'লাগিলা', 'দেখিলাম']
['তুলিয়া', 'পিছাইয়া', 'এড়াইয়া', 'এলাইয়া', 'ঝাপাইয়া', 'তলাইয়া', 'আগাইয়া', 'ঠেলিয়া', 'দাপাইয়া', 'পলাইয়া']
['বলিয়াই', 'হইয়াও', 'হইয়াছি', 'বলিয়াছি', 'বলিয়অ', 'বলিয়াছে', 'বলিয়াও', 'হইয়াছ', 'ধুবলিয়া', 'পিছাইয়া']
['পুড়াইয়া', 'তলাইয়া', 'চড়াইয়া', 'গজাইয়া', 'এড়াইয়া', 'দেখিল', 'পড়িয়াছে', 'ঝাপাইয়া', 'দাপাইয়া', 'পড়িয়া']
['ভাঙাইয়া', 'চাপাইয়া', 'ফিরাইতে', 'দাপাইয়া', 'মারাইতে', 'ঝাপাইয়া', 'ছাড়াইয়া', 'ভিজাইতে', 'বসাইতে', 'হারাইতে']
['চড়াইয়া', 'ঝলসাইয়া', 'গজাইয়া', 'এলাইয়া', 'মিলাইয়া', 'ফুটিয়াছে', 'তাড়াইয়া', 'পিছাইয়া', 'দাঁড়াইয়া', 'বসাইয়া']
['ছুটিতেছে', 'ছুটিতেই', 'ছুটিতেও', 'গণছুটিতে', 'ছাড়াইয়া', 'ছুটিল', 'ছুটি’তে', 'কোপাইয়া', 'ছুটিয়া', 'ছুটিপুরে']
['আসিয়াই', 'খসিয়া', 'আসিয়াছিল', 'বসিয়া', 'আসিয়াছি', 'আসিয়াছে', 'রাখিয়া', 'পড়িল', 'ধরিয়া', 'ঘসিয়া']
['লইলাম', 'হইয়াছি', 'হইয়াও', 'হইয়াছিল', 'থাকিত', 'রাখিয়া', 'গিয়াছি', 'রাখিয়াছি', 'হইবা', 'হইয়া']
['করিয়া', 'রাখিয়া', 'থাকিত', 'করিয়াছি', 'হইয়াছিল', 'হইয়াছে', 'লইয়াছে', 'লইয়াছি', 'করিবে', 'থাকিবার']
['করিয়া', 'রাখিয়া', 'থাকিত', 'করিয়াছি', 'হইয়াছিল', 'হইয়াছে', 'লইয়াছে', 'লইয়াছি', 'করিবে', 'থাকিবার']
['রাখিয়াছিলেন', 'লইয়াছিলেন', 'দিয়াছিলেন', 'লইয়াছিল', 'পড়িয়াছিলেন', 'চাহিয়াছিলেন', 'বলিয়াছিলেন', 'পাইয়াছিল', 'হইয়াছিল', 'রাখিয়াছিল']
['গিয়াছিল', 'রাখিয়াছিলেন', 'আসিয়াছিলেন', 'বলিয়াছিলেন', 'পড়িয়াছিলেন', 'গিয়াছি', 'রাখিয়াছিল', 'গিয়াছিলাম', 'গিয়াছেন', 'চাহিয়াছিলেন']
['রাখিয়াছিলেন', 'লইয়াছিলেন', 'গিয়াছিলেন', 'পড়িয়াছিলেন', 'আসিয়াছিলেন', 'চাহিয়াছিলেন', 'হইয়াছিলেন', 'বলিয়াছিলেন', 'দেখিয়াছিলেন', 'পাইয়াছিলেন']
['রাখিয়াছে', 'রহিয়াছি', 'গিয়াছে', 'লইয়াছে', 'রাখিয়া', 'আনিয়াছে', 'উঠিয়াছে', 'রহিয়াছেন', 'পড়িয়াছে', 'হইয়াছিল']
['হইয়াও', 'হইয়াছিল', 'থাকিত', 'হইয়াছি', 'লইলেন', 'রাখিয়া', 'হইয়াছিলেন', 'হইয়াছেন', 'রাখিয়াছি', 'থাকিয়া']
['হইয়াও', 'হইয়াছিল', 'রাখিয়া', 'থাকিত', 'বলিবে', 'যাইত', 'রাখিয়াছি', 'হইয়াছে', 'লইয়াই', 'হইয়াছি']
['হইয়াও', 'হইয়াছি', 'হইয়াছিল', 'হইয়াছে', 'হইয়াছ', 'করিয়া', 'রাখিয়া', 'থাকিত', 'ছড়াইয়া', 'থাকিয়া']
['ধরিলেন', 'করিলম', 'রহিলেন', 'করিয়াছিলেন', 'পড়িলেন', 'হইয়াছিল', 'আসিলেন', 'রাখিয়াছি', 'করিয়াছি', 'উঠিলেন']
['উঠিবে', 'রাখিয়া', 'উঠিল', 'নাঢ়া', 'পড়িত', 'উঠিলে', 'পড়িয়াছে', 'বহিয়া', 'উঠিব', 'লইত']
['উঠিবে', 'রাখিয়া', 'উঠিল', 'নাঢ়া', 'পড়িত', 'উঠিলে', 'পড়িয়াছে', 'বহিয়া', 'উঠিব', 'লইত']
['লাগিলো', 'থাকিত', 'লাগিলেন', 'উঠিল', 'পড়িল', 'উঠিলে', 'দেখিল', 'উঠিবে', 'লাগিত', 'উঠিলেন']
['তুলিয়া', 'রাখিয়া', 'ধরিয়া', 'আনিয়া', 'পরিয়া', 'টানিয়া', 'চলিয়া', 'ঠেলিয়া', 'লবটুলিয়া', 'লইয়া']
['বলিয়াই', 'বলিয়াছি', 'রাখিয়া', 'বলিয়াছিল', 'বলিয়অ', 'করিয়া', 'হইয়াও', 'থাকিয়া', 'বলিবে', 'বলিয়াছে']
['উঠিবে', 'পড়িল', 'বহিয়া', 'ধরিয়া', 'উঠিলে', 'চলিল', 'নাঢ়া', 'রহিছে', 'ভাঙিল', 'উঠিব']
['লইয়াই', 'বসাইতে', 'ফিরাইতে', 'চরাইতে', 'দিয়াছি', 'ধরাইতে', 'বুঝিল', 'শুকাইতে', 'পুড়াইতে', 'আনিতে']
['ফুটিয়াছিল', 'ফুটিয়াছে', 'কাটিয়া', 'রাখিয়া', 'আনিয়াছি', 'ফুটিবে', 'চটিয়া', 'আনিয়া', 'ধরিয়া', 'টানিয়া']
['ছুটিতেছে', 'ছুটিয়া', 'যাইবার', 'ছুটিল', 'আসিয়াছিল', 'আসিয়াছি', 'রাখিয়া', 'আসিয়াই', 'ছুটিবে', 'চলিয়া']
['আসিয়াই', 'খসিয়া', 'আসিয়াছিল', 'আসিয়াছি', 'আসিয়াছে', 'আসিয়াছ', 'বসিয়া', 'আসিয়াছো', 'ঘসিয়া', 'পড়িল']
['লইলাম', 'হইয়াছি', 'হইবা', 'হইলে', 'গিয়াছি', 'পড়িয়াছি', 'থাকিত', 'হইয়াও', 'কহিলো', 'হইয়াছিল']
['করিলে', 'করিলেও', 'করিবারে', 'করিয়া', 'করিবে', 'করিলম', 'হইবার', 'করিতেছে', 'তাহার', 'থাকিত']
['করিলে', 'করিলেও', 'করিবারে', 'করিয়া', 'করিবে', 'করিলম', 'হইবার', 'করিতেছে', 'তাহার', 'থাকিত']
['পাইয়াছিল', 'লইয়াছিলেন', 'পড়িয়াছিলেন', 'পাইয়াছি', 'পাইয়াছিলাম', 'বলিয়াছিলেন', 'পাইয়াছে', 'দিয়াছিলেন', 'রাখিয়াছিলেন', 'আসিয়াছিলেন']
['আসিয়াছিলেন', 'গিয়াছিল', 'বলিয়াছিলেন', 'পড়িয়াছিলেন', 'গিয়াছি', 'রাখিয়াছিলেন', 'গিয়াছেন', 'গিয়াছিলুম', 'গিয়াছিলাম', 'আসিয়াছিল']
['লইয়াছিলেন', 'পড়িয়াছিলেন', 'গিয়াছিলেন', 'পাইয়াছিলেন', 'আসিয়াছিলেন', 'বলিয়াছিলেন', 'রাখিয়াছিলেন', 'চাহিয়াছিলেন', 'হইয়াছিলেন', 'পারিয়াছিলেন']
['গিয়াছে', 'রহিয়াছি', 'আনিয়াছে', 'রাখিয়াছে', 'ধরিয়াছে', 'লইয়াছে', 'পড়িয়াছে', 'আসিয়াছে', 'রহিয়াছেন', 'পলাইয়াছে']
['থাকিত', 'করিলেও', 'হইয়াছি', 'হইয়াও', 'হইলে', 'ধরিলেন', 'আসিলেন', 'উঠিলেন', 'হইয়াছিলেন', 'পড়িলেন']
['হইয়াও', 'হইলে', 'হইলেই', 'বলিলে', 'হইতেছে', 'বলিবে', 'যাইত', 'চলিবে', 'হইয়াছিল', 'হইতেই']
['হইয়াও', 'হইয়াছে', 'হইয়াছি', 'হইয়াছিল', 'পড়িয়া', 'হইয়াছ', 'যাইয়া', 'বলিয়া', 'পাইয়া', 'বলিয়াই']
